MJD,Mag,Mag_err,band,Instr
58814.515,20.294,0.255,ZTF_g,P48
58828.545,19.739,0.217,ZTF_g,P48
58828.567,19.6,0.113,ZTF_r,P48
58831.457,19.64,0.199,ZTF_r,P48
58837.461,19.236,0.171,ZTF_r,P48
58837.502,19.709,0.155,ZTF_g,P48
58841.63,19.37,0.041,ps_i,PAN_STARRS1
58841.63,19.964,0.063,ps_g,PAN_STARRS1
58844.65,19.408,0.039,ps_r,PAN_STARRS1
58844.65,20.271,0.208,ps_g,PAN_STARRS1
58846.565,19.476,0.083,ZTF_r,P48
58847.61,20.115,0.061,ps_g,PAN_STARRS1
58847.61,19.36,0.04,ps_i,PAN_STARRS1
58849.502,20.227,0.116,ZTF_g,P48
58849.545,19.4,0.134,ZTF_r,P48
58850.61,19.381,0.041,ps_i,PAN_STARRS1
58850.61,20.169,0.085,ps_g,PAN_STARRS1
58852.545,19.513,0.071,ZTF_r,P48
58855.374,19.392,0.133,ZTF_r,P48
58855.521,20.552,0.162,ZTF_g,P48
58855.539,19.497,0.072,ZTF_r,P48
58855.54,19.469,0.072,ZTF_r,P48
58856.363,19.488,0.146,ZTF_r,P48
58859.369,19.682,0.253,ZTF_r,P48
58859.439,19.572,0.17,ZTF_r,P48
58860.358,19.72,0.261,ZTF_r,P48
58860.376,19.578,0.224,ZTF_r,P48
58864.327,19.735,0.179,ZTF_r,P48
58864.338,19.564,0.146,ZTF_r,P48
58864.46,20.643,0.263,ZTF_g,P48
58864.482,19.568,0.112,ZTF_r,P48
58866.355,19.768,0.125,ZTF_r,P48
58866.505,19.804,0.101,ZTF_r,P48
58866.57,19.669,0.085,ps_z,PAN_STARRS1
58866.57,20.584,0.152,ps_g,PAN_STARRS1
58867.356,19.5,0.121,ZTF_r,P48
58867.422,21.037,0.27,ZTF_g,P48
58867.439,20.78,0.176,ZTF_g,P48
58867.465,19.794,0.127,ZTF_r,P48
58867.466,19.746,0.092,ZTF_r,P48
58871.44,21.043,0.266,ZTF_g,P48
58871.441,20.717,0.195,ZTF_g,P48
58871.484,19.709,0.102,ZTF_r,P48
58871.485,19.847,0.14,ZTF_r,P48
58871.504,19.872,0.133,ZTF_r,P48
58871.56,20.99,0.16,ps_g,PAN_STARRS1
58871.56,19.575,0.043,ps_i,PAN_STARRS1
58873.294,19.735,0.11,ZTF_r,P48
58873.318,19.691,0.106,ZTF_r,P48
