MJD,Mag,Mag_err,band,Instr
58937.386,16.377,0.006,ZTF_g,P48
58937.56,16.397,0.007,ps_g,PAN_STARRS1
58937.56,16.946,0.013,ps_z,PAN_STARRS1
58937.56,16.777,0.006,ps_i,PAN_STARRS1
58937.56,16.568,0.006,ps_r,PAN_STARRS1
58940.378,16.17,0.007,ZTF_g,P48
58940.417,16.326,0.048,ZTF_r,P48
58944.44,16.156,0.009,ZTF_g,P48
58951.46,16.542,0.01,ps_i,PAN_STARRS1
58951.46,16.238,0.009,ps_r,PAN_STARRS1
58954.377,16.447,0.007,ZTF_g,P48
58954.458,16.357,0.01,ZTF_r,P48
58959.46,16.853,0.011,ps_g,PAN_STARRS1
58959.47,16.705,0.009,ps_i,PAN_STARRS1
58963.307,17.216,0.011,ZTF_g,P48
58964.48,16.748,0.009,ps_i,PAN_STARRS1
58964.49,17.309,0.014,ps_g,PAN_STARRS1
58966.337,16.585,0.022,ZTF_r,P48
58967.46,17.556,0.013,ps_g,PAN_STARRS1
58967.47,16.698,0.007,ps_r,PAN_STARRS1
58969.249,17.657,0.023,ZTF_g,P48
58969.341,16.628,0.027,ZTF_r,P48
58971.39,16.815,0.011,ps_z,PAN_STARRS1
58971.39,17.781,0.021,ps_g,PAN_STARRS1
58972.272,17.827,0.026,ZTF_g,P48
58972.359,16.761,0.011,ZTF_r,P48
58972.45,17.815,0.024,ps_g,PAN_STARRS1
58972.45,16.889,0.009,ps_i,PAN_STARRS1
58977.252,16.831,0.102,ZTF_r,P48
58977.35,18.094,0.221,ZTF_g,P48
58979.34,17.096,0.013,ps_i,PAN_STARRS1
58979.34,17.134,0.012,ps_r,PAN_STARRS1
58980.221,18.187,0.019,ZTF_g,P48
58985.39,18.399,0.023,ps_g,PAN_STARRS1
58985.4,17.414,0.011,ps_i,PAN_STARRS1
58986.221,18.422,0.022,ZTF_g,P48
58986.273,17.334,0.012,ZTF_r,P48
58990.39,18.471,0.024,ps_g,PAN_STARRS1
58990.39,17.597,0.014,ps_r,PAN_STARRS1
58992.254,17.625,0.015,ZTF_r,P48
58992.318,18.539,0.026,ZTF_g,P48
58994.37,18.541,0.027,ps_g,PAN_STARRS1
58994.37,17.756,0.019,ps_i,PAN_STARRS1
58995.25,17.664,0.016,ZTF_r,P48
58995.3,18.536,0.028,ZTF_g,P48
58997.33,18.549,0.038,ps_g,PAN_STARRS1
58997.34,17.799,0.024,ps_r,PAN_STARRS1
58998.189,18.633,0.03,ZTF_g,P48
58998.254,17.756,0.017,ZTF_r,P48
58999.38,18.639,0.027,ps_g,PAN_STARRS1
58999.38,17.811,0.017,ps_z,PAN_STARRS1
59001.23,17.811,0.033,ZTF_r,P48
59005.27,18.914,0.054,ZTF_r,P48
59009.167,18.146,0.035,ZTF_r,P48
59009.253,18.863,0.052,ZTF_g,P48
59010.35,18.317,0.024,ps_i,PAN_STARRS1
59010.35,18.127,0.019,ps_r,PAN_STARRS1
59012.196,18.774,0.028,ZTF_g,P48
59012.225,18.178,0.024,ZTF_r,P48
59015.212,18.257,0.024,ZTF_r,P48
59015.28,18.908,0.03,ps_g,PAN_STARRS1
59015.29,18.381,0.029,ps_z,PAN_STARRS1
59018.199,18.936,0.031,ZTF_g,P48
59018.234,18.396,0.028,ZTF_r,P48
59021.234,18.458,0.026,ZTF_r,P48
59024.2,19.017,0.036,ZTF_g,P48
59024.213,18.378,0.034,ZTF_r,P48
59027.187,18.633,0.046,ZTF_r,P48
59027.212,19.012,0.064,ZTF_g,P48
59027.29,19.059,0.041,ps_g,PAN_STARRS1
59027.29,18.871,0.05,ps_z,PAN_STARRS1
59032.194,19.079,0.114,ZTF_g,P48
59032.21,18.888,0.086,ZTF_r,P48
59036.192,19.126,0.08,ZTF_g,P48
59036.278,18.81,0.099,ZTF_r,P48
59040.195,19.032,0.055,ZTF_r,P48
59040.211,19.251,0.053,ZTF_g,P48
59040.29,18.852,0.029,ps_r,PAN_STARRS1
59040.3,19.191,0.061,ps_z,PAN_STARRS1
59043.27,19.313,0.056,ps_i,PAN_STARRS1
59043.28,19.211,0.035,ps_g,PAN_STARRS1
59045.192,19.045,0.046,ZTF_r,P48
59045.231,19.357,0.073,ZTF_g,P48
59047.3,19.303,0.038,ps_g,PAN_STARRS1
59047.3,19.005,0.033,ps_r,PAN_STARRS1
59054.27,19.461,0.06,ps_g,PAN_STARRS1
59054.27,19.193,0.037,ps_r,PAN_STARRS1
