MJD,Mag,Mag_err,band,Instr
58939.338,19.078,0.074,ZTF_g,P48
58939.373,18.193,0.059,ZTF_r,P48
58940.359,16.68,0.049,ZTF_g,P48
58941.267,16.675,0.01,ZTF_g,P48
58941.373,15.961,0.006,ZTF_r,P48
58944.248,16.537,0.013,ZTF_g,P48
58944.34,15.681,0.006,ZTF_r,P48
58950.33,15.642,0.006,ps_r,PAN_STARRS1
58954.256,15.482,0.005,ZTF_r,P48
58954.297,16.498,0.008,ZTF_g,P48
58955.268,15.484,0.004,ZTF_r,P48
58955.3,16.502,0.008,ZTF_g,P48
58956.246,16.478,0.007,ZTF_g,P48
58956.269,15.461,0.004,ZTF_r,P48
58956.44,16.571,0.008,ps_g,PAN_STARRS1
58956.44,15.652,0.005,ps_r,PAN_STARRS1
58958.41,15.337,0.004,ps_i,PAN_STARRS1
58958.41,16.582,0.007,ps_g,PAN_STARRS1
58960.29,16.631,0.007,ps_g,PAN_STARRS1
58960.3,15.636,0.004,ps_r,PAN_STARRS1
58962.231,16.664,0.009,ZTF_g,P48
58962.269,15.473,0.005,ZTF_r,P48
58963.247,16.665,0.008,ZTF_g,P48
58964.189,16.701,0.009,ZTF_g,P48
58964.253,15.491,0.004,ZTF_r,P48
58965.231,16.741,0.009,ZTF_g,P48
58965.287,15.489,0.004,ZTF_r,P48
58966.207,15.458,0.01,ZTF_r,P48
58966.253,16.776,0.017,ZTF_g,P48
58967.24,16.847,0.01,ZTF_g,P48
58967.25,15.278,0.004,ps_i,PAN_STARRS1
58967.25,16.808,0.008,ps_g,PAN_STARRS1
58967.339,15.518,0.005,ZTF_r,P48
58968.203,15.469,0.004,ZTF_r,P48
58968.273,16.842,0.009,ZTF_g,P48
58969.232,16.87,0.011,ZTF_g,P48
58969.297,15.557,0.012,ZTF_r,P48
58970.192,15.54,0.005,ZTF_r,P48
58970.3,16.898,0.01,ps_g,PAN_STARRS1
58970.31,15.281,0.004,ps_i,PAN_STARRS1
58971.212,15.535,0.005,ZTF_r,P48
58971.275,17.017,0.014,ZTF_g,P48
58975.203,15.594,0.006,ZTF_r,P48
58975.25,17.084,0.023,ZTF_g,P48
58976.209,17.016,0.019,ZTF_g,P48
58976.25,15.6,0.006,ZTF_r,P48
58977.171,17.12,0.022,ZTF_g,P48
58977.231,15.766,0.063,ZTF_r,P48
58978.182,17.076,0.012,ZTF_g,P48
58978.248,15.536,0.005,ZTF_r,P48
58980.19,17.2,0.011,ZTF_g,P48
58980.37,15.3,0.004,ps_i,PAN_STARRS1
58980.37,15.792,0.004,ps_r,PAN_STARRS1
58981.2,17.252,0.013,ZTF_g,P48
58981.249,15.654,0.005,ZTF_r,P48
58985.168,17.318,0.013,ZTF_g,P48
58985.37,17.257,0.011,ps_g,PAN_STARRS1
58985.38,15.302,0.003,ps_i,PAN_STARRS1
58986.191,17.269,0.012,ZTF_g,P48
58989.26,17.335,0.009,ps_g,PAN_STARRS1
58989.26,15.846,0.004,ps_r,PAN_STARRS1
58991.17,17.382,0.013,ZTF_g,P48
58991.227,15.618,0.005,ZTF_r,P48
58992.193,17.418,0.013,ZTF_g,P48
58992.221,15.687,0.005,ZTF_r,P48
58994.222,17.467,0.014,ZTF_g,P48
58995.201,17.45,0.014,ZTF_g,P48
58995.246,15.665,0.005,ZTF_r,P48
58995.36,17.428,0.008,ps_g,PAN_STARRS1
58995.36,15.88,0.004,ps_r,PAN_STARRS1
58996.248,15.672,0.005,ZTF_r,P48
58997.204,17.488,0.014,ZTF_g,P48
58998.193,17.529,0.016,ZTF_g,P48
58998.232,15.665,0.005,ZTF_r,P48
58999.231,17.739,0.069,ZTF_g,P48
58999.286,15.816,0.008,ZTF_r,P48
59005.186,17.689,0.036,ZTF_g,P48
59005.34,15.923,0.005,ps_r,PAN_STARRS1
59005.34,15.091,0.005,ps_z,PAN_STARRS1
59008.29,15.394,0.005,ps_i,PAN_STARRS1
59008.29,15.971,0.007,ps_r,PAN_STARRS1
59009.232,17.89,0.028,ZTF_g,P48
59013.28,15.415,0.004,ps_i,PAN_STARRS1
59013.28,17.717,0.018,ps_g,PAN_STARRS1
59014.2,17.786,0.017,ZTF_g,P48
59014.229,15.827,0.005,ZTF_r,P48
59016.27,17.777,0.015,ps_g,PAN_STARRS1
59017.236,15.815,0.005,ZTF_r,P48
59020.198,17.921,0.021,ZTF_g,P48
59020.237,15.798,0.005,ZTF_r,P48
59020.28,15.434,0.004,ps_i,PAN_STARRS1
59020.29,17.908,0.022,ps_g,PAN_STARRS1
59023.215,17.93,0.02,ZTF_g,P48
59026.217,18.032,0.051,ZTF_g,P48
59032.197,18.214,0.057,ZTF_g,P48
59032.215,15.984,0.007,ZTF_r,P48
59032.28,16.176,0.006,ps_r,PAN_STARRS1
59032.29,15.223,0.004,ps_z,PAN_STARRS1
59037.235,18.41,0.09,ZTF_g,P48
59037.28,16.271,0.006,ps_r,PAN_STARRS1
59037.28,15.66,0.004,ps_i,PAN_STARRS1
59039.28,15.356,0.006,ps_z,PAN_STARRS1
59039.29,16.32,0.006,ps_r,PAN_STARRS1
59041.28,15.755,0.004,ps_i,PAN_STARRS1
59041.28,16.378,0.005,ps_r,PAN_STARRS1
59043.27,18.507,0.033,ps_g,PAN_STARRS1
59043.27,15.448,0.005,ps_z,PAN_STARRS1
59047.27,18.807,0.062,ps_g,PAN_STARRS1
59047.28,16.028,0.006,ps_i,PAN_STARRS1
59051.27,19.268,0.051,ps_g,PAN_STARRS1
59051.27,17.096,0.01,ps_r,PAN_STARRS1
59058.27,17.316,0.026,ps_i,PAN_STARRS1
59061.27,16.851,0.016,ps_z,PAN_STARRS1
59061.27,18.299,0.043,ps_r,PAN_STARRS1
59065.26,18.33,0.035,ps_r,PAN_STARRS1
59065.27,17.514,0.019,ps_i,PAN_STARRS1
59068.26,17.596,0.021,ps_i,PAN_STARRS1
59068.26,18.358,0.037,ps_r,PAN_STARRS1
