MJD,Mag,Mag_err,band,Instr
59046.197,19.695,0.081,ZTF_r,P48
59046.214,19.603,0.064,ZTF_g,P48
59047.219,17.847,0.016,ZTF_r,P48
59047.258,17.619,0.014,ZTF_g,P48
59047.27,17.929,0.018,ps_r,PAN_STARRS1
59047.27,17.679,0.017,ps_g,PAN_STARRS1
59048.207,16.96,0.009,ZTF_r,P48
59048.261,16.743,0.008,ZTF_g,P48
59049.176,16.588,0.008,ZTF_r,P48
59049.202,16.377,0.006,ZTF_g,P48
59050.204,16.213,0.006,ZTF_g,P48
59050.288,16.444,0.007,ZTF_r,P48
59051.18,16.223,0.006,ZTF_g,P48
59051.197,16.378,0.007,ZTF_r,P48
59051.28,16.264,0.005,ps_g,PAN_STARRS1
59051.28,16.619,0.006,ps_i,PAN_STARRS1
59052.168,16.322,0.007,ZTF_r,P48
59052.31,16.197,0.006,ZTF_g,P48
59053.205,16.2,0.006,ZTF_g,P48
59054.206,16.216,0.006,ZTF_r,P48
59054.246,16.229,0.006,ZTF_g,P48
59055.202,16.231,0.006,ZTF_r,P48
59057.178,16.215,0.006,ZTF_r,P48
59058.29,16.414,0.008,ps_i,PAN_STARRS1
59058.3,16.365,0.007,ps_g,PAN_STARRS1
59062.198,16.413,0.008,ZTF_g,P48
59062.225,16.24,0.008,ZTF_r,P48
59063.179,16.243,0.007,ZTF_r,P48
59063.239,16.492,0.011,ZTF_g,P48
59064.281,16.37,0.011,ZTF_r,P48
59064.29,16.463,0.008,ps_r,PAN_STARRS1
59064.3,16.52,0.012,ps_z,PAN_STARRS1
59065.173,16.441,0.009,ZTF_r,P48
59065.205,16.643,0.012,ZTF_g,P48
59066.27,16.527,0.007,ps_i,PAN_STARRS1
59066.27,16.553,0.007,ps_r,PAN_STARRS1
59067.158,16.447,0.008,ZTF_r,P48
59067.203,16.713,0.009,ZTF_g,P48
59068.183,16.796,0.008,ZTF_g,P48
59068.254,16.527,0.009,ZTF_r,P48
59069.196,16.555,0.007,ZTF_r,P48
59069.298,16.904,0.017,ZTF_g,P48
59070.181,16.604,0.007,ZTF_r,P48
59070.22,16.888,0.009,ZTF_g,P48
59070.28,16.731,0.011,ps_i,PAN_STARRS1
59070.29,16.743,0.009,ps_r,PAN_STARRS1
59071.175,16.637,0.008,ZTF_r,P48
59072.186,16.683,0.009,ZTF_r,P48
59072.215,17.017,0.01,ZTF_g,P48
59072.27,16.79,0.012,ps_z,PAN_STARRS1
59072.27,17.096,0.011,ps_g,PAN_STARRS1
59073.181,16.732,0.009,ZTF_r,P48
59073.229,17.096,0.011,ZTF_g,P48
59074.27,16.924,0.009,ps_i,PAN_STARRS1
59074.28,17.192,0.011,ps_g,PAN_STARRS1
59075.195,17.194,0.017,ZTF_g,P48
59075.222,16.831,0.01,ZTF_r,P48
59076.198,16.82,0.01,ZTF_r,P48
59076.235,17.289,0.028,ZTF_g,P48
59077.218,17.235,0.015,ZTF_g,P48
59077.219,16.951,0.039,ZTF_r,P48
59078.21,17.341,0.014,ZTF_g,P48
59078.228,16.92,0.011,ZTF_r,P48
59078.26,17.372,0.012,ps_g,PAN_STARRS1
59078.26,17.032,0.01,ps_i,PAN_STARRS1
59079.181,17.355,0.013,ZTF_g,P48
59079.216,16.88,0.011,ZTF_r,P48
59080.175,16.942,0.012,ZTF_r,P48
59080.202,17.427,0.06,ZTF_g,P48
59081.174,16.99,0.012,ZTF_r,P48
59081.232,17.472,0.021,ZTF_g,P48
59081.25,17.089,0.01,ps_r,PAN_STARRS1
59081.26,17.491,0.012,ps_g,PAN_STARRS1
59084.166,17.546,0.018,ZTF_g,P48
59084.199,17.099,0.015,ZTF_r,P48
59085.178,17.115,0.014,ZTF_r,P48
59085.255,17.617,0.02,ZTF_g,P48
59086.173,17.006,0.012,ZTF_r,P48
59086.194,17.613,0.019,ZTF_g,P48
59087.182,17.632,0.024,ZTF_g,P48
59087.203,17.077,0.017,ZTF_r,P48
59089.136,17.101,0.021,ZTF_r,P48
59089.241,17.775,0.057,ZTF_g,P48
59091.202,17.128,0.016,ZTF_r,P48
59091.216,17.812,0.033,ZTF_g,P48
59093.136,17.06,0.014,ZTF_r,P48
59093.163,17.835,0.036,ZTF_g,P48
59093.25,17.207,0.012,ps_r,PAN_STARRS1
59093.26,17.2,0.015,ps_z,PAN_STARRS1
59094.159,17.08,0.015,ZTF_r,P48
59094.184,17.854,0.05,ZTF_g,P48
59095.25,17.234,0.01,ps_r,PAN_STARRS1
59095.25,17.268,0.011,ps_i,PAN_STARRS1
59097.24,17.228,0.01,ps_r,PAN_STARRS1
59097.24,17.267,0.016,ps_z,PAN_STARRS1
