MJD,Mag,Mag_err,band,Instr
59088.427,20.867,0.264,ZTF_r,P48
59089.446,20.367,0.192,ZTF_r,P48
59089.465,20.617,0.245,ZTF_r,P48
59089.489,21.092,0.263,ZTF_g,P48
59090.393,20.675,0.213,ZTF_g,P48
59090.476,19.925,0.092,ZTF_r,P48
59090.477,19.734,0.075,ZTF_r,P48
59091.39,20.257,0.226,ZTF_g,P48
59091.393,20.43,0.253,ZTF_g,P48
59091.478,19.592,0.06,ZTF_r,P48
59091.478,19.613,0.072,ZTF_r,P48
59092.369,20.069,0.241,ZTF_g,P48
59092.383,20.166,0.222,ZTF_g,P48
59093.386,19.442,0.137,ZTF_r,P48
59093.468,19.704,0.15,ZTF_g,P48
59093.468,20.116,0.224,ZTF_g,P48
59093.478,20.41,0.246,ZTF_g,P48
59093.479,19.921,0.189,ZTF_g,P48
59093.492,19.351,0.081,ZTF_r,P48
59094.366,19.033,0.116,ZTF_r,P48
59094.371,18.949,0.093,ZTF_r,P48
59095.409,18.898,0.078,ZTF_r,P48
59095.409,18.797,0.066,ZTF_r,P48
59096.35,18.723,0.06,ZTF_r,P48
59096.351,18.695,0.063,ZTF_r,P48
59096.469,19.558,0.109,ZTF_g,P48
59096.469,19.944,0.215,ZTF_g,P48
59097.424,19.959,0.221,ZTF_g,P48
59097.435,19.613,0.151,ZTF_g,P48
59097.477,18.751,0.121,ZTF_r,P48
59097.477,18.571,0.074,ZTF_r,P48
59106.384,18.008,0.025,ZTF_r,P48
59106.412,19.033,0.057,ZTF_g,P48
59106.497,19.025,0.055,ZTF_g,P48
59106.5,19.066,0.059,ZTF_g,P48
59107.393,18.999,0.049,ZTF_g,P48
59107.395,18.994,0.046,ZTF_g,P48
59107.404,18.988,0.044,ZTF_g,P48
59107.431,18.005,0.024,ZTF_r,P48
59109.368,18.955,0.079,ZTF_g,P48
59109.401,17.916,0.025,ZTF_r,P48
59109.401,17.961,0.026,ZTF_r,P48
59109.429,17.901,0.021,ZTF_r,P48
59110.449,17.914,0.023,ZTF_r,P48
59110.451,18.082,0.024,ZTF_r,P48
59110.464,17.871,0.025,ZTF_r,P48
59110.507,18.896,0.035,ZTF_g,P48
59112.391,17.804,0.017,ZTF_r,P48
59112.391,17.825,0.018,ZTF_r,P48
59112.504,18.826,0.031,ZTF_g,P48
59112.528,18.888,0.065,ZTF_g,P48
59113.41,18.883,0.038,ZTF_g,P48
59113.427,17.809,0.017,ZTF_r,P48
59114.413,17.745,0.016,ZTF_r,P48
59114.414,17.772,0.018,ZTF_r,P48
59115.346,17.706,0.018,ZTF_r,P48
59115.346,17.767,0.019,ZTF_r,P48
59115.407,17.689,0.016,ZTF_r,P48
59115.435,18.75,0.029,ZTF_g,P48
59116.351,17.647,0.015,ZTF_r,P48
59116.374,17.685,0.016,ZTF_r,P48
59116.43,17.682,0.016,ZTF_r,P48
59116.509,18.822,0.032,ZTF_g,P48
59116.528,18.853,0.051,ZTF_g,P48
59117.391,17.666,0.015,ZTF_r,P48
59117.392,17.677,0.015,ZTF_r,P48
59118.296,17.659,0.02,ZTF_r,P48
59118.333,17.649,0.017,ZTF_r,P48
59118.46,18.743,0.034,ZTF_g,P48
59118.466,18.836,0.032,ZTF_g,P48
59118.469,18.83,0.033,ZTF_g,P48
59119.346,18.731,0.053,ZTF_g,P48
59119.348,18.795,0.046,ZTF_g,P48
59119.467,17.615,0.015,ZTF_r,P48
59120.292,18.765,0.07,ZTF_g,P48
59120.309,18.831,0.066,ZTF_g,P48
59121.303,18.683,0.059,ZTF_g,P48
59121.313,18.807,0.06,ZTF_g,P48
59121.461,17.637,0.019,ZTF_r,P48
59121.497,18.743,0.032,ZTF_g,P48
59122.309,18.721,0.084,ZTF_g,P48
59122.309,18.923,0.09,ZTF_g,P48
59122.388,17.572,0.022,ZTF_r,P48
59122.389,17.618,0.021,ZTF_r,P48
59123.333,17.635,0.032,ZTF_r,P48
59123.34,17.669,0.03,ZTF_r,P48
59123.365,17.604,0.026,ZTF_r,P48
59123.406,18.921,0.097,ZTF_g,P48
59123.414,18.632,0.083,ZTF_g,P48
59124.29,17.615,0.03,ZTF_r,P48
59124.314,17.594,0.029,ZTF_r,P48
59125.402,18.707,0.066,ZTF_g,P48
59125.407,18.92,0.092,ZTF_g,P48
59125.479,17.584,0.022,ZTF_r,P48
59125.479,17.566,0.022,ZTF_r,P48
59129.364,18.815,0.063,ZTF_g,P48
59129.427,18.885,0.063,ZTF_g,P48
59129.469,17.541,0.018,ZTF_r,P48
59129.469,17.566,0.019,ZTF_r,P48
59131.351,18.853,0.075,ZTF_g,P48
59131.352,19.05,0.075,ZTF_g,P48
59131.44,17.502,0.055,ZTF_r,P48
59134.384,18.971,0.045,ZTF_g,P48
59134.387,18.993,0.047,ZTF_g,P48
59134.428,17.668,0.018,ZTF_r,P48
59134.454,17.712,0.021,ZTF_r,P48
59136.39,18.983,0.036,ZTF_g,P48
59136.398,19.052,0.039,ZTF_g,P48
59136.471,17.625,0.016,ZTF_r,P48
59136.472,17.596,0.015,ZTF_r,P48
59138.345,17.694,0.017,ZTF_r,P48
59139.375,17.643,0.018,ZTF_r,P48
59139.407,19.116,0.06,ZTF_g,P48
59140.37,17.607,0.014,ZTF_r,P48
59140.402,19.013,0.039,ZTF_g,P48
59141.337,17.647,0.017,ZTF_r,P48
59141.415,19.086,0.04,ZTF_g,P48
59142.366,17.61,0.015,ZTF_r,P48
59142.403,19.078,0.044,ZTF_g,P48
59143.32,17.692,0.017,ZTF_r,P48
59143.39,19.064,0.035,ZTF_g,P48
59144.385,18.963,0.034,ZTF_g,P48
59144.419,17.619,0.015,ZTF_r,P48
59145.344,17.665,0.015,ZTF_r,P48
59145.417,19.079,0.037,ZTF_g,P48
59146.385,17.406,0.158,ZTF_r,P48
59149.374,17.661,0.022,ZTF_r,P48
59149.455,19.067,0.054,ZTF_g,P48
59150.288,17.6,0.019,ZTF_r,P48
59150.409,19.083,0.081,ZTF_g,P48
59151.325,19.093,0.098,ZTF_g,P48
59151.364,17.727,0.028,ZTF_r,P48
59152.363,19.084,0.106,ZTF_g,P48
59152.399,17.716,0.03,ZTF_r,P48
59153.338,17.778,0.036,ZTF_r,P48
59153.401,19.111,0.11,ZTF_g,P48
59155.258,17.795,0.034,ZTF_r,P48
59155.287,17.822,0.03,ZTF_r,P48
59155.366,19.267,0.143,ZTF_g,P48
59155.386,19.134,0.104,ZTF_g,P48
59157.385,19.287,0.105,ZTF_g,P48
59157.385,19.401,0.131,ZTF_g,P48
59157.435,18.011,0.037,ZTF_r,P48
59157.445,17.944,0.038,ZTF_r,P48
59164.301,18.197,0.031,ZTF_r,P48
59164.325,18.277,0.029,ZTF_r,P48
59164.433,19.559,0.068,ZTF_g,P48
59164.434,19.866,0.096,ZTF_g,P48
59166.298,17.831,0.183,ZTF_r,P48
59166.299,18.023,0.14,ZTF_r,P48
59166.387,19.849,0.085,ZTF_g,P48
59166.414,19.663,0.066,ZTF_g,P48
59168.217,19.706,0.077,ZTF_g,P48
59168.257,19.882,0.076,ZTF_g,P48
59168.28,18.325,0.027,ZTF_r,P48
59168.295,18.305,0.029,ZTF_r,P48
59170.222,19.943,0.098,ZTF_g,P48
59170.234,19.904,0.085,ZTF_g,P48
59170.275,18.444,0.03,ZTF_r,P48
59170.28,18.436,0.031,ZTF_r,P48
59172.235,19.977,0.084,ZTF_g,P48
59172.258,19.691,0.066,ZTF_g,P48
59174.348,18.308,0.059,ZTF_r,P48
59175.302,19.979,0.145,ZTF_g,P48
59175.369,18.486,0.066,ZTF_r,P48
59176.322,18.551,0.038,ZTF_r,P48
59176.351,19.854,0.075,ZTF_g,P48
59177.39,19.87,0.076,ZTF_g,P48
59179.232,19.801,0.157,ZTF_g,P48
59179.253,19.826,0.159,ZTF_g,P48
59179.311,18.532,0.046,ZTF_r,P48
59179.322,18.525,0.046,ZTF_r,P48
59181.277,18.499,0.073,ZTF_r,P48
59181.279,18.515,0.07,ZTF_r,P48
59185.194,19.592,0.163,ZTF_g,P48
59185.195,20.05,0.223,ZTF_g,P48
59185.235,18.52,0.055,ZTF_r,P48
59185.262,18.593,0.059,ZTF_r,P48
59187.14,19.873,0.113,ZTF_g,P48
59187.2,20.129,0.191,ZTF_g,P48
59187.239,18.574,0.057,ZTF_r,P48
59187.243,18.629,0.059,ZTF_r,P48
59189.166,20.07,0.16,ZTF_g,P48
59189.222,18.603,0.033,ZTF_r,P48
59189.223,18.562,0.033,ZTF_r,P48
59192.158,18.582,0.121,ZTF_r,P48
59192.159,18.783,0.097,ZTF_r,P48
59192.194,19.898,0.154,ZTF_g,P48
59192.223,19.797,0.217,ZTF_g,P48
59194.157,18.679,0.042,ZTF_r,P48
59194.219,19.927,0.101,ZTF_g,P48
59194.225,19.847,0.097,ZTF_g,P48
59194.258,18.635,0.038,ZTF_r,P48
59197.219,18.64,0.115,ZTF_r,P48
59197.241,18.78,0.168,ZTF_r,P48
59199.227,18.725,0.054,ZTF_r,P48
59199.279,19.942,0.121,ZTF_g,P48
59200.178,19.915,0.127,ZTF_g,P48
59200.241,18.642,0.034,ZTF_r,P48
59202.233,20.126,0.187,ZTF_g,P48
59202.278,18.792,0.057,ZTF_r,P48
59203.222,18.853,0.052,ZTF_r,P48
59203.309,19.834,0.098,ZTF_g,P48
59204.285,18.732,0.045,ZTF_r,P48
59204.304,19.99,0.114,ZTF_g,P48
59205.152,18.724,0.037,ZTF_r,P48
59205.263,20.059,0.117,ZTF_g,P48
59210.22,19.834,0.245,ZTF_g,P48
59210.302,18.612,0.067,ZTF_r,P48
59211.161,18.604,0.065,ZTF_r,P48
59211.221,19.419,0.175,ZTF_g,P48
59216.175,19.505,0.148,ZTF_g,P48
59216.238,18.609,0.049,ZTF_r,P48
59216.277,18.579,0.046,ZTF_r,P48
59216.333,19.54,0.177,ZTF_g,P48
59218.186,18.752,0.052,ZTF_r,P48
59218.225,19.657,0.066,ZTF_g,P48
59218.226,19.621,0.073,ZTF_g,P48
59218.354,18.651,0.046,ZTF_r,P48
59220.201,19.618,0.062,ZTF_g,P48
59220.202,19.574,0.077,ZTF_g,P48
59220.219,18.594,0.034,ZTF_r,P48
59220.238,18.744,0.05,ZTF_r,P48
59222.173,19.689,0.193,ZTF_g,P48
59222.176,20.0,0.225,ZTF_g,P48
59222.198,18.659,0.035,ZTF_r,P48
59222.198,18.629,0.033,ZTF_r,P48
59224.195,19.854,0.104,ZTF_g,P48
59224.195,19.71,0.101,ZTF_g,P48
59224.25,18.712,0.043,ZTF_r,P48
