MJD,Mag,Mag_err,band,Instr
58964.277,21.078,0.201,ZTF_r,P48
58970.391,21.15,0.257,ZTF_r,P48
58975.43,20.946,0.268,ps_r,PAN_STARRS1
58991.234,21.211,0.234,ZTF_r,P48
59021.29,21.331,0.18,ps_i,PAN_STARRS1
59026.29,21.059,0.249,ps_i,PAN_STARRS1
59037.27,21.241,0.204,ps_i,PAN_STARRS1
59042.234,20.994,0.216,ZTF_r,P48
59042.29,21.265,0.208,ps_i,PAN_STARRS1
59046.197,20.905,0.215,ZTF_r,P48
59047.219,21.195,0.256,ZTF_r,P48
59051.28,21.255,0.167,ps_i,PAN_STARRS1
59097.24,21.412,0.245,ps_r,PAN_STARRS1
59097.24,20.597,0.252,ps_z,PAN_STARRS1
59100.24,19.422,0.055,ps_r,PAN_STARRS1
59100.24,19.137,0.082,ps_z,PAN_STARRS1
59104.24,17.897,0.025,ps_z,PAN_STARRS1
59104.24,17.825,0.02,ps_g,PAN_STARRS1
59180.554,15.857,0.01,ZTF_r,P48
59184.517,15.743,0.007,ZTF_r,P48
59184.531,16.284,0.012,ZTF_g,P48
59186.531,16.533,0.023,ZTF_g,P48
59188.52,15.824,0.006,ZTF_r,P48
59188.545,16.357,0.008,ZTF_g,P48
59193.53,15.957,0.006,ZTF_r,P48
59193.549,16.541,0.008,ZTF_g,P48
59198.464,16.07,0.007,ZTF_r,P48
59198.547,16.691,0.008,ZTF_g,P48
59200.479,16.735,0.026,ZTF_g,P48
59200.537,16.009,0.009,ZTF_r,P48
59203.513,16.254,0.009,ZTF_r,P48
59203.548,16.855,0.01,ZTF_g,P48
59206.519,16.221,0.02,ZTF_r,P48
59215.531,16.48,0.013,ZTF_r,P48
59215.568,17.286,0.022,ZTF_g,P48
59217.487,16.395,0.008,ZTF_r,P48
59217.555,17.264,0.022,ZTF_g,P48
59219.45,17.425,0.023,ZTF_g,P48
59219.51,16.567,0.009,ZTF_r,P48
59220.66,17.454,0.013,ps_g,PAN_STARRS1
59220.66,16.477,0.009,ps_z,PAN_STARRS1
59221.517,17.488,0.014,ZTF_g,P48
59221.545,16.667,0.051,ZTF_r,P48
