MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
58814.515,20.294,0.255,3.6143284908907206e-17,8.488744882394776e-18,ZTF_g,P48,GeneralFilters
58828.545,19.739,0.217,6.025979101681436e-17,1.2043786136395557e-17,ZTF_g,P48,GeneralFilters
58828.567,19.6,0.113,3.8638249102582946e-17,4.021347109415513e-18,ZTF_r,P48,GeneralFilters
58831.457,19.64,0.199,3.7240665907082355e-17,6.8256842527972116e-18,ZTF_r,P48,GeneralFilters
58837.461,19.236,0.171,5.4027819226878014e-17,8.509209739260975e-18,ZTF_r,P48,GeneralFilters
58837.502,19.709,0.155,6.194804728698048e-17,8.843720313831655e-18,ZTF_g,P48,GeneralFilters
58841.63,19.37,0.041,3.4480099837572506e-17,1.3020511678114278e-18,ps_i,PAN_STARRS1,GeneralFilters
58841.63,19.964,0.063,4.869440100699274e-17,2.8254996471485885e-18,ps_g,PAN_STARRS1,GeneralFilters
58844.65,19.408,0.039,4.9353455165037655e-17,1.772792270351941e-18,ps_r,PAN_STARRS1,GeneralFilters
58844.65,20.271,0.208,3.670109550926991e-17,7.031015298627447e-18,ps_g,PAN_STARRS1,GeneralFilters
58846.565,19.476,0.083,4.3312917486863173e-17,3.3110917142258322e-18,ZTF_r,P48,GeneralFilters
58847.61,20.115,0.061,4.237200627412487e-17,2.3805896601720226e-18,ps_g,PAN_STARRS1,GeneralFilters
58847.61,19.36,0.04,3.4799140273282304e-17,1.2820477062762975e-18,ps_i,PAN_STARRS1,GeneralFilters
58849.502,20.227,0.116,3.844391613672294e-17,4.107346013070742e-18,ZTF_g,P48,GeneralFilters
58849.545,19.4,0.134,4.645339271192375e-17,5.7332108813526e-18,ZTF_r,P48,GeneralFilters
58850.61,19.381,0.041,3.4132532675965895e-17,1.2889261991833017e-18,ps_i,PAN_STARRS1,GeneralFilters
58850.61,20.169,0.085,4.031614773040556e-17,3.156266266213238e-18,ps_g,PAN_STARRS1,GeneralFilters
58852.545,19.513,0.071,4.186175562243595e-17,2.737483226742972e-18,ZTF_r,P48,GeneralFilters
58855.374,19.392,0.133,4.6796938072155817e-17,5.732509182544252e-18,ZTF_r,P48,GeneralFilters
58855.521,20.552,0.162,2.8498868747866274e-17,4.252245358422794e-18,ZTF_g,P48,GeneralFilters
58855.539,19.497,0.072,4.2483221131380244e-17,2.8172514723691902e-18,ZTF_r,P48,GeneralFilters
58855.54,19.469,0.072,4.3593068314805886e-17,2.8908503786748356e-18,ZTF_r,P48,GeneralFilters
58856.363,19.488,0.146,4.283684117300832e-17,5.760311559889864e-18,ZTF_r,P48,GeneralFilters
58859.369,19.682,0.253,3.582757700187871e-17,8.34859972592937e-18,ZTF_r,P48,GeneralFilters
58859.439,19.572,0.17,3.964764883257028e-17,6.207861791841448e-18,ZTF_r,P48,GeneralFilters
58860.358,19.72,0.261,3.459532684898105e-17,8.316366598086817e-18,ZTF_r,P48,GeneralFilters
58860.376,19.578,0.224,3.942915211295408e-17,8.134692418467577e-18,ZTF_r,P48,GeneralFilters
58864.327,19.735,0.179,3.412066116985662e-17,5.625305965333385e-18,ZTF_r,P48,GeneralFilters
