MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
58847.66,16.428,0.009,1.2643841061023456e-15,1.0480867180307487e-17,ps_g,PAN_STARRS1,GeneralFilters
58847.66,15.25,0.007,1.15404910583508e-15,7.440429549501081e-18,ps_z,PAN_STARRS1,GeneralFilters
58847.66,15.348,0.005,1.4007754273114992e-15,6.450809235119646e-18,ps_i,PAN_STARRS1,GeneralFilters
58847.66,15.639,0.005,1.5882452399516578e-15,7.314139627062865e-18,ps_r,PAN_STARRS1,GeneralFilters
58850.521,15.32,0.006,1.9907532714136108e-15,1.1001309135806667e-17,ZTF_r,P48,GeneralFilters
58850.543,16.243,0.01,1.508091253569264e-15,1.3890033757373165e-17,ZTF_g,P48,GeneralFilters
58853.504,16.064,0.007,1.7783925124581064e-15,1.1465720248299138e-17,ZTF_g,P48,GeneralFilters
58856.543,16.099,0.007,1.7219780895539908e-15,1.110200302251428e-17,ZTF_g,P48,GeneralFilters
58870.58,17.087,0.012,6.8909488763973885e-16,7.6161581565008e-18,ps_g,PAN_STARRS1,GeneralFilters
58870.59,15.223,0.004,1.5716958797762233e-15,5.7903416055886174e-18,ps_i,PAN_STARRS1,GeneralFilters
58872.438,17.282,0.016,5.791987570347729e-16,8.535388312505254e-18,ZTF_g,P48,GeneralFilters
58872.544,15.7,0.007,1.4028700323888476e-15,9.04463734716256e-18,ZTF_r,P48,GeneralFilters
58874.59,17.328,0.019,5.519236803465045e-16,9.65846941515565e-18,ps_g,PAN_STARRS1,GeneralFilters
58874.59,15.981,0.007,1.1590910766869334e-15,7.472936336884905e-18,ps_r,PAN_STARRS1,GeneralFilters
58875.501,15.922,0.011,1.1434506825803324e-15,1.1584726983646693e-17,ZTF_r,P48,GeneralFilters
58877.58,17.458,0.017,4.896424112055197e-16,7.66661455518852e-18,ps_g,PAN_STARRS1,GeneralFilters
58877.58,15.483,0.004,1.23699662485901e-15,4.557263981574879e-18,ps_i,PAN_STARRS1,GeneralFilters
58881.48,17.683,0.02,4.0033874296916264e-16,7.374512173670152e-18,ZTF_g,P48,GeneralFilters
58882.6,15.222,0.006,1.1841979061269645e-15,6.544119469926506e-18,ps_z,PAN_STARRS1,GeneralFilters
58882.6,17.582,0.029,4.3679637745682543e-16,1.1666825597908264e-17,ps_g,PAN_STARRS1,GeneralFilters
58884.459,17.813,0.032,3.551629226768129e-16,1.046774849714978e-17,ZTF_g,P48,GeneralFilters
58884.519,16.208,0.01,8.786530847443249e-16,8.092693979382051e-18,ZTF_r,P48,GeneralFilters
58887.439,17.742,0.037,3.791644583297648e-16,1.2921264757240496e-17,ZTF_g,P48,GeneralFilters
58887.481,16.225,0.011,8.650026502322173e-16,8.763665714430185e-18,ZTF_r,P48,GeneralFilters
58894.334,17.975,0.033,3.0593391277012546e-16,9.298593044212962e-18,ZTF_g,P48,GeneralFilters
58894.493,16.413,0.01,7.27473936135732e-16,6.700282563551342e-18,ZTF_r,P48,GeneralFilters
58898.417,18.04,0.024,2.8815596966170836e-16,6.369634945922813e-18,ZTF_g,P48,GeneralFilters
58898.46,16.512,0.014,6.640754696331139e-16,8.562905551201261e-18,ZTF_r,P48,GeneralFilters
58901.397,16.614,0.011,6.045294158396755e-16,6.124713853230863e-18,ZTF_r,P48,GeneralFilters
58908.455,16.669,0.011,5.746685606034268e-16,5.822182348654303e-18,ZTF_r,P48,GeneralFilters
58911.449,16.77,0.018,5.236214609560239e-16,8.680917386657554e-18,ZTF_r,P48,GeneralFilters
58914.404,16.62,0.016,6.01197876690147e-16,8.859579320360994e-18,ZTF_r,P48,GeneralFilters
58930.51,18.439,0.081,1.9837138609733543e-16,1.4799250686739025e-17,ps_g,PAN_STARRS1,GeneralFilters
58930.52,17.173,0.047,3.866495974922378e-16,1.6737519668678166e-17,ps_r,PAN_STARRS1,GeneralFilters
58937.42,17.308,0.019,3.4144248805032256e-16,5.975122911555963e-18,ps_r,PAN_STARRS1,GeneralFilters
58937.42,18.482,0.056,1.9066853422505607e-16,9.834283751255899e-18,ps_g,PAN_STARRS1,GeneralFilters
58941.42,18.467,0.032,1.9332099775250818e-16,5.697767009122047e-18,ps_g,PAN_STARRS1,GeneralFilters
58941.42,16.786,0.011,3.7253622947704337e-16,3.7743040218138086e-18,ps_i,PAN_STARRS1,GeneralFilters
58950.39,16.867,0.014,3.457550361873769e-16,4.458330196054958e-18,ps_i,PAN_STARRS1,GeneralFilters
58950.4,17.328,0.021,3.3521046030302977e-16,6.4835451148391895e-18,ps_r,PAN_STARRS1,GeneralFilters
58955.269,17.346,0.021,3.0804732232408696e-16,5.958163447489456e-18,ZTF_r,P48,GeneralFilters
58955.294,18.596,0.052,1.7267426703295998e-16,8.270021618846335e-18,ZTF_g,P48,GeneralFilters
