MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
58937.386,16.377,0.006,1.3329922400308573e-15,7.366387346332303e-18,ZTF_g,P48,GeneralFilters
58937.56,16.397,0.007,1.3010051865703088e-15,8.387890415813244e-18,ps_g,PAN_STARRS1,GeneralFilters
58937.56,16.946,0.013,2.420049720948832e-16,2.8976326141158087e-18,ps_z,PAN_STARRS1,GeneralFilters
58937.56,16.777,0.006,3.756371308086116e-16,2.075847498659913e-18,ps_i,PAN_STARRS1,GeneralFilters
58937.56,16.568,0.006,6.750214327197436e-16,3.730306292236708e-18,ps_r,PAN_STARRS1,GeneralFilters
58940.378,16.17,0.007,1.6129749443433502e-15,1.0399233774210116e-17,ZTF_g,P48,GeneralFilters
58940.417,16.326,0.048,7.881655313974823e-16,3.4844509505425416e-17,ZTF_r,P48,GeneralFilters
58944.44,16.156,0.009,1.63390808278187e-15,1.3543964621049654e-17,ZTF_g,P48,GeneralFilters
58951.46,16.542,0.01,4.664107102859053e-16,4.295801394868353e-18,ps_i,PAN_STARRS1,GeneralFilters
58951.46,16.238,0.009,9.14781898731825e-16,7.582907388098464e-18,ps_r,PAN_STARRS1,GeneralFilters
58954.377,16.447,0.007,1.2497628797799564e-15,8.057519054924171e-18,ZTF_g,P48,GeneralFilters
58954.458,16.357,0.01,7.659800138873874e-16,7.054936646033882e-18,ZTF_r,P48,GeneralFilters
58959.46,16.853,0.011,8.548285684920034e-16,8.660588283050559e-18,ps_g,PAN_STARRS1,GeneralFilters
58959.47,16.705,0.009,4.0139181717590667e-16,3.3272597328445233e-18,ps_i,PAN_STARRS1,GeneralFilters
58963.307,17.216,0.011,6.154993819744448e-16,6.235854687398169e-18,ZTF_g,P48,GeneralFilters
58964.48,16.748,0.009,3.85805588883212e-16,3.1980607119225772e-18,ps_i,PAN_STARRS1,GeneralFilters
58964.49,17.309,0.014,5.616671547916237e-16,7.242403939946403e-18,ps_g,PAN_STARRS1,GeneralFilters
58966.337,16.585,0.022,6.208939642712838e-16,1.2581018440857117e-17,ZTF_r,P48,GeneralFilters
58967.46,17.556,0.013,4.47382536949481e-16,5.3567090743178e-18,ps_g,PAN_STARRS1,GeneralFilters
58967.47,16.698,0.007,5.98849322291799e-16,3.860924262884306e-18,ps_r,PAN_STARRS1,GeneralFilters
58969.249,17.657,0.023,4.1004131836329976e-16,8.68622625000963e-18,ZTF_g,P48,GeneralFilters
58969.341,16.628,0.027,5.967843669686389e-16,1.4840785300829864e-17,ZTF_r,P48,GeneralFilters
58971.39,16.815,0.011,2.7303875113610345e-16,2.7662578159730926e-18,ps_z,PAN_STARRS1,GeneralFilters
58971.39,17.781,0.021,3.6364617843145166e-16,7.0335406644763e-18,ps_g,PAN_STARRS1,GeneralFilters
58972.272,17.827,0.026,3.506126822398082e-16,8.396081569616422e-18,ZTF_g,P48,GeneralFilters
58972.359,16.761,0.011,5.279799591557722e-16,5.349162646747418e-18,ZTF_r,P48,GeneralFilters
58972.45,17.815,0.024,3.5243499727752064e-16,7.790511081413901e-18,ps_g,PAN_STARRS1,GeneralFilters
