MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
58939.338,19.078,0.074,1.1077139401930717e-16,7.549792593731184e-18,ZTF_g,P48,GeneralFilters
58939.373,18.193,0.059,1.4119438889626707e-16,7.672645444051987e-18,ZTF_r,P48,GeneralFilters
58940.359,16.68,0.049,1.0083878893348469e-15,4.5509218869987615e-17,ZTF_g,P48,GeneralFilters
58941.267,16.675,0.01,1.0130423963512895e-15,9.330465281637764e-18,ZTF_g,P48,GeneralFilters
58941.373,15.961,0.006,1.103106485832627e-15,6.0959917206318105e-18,ZTF_r,P48,GeneralFilters
58944.248,16.537,0.013,1.1503437074864697e-15,1.3773574217924812e-17,ZTF_g,P48,GeneralFilters
58944.34,15.681,0.006,1.427635826641097e-15,7.889407134355237e-18,ZTF_r,P48,GeneralFilters
58950.33,15.642,0.006,1.5838628135095165e-15,8.752749368963092e-18,ps_r,PAN_STARRS1,GeneralFilters
58954.256,15.482,0.005,1.7148156488105633e-15,7.897017900368232e-18,ZTF_r,P48,GeneralFilters
58954.297,16.498,0.008,1.1924155232706786e-15,8.78604226732083e-18,ZTF_g,P48,GeneralFilters
58955.268,15.484,0.004,1.7116597492337316e-15,6.305987556581628e-18,ZTF_r,P48,GeneralFilters
58955.3,16.502,0.008,1.1880305844525049e-15,8.753732844100294e-18,ZTF_g,P48,GeneralFilters
58956.246,16.478,0.007,1.2145841829855567e-15,7.830713615000907e-18,ZTF_g,P48,GeneralFilters
58956.269,15.461,0.004,1.748305959955833e-15,6.440997186219114e-18,ZTF_r,P48,GeneralFilters
58956.44,16.571,0.008,1.1083553652385805e-15,8.166664133562646e-18,ps_g,PAN_STARRS1,GeneralFilters
58956.44,15.652,0.005,1.5693418719529668e-15,7.227086400340546e-18,ps_r,PAN_STARRS1,GeneralFilters
58958.41,15.337,0.004,1.4150393421501967e-15,5.213197592376231e-18,ps_i,PAN_STARRS1,GeneralFilters
58958.41,16.582,0.007,1.0971828938663354e-15,7.073799531973139e-18,ps_g,PAN_STARRS1,GeneralFilters
58960.29,16.631,0.007,1.0487670345879032e-15,6.7616509516238954e-18,ps_g,PAN_STARRS1,GeneralFilters
58960.3,15.636,0.004,1.5926397922302997e-15,5.867501830557783e-18,ps_r,PAN_STARRS1,GeneralFilters
58962.231,16.664,0.009,1.0233580759297612e-15,8.482928581551355e-18,ZTF_g,P48,GeneralFilters
58962.269,15.473,0.005,1.7290893588769782e-15,7.962750764409525e-18,ZTF_r,P48,GeneralFilters
58963.247,16.665,0.008,1.0224159622355804e-15,7.533439211144981e-18,ZTF_g,P48,GeneralFilters
58964.189,16.701,0.009,9.89071348098665e-16,8.198715391342239e-18,ZTF_g,P48,GeneralFilters
58964.253,15.491,0.004,1.70065976885976e-15,6.265462131249882e-18,ZTF_r,P48,GeneralFilters
58965.231,16.741,0.009,9.532956717323824e-16,7.90215985060821e-18,ZTF_g,P48,GeneralFilters
58965.287,15.489,0.004,1.7037953870498097e-15,6.277014175572661e-18,ZTF_r,P48,GeneralFilters
58966.207,15.458,0.01,1.7531433879215045e-15,1.614704732363654e-17,ZTF_r,P48,GeneralFilters
58966.253,16.776,0.017,9.230550894081582e-16,1.445280764440788e-17,ZTF_g,P48,GeneralFilters
58967.24,16.847,0.01,8.646246665366113e-16,7.963487472808581e-18,ZTF_g,P48,GeneralFilters
58967.25,15.278,0.004,1.4940616374851035e-15,5.504326487179959e-18,ps_i,PAN_STARRS1,GeneralFilters
58967.25,16.808,0.008,8.910027160825443e-16,6.5651506299803955e-18,ps_g,PAN_STARRS1,GeneralFilters
58967.339,15.518,0.005,1.6588894228540535e-15,7.63946811197848e-18,ZTF_r,P48,GeneralFilters
58968.203,15.469,0.004,1.7354713082552706e-15,6.393712581931938e-18,ZTF_r,P48,GeneralFilters
58968.273,16.842,0.009,8.686155926668729e-16,7.200220734780947e-18,ZTF_g,P48,GeneralFilters
58969.232,16.87,0.011,8.465012839873532e-16,8.576221445922218e-18,ZTF_g,P48,GeneralFilters
58969.297,15.557,0.012,1.6003590793264396e-15,1.768782220557473e-17,ZTF_r,P48,GeneralFilters
58970.192,15.54,0.005,1.625614027160805e-15,7.48622925180496e-18,ZTF_r,P48,GeneralFilters
58970.3,16.898,0.01,8.201230684490913e-16,7.553612607325654e-18,ps_g,PAN_STARRS1,GeneralFilters
58970.31,15.281,0.004,1.4899390907513899e-15,5.489138463733195e-18,ps_i,PAN_STARRS1,GeneralFilters
58971.212,15.535,0.005,1.6331175205837924e-15,7.520784116007274e-18,ZTF_r,P48,GeneralFilters
58971.275,17.017,0.014,7.393117714944763e-16,9.53303827906193e-18,ZTF_g,P48,GeneralFilters
58975.203,15.594,0.006,1.5467404315867094e-15,8.547603505206543e-18,ZTF_r,P48,GeneralFilters
58975.25,17.084,0.023,6.950685226396276e-16,1.472418065332246e-17,ZTF_g,P48,GeneralFilters
58976.209,17.016,0.019,7.399930164768747e-16,1.2949616353811028e-17,ZTF_g,P48,GeneralFilters
58976.25,15.6,0.006,1.538216402537052e-15,8.500497979873788e-18,ZTF_r,P48,GeneralFilters
58977.171,17.12,0.022,6.723998706015111e-16,1.3624669683487851e-17,ZTF_g,P48,GeneralFilters
58977.231,15.766,0.063,1.3201322419438051e-15,7.660086389123149e-17,ZTF_r,P48,GeneralFilters
58978.182,17.076,0.012,7.002088913415869e-16,7.738994664888109e-18,ZTF_g,P48,GeneralFilters
58978.248,15.536,0.005,1.6316140562377955e-15,7.51386040682538e-18,ZTF_r,P48,GeneralFilters
58980.19,17.2,0.011,6.246368782639838e-16,6.328430083469937e-18,ZTF_g,P48,GeneralFilters
58980.37,15.3,0.004,1.4640924957855373e-15,5.393916088896352e-18,ps_i,PAN_STARRS1,GeneralFilters
58980.37,15.792,0.004,1.379486842052188e-15,5.08221734158527e-18,ps_r,PAN_STARRS1,GeneralFilters
58981.2,17.252,0.013,5.954257620863426e-16,7.129296115576071e-18,ZTF_g,P48,GeneralFilters
58981.249,15.654,0.005,1.4635832753543094e-15,6.740050064372452e-18,ZTF_r,P48,GeneralFilters
58985.168,17.318,0.013,5.603090293942966e-16,6.708827936477005e-18,ZTF_g,P48,GeneralFilters
58985.37,17.257,0.011,5.892221004397499e-16,5.969629709714918e-18,ps_g,PAN_STARRS1,GeneralFilters
58985.38,15.302,0.003,1.461398020206721e-15,4.037991955510809e-18,ps_i,PAN_STARRS1,GeneralFilters
58986.191,17.269,0.012,5.861754441698634e-16,6.478650430198516e-18,ZTF_g,P48,GeneralFilters
58989.26,17.335,0.009,5.483767431386503e-16,4.545662810744443e-18,ps_g,PAN_STARRS1,GeneralFilters
58989.26,15.846,0.004,1.3125551562633772e-15,4.835631898471236e-18,ps_r,PAN_STARRS1,GeneralFilters
58991.17,17.382,0.013,5.282355445571818e-16,6.324797910532186e-18,ZTF_g,P48,GeneralFilters
58991.227,15.618,0.005,1.512925134935766e-15,6.9672777250382e-18,ZTF_r,P48,GeneralFilters
58992.193,17.418,0.013,5.110079081965886e-16,6.118523797440781e-18,ZTF_g,P48,GeneralFilters
58992.221,15.687,0.005,1.4197681786439883e-15,6.53827408730591e-18,ZTF_r,P48,GeneralFilters
58994.222,17.467,0.014,4.884584434612898e-16,6.298415930581829e-18,ZTF_g,P48,GeneralFilters
58995.201,17.45,0.014,4.961667088551166e-16,6.397809977718354e-18,ZTF_g,P48,GeneralFilters
58995.246,15.665,0.005,1.4488300267504412e-15,6.672108843755461e-18,ZTF_r,P48,GeneralFilters
58995.36,17.428,0.008,5.033603789732174e-16,3.7088963360882044e-18,ps_g,PAN_STARRS1,GeneralFilters
58995.36,15.88,0.004,1.272089190981226e-15,4.686549772979563e-18,ps_r,PAN_STARRS1,GeneralFilters
58996.248,15.672,0.005,1.4395191214337655e-15,6.629230540186549e-18,ZTF_r,P48,GeneralFilters
58997.204,17.488,0.014,4.7910159996379e-16,6.177764331794818e-18,ZTF_g,P48,GeneralFilters
58998.193,17.529,0.016,4.613469153565452e-16,6.7986593919920934e-18,ZTF_g,P48,GeneralFilters
58998.232,15.665,0.005,1.4488300267504412e-15,6.672108843755461e-18,ZTF_r,P48,GeneralFilters
58999.231,17.739,0.069,3.8021357718900575e-16,2.4163085573705897e-17,ZTF_g,P48,GeneralFilters
58999.286,15.816,0.008,1.260716503624189e-15,9.289302488757222e-18,ZTF_r,P48,GeneralFilters
59005.186,17.689,0.036,3.9813249103116266e-16,1.3200968719943121e-17,ZTF_g,P48,GeneralFilters
59005.34,15.923,0.005,1.2226933844627973e-15,5.6307111207329495e-18,ps_r,PAN_STARRS1,GeneralFilters
59005.34,15.091,0.005,1.3360548528735456e-15,6.152759975297947e-18,ps_z,PAN_STARRS1,GeneralFilters
59008.29,15.394,0.005,1.3426676173286176e-15,6.183212881013419e-18,ps_i,PAN_STARRS1,GeneralFilters
59008.29,15.971,0.007,1.1698160143720202e-15,7.542082565468407e-18,ps_r,PAN_STARRS1,GeneralFilters
59009.232,17.89,0.028,3.3084732012303536e-16,8.5322060025701e-18,ZTF_g,P48,GeneralFilters
59013.28,15.415,0.004,1.316947659095366e-15,4.851814476938221e-18,ps_i,PAN_STARRS1,GeneralFilters
59013.28,17.717,0.018,3.857261015077629e-16,6.3948036334354646e-18,ps_g,PAN_STARRS1,GeneralFilters
59014.2,17.786,0.017,3.641058202347964e-16,5.701015510826082e-18,ZTF_g,P48,GeneralFilters
59014.229,15.827,0.005,1.248008197708039e-15,5.747290143953794e-18,ZTF_r,P48,GeneralFilters
59016.27,17.777,0.015,3.649883713553985e-16,5.042500697994683e-18,ps_g,PAN_STARRS1,GeneralFilters
59017.236,15.815,0.005,1.2618782013347296e-15,5.8111638711349645e-18,ZTF_r,P48,GeneralFilters
59020.198,17.921,0.021,3.215345314747635e-16,6.219029200075569e-18,ZTF_g,P48,GeneralFilters
59020.237,15.798,0.005,1.2817916498599417e-15,5.902868690583492e-18,ZTF_r,P48,GeneralFilters
59020.28,15.434,0.004,1.294102018661367e-15,4.767648027173057e-18,ps_i,PAN_STARRS1,GeneralFilters
59020.29,17.908,0.022,3.2350353295012683e-16,6.5550708300164565e-18,ps_g,PAN_STARRS1,GeneralFilters
59023.215,17.93,0.02,3.1888024952279306e-16,5.873991272011227e-18,ZTF_g,P48,GeneralFilters
59026.217,18.032,0.051,2.902870227586126e-16,1.363557565438951e-17,ZTF_g,P48,GeneralFilters
59032.197,18.214,0.057,2.454865040484763e-16,1.2887781276373961e-17,ZTF_g,P48,GeneralFilters
59032.215,15.984,0.007,1.0799842900301484e-15,6.962916035295298e-18,ZTF_r,P48,GeneralFilters
59032.28,16.176,0.006,9.685400020845099e-16,5.352349849843715e-18,ps_r,PAN_STARRS1,GeneralFilters
59032.29,15.223,0.004,1.1831077216742049e-15,4.358729925333067e-18,ps_z,PAN_STARRS1,GeneralFilters
59037.235,18.41,0.09,2.0494041966328543e-16,1.698813918967046e-17,ZTF_g,P48,GeneralFilters
59037.28,16.271,0.006,8.873961954126318e-16,4.903932602728208e-18,ps_r,PAN_STARRS1,GeneralFilters
59037.28,15.66,0.004,1.0509172353680985e-15,3.871722176206559e-18,ps_i,PAN_STARRS1,GeneralFilters
59039.28,15.356,0.006,1.0467049761027835e-15,5.784305459368702e-18,ps_z,PAN_STARRS1,GeneralFilters
59039.29,16.32,0.006,8.482376835897614e-16,4.687534669319005e-18,ps_r,PAN_STARRS1,GeneralFilters
59041.28,15.755,0.004,9.628719044666157e-16,3.547351189900186e-18,ps_i,PAN_STARRS1,GeneralFilters
59041.28,16.378,0.005,8.041138869745838e-16,3.7030812984343434e-18,ps_r,PAN_STARRS1,GeneralFilters
59043.27,18.507,0.033,1.8632838850981102e-16,5.66328800115268e-18,ps_g,PAN_STARRS1,GeneralFilters
59043.27,15.448,0.005,9.616660600861756e-16,4.42863586878548e-18,ps_z,PAN_STARRS1,GeneralFilters
59047.27,18.807,0.062,1.4134453711486858e-16,8.071354038593619e-18,ps_g,PAN_STARRS1,GeneralFilters
59047.28,16.028,0.006,7.488046189597934e-16,4.138047247636569e-18,ps_i,PAN_STARRS1,GeneralFilters
59051.27,19.268,0.051,9.244406365066689e-17,4.342350587115494e-18,ps_g,PAN_STARRS1,GeneralFilters
59051.27,17.096,0.01,4.1506638483904937e-16,3.8229026813333e-18,ps_r,PAN_STARRS1,GeneralFilters
59058.27,17.316,0.026,2.2864858320036263e-16,5.475421319798172e-18,ps_i,PAN_STARRS1,GeneralFilters
59061.27,16.851,0.016,2.64133988165512e-16,3.892422295699024e-18,ps_z,PAN_STARRS1,GeneralFilters
59061.27,18.299,0.043,1.3706215706712849e-16,5.4282732104337e-18,ps_r,PAN_STARRS1,GeneralFilters
59065.26,18.33,0.035,1.332040907543419e-16,4.293992551754822e-18,ps_r,PAN_STARRS1,GeneralFilters
59065.27,17.514,0.019,1.9053225814985508e-16,3.334247203862651e-18,ps_i,PAN_STARRS1,GeneralFilters
59068.26,17.596,0.021,1.7667232104855916e-16,3.4171456434449935e-18,ps_i,PAN_STARRS1,GeneralFilters
59068.26,18.358,0.037,1.298128134100423e-16,4.423794725756199e-18,ps_r,PAN_STARRS1,GeneralFilters
