MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
58855.459,16.996,0.016,7.537505138035328e-16,1.110767806029193e-17,ZTF_g,P48,GeneralFilters
58855.542,17.288,0.019,3.249506709893087e-16,5.6865219394358016e-18,ZTF_r,P48,GeneralFilters
58856.542,16.115,0.007,1.696788144881344e-15,1.0939597447443853e-17,ZTF_g,P48,GeneralFilters
58859.475,14.723,0.004,3.449986836980934e-15,1.2710221218972767e-17,ZTF_r,P48,GeneralFilters
58859.529,14.888,0.004,5.2532445809761035e-15,1.935366825921169e-17,ZTF_g,P48,GeneralFilters
58860.388,14.501,0.004,4.232699511635052e-15,1.559384127778248e-17,ZTF_r,P48,GeneralFilters
58861.479,14.333,0.003,8.758457384481376e-15,2.4200512093356527e-17,ZTF_g,P48,GeneralFilters
58862.373,14.063,0.003,6.336033110162569e-15,1.7507106465812438e-17,ZTF_r,P48,GeneralFilters
58862.48,14.15,0.003,1.0366391850695763e-14,2.864339921225643e-17,ZTF_g,P48,GeneralFilters
58866.85,14.26,0.002,9.36758454028039e-15,1.725572841584885e-17,ZTF_g,P48,GeneralFilters
58867.162,13.834,0.002,7.823794560138975e-15,1.441196217985913e-17,ZTF_r,P48,GeneralFilters
58871.461,15.076,0.004,4.418019426623077e-15,1.627658507568064e-17,ZTF_g,P48,GeneralFilters
58871.502,14.186,0.003,5.657407190139719e-15,1.5631993753215658e-17,ZTF_r,P48,GeneralFilters
58873.396,15.373,0.004,3.360683557760861e-15,1.2381215779792538e-17,ZTF_g,P48,GeneralFilters
58873.515,14.404,0.003,4.628256695448998e-15,1.2788345848188873e-17,ZTF_r,P48,GeneralFilters
58875.456,15.741,0.006,2.394570463041379e-15,1.3232885405575032e-17,ZTF_g,P48,GeneralFilters
58875.803,14.714,0.004,3.478703691692508e-15,1.2816018021495239e-17,ZTF_r,P48,GeneralFilters
58876.395,15.821,0.006,2.2244754709415093e-15,1.229290574188999e-17,ZTF_g,P48,GeneralFilters
58876.951,15.883,0.007,2.101007589372331e-15,1.354569651555701e-17,ZTF_g,P48,GeneralFilters
58878.067,15.047,0.005,2.5598672140029844e-15,1.1788624174014942e-17,ZTF_r,P48,GeneralFilters
58878.167,16.058,0.007,1.7882474778666687e-15,1.1529257558335952e-17,ZTF_g,P48,GeneralFilters
58878.521,16.08,0.008,1.7523773097869314e-15,1.2911993186612473e-17,ZTF_g,P48,GeneralFilters
58879.527,15.198,0.006,2.227498591410637e-15,1.2309612122993684e-17,ZTF_r,P48,GeneralFilters
58880.461,16.214,0.008,1.5489151270015275e-15,1.141282842158943e-17,ZTF_g,P48,GeneralFilters
58880.925,15.335,0.005,1.963439112548465e-15,9.041971263111108e-18,ZTF_r,P48,GeneralFilters
58881.468,16.31,0.008,1.4178412951618531e-15,1.044704073750735e-17,ZTF_g,P48,GeneralFilters
58881.538,15.344,0.005,1.9472308347739844e-15,8.967329385537859e-18,ZTF_r,P48,GeneralFilters
