MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
59088.427,20.867,0.264,1.2028665226716504e-17,2.9248058653073847e-18,ZTF_r,P48,GeneralFilters
59089.446,20.367,0.192,1.9064149632216674e-17,3.3712762946880034e-18,ZTF_r,P48,GeneralFilters
59089.465,20.617,0.245,1.5143192323878242e-17,3.4171119127197827e-18,ZTF_r,P48,GeneralFilters
59089.489,21.092,0.263,1.7331159582425697e-17,4.198160612313163e-18,ZTF_g,P48,GeneralFilters
59090.393,20.675,0.213,2.5446474499387568e-17,4.992095726951437e-18,ZTF_g,P48,GeneralFilters
59090.476,19.925,0.092,2.864292976568073e-17,2.4270624180112535e-18,ZTF_r,P48,GeneralFilters
59090.477,19.734,0.075,3.415210193695138e-17,2.35914362443312e-18,ZTF_r,P48,GeneralFilters
59091.39,20.257,0.226,3.739621269311167e-17,7.784159754096068e-18,ZTF_g,P48,GeneralFilters
59091.393,20.43,0.253,3.188802495227924e-17,7.430598959094203e-18,ZTF_g,P48,GeneralFilters
59091.478,19.592,0.06,3.8923997686954556e-17,2.1510196040091865e-18,ZTF_r,P48,GeneralFilters
59091.478,19.613,0.072,3.8178374882129853e-17,2.5317779580959185e-18,ZTF_r,P48,GeneralFilters
59092.369,20.069,0.241,4.446595469800294e-17,9.870072523376884e-18,ZTF_g,P48,GeneralFilters
59092.383,20.166,0.222,4.066564089232406e-17,8.314885548195445e-18,ZTF_g,P48,GeneralFilters
59093.386,19.442,0.137,4.469072890741312e-17,5.639150498513155e-18,ZTF_r,P48,GeneralFilters
59093.468,19.704,0.15,6.223398648141314e-17,8.597942972981691e-18,ZTF_g,P48,GeneralFilters
59093.468,20.116,0.224,4.258215350313854e-17,8.785193256798426e-18,ZTF_g,P48,GeneralFilters
59093.478,20.41,0.246,3.248086759844649e-17,7.359332215506107e-18,ZTF_g,P48,GeneralFilters
59093.479,19.921,0.189,5.095978900755265e-17,8.870847338624992e-18,ZTF_g,P48,GeneralFilters
59093.492,19.351,0.081,4.859789272991878e-17,3.625585380567037e-18,ZTF_r,P48,GeneralFilters
59094.366,19.033,0.116,6.513545302716085e-17,6.959068434891007e-18,ZTF_r,P48,GeneralFilters
59094.371,18.949,0.093,7.037484285232834e-17,6.028039183536799e-18,ZTF_r,P48,GeneralFilters
59095.409,18.898,0.078,7.37594106674697e-17,5.298924367493372e-18,ZTF_r,P48,GeneralFilters
59095.409,18.797,0.066,8.095010903839106e-17,4.920815178788306e-18,ZTF_r,P48,GeneralFilters
59096.35,18.723,0.06,8.665975124699086e-17,4.788994833213431e-18,ZTF_r,P48,GeneralFilters
59096.351,18.695,0.063,8.892368223613137e-17,5.159809497302589e-18,ZTF_r,P48,GeneralFilters
59096.469,19.558,0.109,7.119141436629266e-17,7.147099020847862e-18,ZTF_g,P48,GeneralFilters
59096.469,19.944,0.215,4.9891621759314374e-17,9.87965458943334e-18,ZTF_g,P48,GeneralFilters
59097.424,19.959,0.221,4.920708304608346e-17,1.0016029036820255e-17,ZTF_g,P48,GeneralFilters
59097.435,19.613,0.151,6.767489976376842e-17,9.411963808101534e-18,ZTF_g,P48,GeneralFilters
59097.477,18.751,0.121,8.445345826152579e-17,9.411925663767552e-18,ZTF_r,P48,GeneralFilters
59097.477,18.571,0.074,9.968215953823097e-17,6.793988975869472e-18,ZTF_r,P48,GeneralFilters
59106.384,18.008,0.025,1.6742389376975407e-16,3.855077620052545e-18,ZTF_r,P48,GeneralFilters
59106.412,19.033,0.057,1.1545895466451678e-16,6.06147274728077e-18,ZTF_g,P48,GeneralFilters
59106.497,19.025,0.055,1.163128296100615e-16,5.89204412684985e-18,ZTF_g,P48,GeneralFilters
59106.5,19.066,0.059,1.1200247538528134e-16,6.0863274327337075e-18,ZTF_g,P48,GeneralFilters
59107.393,18.999,0.049,1.191317773597275e-16,5.376496671147725e-18,ZTF_g,P48,GeneralFilters
59107.395,18.994,0.046,1.196816646595124e-16,5.0706207918745835e-18,ZTF_g,P48,GeneralFilters
59107.404,18.988,0.044,1.2034488082635735e-16,4.8770361835169106e-18,ZTF_g,P48,GeneralFilters
59107.431,18.005,0.024,1.678871427916037e-16,3.711114550054171e-18,ZTF_r,P48,GeneralFilters
59109.368,18.955,0.079,1.240588129114076e-16,9.026728755153266e-18,ZTF_g,P48,GeneralFilters
59109.401,17.916,0.025,1.8222897739741556e-16,4.195977268668381e-18,ZTF_r,P48,GeneralFilters
59109.401,17.961,0.026,1.7483059599558365e-16,4.186648171042425e-18,ZTF_r,P48,GeneralFilters
59109.429,17.901,0.021,1.8476403499439175e-16,3.573653266675941e-18,ZTF_r,P48,GeneralFilters
59110.449,17.914,0.023,1.825649649398652e-16,3.867416574316323e-18,ZTF_r,P48,GeneralFilters
59110.451,18.082,0.024,1.5639304592123705e-16,3.457039643387261e-18,ZTF_r,P48,GeneralFilters
59110.464,17.871,0.025,1.8994043928184502e-16,4.37354024047117e-18,ZTF_r,P48,GeneralFilters
59110.507,18.896,0.035,1.3098682675580422e-16,4.222516405331119e-18,ZTF_g,P48,GeneralFilters
59112.391,17.804,0.017,2.0203073232350425e-16,3.1633120775084384e-18,ZTF_r,P48,GeneralFilters
59112.391,17.825,0.018,1.981606590975384e-16,3.2852288135222412e-18,ZTF_r,P48,GeneralFilters
59112.504,18.826,0.031,1.397100413500007e-16,3.989008806070757e-18,ZTF_g,P48,GeneralFilters
59112.528,18.888,0.065,1.3195553784355062e-16,7.899810213790856e-18,ZTF_g,P48,GeneralFilters
59113.41,18.883,0.038,1.3256461693230977e-16,4.639667924263388e-18,ZTF_g,P48,GeneralFilters
59113.427,17.809,0.017,2.0110248542631165e-16,3.1487779787254083e-18,ZTF_r,P48,GeneralFilters
59114.413,17.745,0.016,2.1331305622846013e-16,3.1434973658409796e-18,ZTF_r,P48,GeneralFilters
59114.414,17.772,0.018,2.0807381888696058e-16,3.449575250002501e-18,ZTF_r,P48,GeneralFilters
59115.346,17.706,0.018,2.2111460940565868e-16,3.665773464916829e-18,ZTF_r,P48,GeneralFilters
59115.346,17.767,0.019,2.0903424399736744e-16,3.6580254195675e-18,ZTF_r,P48,GeneralFilters
59115.407,17.689,0.016,2.246039750099739e-16,3.3098864939851013e-18,ZTF_r,P48,GeneralFilters
59115.435,18.75,0.029,1.498399506013214e-16,4.002223144438976e-18,ZTF_g,P48,GeneralFilters
59116.351,17.647,0.015,2.334626646482541e-16,3.2254059083384272e-18,ZTF_r,P48,GeneralFilters
59116.374,17.685,0.016,2.254329727661148e-16,3.3221030563877674e-18,ZTF_r,P48,GeneralFilters
59116.43,17.682,0.016,2.2605672844265074e-16,3.3312950597315184e-18,ZTF_r,P48,GeneralFilters
59116.509,18.822,0.032,1.4022570146146767e-16,4.132884605949546e-18,ZTF_g,P48,GeneralFilters
59116.528,18.853,0.051,1.3627858676130668e-16,6.401378064365963e-18,ZTF_g,P48,GeneralFilters
59117.391,17.666,0.015,2.2941269041087167e-16,3.1694534465023808e-18,ZTF_r,P48,GeneralFilters
59117.392,17.677,0.015,2.2710015889216156e-16,3.1375046428900225e-18,ZTF_r,P48,GeneralFilters
59118.296,17.659,0.02,2.3089654693424453e-16,4.253271575956724e-18,ZTF_r,P48,GeneralFilters
59118.333,17.649,0.017,2.330330063785262e-16,3.648732621306911e-18,ZTF_r,P48,GeneralFilters
59118.46,18.743,0.034,1.508091253569264e-16,4.722611477506876e-18,ZTF_g,P48,GeneralFilters
59118.466,18.836,0.032,1.384291719918703e-16,4.0799353326590646e-18,ZTF_g,P48,GeneralFilters
59118.469,18.83,0.033,1.3919627750539396e-16,4.230748811311202e-18,ZTF_g,P48,GeneralFilters
59119.346,18.731,0.053,1.524851745363142e-16,7.443533903546141e-18,ZTF_g,P48,GeneralFilters
59119.348,18.795,0.046,1.4375654323322375e-16,6.0906147918328215e-18,ZTF_g,P48,GeneralFilters
59119.467,17.615,0.015,2.404459343497446e-16,3.321883344628482e-18,ZTF_r,P48,GeneralFilters
59120.292,18.765,0.07,1.4778406940607716e-16,9.527991065500061e-18,ZTF_g,P48,GeneralFilters
59120.309,18.831,0.066,1.390681320181966e-16,8.453707883164565e-18,ZTF_g,P48,GeneralFilters
59121.303,18.683,0.059,1.59377724226397e-16,8.66074621823282e-18,ZTF_g,P48,GeneralFilters
59121.313,18.807,0.06,1.4217643528469465e-16,7.85696017107768e-18,ZTF_g,P48,GeneralFilters
59121.461,17.637,0.019,2.3562286808740333e-16,4.123316947561836e-18,ZTF_r,P48,GeneralFilters
59121.497,18.743,0.032,1.508091253569264e-16,4.444810802359412e-18,ZTF_g,P48,GeneralFilters
59122.309,18.721,0.084,1.5389610248468225e-16,1.1906458080757407e-17,ZTF_g,P48,GeneralFilters
59122.309,18.923,0.09,1.2776962530495378e-16,1.059121564432637e-17,ZTF_g,P48,GeneralFilters
