#MJD,band,Flux,Flux_err,FilterSet,Instr
58814.515,ZTF_g,5.71842554332225e-17,1.3430504639679135e-17,GeneralFilters,P48
58828.545,ZTF_g,9.534029047284806e-17,1.9055128623270747e-17,GeneralFilters,P48
58828.567,ZTF_r,5.334997886587659e-17,5.552497545374791e-18,GeneralFilters,P48
58831.457,ZTF_r,5.1420258040657404e-17,9.424601763529046e-18,GeneralFilters,P48
58837.461,ZTF_r,7.459921401383214e-17,1.1749139008592829e-17,GeneralFilters,P48
58837.502,ZTF_g,9.801137247420005e-17,1.399213056258473e-17,GeneralFilters,P48
58841.63,ps_i,4.4900037185969153e-17,1.6955329633083677e-18,GeneralFilters,PAN_STARRS1
58841.63,ps_g,7.65133624534346e-17,4.439698900563246e-18,GeneralFilters,PAN_STARRS1
58844.65,ps_r,6.905108650259582e-17,2.4803376380003385e-18,GeneralFilters,PAN_STARRS1
58844.65,ps_g,5.766831843224911e-17,1.104781270196282e-17,GeneralFilters,PAN_STARRS1
58846.565,ZTF_r,5.980455342085194e-17,4.571808430240657e-18,GeneralFilters,P48
58847.61,ps_g,6.657900306578884e-17,3.740613207162842e-18,GeneralFilters,PAN_STARRS1
58847.61,ps_i,4.5315492114889865e-17,1.6694844260069547e-18,GeneralFilters,PAN_STARRS1
58849.502,ZTF_g,6.082420913750357e-17,6.498455360546995e-18,GeneralFilters,P48
58849.545,ZTF_r,6.414078217803417e-17,7.916163036832013e-18,GeneralFilters,P48
58850.61,ps_i,4.4447434712244495e-17,1.6784416096799372e-18,GeneralFilters,PAN_STARRS1
58850.61,ps_g,6.334863886260258e-17,4.9594314712207295e-18,GeneralFilters,PAN_STARRS1
58852.545,ZTF_r,5.780085354841173e-17,3.779795298298498e-18,GeneralFilters,P48
58855.374,ZTF_r,6.461513435841353e-17,7.91519416227209e-18,GeneralFilters,P48
58855.521,ZTF_g,4.508960915266018e-17,6.7277084900730396e-18,GeneralFilters,P48
58855.539,ZTF_r,5.865894553078971e-17,3.889935750238447e-18,GeneralFilters,P48
58855.54,ZTF_r,6.019137324569238e-17,3.991557852356302e-18,GeneralFilters,P48
58856.363,ZTF_r,5.91472083839361e-17,7.953582450516505e-18,GeneralFilters,P48
58859.369,ZTF_r,4.9469127619916363e-17,1.1527375833089195e-17,GeneralFilters,P48
58859.439,ZTF_r,5.474371319682601e-17,8.571539940066388e-18,GeneralFilters,P48
58860.358,ZTF_r,4.776769131932146e-17,1.1482869761278959e-17,GeneralFilters,P48
58860.376,ZTF_r,5.444202262738951e-17,1.1232022120190741e-17,GeneralFilters,P48
58864.327,ZTF_r,4.7112294024210784e-17,7.767172719650058e-18,GeneralFilters,P48
58864.338,ZTF_r,5.514856949628456e-17,7.415881602890098e-18,GeneralFilters,P48
58864.46,ZTF_g,4.1464503623264746e-17,1.0044027642375603e-17,GeneralFilters,P48
58864.482,ZTF_r,5.4945768460544965e-17,5.6679753706398145e-18,GeneralFilters,P48
58866.355,ZTF_r,4.570189958087707e-17,5.261625634821919e-18,GeneralFilters,P48
58866.505,ZTF_r,4.4211398392382237e-17,4.1127404779003e-18,GeneralFilters,P48
58866.57,ps_z,2.4290090394108867e-17,1.9016200016643997e-18,GeneralFilters,PAN_STARRS1
58866.57,ps_g,4.3225227517160613e-17,6.05140968295521e-18,GeneralFilters,PAN_STARRS1
58867.356,ZTF_r,5.849708859113353e-17,6.5192149699972e-18,GeneralFilters,P48
58867.422,ZTF_g,2.884539369325402e-17,7.173249140120168e-18,GeneralFilters,P48
58867.439,ZTF_g,3.6549081786295564e-17,5.9246789102156035e-18,GeneralFilters,P48
58867.465,ZTF_r,4.462048142499782e-17,5.21931673286802e-18,GeneralFilters,P48
58867.466,ZTF_r,4.663739150397714e-17,3.951825498277206e-18,GeneralFilters,P48
58871.44,ZTF_g,2.868642780035512e-17,7.028032924990593e-18,GeneralFilters,P48
58871.441,ZTF_g,3.8732583941528624e-17,6.956435490958543e-18,GeneralFilters,P48
58871.484,ZTF_r,4.825410353625171e-17,4.53325452271726e-18,GeneralFilters,P48
58871.485,ZTF_r,4.2494649522584125e-17,5.479462605271691e-18,GeneralFilters,P48
58871.504,ZTF_r,4.15273532049413e-17,5.0869980682716475e-18,GeneralFilters,P48
