#MJD,band,Flux,Flux_err,FilterSet,Instr
58847.66,ps_g,1.4512892768420225e-15,1.2030181396122757e-17,GeneralFilters,PAN_STARRS1
58847.66,ps_z,1.2258329695006953e-15,7.903237221804175e-18,GeneralFilters,PAN_STARRS1
58847.66,ps_i,1.5149206712351476e-15,6.976467509309171e-18,GeneralFilters,PAN_STARRS1
58847.66,ps_r,1.7599234951620192e-15,8.104747209540075e-18,GeneralFilters,PAN_STARRS1
58850.521,ZTF_r,2.196682202781829e-15,1.2139314466009835e-17,GeneralFilters,P48
58850.543,ZTF_g,1.7347633146900924e-15,1.5977760593113385e-17,GeneralFilters,P48
58853.504,ZTF_g,2.0456919184633234e-15,1.3189063205673712e-17,GeneralFilters,P48
58856.543,ZTF_g,1.9807981853806275e-15,1.2770677846883851e-17,GeneralFilters,P48
58870.58,ps_g,7.909590260835342e-16,8.74200222061935e-18,GeneralFilters,PAN_STARRS1
58870.59,ps_i,1.6997689499293561e-15,6.2621802330263516e-18,GeneralFilters,PAN_STARRS1
58872.438,ZTF_g,6.662546137310892e-16,9.818290826980542e-18,GeneralFilters,P48
58872.544,ZTF_r,1.5479867230238424e-15,9.980239227244708e-18,GeneralFilters,P48
58874.59,ps_g,6.33510746501925e-16,1.1086214248716132e-17,GeneralFilters,PAN_STARRS1
58874.59,ps_r,1.284380754042786e-15,8.280708738364642e-18,GeneralFilters,PAN_STARRS1
58875.501,ZTF_r,1.26173233029493e-15,1.2783082642377276e-17,GeneralFilters,P48
58877.58,ps_g,5.620228674498399e-16,8.799917240280017e-18,GeneralFilters,PAN_STARRS1
58877.58,ps_i,1.337795995496358e-15,4.928622586715262e-18,GeneralFilters,PAN_STARRS1
58881.48,ZTF_g,4.605112343887435e-16,8.482930427678467e-18,GeneralFilters,P48
58882.6,ps_z,1.2578570776619691e-15,6.95117509473961e-18,GeneralFilters,PAN_STARRS1
58882.6,ps_g,5.013649694796296e-16,1.3391451856529208e-17,GeneralFilters,PAN_STARRS1
58884.459,ZTF_g,4.085453101989969e-16,1.2041092365783535e-17,GeneralFilters,P48
58884.519,ZTF_r,9.695433489387943e-16,8.929824249111952e-18,GeneralFilters,P48
58887.439,ZTF_g,4.3615437128759026e-16,1.4863381792850707e-17,GeneralFilters,P48
58887.481,ZTF_r,9.544808763644339e-16,9.670203124844389e-18,GeneralFilters,P48
58894.334,ZTF_g,3.519169860160171e-16,1.0696208238828735e-17,GeneralFilters,P48
58894.493,ZTF_r,8.027258181332865e-16,7.393378010380605e-18,GeneralFilters,P48
58898.417,ZTF_g,3.3146694796816173e-16,7.327016190832518e-18,GeneralFilters,P48
58898.46,ZTF_r,7.327692418715433e-16,9.448675784452579e-18,GeneralFilters,P48
58901.397,ZTF_r,6.670635823645501e-16,6.758270907659989e-18,GeneralFilters,P48
58908.455,ZTF_r,6.341138390692727e-16,6.424444721649385e-18,GeneralFilters,P48
58911.449,ZTF_r,5.777862886343284e-16,9.578895085049472e-18,GeneralFilters,P48
58914.404,ZTF_r,6.633874197467468e-16,9.776038294967318e-18,GeneralFilters,P48
58930.51,ps_g,2.276952581781726e-16,1.6986921714138303e-17,GeneralFilters,PAN_STARRS1
58930.52,ps_r,4.2844372764639226e-16,1.8546729040749214e-17,GeneralFilters,PAN_STARRS1
58937.42,ps_r,3.783500443449337e-16,6.62099210752132e-18,GeneralFilters,PAN_STARRS1
58937.42,ps_g,2.188537469084662e-16,1.1288018003972083e-17,GeneralFilters,PAN_STARRS1
