#MJD,band,Flux,Flux_err,FilterSet,Instr
58937.386,ZTF_g,1.537315937364445e-15,8.495521825434094e-18,GeneralFilters,P48
58937.56,ps_g,1.4971207158548874e-15,9.652293959672106e-18,GeneralFilters,PAN_STARRS1
58937.56,ps_z,2.57504676604526e-16,3.0832174345743323e-18,GeneralFilters,PAN_STARRS1
58937.56,ps_i,4.0704267356269387e-16,2.2494009416589617e-18,GeneralFilters,PAN_STARRS1
58937.56,ps_r,7.493317881529553e-16,4.140960492258153e-18,GeneralFilters,PAN_STARRS1
58940.378,ZTF_g,1.86021494652599e-15,1.1993248975779289e-17,GeneralFilters,P48
58940.417,ZTF_r,8.712521282315274e-16,3.8517737523940846e-17,GeneralFilters,P48
58944.44,ZTF_g,1.8843567579890846e-15,1.5620010410981716e-17,GeneralFilters,P48
58951.46,ps_i,5.054054749177037e-16,4.654956449852314e-18,GeneralFilters,PAN_STARRS1
58951.46,ps_r,1.0154865056429559e-15,8.417678724108285e-18,GeneralFilters,PAN_STARRS1
58954.377,ZTF_g,1.4413290155145512e-15,9.292591574626035e-18,GeneralFilters,P48
58954.458,ZTF_r,8.467278645120575e-16,7.798651834592584e-18,GeneralFilters,P48
58959.46,ps_g,9.836867459135183e-16,9.966098724191674e-18,GeneralFilters,PAN_STARRS1
58959.47,ps_i,4.349506079384723e-16,3.605438829700168e-18,GeneralFilters,PAN_STARRS1
58963.307,ZTF_g,7.098443493754895e-16,7.191698875759448e-18,GeneralFilters,P48
58964.48,ps_i,4.1806127641429626e-16,3.4654379869066308e-18,GeneralFilters,PAN_STARRS1
58964.49,ps_g,6.46333728361636e-16,8.33413508493869e-18,GeneralFilters,PAN_STARRS1
58966.337,ZTF_r,6.863471773731439e-16,1.3907280457293885e-17,GeneralFilters,P48
58967.46,ps_g,5.148216708839279e-16,6.1641876656236064e-18,GeneralFilters,PAN_STARRS1
58967.47,ps_r,6.647742008710505e-16,4.285957662371582e-18,GeneralFilters,PAN_STARRS1
58969.249,ZTF_g,4.72893265817689e-16,1.0017668256931549e-17,GeneralFilters,P48
58969.341,ZTF_r,6.596960017964983e-16,1.6405266740159417e-17,GeneralFilters,P48
58971.39,ps_z,2.905260776387682e-16,2.9434284681870574e-18,GeneralFilters,PAN_STARRS1
58971.39,ps_g,4.18462764477048e-16,8.093787437046589e-18,GeneralFilters,PAN_STARRS1
58972.272,ZTF_g,4.0435529034803364e-16,9.683049623818077e-18,GeneralFilters,P48
58972.359,ZTF_r,5.836383916236951e-16,5.913059065107659e-18,GeneralFilters,P48
58972.45,ps_g,4.05561592577035e-16,8.964864742644517e-18,GeneralFilters,PAN_STARRS1
58972.45,ps_i,3.671469647581468e-16,3.0433936607644225e-18,GeneralFilters,PAN_STARRS1
58977.252,ZTF_r,5.471971817697037e-16,5.1406697405787935e-17,GeneralFilters,P48
58977.35,ZTF_g,3.1620092024932676e-16,6.436223004156755e-17,GeneralFilters,P48
58979.34,ps_i,3.0341702249611136e-16,3.6329462673929634e-18,GeneralFilters,PAN_STARRS1
58979.34,ps_r,4.449120380019151e-16,4.917349566704689e-18,GeneralFilters,PAN_STARRS1
