#MJD,band,Flux,Flux_err,FilterSet,Instr
58855.459,ZTF_g,1.1477930570618115e-15,1.6914503571408553e-17,GeneralFilters,P48
58855.542,ZTF_r,4.367984493552322e-16,7.64381854577487e-18,GeneralFilters,P48
58856.542,ZTF_g,2.5838279594290734e-15,1.6658554478279307e-17,GeneralFilters,P48
58859.475,ZTF_r,4.637469730717419e-15,1.7085069873857672e-17,GeneralFilters,P48
58859.529,ZTF_g,7.999513826750903e-15,2.947129806188215e-17,GeneralFilters,P48
58860.388,ZTF_r,5.689591523661351e-15,2.0961229804172654e-17,GeneralFilters,P48
58861.479,ZTF_g,1.3337167129414112e-14,3.685195465795096e-17,GeneralFilters,P48
58862.373,ZTF_r,8.516890976579875e-15,2.3533039441593985e-17,GeneralFilters,P48
58862.48,ZTF_g,1.5785690855412286e-14,4.361747573554171e-17,GeneralFilters,P48
58866.85,ZTF_g,1.4264731233836274e-14,2.6276605995678316e-17,GeneralFilters,P48
58867.162,ZTF_r,1.0516738806965082e-14,1.9372548803063824e-17,GeneralFilters,P48
58871.461,ZTF_g,6.7276531570815434e-15,2.4785590192528468e-17,GeneralFilters,P48
58871.502,ZTF_r,7.604682521506393e-15,2.1012514333167592e-17,GeneralFilters,P48
58873.396,ZTF_g,5.1175676618976574e-15,1.8853816017078264e-17,GeneralFilters,P48
58873.515,ZTF_r,6.2212991948448915e-15,1.7190084942126818e-17,GeneralFilters,P48
58875.456,ZTF_g,3.646394001451491e-15,2.015071793022028e-17,GeneralFilters,P48
58875.803,ZTF_r,4.676070905382443e-15,1.7227281856826858e-17,GeneralFilters,P48
58876.395,ZTF_g,3.387377460304427e-15,1.8719339626658407e-17,GeneralFilters,P48
58876.951,ZTF_g,3.199363555650331e-15,2.062705912486482e-17,GeneralFilters,P48
58878.067,ZTF_r,3.440971598020151e-15,1.58462598140342e-17,GeneralFilters,P48
58878.167,ZTF_g,2.7231000202524008e-15,1.755647463742186e-17,GeneralFilters,P48
58878.521,ZTF_g,2.668477795625574e-15,1.966207101821779e-17,GeneralFilters,P48
58879.527,ZTF_r,2.9942019436579102e-15,1.6546571426113206e-17,GeneralFilters,P48
58880.461,ZTF_g,2.358650503306675e-15,1.737917916318993e-17,GeneralFilters,P48
58880.925,ZTF_r,2.6392533893022788e-15,1.2154211021682876e-17,GeneralFilters,P48
58881.468,ZTF_g,2.1590544414892237e-15,1.590850103019411e-17,GeneralFilters,P48
58881.538,ZTF_r,2.617466234417946e-15,1.2053877465572045e-17,GeneralFilters,P48
58883.458,ZTF_g,1.7662964391316134e-15,2.1148648822875136e-17,GeneralFilters,P48
58883.851,ZTF_r,1.9709748740809132e-15,1.452267956391849e-17,GeneralFilters,P48
58884.441,ZTF_g,1.7008405187129554e-15,1.8798384114953777e-17,GeneralFilters,P48
58884.839,ZTF_r,1.8909545388952654e-15,1.219143445181105e-17,GeneralFilters,P48
58885.434,ZTF_g,1.6744168794868062e-15,2.1590729138517997e-17,GeneralFilters,P48
58885.507,ZTF_r,1.882266391981803e-15,1.0401788484530371e-17,GeneralFilters,P48
58886.459,ZTF_g,1.691467249808702e-15,1.7136888008667476e-17,GeneralFilters,P48
58886.996,ZTF_r,1.8309694072089856e-15,1.1804696015749155e-17,GeneralFilters,P48
58887.431,ZTF_g,1.697710338581348e-15,2.1891086099900004e-17,GeneralFilters,P48
58888.135,ZTF_r,1.627350448489765e-15,1.3489606381570922e-17,GeneralFilters,P48
58888.285,ZTF_g,1.5172725242008826e-15,3.9128869877825285e-17,GeneralFilters,P48
58892.319,ZTF_r,1.3191102285992676e-15,1.3364399612909998e-17,GeneralFilters,P48
58892.364,ZTF_g,1.4056059710818442e-15,1.812455319156426e-17,GeneralFilters,P48
58893.323,ZTF_r,1.304611155998343e-15,9.612730239857625e-18,GeneralFilters,P48
58893.46,ZTF_g,1.3812223379241835e-15,1.653798622015597e-17,GeneralFilters,P48
58894.154,ZTF_r,1.2690568801058467e-15,1.0519601235455712e-17,GeneralFilters,P48
58894.354,ZTF_g,1.395287146184901e-15,1.5421283439607475e-17,GeneralFilters,P48
58895.393,ZTF_g,1.3622712569902064e-15,1.3801680151423575e-17,GeneralFilters,P48
58895.438,ZTF_r,1.2299319630260697e-15,9.062473611074326e-18,GeneralFilters,P48
58898.405,ZTF_g,1.2701750960290341e-15,1.286861946307841e-17,GeneralFilters,P48
58898.42,ZTF_r,1.1165574867574261e-15,8.227099598331331e-18,GeneralFilters,P48
58899.407,ZTF_g,1.2231045827440087e-15,1.3518251421115444e-17,GeneralFilters,P48
58899.461,ZTF_r,1.0478064992899984e-15,8.685589052186734e-18,GeneralFilters,P48
58900.358,ZTF_g,1.2914083596667115e-15,1.5462603717269615e-17,GeneralFilters,P48
58900.426,ZTF_r,1.0099063151575317e-15,9.3015809064091e-18,GeneralFilters,P48
58901.421,ZTF_r,9.751716968717369e-16,8.981663249306263e-18,GeneralFilters,P48
58903.356,ZTF_g,1.1974671089259036e-15,1.3234895588944594e-17,GeneralFilters,P48
58903.438,ZTF_r,9.442371601336096e-16,8.696745636698707e-18,GeneralFilters,P48
58904.459,ZTF_g,1.126843472783053e-15,1.4530056702380213e-17,GeneralFilters,P48
58904.475,ZTF_r,8.747442329783082e-16,9.66803054898414e-18,GeneralFilters,P48
58905.298,ZTF_g,1.0971439014450626e-15,1.8189123784824416e-17,GeneralFilters,P48
58906.343,ZTF_g,1.159480885174129e-15,1.4950899050155516e-17,GeneralFilters,P48
58906.455,ZTF_r,8.446583660279043e-16,1.0113468363900518e-17,GeneralFilters,P48
58908.333,ZTF_g,1.1062762615102535e-15,1.4264853279525477e-17,GeneralFilters,P48
58908.459,ZTF_r,8.771645829126694e-16,1.2118476556302287e-17,GeneralFilters,P48
58909.271,ZTF_g,9.590993427857202e-16,2.650089419278537e-17,GeneralFilters,P48
58911.376,ZTF_r,7.012632626535907e-16,1.2271859344863974e-17,GeneralFilters,P48
58911.399,ZTF_g,9.485573496292303e-16,1.3978457683879722e-17,GeneralFilters,P48
58912.275,ZTF_g,9.8053611321481e-16,1.6255928429501324e-17,GeneralFilters,P48
58912.438,ZTF_r,7.136431277006516e-16,7.887475332293602e-18,GeneralFilters,P48
58913.121,ZTF_g,1.0352937528202661e-15,1.62101933423739e-17,GeneralFilters,P48
58913.439,ZTF_r,7.397433810500548e-16,1.0219932491081221e-17,GeneralFilters,P48
58914.375,ZTF_r,6.697012166833812e-16,1.0485899460406857e-17,GeneralFilters,P48
58914.435,ZTF_g,9.832491811354478e-16,1.811211925744868e-17,GeneralFilters,P48
58915.375,ZTF_g,9.364047184464218e-16,2.2423976075321733e-17,GeneralFilters,P48
58915.4,ZTF_r,6.865640956407866e-16,1.2014629115256315e-17,GeneralFilters,P48
58936.296,ZTF_g,5.720889948187884e-16,1.211900904028835e-17,GeneralFilters,P48
58936.42,ZTF_r,3.4664192512092527e-16,7.34318727038985e-18,GeneralFilters,P48
58939.338,ZTF_g,5.329219316620803e-16,1.6688534099815893e-17,GeneralFilters,P48
58939.36,ZTF_r,2.476743819626448e-16,2.463658588038382e-17,GeneralFilters,P48
58940.369,ZTF_g,6.090649298309066e-16,7.236506952965608e-17,GeneralFilters,P48
58941.322,ZTF_g,4.927919370595561e-16,1.724736959695907e-17,GeneralFilters,P48
58941.373,ZTF_r,2.579176647559964e-16,7.839181285148312e-18,GeneralFilters,P48
58954.256,ZTF_r,1.9565055668779372e-16,6.8476312400325655e-18,GeneralFilters,P48
58954.297,ZTF_g,3.3470607377531e-16,1.2022751769749646e-17,GeneralFilters,P48
58955.269,ZTF_r,1.7631168173763347e-16,7.307507701616123e-18,GeneralFilters,P48
58955.306,ZTF_g,3.453532866100237e-16,1.1769038877558165e-17,GeneralFilters,P48
58956.266,ZTF_r,2.0695746110654486e-16,6.6715203075895555e-18,GeneralFilters,P48
58962.233,ZTF_g,3.049745459488035e-16,1.0954785554611745e-17,GeneralFilters,P48
58962.28,ZTF_r,1.4787034561454258e-16,6.537293827352115e-18,GeneralFilters,P48
58963.312,ZTF_g,2.5250128545003866e-16,1.2093238473453142e-17,GeneralFilters,P48
58964.27,ZTF_r,1.502038580824542e-16,6.502114693180026e-18,GeneralFilters,P48
58965.232,ZTF_g,2.9124843030636087e-16,1.0461738986108933e-17,GeneralFilters,P48
58965.287,ZTF_r,1.4759820909568405e-16,6.525262771513723e-18,GeneralFilters,P48
58967.227,ZTF_g,2.651328824637964e-16,1.2698213274732545e-17,GeneralFilters,P48
58968.201,ZTF_r,1.497894023404734e-16,6.484173484452036e-18,GeneralFilters,P48
58968.298,ZTF_g,2.1235553897593152e-16,1.1930787442440982e-17,GeneralFilters,P48
58971.212,ZTF_r,1.1931116543941243e-16,8.021944040281295e-18,GeneralFilters,P48
58971.276,ZTF_g,2.4857851738480073e-16,1.5797500004498947e-17,GeneralFilters,P48
58974.208,ZTF_g,2.0867171885285638e-16,2.210228190136142e-17,GeneralFilters,P48
58980.19,ZTF_g,1.4133951391794588e-16,9.372852224596415e-18,GeneralFilters,P48
58980.253,ZTF_r,5.590891805970838e-17,6.385258047969622e-18,GeneralFilters,P48
58986.224,ZTF_g,1.0850845839325301e-16,1.119327815245107e-17,GeneralFilters,P48
58991.169,ZTF_g,1.2029943659659785e-16,1.1523187079161e-17,GeneralFilters,P48
58994.208,ZTF_r,4.824819691438966e-17,6.75461120191803e-18,GeneralFilters,P48
58994.232,ZTF_g,7.940787850810854e-17,9.800406096301222e-18,GeneralFilters,P48
59020.199,ZTF_g,5.024161525333617e-17,1.129091400663471e-17,GeneralFilters,P48
