MJD	band	Flux	Flux_err	FilterSet	Instr
58939.338	ZTF_g	1.4468199107143552e-16	9.86102083762724e-18	GeneralFilters	P48
58939.373	ZTF_r	1.7036006552481389e-16	9.257537716726637e-18	GeneralFilters	P48
58940.359	ZTF_g	1.3170870412252718e-15	5.944101775109842e-17	GeneralFilters	P48
58941.267	ZTF_g	1.323166438785959e-15	1.218681326999425e-17	GeneralFilters	P48
58941.373	ZTF_r	1.330968565226475e-15	7.35520410608197e-18	GeneralFilters	P48
58944.248	ZTF_g	1.5024999864733167e-15	1.7990097169601518e-17	GeneralFilters	P48
58944.34	ZTF_r	1.7225339822167621e-15	9.519074567107154e-18	GeneralFilters	P48
58950.33	ps_r	1.926387612597305e-15	1.0645611360227866e-17	GeneralFilters	PAN_STARRS1
58954.256	ZTF_r	2.0690348148960143e-15	9.528257443330515e-18	GeneralFilters	P48
58954.297	ZTF_g	1.557451304271024e-15	1.14757253000915e-17	GeneralFilters	P48
58955.268	ZTF_r	2.065227020104015e-15	7.608577520224032e-18	GeneralFilters	P48
58955.3	ZTF_g	1.5517239981866641e-15	1.1433524949330347e-17	GeneralFilters	P48
58956.246	ZTF_g	1.5864064858441174e-15	1.0227940592054455e-17	GeneralFilters	P48
58956.269	ZTF_r	2.1094430184071767e-15	7.771475277927567e-18	GeneralFilters	P48
58956.44	ps_g	1.441687197880846e-15	1.0622743841922539e-17	GeneralFilters	PAN_STARRS1
58956.44	ps_r	1.908726384807125e-15	8.790009840522608e-18	GeneralFilters	PAN_STARRS1
58958.41	ps_i	1.6433970340633127e-15	6.054498420007699e-18	GeneralFilters	PAN_STARRS1
58958.41	ps_g	1.427154666662766e-15	9.201206170392802e-18	GeneralFilters	PAN_STARRS1
58960.29	ps_g	1.3641780017001786e-15	8.795180606534666e-18	GeneralFilters	PAN_STARRS1
58960.3	ps_r	1.9370626931279746e-15	7.136402690226183e-18	GeneralFilters	PAN_STARRS1
58962.231	ZTF_g	1.3366400713413828e-15	1.1079819010688976e-17	GeneralFilters	P48
58962.269	ZTF_r	2.0862569594954227e-15	9.60756835017849e-18	GeneralFilters	P48
58963.247	ZTF_g	1.335409547104539e-15	9.839661171855475e-18	GeneralFilters	P48
