MJD	band	Flux	Flux_err	FilterSet	Instr
59088.427	ZTF_r	2.3702583031335863e-17	5.763353835719841e-18	GeneralFilters	P48
59089.446	ZTF_r	3.756606249010846e-17	6.643127461801462e-18	GeneralFilters	P48
59089.465	ZTF_r	2.9839784103309917e-17	6.733446921335328e-18	GeneralFilters	P48
59089.489	ZTF_g	4.5437440659291134e-17	1.1006399934923136e-17	GeneralFilters	P48
59090.393	ZTF_g	6.671352078637203e-17	1.308787518111985e-17	GeneralFilters	P48
59090.476	ZTF_r	5.64411269443146e-17	4.7825463092424925e-18	GeneralFilters	P48
59090.477	ZTF_r	6.72969956847162e-17	4.6487117720073656e-18	GeneralFilters	P48
59091.39	ZTF_g	9.804238354879139e-17	2.0407884148031082e-17	GeneralFilters	P48
59091.393	ZTF_g	8.360145982271262e-17	1.9480946884200257e-17	GeneralFilters	P48
59091.478	ZTF_r	7.670005521788138e-17	4.2386016906363235e-18	GeneralFilters	P48
59091.478	ZTF_r	7.523079939370549e-17	4.988889135877587e-18	GeneralFilters	P48
59092.369	ZTF_g	1.165772646856244e-16	2.5876562526064307e-17	GeneralFilters	P48
59092.383	ZTF_g	1.0661390751895691e-16	2.1799298361318847e-17	GeneralFilters	P48
59093.386	ZTF_r	8.806344616742129e-17	1.111199209537676e-17	GeneralFilters	P48
59093.468	ZTF_g	1.6316006175419215e-16	2.2541395558031447e-17	GeneralFilters	P48
59093.468	ZTF_g	1.1163846618235814e-16	2.3032313296045118e-17	GeneralFilters	P48
59093.478	ZTF_g	8.51557270041675e-17	1.929410546615408e-17	GeneralFilters	P48
59093.479	ZTF_g	1.336022773334011e-16	2.3256874280652698e-17	GeneralFilters	P48
59093.492	ZTF_r	9.576254437777625e-17	7.144245591706913e-18	GeneralFilters	P48
59094.366	ZTF_r	1.2834994195622762e-16	1.3712901164826819e-17	GeneralFilters	P48
59094.371	ZTF_r	1.3867420238112833e-16	1.1878300424105276e-17	GeneralFilters	P48
59095.409	ZTF_r	1.453435208924952e-16	1.0441573726594217e-17	GeneralFilters	P48
59095.409	ZTF_r	1.5951285073729793e-16	9.696506483365328e-18	GeneralFilters	P48
59096.35	ZTF_r	1.7076374732289516e-16	9.43675341622799e-18	GeneralFilters	P48
59096.351	ZTF_r	1.7522484181974193e-16	1.0167446739148693e-17	GeneralFilters	P48
59096.469	ZTF_g	1.8664392594939612e-16	1.8737689541278838e-17	GeneralFilters	P48
59096.469	ZTF_g	1.3080184232931514e-16	2.5901684016392918e-17	GeneralFilters	P48
59097.424	ZTF_g	1.2900717377217154e-16	2.6259219577191175e-17	GeneralFilters	P48
59097.435	ZTF_g	1.7742461071432387e-16	2.4675529931168856e-17	GeneralFilters	P48
59097.477	ZTF_r	1.664162289828478e-16	1.854627635946835e-17	GeneralFilters	P48
59097.477	ZTF_r	1.9642450917579876e-16	1.3387610743115247e-17	GeneralFilters	P48
59106.384	ZTF_r	3.2991014952291674e-16	7.596461923189051e-18	GeneralFilters	P48
59106.412	ZTF_g	3.027010037154424e-16	1.5891481868400894e-17	GeneralFilters	P48
59106.497	ZTF_g	3.049396243907714e-16	1.5447287534478662e-17	GeneralFilters	P48
59106.5	ZTF_g	2.9363908426375226e-16	1.5956643884248837e-17	GeneralFilters	P48
59107.393	ZTF_g	3.123301149397693e-16	1.409566666836722e-17	GeneralFilters	P48
59107.395	ZTF_g	3.137717652479581e-16	1.3293745882427714e-17	GeneralFilters	P48
59107.404	ZTF_g	3.155105320674534e-16	1.2786221321652031e-17	GeneralFilters	P48
59107.431	ZTF_r	3.308229855024391e-16	7.312781518441935e-18	GeneralFilters	P48
59109.368	ZTF_g	3.2524742058460877e-16	2.366555164466312e-17	GeneralFilters	P48
59109.401	ZTF_r	3.5908368768001025e-16	8.268207463893216e-18	GeneralFilters	P48
59109.401	ZTF_r	3.4450511672727277e-16	8.249824400858464e-18	GeneralFilters	P48
59109.429	ZTF_r	3.6407903937107627e-16	7.041912937310439e-18	GeneralFilters	P48
59110.449	ZTF_r	3.5974575387541143e-16	7.620775933301115e-18	GeneralFilters	P48
59110.451	ZTF_r	3.081737737815096e-16	6.812124840585814e-18	GeneralFilters	P48
59110.464	ZTF_r	3.7427918627969695e-16	8.618096749455717e-18	GeneralFilters	P48
59110.507	ZTF_g	3.4341073022608976e-16	1.1070253994699122e-17	GeneralFilters	P48
59112.391	ZTF_r	3.9810320742350723e-16	6.233332274028083e-18	GeneralFilters	P48
59112.391	ZTF_r	3.9047719653644185e-16	6.473570197672203e-18	GeneralFilters	P48
59112.504	ZTF_g	3.662805528479983e-16	1.045806254643359e-17	GeneralFilters	P48
59112.528	ZTF_g	3.4595041906549713e-16	2.0711087224236682e-17	GeneralFilters	P48
59113.41	ZTF_g	3.475472536466276e-16	1.2163908305437704e-17	GeneralFilters	P48
59113.427	ZTF_r	3.962740893343763e-16	6.204692713719658e-18	GeneralFilters	P48
59114.413	ZTF_r	4.20335118787179e-16	6.194287222919938e-18	GeneralFilters	P48
59114.414	ZTF_r	4.1001115883259085e-16	6.797416192481794e-18	GeneralFilters	P48
59115.346	ZTF_r	4.357081430147731e-16	7.223436540013927e-18	GeneralFilters	P48
59115.346	ZTF_r	4.119036843535636e-16	7.208168953397988e-18	GeneralFilters	P48
59115.407	ZTF_r	4.425839664252768e-16	6.522158358329713e-18	GeneralFilters	P48
59115.435	ZTF_g	3.928383344148833e-16	1.0492706836251716e-17	GeneralFilters	P48
59116.351	ZTF_r	4.600400866799003e-16	6.355688674612962e-18	GeneralFilters	P48
59116.374	ZTF_r	4.442175132716948e-16	6.546231194280252e-18	GeneralFilters	P48
59116.43	ZTF_r	4.454466289246537e-16	6.56434411191268e-18	GeneralFilters	P48
59116.509	ZTF_g	3.6763246906593575e-16	1.0835264550039255e-17	GeneralFilters	P48
59116.528	ZTF_g	3.5728424111782757e-16	1.6782618298215845e-17	GeneralFilters	P48
59117.391	ZTF_r	4.520595793811256e-16	6.245433891768818e-18	GeneralFilters	P48
59117.392	ZTF_r	4.47502717143987e-16	6.182478513420452e-18	GeneralFilters	P48
59118.296	ZTF_r	4.549835307746447e-16	8.381106364155944e-18	GeneralFilters	P48
59118.333	ZTF_r	4.591934415516689e-16	7.189857418559039e-18	GeneralFilters	P48
59118.46	ZTF_g	3.953792388614006e-16	1.2381363044149669e-17	GeneralFilters	P48
59118.466	ZTF_g	3.629224725547806e-16	1.0696446402779886e-17	GeneralFilters	P48
59118.469	ZTF_g	3.649336081100432e-16	1.1091837054760638e-17	GeneralFilters	P48
59119.346	ZTF_g	3.997733698350551e-16	1.95148586815137e-17	GeneralFilters	P48
59119.348	ZTF_g	3.768893461213058e-16	1.5967884137604337e-17	GeneralFilters	P48
59119.467	ZTF_r	4.738006766381407e-16	6.545798250464851e-18	GeneralFilters	P48
59120.292	ZTF_g	3.8744839040293226e-16	2.4979720865297224e-17	GeneralFilters	P48
59120.309	ZTF_g	3.645976465754099e-16	2.2163251596954615e-17	GeneralFilters	P48
59121.303	ZTF_g	4.1784370240829657e-16	2.2706048056656105e-17	GeneralFilters	P48
59121.313	ZTF_g	3.7274674615243993e-16	2.059874642766342e-17	GeneralFilters	P48
59121.461	ZTF_r	4.6429678519265695e-16	8.125029707953495e-18	GeneralFilters	P48
59121.497	ZTF_g	3.953792388614006e-16	1.1653047570964391e-17	GeneralFilters	P48
59122.309	ZTF_g	4.034724272826316e-16	3.121539444223576e-17	GeneralFilters	P48
59122.309	ZTF_g	3.3497613014542156e-16	2.7767197576140514e-17	GeneralFilters	P48
59122.388	ZTF_r	4.929418340606952e-16	9.988356565627431e-18	GeneralFilters	P48
59122.389	ZTF_r	4.724933239942473e-16	9.138831108694206e-18	GeneralFilters	P48
59123.333	ZTF_r	4.651528396909705e-16	1.370949113134433e-17	GeneralFilters	P48
59123.34	ZTF_r	4.508122166916185e-16	1.2456401878724666e-17	GeneralFilters	P48
59123.365	ZTF_r	4.786253275924008e-16	1.1461585662214002e-17	GeneralFilters	P48
59123.406	ZTF_g	3.355937476525505e-16	2.998204663309455e-17	GeneralFilters	P48
59123.414	ZTF_g	4.3793924066616573e-16	3.3478626590875504e-17	GeneralFilters	P48
