#wls	flux	flux_err
3627.5105	7.1834e-17	2.5243e-17
3633.3097	7.4303e-17	1.7682e-17
3639.1090	7.8015e-17	1.7910e-17
3644.9082	7.8239e-17	2.2809e-17
3651.6740	7.7406e-17	2.2197e-17
3658.4398	7.8100e-17	2.1250e-17
3664.2391	7.9122e-17	2.2110e-17
3670.0383	7.9757e-17	1.7464e-17
3675.8376	7.7876e-17	1.9382e-17
3681.6369	7.7526e-17	1.9846e-17
3688.4027	7.1796e-17	1.9522e-17
3695.1686	6.4039e-17	1.5077e-17
3700.9679	6.0305e-17	1.4684e-17
3706.7673	5.9396e-17	1.3217e-17
3712.5666	5.9991e-17	1.6563e-17
3718.3660	6.2289e-17	1.6280e-17
3725.1319	6.6457e-17	1.4327e-17
3731.8978	6.7861e-17	1.3021e-17
3737.6972	7.2679e-17	1.3218e-17
3743.4966	7.4737e-17	1.3366e-17
3749.2961	7.4920e-17	1.4582e-17
3755.0955	7.6187e-17	1.4428e-17
3761.8615	7.8195e-17	1.3126e-17
3768.6276	8.2660e-17	1.2041e-17
3774.4270	8.5410e-17	1.2234e-17
3780.2265	8.6179e-17	1.5373e-17
3786.0261	8.7691e-17	1.9401e-17
3791.8256	8.8685e-17	2.0161e-17
3798.5917	8.8981e-17	1.9290e-17
3805.3579	8.7372e-17	1.9340e-17
3811.1575	8.6776e-17	1.3747e-17
3816.9571	8.7586e-17	1.4299e-17
3822.7567	8.5237e-17	1.9188e-17
3828.5563	8.1877e-17	1.7812e-17
3835.3226	8.1655e-17	1.4431e-17
3842.0889	8.1997e-17	1.2952e-17
3847.8886	8.1037e-17	1.3091e-17
3853.6883	8.0203e-17	1.3236e-17
3859.4880	7.8773e-17	1.1488e-17
3865.2878	7.8628e-17	1.3753e-17
3871.0876	7.9785e-17	9.7199e-18
3877.8540	8.1866e-17	1.0302e-17
3884.6205	8.0974e-17	1.1715e-17
3890.4203	8.1749e-17	1.1459e-17
3896.2202	8.2021e-17	1.4685e-17
3902.0201	8.3097e-17	1.5307e-17
3907.8200	8.5633e-17	1.6253e-17
3914.5866	8.7771e-17	1.5316e-17
3921.3533	8.9407e-17	1.5828e-17
3927.1533	9.1384e-17	1.8987e-17
3932.9533	9.2606e-17	1.7153e-17
3938.7534	9.2317e-17	1.8126e-17
3944.5534	9.1467e-17	1.8506e-17
3951.3202	9.1553e-17	1.8251e-17
3958.0870	9.1310e-17	1.6699e-17
3963.8872	9.0277e-17	1.8483e-17
3969.6874	8.8510e-17	1.7555e-17
3975.4876	8.7046e-17	1.2476e-17
3981.2879	8.5293e-17	9.9359e-18
3988.0548	8.5067e-17	1.0027e-17
3994.8219	8.5570e-17	8.1238e-18
4000.6222	8.5442e-17	8.3062e-18
4006.4226	8.7482e-17	1.3125e-17
4012.2230	9.0061e-17	9.9802e-18
4018.0234	9.0955e-17	1.2185e-17
4024.7906	9.2306e-17	1.2185e-17
4031.5579	9.5577e-17	1.2053e-17
4037.3584	9.9154e-17	1.2128e-17
4043.1590	1.0119e-16	1.2181e-17
4048.9595	1.0088e-16	1.2280e-17
4054.7602	1.0103e-16	6.7744e-18
4061.5276	1.0234e-16	6.7026e-18
4068.2951	1.0491e-16	3.2047e-18
4074.0958	1.0580e-16	3.1520e-18
4079.8966	1.0414e-16	2.9023e-18
4085.6974	1.0411e-16	1.5227e-18
4091.4983	1.0394e-16	1.4114e-18
4098.2659	1.0403e-16	1.3511e-18
4105.0337	1.0579e-16	1.0971e-18
4110.8346	1.0607e-16	1.4957e-18
4116.6356	1.0514e-16	2.0287e-18
4122.4367	1.0459e-16	2.1443e-18
4128.2377	1.0370e-16	7.3872e-18
4135.0057	1.0277e-16	7.9804e-18
4141.7737	1.0200e-16	8.1453e-18
4147.5749	1.0068e-16	1.0564e-17
4153.3761	9.8878e-17	1.4602e-17
4159.1774	9.7878e-17	1.4673e-17
4164.9787	9.5593e-17	1.5213e-17
4171.7469	9.0853e-17	1.5224e-17
4178.5152	8.6578e-17	1.3695e-17
4184.3167	8.2240e-17	1.4952e-17
4190.1182	7.7607e-17	1.4443e-17
4195.9197	7.5425e-17	1.5989e-17
4201.7213	7.5079e-17	1.5054e-17
4208.4898	7.5329e-17	1.5302e-17
4215.2584	7.6162e-17	1.4882e-17
4221.0601	7.9277e-17	1.5995e-17
4226.8619	8.2781e-17	1.6426e-17
4232.6637	8.5957e-17	1.2701e-17
4238.4655	9.1573e-17	1.5360e-17
4244.2674	9.9391e-17	1.9204e-17
4251.0363	1.0881e-16	1.7354e-17
4257.8053	1.1812e-16	1.7788e-17
4263.6073	1.2730e-16	1.7704e-17
4269.4094	1.3420e-16	1.7916e-17
4275.2115	1.3658e-16	1.6870e-17
4281.0137	1.3941e-16	1.4975e-17
4287.7829	1.4304e-16	1.3577e-17
4294.5522	1.4458e-16	1.0776e-17
4300.3546	1.4609e-16	1.1519e-17
4306.1569	1.4730e-16	1.1125e-17
4311.9594	1.4641e-16	1.8067e-17
4317.7618	1.4715e-16	1.9883e-17
4324.5314	1.5128e-16	1.9952e-17
4331.3011	1.5261e-16	1.8447e-17
4337.1038	1.5633e-16	1.7660e-17
4342.9064	1.6119e-16	1.9620e-17
4348.7092	1.6627e-16	2.3066e-17
4354.5120	1.7178e-16	2.3250e-17
4361.2820	1.7541e-16	1.8396e-17
4368.0520	1.7841e-16	1.4440e-17
