#wls	flux	flux_err
3644.0479	4.6010e-16	6.9727e-17
3649.5658	4.6399e-16	6.9727e-17
3655.0837	4.6954e-16	6.9727e-17
3660.6016	4.7406e-16	6.9727e-17
3666.1196	4.7879e-16	6.9727e-17
3671.6375	4.7847e-16	7.3369e-17
3677.1554	4.8174e-16	7.9982e-17
3682.6734	4.8462e-16	7.3317e-17
3688.1913	4.8542e-16	7.5164e-17
3693.7092	4.8143e-16	7.3011e-17
3699.2271	4.7801e-16	7.1809e-17
3704.7451	4.7048e-16	6.2529e-17
3710.2630	4.5828e-16	6.4420e-17
3715.7809	4.4688e-16	6.4199e-17
3721.2989	4.2995e-16	6.0147e-17
3726.8168	4.1011e-16	4.6817e-17
3732.3347	3.9007e-16	4.7538e-17
3737.8526	3.7027e-16	3.8437e-17
3743.3706	3.4826e-16	3.6964e-17
3748.8885	3.2399e-16	4.3092e-17
3754.4064	3.0542e-16	4.3016e-17
3759.9244	2.9194e-16	3.4858e-17
3765.4423	2.8209e-16	3.4799e-17
3770.9602	2.7535e-16	3.4832e-17
3776.4781	2.7393e-16	3.7830e-17
3781.9961	2.6721e-16	3.7652e-17
3787.5140	2.6205e-16	3.7835e-17
3793.0319	2.5916e-16	4.0892e-17
3798.5499	2.5449e-16	2.9103e-17
3804.0678	2.6318e-16	2.9714e-17
3809.5857	2.7017e-16	3.0724e-17
3815.1036	2.7496e-16	3.0533e-17
3820.6216	2.8369e-16	2.7789e-17
3826.1395	2.9579e-16	2.6997e-17
3831.6574	3.0867e-16	2.6335e-17
3837.1754	3.3010e-16	2.7103e-17
3842.6933	3.4997e-16	1.7683e-17
3848.2112	3.6958e-16	1.8322e-17
3853.7291	3.9378e-16	1.6686e-17
3859.2471	4.2104e-16	1.7817e-17
3864.7650	4.5073e-16	2.0559e-17
3870.2829	4.8266e-16	2.0503e-17
3875.8009	5.2392e-16	1.9357e-17
3881.3188	5.5857e-16	1.7959e-17
3886.8367	5.9283e-16	1.9061e-17
3892.3546	6.2994e-16	2.1908e-17
3897.8726	6.7282e-16	2.3522e-17
3903.3905	7.1735e-16	2.3448e-17
3908.9084	7.5589e-16	2.3425e-17
3914.4264	7.9301e-16	2.8461e-17
3919.9443	8.2483e-16	2.8782e-17
3925.4622	8.5431e-16	2.8492e-17
3930.9801	8.7867e-16	3.0519e-17
3936.4981	9.0387e-16	2.8183e-17
3942.0160	9.2479e-16	2.6214e-17
