#wls	flux	flux_err
3999.4100	3.3961e-16	1.2044e-16
4001.9400	3.4599e-16	1.2796e-16
4004.4700	3.4757e-16	1.1630e-16
4007.0000	3.5245e-16	1.1445e-16
4009.5300	3.5785e-16	1.1281e-16
4012.0600	3.6669e-16	1.0531e-16
4014.5900	3.7484e-16	1.0840e-16
4017.1200	3.8196e-16	1.1105e-16
4019.6500	3.8975e-16	1.1026e-16
4022.1800	3.9368e-16	1.0983e-16
4024.7100	4.0131e-16	1.0748e-16
4027.2400	4.0893e-16	1.0393e-16
4029.7700	4.1406e-16	1.0058e-16
4032.3000	4.1768e-16	1.0086e-16
4034.8300	4.2496e-16	1.0204e-16
4037.3600	4.3254e-16	9.4879e-17
4039.8900	4.3254e-16	9.9425e-17
4042.4200	4.3595e-16	9.3525e-17
4044.9500	4.3199e-16	9.3567e-17
4047.4800	4.2939e-16	9.7775e-17
4050.0100	4.2735e-16	8.8644e-17
4052.5400	4.2967e-16	8.9171e-17
4055.0700	4.2814e-16	8.9542e-17
4057.6000	4.2702e-16	9.0300e-17
4060.1300	4.2210e-16	9.2085e-17
4062.6600	4.1625e-16	8.2661e-17
4065.1900	4.0971e-16	8.6871e-17
4067.7200	3.9935e-16	8.6155e-17
4070.2500	3.8722e-16	9.1835e-17
4072.7800	3.7867e-16	9.1463e-17
4075.3100	3.7316e-16	9.1900e-17
4077.8400	3.6260e-16	9.9004e-17
4080.3700	3.5663e-16	9.9262e-17
4082.9000	3.4994e-16	9.7731e-17
4085.4300	3.4205e-16	1.0342e-16
4087.9600	3.4216e-16	9.8832e-17
4090.4900	3.4313e-16	9.8737e-17
4093.0200	3.3927e-16	9.8727e-17
4095.5500	3.3999e-16	9.5481e-17
4098.0800	3.3752e-16	9.3334e-17
4100.6100	3.3493e-16	9.3800e-17
4103.1300	3.3452e-16	8.9990e-17
4105.6700	3.2869e-16	8.7175e-17
4108.1900	3.2834e-16	9.2199e-17
4110.7200	3.2286e-16	9.2275e-17
4113.2500	3.1471e-16	8.6668e-17
4115.7800	3.1259e-16	8.6204e-17
4118.3100	3.1328e-16	8.1775e-17
4120.8400	3.1305e-16	8.1660e-17
