#wls	flux	flux_err
3308.0600	3.1912e-16	4.0505e-18
3315.0600	3.2091e-16	4.0505e-18
3322.0600	3.2345e-16	4.0505e-18
3329.0600	3.2555e-16	4.0505e-18
3336.0600	3.2613e-16	5.9016e-18
3343.0600	3.2539e-16	7.2488e-18
3350.0600	3.2303e-16	6.8386e-18
3357.0600	3.1957e-16	5.1952e-18
3364.0600	3.1601e-16	3.7162e-18
3371.0600	3.1289e-16	6.9219e-18
3378.0600	3.1025e-16	9.3530e-18
3385.0600	3.0774e-16	1.1366e-17
3392.0600	3.0553e-16	1.1100e-17
3399.0600	3.0398e-16	9.3905e-18
3406.0600	3.0352e-16	1.0393e-17
3413.0600	3.0491e-16	1.1528e-17
3420.0600	3.0893e-16	1.3267e-17
3427.0600	3.1453e-16	1.2866e-17
3434.0600	3.2130e-16	1.0953e-17
3441.0600	3.2857e-16	8.3871e-18
3448.0600	3.3503e-16	8.3287e-18
3455.0600	3.4085e-16	8.0471e-18
3462.0600	3.4500e-16	7.9549e-18
3469.0600	3.4749e-16	7.2097e-18
3476.0600	3.4789e-16	7.0830e-18
3483.0600	3.4623e-16	7.1181e-18
3490.0600	3.4192e-16	7.4998e-18
3497.0600	3.3664e-16	7.8362e-18
3504.0600	3.3049e-16	7.6135e-18
3511.0600	3.2474e-16	6.2342e-18
3518.0600	3.2045e-16	4.6544e-18
3525.0600	3.1698e-16	4.0009e-18
3532.0600	3.1385e-16	4.0311e-18
3539.0600	3.1114e-16	2.7441e-18
3546.0600	3.0839e-16	2.6562e-18
3553.0600	3.0595e-16	2.7368e-18
3560.0600	3.0415e-16	3.7915e-18
3567.0600	3.0286e-16	4.1492e-18
3574.0600	3.0207e-16	4.1272e-18
3581.0600	3.0140e-16	4.1974e-18
3588.0600	3.0095e-16	5.7305e-18
3595.0600	3.0112e-16	8.1619e-18
3602.0600	3.0199e-16	9.0273e-18
3609.0600	3.0346e-16	7.8648e-18
3616.0600	3.0553e-16	6.5991e-18
3623.0600	3.0740e-16	7.0073e-18
3630.0600	3.0880e-16	1.0203e-17
3637.0600	3.0993e-16	1.1912e-17
3644.0600	3.1047e-16	1.0520e-17
3651.0600	3.1044e-16	8.2602e-18
3658.0600	3.0988e-16	8.0822e-18
3665.0600	3.0929e-16	1.0552e-17
3672.0600	3.0778e-16	1.1915e-17
3679.0600	3.0553e-16	1.0545e-17
3686.0600	3.0253e-16	7.5521e-18
3693.0600	2.9882e-16	6.1075e-18
3700.0600	2.9455e-16	6.6283e-18
3707.0600	2.9009e-16	6.7580e-18
3714.0600	2.8627e-16	5.2126e-18
3721.0600	2.8318e-16	2.8278e-18
3728.0600	2.8061e-16	1.9151e-18
3735.0600	2.7799e-16	1.5484e-18
3742.0600	2.7552e-16	1.7348e-18
3749.0600	2.7283e-16	1.3926e-18
3756.0600	2.6947e-16	1.7996e-18
3763.0600	2.6560e-16	1.9662e-18
3770.0600	2.6200e-16	3.0148e-18
3777.0600	2.5885e-16	3.8955e-18
3784.0600	2.5634e-16	4.8112e-18
3791.0600	2.5476e-16	3.9392e-18
3798.0600	2.5369e-16	3.6111e-18
3805.0600	2.5260e-16	6.1465e-18
3812.0600	2.5142e-16	7.5700e-18
3819.0600	2.4971e-16	8.1493e-18
3826.0600	2.4746e-16	7.6296e-18
3833.0600	2.4530e-16	5.5876e-18
3840.0600	2.4335e-16	6.0967e-18
3847.0600	2.4154e-16	8.0211e-18
3854.0600	2.3991e-16	8.6200e-18
3861.0600	2.3866e-16	7.9720e-18
3868.0600	2.3729e-16	6.2417e-18
3875.0600	2.3573e-16	4.6213e-18
3882.0600	2.3400e-16	6.1091e-18
3889.0600	2.3224e-16	7.9194e-18
3896.0600	2.3069e-16	7.7815e-18
3903.0600	2.3002e-16	6.3166e-18
3910.0600	2.3085e-16	5.5763e-18
3917.0600	2.3310e-16	6.9242e-18
3924.0600	2.3608e-16	8.2810e-18
3931.0600	2.3913e-16	8.5503e-18
3938.0600	2.4140e-16	6.7574e-18
3945.0600	2.4254e-16	6.3738e-18
3952.0600	2.4208e-16	9.0791e-18
3959.0600	2.4022e-16	1.0756e-17
3966.0600	2.3770e-16	1.0786e-17
3973.0600	2.3533e-16	9.1326e-18
3980.0600	2.3317e-16	8.6232e-18
3987.0600	2.3169e-16	1.1667e-17
3994.0600	2.3145e-16	1.3724e-17
4001.0600	2.3223e-16	1.3301e-17
4008.0600	2.3376e-16	1.0960e-17
4015.0600	2.3576e-16	7.9426e-18
4022.0600	2.3843e-16	9.5457e-18
4029.0600	2.4166e-16	1.1701e-17
4036.0600	2.4590e-16	1.1196e-17
4043.0600	2.5099e-16	8.8446e-18
4050.0600	2.5639e-16	5.2899e-18
4057.0600	2.6167e-16	4.9942e-18
4064.0600	2.6614e-16	6.1472e-18
4071.0600	2.6879e-16	5.7872e-18
4078.0600	2.6893e-16	4.1852e-18
4085.0600	2.6667e-16	3.1471e-18
4092.0600	2.6185e-16	3.2296e-18
4099.0600	2.5555e-16	3.2481e-18
4106.0600	2.4836e-16	3.7965e-18
4113.0600	2.4094e-16	3.9438e-18
4120.0600	2.3401e-16	4.3492e-18
4127.0600	2.2830e-16	4.1907e-18
4134.0600	2.2340e-16	3.3850e-18
4141.0600	2.1986e-16	3.1460e-18
4148.0600	2.1758e-16	3.1709e-18
4155.0600	2.1635e-16	3.1215e-18
4162.0600	2.1647e-16	2.5630e-18
4169.0600	2.1826e-16	1.9711e-18
4176.0600	2.2092e-16	1.6475e-18
4183.0600	2.2419e-16	1.4471e-18
4190.0600	2.2810e-16	1.4139e-18
4197.0600	2.3165e-16	1.3293e-18
4204.0600	2.3428e-16	1.9701e-18
4211.0600	2.3574e-16	1.9323e-18
4218.0600	2.3649e-16	1.4421e-18
4225.0600	2.3618e-16	1.4634e-18
4232.0600	2.3565e-16	2.5783e-18
4239.0600	2.3474e-16	3.8308e-18
4246.0600	2.3369e-16	4.0850e-18
4253.0600	2.3211e-16	3.3007e-18
4260.0600	2.3045e-16	2.6553e-18
4267.0600	2.2818e-16	3.1983e-18
4274.0600	2.2565e-16	4.4137e-18
4281.0600	2.2308e-16	4.6907e-18
4288.0600	2.2098e-16	3.7661e-18
4295.0600	2.1909e-16	3.0065e-18
4302.0600	2.1724e-16	3.3498e-18
4309.0600	2.1520e-16	3.6365e-18
4316.0600	2.1286e-16	3.7601e-18
4323.0600	2.0979e-16	2.9775e-18
4330.0600	2.0593e-16	2.6449e-18
4337.0600	2.0170e-16	3.7174e-18
4344.0600	1.9709e-16	3.8368e-18
4351.0600	1.9247e-16	3.4511e-18
4358.0600	1.8858e-16	4.2300e-18
4365.0600	1.8558e-16	4.6841e-18
4372.0600	1.8315e-16	5.2529e-18
4379.0600	1.8134e-16	5.0735e-18
4386.0600	1.8024e-16	3.9733e-18
4393.0600	1.7939e-16	4.8752e-18
4400.0600	1.7865e-16	5.7468e-18
4407.0600	1.7800e-16	5.7352e-18
4414.0600	1.7782e-16	5.3604e-18
4421.0600	1.7767e-16	4.1187e-18
4428.0600	1.7787e-16	4.1860e-18
4435.0600	1.7821e-16	4.9764e-18
4442.0600	1.7897e-16	4.7203e-18
4449.0600	1.7965e-16	4.1844e-18
4456.0600	1.8047e-16	3.3606e-18
4463.0600	1.8083e-16	1.9767e-18
4470.0600	1.8122e-16	2.1172e-18
4477.0600	1.8182e-16	1.8890e-18
4484.0600	1.8313e-16	1.2304e-18
4491.0600	1.8465e-16	1.0356e-18
4498.0600	1.8672e-16	5.5910e-19
4505.0600	1.8899e-16	7.7336e-19
4512.0600	1.9073e-16	7.9315e-19
4519.0600	1.9138e-16	1.1353e-18
4526.0600	1.9104e-16	1.4747e-18
4533.0600	1.8990e-16	1.6607e-18
4540.0600	1.8802e-16	1.5768e-18
4547.0600	1.8605e-16	2.4560e-18
4554.0600	1.8436e-16	3.7757e-18
4561.0600	1.8311e-16	4.5959e-18
4568.0600	1.8234e-16	5.1208e-18
4575.0600	1.8209e-16	4.5605e-18
4582.0600	1.8214e-16	3.5238e-18
4589.0600	1.8252e-16	4.9140e-18
4596.0600	1.8322e-16	6.4057e-18
4603.0600	1.8396e-16	6.6856e-18
4610.0600	1.8463e-16	6.1358e-18
4617.0600	1.8502e-16	4.2997e-18
4624.0600	1.8504e-16	3.1070e-18
4631.0600	1.8454e-16	4.2855e-18
4638.0600	1.8355e-16	5.0783e-18
4645.0600	1.8208e-16	4.5400e-18
4652.0600	1.8021e-16	3.5946e-18
4659.0600	1.7775e-16	2.5233e-18
4666.0600	1.7504e-16	1.7280e-18
4673.0600	1.7230e-16	2.1752e-18
4680.0600	1.6993e-16	2.6557e-18
4687.0600	1.6797e-16	2.3343e-18
4694.0600	1.6663e-16	2.0919e-18
4701.0600	1.6596e-16	1.8944e-18
4708.0600	1.6577e-16	1.2043e-18
4715.0600	1.6570e-16	1.4246e-18
4722.0600	1.6602e-16	2.4094e-18
4729.0600	1.6704e-16	2.8275e-18
4736.0600	1.6864e-16	2.9635e-18
4743.0600	1.7096e-16	2.7567e-18
4750.0600	1.7392e-16	2.1048e-18
4757.0600	1.7724e-16	1.4351e-18
4764.0600	1.8088e-16	2.8575e-18
4771.0600	1.8437e-16	3.6521e-18
4778.0600	1.8731e-16	4.3239e-18
4785.0600	1.8992e-16	4.5902e-18
4792.0600	1.9199e-16	3.8186e-18
4799.0600	1.9351e-16	3.2065e-18
4806.0600	1.9443e-16	3.9888e-18
4813.0600	1.9476e-16	5.3341e-18
4820.0600	1.9442e-16	5.7427e-18
4827.0600	1.9356e-16	5.0157e-18
4834.0600	1.9206e-16	3.1687e-18
4841.0600	1.9032e-16	2.8992e-18
4848.0600	1.8859e-16	4.1386e-18
4855.0600	1.8697e-16	4.5001e-18
4862.0600	1.8566e-16	3.8359e-18
4869.0600	1.8480e-16	2.7562e-18
4876.0600	1.8452e-16	2.5781e-18
4883.0600	1.8463e-16	2.6133e-18
4890.0600	1.8489e-16	2.8177e-18
4897.0600	1.8533e-16	2.2688e-18
4904.0600	1.8564e-16	1.7721e-18
4911.0600	1.8557e-16	1.3475e-18
4918.0600	1.8540e-16	1.4676e-18
4925.0600	1.8519e-16	1.4634e-18
4932.0600	1.8497e-16	1.2595e-18
4939.0600	1.8500e-16	1.0145e-18
4946.0600	1.8520e-16	5.4934e-19
4953.0600	1.8548e-16	5.9205e-19
4960.0600	1.8596e-16	5.5430e-19
4967.0600	1.8631e-16	4.3357e-19
4974.0600	1.8634e-16	3.7361e-19
4981.0600	1.8622e-16	4.5141e-19
4988.0600	1.8584e-16	5.4845e-19
4995.0600	1.8544e-16	5.2663e-19
5002.0600	1.8516e-16	4.2204e-19
5009.0600	1.8506e-16	4.3072e-19
5016.0600	1.8519e-16	7.2929e-19
5023.0600	1.8566e-16	1.1398e-18
5030.0600	1.8625e-16	1.1846e-18
5037.0600	1.8706e-16	1.0242e-18
5044.0600	1.8806e-16	9.2583e-19
5051.0600	1.8921e-16	1.1489e-18
5058.0600	1.9046e-16	1.5893e-18
5065.0600	1.9175e-16	1.6949e-18
5072.0600	1.9303e-16	1.3664e-18
5079.0600	1.9424e-16	1.0043e-18
5086.0600	1.9532e-16	8.9444e-19
5093.0600	1.9624e-16	9.9434e-19
5100.0600	1.9695e-16	1.0541e-18
5107.0600	1.9724e-16	7.7959e-19
5114.0600	1.9743e-16	4.0907e-19
5121.0600	1.9738e-16	1.8464e-19
5128.0600	1.9725e-16	2.8792e-19
5135.0600	1.9720e-16	4.8816e-19
5142.0600	1.9752e-16	6.3716e-19
5149.0600	1.9804e-16	6.3699e-19
5156.0600	1.9854e-16	6.1566e-19
5163.0600	1.9876e-16	1.0676e-18
5170.0600	1.9839e-16	1.8992e-18
5177.0600	1.9737e-16	2.8190e-18
5184.0600	1.9563e-16	2.6934e-18
