#wls	flux	flux_err
3626.7774	1.4058e-15	3.5914e-17
3629.0651	1.3989e-15	3.5914e-17
3631.3527	1.3920e-15	3.5914e-17
3633.6403	1.3860e-15	3.5914e-17
3635.9279	1.3802e-15	3.5914e-17
3638.2156	1.3744e-15	3.5914e-17
3640.5032	1.3684e-15	3.5914e-17
3642.7908	1.3626e-15	3.5914e-17
3645.0784	1.3559e-15	3.5914e-17
3647.3660	1.3493e-15	3.5914e-17
3649.6537	1.3426e-15	3.5914e-17
3651.9413	1.3360e-15	3.4043e-17
3654.2289	1.3290e-15	3.3244e-17
3656.5165	1.3235e-15	2.6565e-17
3658.8041	1.3191e-15	2.0182e-17
3661.0918	1.3158e-15	1.9068e-17
3663.3794	1.3137e-15	1.9838e-17
3665.6670	1.3125e-15	1.9854e-17
3667.9546	1.3114e-15	1.9641e-17
3670.2423	1.3107e-15	2.0219e-17
3672.5299	1.3105e-15	2.7042e-17
3674.8175	1.3109e-15	3.0651e-17
3677.1051	1.3118e-15	3.5464e-17
3679.3927	1.3128e-15	3.9210e-17
3681.6804	1.3138e-15	4.0999e-17
3683.9680	1.3149e-15	4.1036e-17
3686.2556	1.3162e-15	4.0923e-17
3688.5432	1.3177e-15	4.0493e-17
3690.8309	1.3202e-15	4.0682e-17
3693.1185	1.3234e-15	4.0345e-17
3695.4061	1.3266e-15	3.9601e-17
3697.6937	1.3302e-15	3.8397e-17
3699.9813	1.3348e-15	3.6322e-17
3702.2690	1.3395e-15	3.3778e-17
3704.5566	1.3439e-15	3.3878e-17
3706.8442	1.3476e-15	3.3814e-17
3709.1318	1.3511e-15	3.3840e-17
3711.4194	1.3535e-15	3.4862e-17
3713.7071	1.3549e-15	3.6123e-17
3715.9947	1.3554e-15	3.7448e-17
3718.2823	1.3557e-15	3.9640e-17
3720.5699	1.3553e-15	3.8593e-17
3722.8576	1.3537e-15	3.7910e-17
3725.1452	1.3512e-15	3.6073e-17
3727.4328	1.3478e-15	3.4773e-17
3729.7204	1.3432e-15	3.8134e-17
3732.0080	1.3360e-15	4.0310e-17
3734.2957	1.3279e-15	4.1626e-17
3736.5833	1.3195e-15	4.1617e-17
3738.8709	1.3117e-15	4.1139e-17
3741.1585	1.3037e-15	4.0983e-17
3743.4462	1.2956e-15	4.0982e-17
3745.7338	1.2879e-15	4.0692e-17
3748.0214	1.2794e-15	4.0573e-17
3750.3090	1.2696e-15	4.0322e-17
3752.5966	1.2593e-15	3.9779e-17
3754.8843	1.2494e-15	3.9305e-17
3757.1719	1.2398e-15	3.9654e-17
3759.4595	1.2305e-15	3.9927e-17
3761.7471	1.2213e-15	4.0135e-17
3764.0347	1.2129e-15	4.0312e-17
3766.3224	1.2044e-15	3.6863e-17
3768.6100	1.1962e-15	3.5387e-17
3770.8976	1.1883e-15	3.4351e-17
3773.1852	1.1811e-15	3.4095e-17
3775.4729	1.1743e-15	3.4453e-17
3777.7605	1.1684e-15	3.4464e-17
3780.0481	1.1619e-15	3.5633e-17
3782.3357	1.1553e-15	3.6831e-17
3784.6233	1.1485e-15	3.9885e-17
3786.9110	1.1419e-15	4.1639e-17
3789.1986	1.1355e-15	4.1708e-17
3791.4862	1.1294e-15	4.2064e-17
3793.7738	1.1229e-15	4.3561e-17
3796.0615	1.1152e-15	4.5995e-17
3798.3491	1.1077e-15	4.7703e-17
3800.6367	1.0999e-15	4.9874e-17
3802.9243	1.0920e-15	5.3074e-17
3805.2119	1.0846e-15	5.4372e-17
3807.4996	1.0792e-15	5.3198e-17
3809.7872	1.0737e-15	5.0395e-17
3812.0748	1.0694e-15	4.6477e-17
3814.3624	1.0656e-15	4.3301e-17
