#wls	flux	flux_err
3446.7000	1.3738e-16	4.8753e-17
3451.1200	1.5251e-16	4.8753e-17
3455.5400	1.7022e-16	4.8753e-17
3459.9700	1.8613e-16	4.8753e-17
3464.3900	1.9795e-16	3.5832e-17
3468.8100	2.0624e-16	2.8593e-17
3473.2400	2.1391e-16	2.9820e-17
3477.6600	2.1799e-16	3.0028e-17
3482.0800	2.2213e-16	2.8609e-17
3486.5100	2.3093e-16	2.2893e-17
3490.9300	2.4045e-16	2.7087e-17
3495.3500	2.4691e-16	2.7746e-17
3499.7800	2.5116e-16	2.8379e-17
3504.2000	2.5410e-16	2.8198e-17
3508.6200	2.5402e-16	2.8100e-17
3513.0500	2.5537e-16	2.8799e-17
3517.4700	2.5834e-16	2.8539e-17
3521.8900	2.6414e-16	2.8716e-17
3526.3200	2.7098e-16	2.5099e-17
3530.7400	2.8130e-16	3.6687e-17
3535.1600	2.9242e-16	5.1816e-17
3539.5900	3.0609e-16	5.5135e-17
3544.0100	3.1086e-16	5.2555e-17
3548.4300	3.1635e-16	4.4922e-17
3552.8600	3.1937e-16	5.2344e-17
3557.2800	3.2014e-16	6.3688e-17
3561.7000	3.1899e-16	6.3766e-17
3566.1300	3.1897e-16	6.5620e-17
3570.5500	3.1889e-16	6.6057e-17
3574.9700	3.1434e-16	6.4251e-17
3579.4000	3.0853e-16	6.2123e-17
3583.8200	3.0233e-16	5.9573e-17
3588.2400	2.9469e-16	5.8091e-17
3592.6700	2.8499e-16	5.9390e-17
3597.0900	2.7700e-16	5.7809e-17
3601.5100	2.6893e-16	5.5664e-17
3605.9400	2.6129e-16	4.9630e-17
3610.3600	2.5279e-16	5.1521e-17
3614.7800	2.4254e-16	5.0829e-17
3619.2100	2.3420e-16	5.0658e-17
3623.6300	2.2952e-16	5.1550e-17
3628.0500	2.2329e-16	5.1100e-17
3632.4800	2.1982e-16	4.8224e-17
3636.9000	2.1932e-16	4.3972e-17
3641.3200	2.2130e-16	3.8204e-17
3645.7500	2.2377e-16	3.8384e-17
3650.1700	2.2948e-16	3.6110e-17
3654.5900	2.3370e-16	3.5737e-17
3659.0200	2.3767e-16	3.6214e-17
3663.4400	2.4256e-16	3.7069e-17
3667.8600	2.5040e-16	4.2886e-17
3672.2900	2.5949e-16	4.1952e-17
3676.7100	2.7132e-16	4.2033e-17
3681.1300	2.8588e-16	4.8124e-17
3685.5600	2.9562e-16	5.5994e-17
3689.9800	3.0251e-16	5.6079e-17
3694.4000	3.0613e-16	5.4800e-17
3698.8300	3.0823e-16	5.6121e-17
3703.2500	3.0853e-16	5.6271e-17
3707.6700	3.1111e-16	5.5824e-17
3712.1000	3.1064e-16	5.3731e-17
3716.5200	3.0881e-16	4.2053e-17
3720.9400	3.0667e-16	2.8054e-17
3725.3700	3.0206e-16	3.2829e-17
3729.7900	2.9388e-16	3.9691e-17
3734.2100	2.8640e-16	3.9010e-17
3738.6400	2.7830e-16	4.4446e-17
3743.0600	2.6971e-16	4.5052e-17
3747.4800	2.6153e-16	4.1755e-17
3751.9100	2.5459e-16	4.1388e-17
3756.3300	2.4751e-16	4.1562e-17
3760.7500	2.4054e-16	3.7152e-17
3765.1800	2.3361e-16	3.0487e-17
3769.6000	2.2504e-16	2.9044e-17
3774.0200	2.1669e-16	2.9331e-17
3778.4500	2.1106e-16	3.0194e-17
3782.8700	2.0928e-16	3.7239e-17
3787.2900	2.1162e-16	3.2961e-17
3791.7200	2.1572e-16	2.7447e-17
3796.1400	2.2227e-16	2.9810e-17
3800.5600	2.2818e-16	3.0686e-17
3804.9900	2.3015e-16	3.6866e-17
3809.4100	2.2841e-16	3.9318e-17
3813.8300	2.3041e-16	4.1042e-17
3818.2600	2.3260e-16	4.1487e-17
3822.6800	2.3418e-16	4.1784e-17
3827.1000	2.3760e-16	4.3378e-17
3831.5300	2.4162e-16	3.8185e-17
3835.9500	2.4480e-16	3.5914e-17
3840.3700	2.4518e-16	3.6745e-17
