#wls	flux	flux_err
4000.7300	7.9413e-17	2.7550e-17
4002.2400	7.8357e-17	2.7550e-17
4003.7600	7.7440e-17	2.7550e-17
4005.2800	7.5729e-17	2.7550e-17
4006.8000	7.4674e-17	2.7550e-17
4008.3200	7.4174e-17	2.7550e-17
4009.8400	7.3673e-17	2.7550e-17
4011.3600	7.2771e-17	2.7550e-17
4012.8800	7.1913e-17	2.7550e-17
4014.4000	7.0578e-17	2.7550e-17
4015.9200	6.9618e-17	2.7550e-17
4017.4300	6.8950e-17	2.7550e-17
4018.9500	6.8130e-17	2.7550e-17
4020.4700	6.7293e-17	2.7550e-17
4021.9900	6.6933e-17	2.7550e-17
4023.5100	6.6428e-17	2.7550e-17
4025.0300	6.6144e-17	2.7800e-17
4026.5500	6.5571e-17	2.7655e-17
4028.0700	6.4973e-17	2.5462e-17
4029.5900	6.4908e-17	2.5943e-17
4031.1100	6.5173e-17	2.8856e-17
4032.6200	6.5051e-17	3.0738e-17
4034.1400	6.5424e-17	2.7987e-17
4035.6600	6.6095e-17	2.6750e-17
4037.1800	6.6528e-17	2.6725e-17
4038.7000	6.6501e-17	2.6817e-17
4040.2200	6.7141e-17	2.7061e-17
4041.7400	6.7522e-17	2.7234e-17
4043.2600	6.7950e-17	2.7551e-17
4044.7800	6.8723e-17	3.1409e-17
4046.3000	6.9486e-17	3.1453e-17
4047.8200	7.0075e-17	3.1509e-17
4049.3300	7.0884e-17	3.1420e-17
4050.8500	7.2228e-17	3.1478e-17
4052.3700	7.3884e-17	3.1454e-17
4053.8900	7.5455e-17	2.8928e-17
4055.4100	7.6817e-17	2.7226e-17
4056.9300	7.7990e-17	2.7464e-17
4058.4500	7.9190e-17	2.8196e-17
4059.9700	8.0751e-17	2.7234e-17
4061.4900	8.2174e-17	2.7891e-17
4063.0100	8.3792e-17	2.8461e-17
4064.5200	8.5299e-17	2.8836e-17
4066.0400	8.6501e-17	2.9153e-17
4067.5600	8.8168e-17	2.9779e-17
4069.0800	8.9890e-17	2.9778e-17
4070.6000	9.1164e-17	3.0684e-17
4072.1200	9.2551e-17	3.1607e-17
4073.6400	9.3753e-17	3.1480e-17
4075.1600	9.5054e-17	3.1375e-17
4076.6800	9.6604e-17	3.1186e-17
4078.2000	9.8375e-17	2.8757e-17
4079.7200	1.0003e-16	2.7470e-17
4081.2300	1.0089e-16	2.7301e-17
4082.7500	1.0256e-16	2.7979e-17
4084.2700	1.0467e-16	2.8721e-17
4085.7900	1.0579e-16	2.8540e-17
4087.3100	1.0658e-16	2.8125e-17
4088.8300	1.0719e-16	2.8679e-17
4090.3500	1.0762e-16	2.8624e-17
4091.8700	1.0774e-16	2.2984e-17
4093.3900	1.0832e-16	2.2267e-17
4094.9100	1.0932e-16	2.2881e-17
4096.4200	1.0913e-16	2.2868e-17
4097.9400	1.0890e-16	2.3056e-17
4099.4600	1.0867e-16	2.2919e-17
4100.9800	1.0937e-16	2.3529e-17
4102.5000	1.1114e-16	2.4915e-17
4104.0200	1.1175e-16	2.5112e-17
4105.5400	1.1227e-16	2.2807e-17
4107.0600	1.1264e-16	2.3477e-17
4108.5800	1.1507e-16	2.3050e-17
4110.1000	1.1695e-16	2.2797e-17
4111.6200	1.1692e-16	2.2480e-17
4113.1300	1.1756e-16	2.3334e-17
4114.6500	1.1834e-16	2.2858e-17
4116.1700	1.1889e-16	2.2873e-17
4117.6900	1.1929e-16	2.2051e-17
4119.2100	1.1942e-16	2.0564e-17
4120.7300	1.1931e-16	2.0571e-17
4122.2500	1.1945e-16	2.1205e-17
4123.7700	1.1952e-16	2.1269e-17
4125.2900	1.1942e-16	2.0677e-17
4126.8100	1.1959e-16	2.0752e-17
4128.3200	1.1803e-16	2.1410e-17
4129.8400	1.1674e-16	2.0160e-17
4131.3600	1.1652e-16	1.8166e-17
4132.8800	1.1569e-16	1.7775e-17
