#wls	flux	flux_err
3213.6690	5.5762e+04	1.9158e+04
3215.4110	5.8012e+04	1.9158e+04
3217.1530	5.9522e+04	1.9158e+04
3218.8950	6.1015e+04	1.9158e+04
3220.6370	6.2621e+04	1.9158e+04
3222.3790	6.3859e+04	1.9158e+04
3224.1220	6.5279e+04	1.9158e+04
3225.8640	6.6933e+04	1.9158e+04
3227.6060	6.8810e+04	1.9167e+04
3229.3480	7.0758e+04	1.9227e+04
3231.0900	7.2207e+04	1.9186e+04
3232.8320	7.3679e+04	1.9152e+04
3234.5740	7.5005e+04	1.9093e+04
3236.3170	7.6428e+04	1.8649e+04
3238.0590	7.7748e+04	1.8200e+04
3239.8010	7.8480e+04	1.8591e+04
3241.5430	7.9448e+04	1.7807e+04
3243.2850	8.0569e+04	1.8325e+04
3245.0270	8.1540e+04	1.7688e+04
3246.7690	8.1992e+04	1.7286e+04
3248.5120	8.2399e+04	1.7185e+04
3250.2540	8.2847e+04	1.7374e+04
3251.9960	8.2955e+04	1.6673e+04
3253.7380	8.3233e+04	1.6083e+04
3255.4800	8.3554e+04	1.5997e+04
3257.2220	8.3716e+04	1.5862e+04
3258.9640	8.4060e+04	1.7821e+04
3260.7070	8.4323e+04	1.7581e+04
3262.4490	8.4380e+04	1.7928e+04
3264.1910	8.4003e+04	1.7505e+04
3265.9330	8.3559e+04	1.7853e+04
3267.6750	8.2993e+04	1.8123e+04
3269.4170	8.2531e+04	1.7713e+04
3271.1590	8.2217e+04	1.7156e+04
3272.9020	8.1711e+04	1.7176e+04
3274.6440	8.1220e+04	1.7189e+04
3276.3860	8.0498e+04	1.6564e+04
3278.1280	7.9706e+04	1.6518e+04
3279.8700	7.9156e+04	1.6475e+04
3281.6120	7.8634e+04	1.6490e+04
3283.3540	7.8190e+04	1.6342e+04
3285.0970	7.7524e+04	1.5707e+04
3286.8390	7.7085e+04	1.5677e+04
3288.5810	7.6733e+04	1.5804e+04
3290.3230	7.6527e+04	1.6119e+04
3292.0650	7.6108e+04	1.6850e+04
3293.8070	7.5797e+04	1.6902e+04
3295.5490	7.5671e+04	1.6847e+04
3297.2920	7.5665e+04	1.6694e+04
3299.0340	7.6154e+04	1.7181e+04
3300.7760	7.6517e+04	1.7420e+04
3302.5180	7.7191e+04	1.7459e+04
3304.2600	7.7729e+04	1.7573e+04
3306.0020	7.8226e+04	1.8172e+04
3307.7440	7.8484e+04	1.6192e+04
3309.4870	7.9007e+04	1.6027e+04
3311.2290	7.9142e+04	1.5427e+04
3312.9710	7.9700e+04	1.5640e+04
3314.7130	8.0108e+04	1.4915e+04
3316.4550	8.0177e+04	1.4248e+04
3318.1970	8.0614e+04	1.4084e+04
3319.9390	8.0504e+04	1.4360e+04
3321.6820	8.0236e+04	1.4723e+04
3323.4240	8.1055e+04	1.4831e+04
3325.1660	8.2226e+04	1.4914e+04
3326.9080	8.2324e+04	1.4874e+04
3328.6500	8.2374e+04	1.5353e+04
3330.3920	8.2656e+04	1.5397e+04
3332.1350	8.2951e+04	1.5396e+04
3333.8770	8.3673e+04	1.5406e+04
3335.6190	8.3764e+04	1.5685e+04
3337.3610	8.3924e+04	1.5332e+04
3339.1030	8.4098e+04	1.5319e+04
3340.8450	8.4072e+04	1.4166e+04
3342.5870	8.4228e+04	1.4037e+04
3344.3300	8.4717e+04	1.3941e+04
3346.0720	8.5520e+04	1.3886e+04
3347.8140	8.6048e+04	1.2529e+04
3349.5560	8.6420e+04	1.1465e+04
3351.2980	8.7388e+04	1.1177e+04
3353.0400	8.8123e+04	1.1341e+04
3354.7820	8.8795e+04	1.1232e+04
3356.5250	8.9197e+04	1.1216e+04
3358.2670	8.9410e+04	1.1211e+04
3360.0090	8.9453e+04	1.1217e+04
3361.7510	8.9929e+04	1.1294e+04
3363.4930	8.9810e+04	1.0964e+04
3365.2350	9.0026e+04	1.0467e+04
3366.9770	9.0710e+04	1.0527e+04
3368.7200	9.1150e+04	1.0197e+04
3370.4620	9.1338e+04	9.7897e+03
3372.2040	9.1855e+04	9.9125e+03
3373.9460	9.1793e+04	1.0136e+04
3375.6880	9.1891e+04	1.0308e+04
3377.4300	9.2538e+04	9.8634e+03
3379.1720	9.2693e+04	9.8256e+03
3380.9150	9.3004e+04	9.8490e+03
3382.6570	9.3941e+04	1.0396e+04
3384.3990	9.4510e+04	9.8780e+03
3386.1410	9.4327e+04	8.8615e+03
3387.8830	9.4698e+04	8.5810e+03
3389.6250	9.5594e+04	8.6965e+03
3391.3670	9.6455e+04	8.7960e+03
3393.1100	9.6805e+04	8.8683e+03
3394.8520	9.6978e+04	8.8742e+03
3396.5940	9.7276e+04	8.6682e+03
3398.3360	9.7350e+04	9.3080e+03
3400.0780	9.7252e+04	9.2154e+03
3401.8200	9.7568e+04	1.0768e+04
3403.5620	9.8404e+04	1.0431e+04
3405.3050	9.8903e+04	1.0432e+04
3407.0470	9.9350e+04	1.0442e+04
3408.7890	9.9731e+04	1.0526e+04
3410.5310	1.0017e+05	1.0324e+04
3412.2730	9.9894e+04	1.0319e+04
3414.0150	9.9663e+04	1.0341e+04
3415.7570	9.9378e+04	1.0781e+04
3417.5000	9.9903e+04	1.0563e+04
3419.2420	1.0027e+05	1.0905e+04
3420.9840	1.0037e+05	1.0852e+04
3422.7260	1.0109e+05	1.0457e+04
3424.4680	1.0214e+05	1.0393e+04
3426.2100	1.0283e+05	1.0358e+04
3427.9520	1.0320e+05	1.0345e+04
3429.6950	1.0355e+05	1.0352e+04
3431.4370	1.0409e+05	1.0050e+04
3433.1790	1.0437e+05	1.0320e+04
3434.9210	1.0472e+05	1.0802e+04
3436.6630	1.0491e+05	1.0775e+04
3438.4050	1.0463e+05	1.0631e+04
3440.1470	1.0504e+05	1.0751e+04
3441.8900	1.0557e+05	1.0554e+04
3443.6320	1.0578e+05	1.0539e+04
3445.3740	1.0576e+05	1.0603e+04
3447.1160	1.0588e+05	9.9473e+03
3448.8580	1.0598e+05	1.0013e+04
3450.6000	1.0588e+05	8.3998e+03
3452.3420	1.0603e+05	8.3767e+03
3454.0850	1.0598e+05	9.4588e+03
3455.8270	1.0600e+05	9.4833e+03
3457.5690	1.0604e+05	9.6173e+03
3459.3110	1.0548e+05	9.5899e+03
3461.0530	1.0449e+05	9.7733e+03
3462.7950	1.0369e+05	9.7312e+03
3464.5370	1.0326e+05	9.8223e+03
3466.2800	1.0284e+05	1.0580e+04
3468.0220	1.0271e+05	1.0407e+04
3469.7640	1.0244e+05	1.0179e+04
3471.5060	1.0198e+05	1.0191e+04
3473.2480	1.0163e+05	1.0239e+04
3474.9900	1.0067e+05	1.0338e+04
3476.7320	1.0030e+05	1.1907e+04
3478.4750	9.9960e+04	1.2275e+04
3480.2170	9.9502e+04	1.2724e+04
3481.9590	9.9183e+04	1.2573e+04
3483.7010	9.8610e+04	1.2132e+04
3485.4430	9.8175e+04	1.1837e+04
3487.1850	9.8101e+04	1.1835e+04
3488.9270	9.7848e+04	1.2093e+04
3490.6700	9.7548e+04	1.2868e+04
3492.4120	9.7420e+04	1.2973e+04
3494.1540	9.7051e+04	1.2855e+04
3495.8960	9.6968e+04	1.3006e+04
3497.6380	9.7114e+04	1.3757e+04
3499.3800	9.7005e+04	1.4124e+04
3501.1220	9.7402e+04	1.4138e+04
3502.8650	9.7308e+04	1.3548e+04
3504.6070	9.7273e+04	1.3574e+04
3506.3490	9.7156e+04	1.3498e+04
3508.0910	9.7310e+04	1.3450e+04
3509.8330	9.7418e+04	1.3301e+04
3511.5750	9.7507e+04	1.3295e+04
3513.3170	9.8042e+04	1.2680e+04
3515.0600	9.8212e+04	1.2125e+04
3516.8020	9.8218e+04	1.1427e+04
3518.5440	9.8286e+04	1.2053e+04
3520.2860	9.8602e+04	1.2820e+04
3522.0280	9.9320e+04	1.3390e+04
3523.7700	9.9754e+04	1.3504e+04
3525.5120	9.9490e+04	1.2649e+04
3527.2550	9.9734e+04	1.2452e+04
3528.9970	1.0015e+05	1.1791e+04
3530.7390	1.0052e+05	1.1706e+04
3532.4810	1.0082e+05	1.2237e+04
3534.2230	1.0084e+05	1.2748e+04
3535.9650	1.0104e+05	1.2770e+04
3537.7070	1.0139e+05	1.2695e+04
3539.4500	1.0145e+05	1.2011e+04
3541.1920	1.0152e+05	1.1903e+04
3542.9340	1.0215e+05	1.1890e+04
3544.6760	1.0251e+05	1.1852e+04
3546.4180	1.0259e+05	1.0882e+04
3548.1600	1.0278e+05	1.0307e+04
3549.9020	1.0319e+05	1.0594e+04
3551.6450	1.0337e+05	1.1223e+04
3553.3870	1.0345e+05	1.1027e+04
3555.1290	1.0335e+05	1.1154e+04
3556.8710	1.0348e+05	1.1252e+04
3558.6130	1.0369e+05	1.1127e+04
3560.3550	1.0382e+05	1.1212e+04
3562.0970	1.0402e+05	1.1948e+04
3563.8400	1.0427e+05	1.1154e+04
3565.5820	1.0472e+05	1.0755e+04
3567.3240	1.0502e+05	1.0557e+04
