#wls	flux	flux_err
3654.1480	2.0367e+05	6.7981e+04
3656.4360	2.0454e+05	6.7853e+04
3658.7230	2.0611e+05	6.7247e+04
3661.0110	2.0352e+05	6.5417e+04
3663.2980	1.9941e+05	6.4146e+04
3665.5860	1.9694e+05	5.8428e+04
3667.8730	1.9509e+05	5.8797e+04
3670.1610	1.9536e+05	5.9602e+04
3672.4480	1.9679e+05	5.9057e+04
3674.7360	1.9619e+05	5.9093e+04
3677.0240	1.9675e+05	5.7604e+04
3679.3110	1.9621e+05	5.8059e+04
3681.5990	1.9541e+05	5.2038e+04
3683.8860	1.9433e+05	5.1360e+04
3686.1740	1.9431e+05	5.2446e+04
3688.4610	1.9348e+05	5.4790e+04
3690.7490	1.9495e+05	5.5224e+04
3693.0370	1.9650e+05	5.3910e+04
3695.3240	1.9614e+05	5.4627e+04
3697.6120	1.9717e+05	4.9557e+04
3699.8990	1.9636e+05	4.6617e+04
3702.1870	1.9795e+05	4.6880e+04
3704.4740	1.9856e+05	4.6837e+04
3706.7620	1.9834e+05	4.6652e+04
3709.0500	1.9831e+05	4.6274e+04
3711.3370	1.9841e+05	4.4254e+04
3713.6250	1.9872e+05	4.4605e+04
3715.9120	2.0116e+05	4.4605e+04
3718.2000	2.0465e+05	4.4109e+04
3720.4870	2.0790e+05	4.4029e+04
3722.7750	2.0969e+05	4.4817e+04
3725.0630	2.1051e+05	4.6634e+04
3727.3500	2.1219e+05	4.1468e+04
3729.6380	2.1385e+05	4.1025e+04
3731.9250	2.1379e+05	4.1129e+04
3734.2130	2.1310e+05	4.4815e+04
3736.5000	2.1259e+05	4.6929e+04
3738.7880	2.1232e+05	4.6920e+04
3741.0750	2.0955e+05	4.7932e+04
3743.3630	2.1013e+05	4.6069e+04
3745.6510	2.1176e+05	4.5884e+04
3747.9380	2.1283e+05	4.6106e+04
3750.2260	2.1292e+05	4.4669e+04
3752.5130	2.1493e+05	4.5503e+04
3754.8010	2.1335e+05	4.4926e+04
3757.0880	2.0958e+05	4.4957e+04
3759.3760	2.1098e+05	4.5517e+04
3761.6640	2.1227e+05	4.5516e+04
3763.9510	2.1425e+05	4.6929e+04
3766.2390	2.1388e+05	4.7096e+04
3768.5260	2.1624e+05	4.8580e+04
3770.8140	2.1909e+05	4.7995e+04
3773.1010	2.2105e+05	4.4088e+04
3775.3890	2.2232e+05	4.4351e+04
3777.6770	2.2471e+05	4.5031e+04
3779.9640	2.2690e+05	4.4730e+04
3782.2520	2.2879e+05	3.7575e+04
3784.5390	2.2891e+05	3.3276e+04
3786.8270	2.2766e+05	3.4571e+04
3789.1140	2.2641e+05	3.2810e+04
3791.4020	2.2441e+05	3.2308e+04
3793.6890	2.2268e+05	3.6732e+04
3795.9770	2.2149e+05	4.1181e+04
3798.2650	2.1945e+05	4.0538e+04
3800.5520	2.2092e+05	4.0293e+04
3802.8400	2.2425e+05	4.0361e+04
3805.1270	2.2464e+05	4.0578e+04
3807.4150	2.2622e+05	4.0135e+04
3809.7020	2.2643e+05	4.1858e+04
3811.9900	2.2445e+05	3.9883e+04
3814.2780	2.2540e+05	3.9822e+04
3816.5650	2.2500e+05	4.0942e+04
3818.8530	2.2261e+05	4.1109e+04
3821.1400	2.2080e+05	4.2382e+04
3823.4280	2.2180e+05	4.0736e+04
3825.7150	2.2385e+05	4.1808e+04
3828.0030	2.2533e+05	4.2720e+04
3830.2910	2.2712e+05	4.4524e+04
3832.5780	2.2709e+05	5.1888e+04
3834.8660	2.2869e+05	5.1276e+04
3837.1530	2.2795e+05	5.3492e+04
3839.4410	2.2812e+05	5.3919e+04
3841.7280	2.2879e+05	5.0678e+04
3844.0160	2.2728e+05	4.6704e+04
3846.3040	2.2659e+05	5.0194e+04
3848.5910	2.3008e+05	5.0180e+04
3850.8790	2.2947e+05	5.0201e+04
3853.1660	2.2965e+05	4.9056e+04
3855.4540	2.3090e+05	5.2554e+04
3857.7410	2.2920e+05	5.6917e+04
3860.0290	2.3131e+05	5.7396e+04
3862.3160	2.3247e+05	5.8182e+04
3864.6040	2.3460e+05	5.6900e+04
3866.8920	2.3622e+05	5.7772e+04
3869.1790	2.3863e+05	5.6728e+04
3871.4670	2.3993e+05	5.6810e+04
3873.7540	2.4332e+05	5.7778e+04
3876.0420	2.4417e+05	5.6877e+04
3878.3290	2.4721e+05	5.5988e+04
3880.6170	2.4864e+05	4.9709e+04
3882.9050	2.4877e+05	4.8601e+04
3885.1920	2.5016e+05	4.7613e+04
3887.4800	2.5487e+05	4.8065e+04
3889.7670	2.5960e+05	4.6929e+04
3892.0550	2.6131e+05	4.7015e+04
3894.3420	2.6641e+05	4.6543e+04
3896.6300	2.6826e+05	5.0595e+04
3898.9180	2.7073e+05	4.9657e+04
3901.2050	2.7324e+05	4.9632e+04
3903.4930	2.7624e+05	4.6659e+04
3905.7800	2.7844e+05	4.6212e+04
3908.0680	2.8219e+05	4.4743e+04
3910.3550	2.8308e+05	4.4835e+04
3912.6430	2.8359e+05	4.4866e+04
3914.9310	2.8398e+05	4.5237e+04
3917.2180	2.8473e+05	4.8410e+04
3919.5060	2.8420e+05	4.8786e+04
3921.7930	2.8305e+05	4.8527e+04
3924.0810	2.8533e+05	5.0147e+04
3926.3680	2.8233e+05	4.9788e+04
3928.6560	2.8060e+05	4.8756e+04
3930.9430	2.8071e+05	4.8953e+04
3933.2310	2.7970e+05	4.8388e+04
3935.5190	2.8099e+05	4.7992e+04
3937.8060	2.7949e+05	4.9156e+04
3940.0940	2.7774e+05	4.9939e+04
3942.3810	2.7763e+05	4.7403e+04
3944.6690	2.7558e+05	4.2346e+04
3946.9560	2.7302e+05	4.2707e+04
3949.2440	2.7039e+05	4.2627e+04
3951.5320	2.6807e+05	4.3215e+04
3953.8190	2.7002e+05	4.0616e+04
3956.1070	2.7218e+05	4.0785e+04
3958.3940	2.7283e+05	4.9485e+04
3960.6820	2.7299e+05	5.4595e+04
3962.9690	2.7086e+05	5.3329e+04
3965.2570	2.7162e+05	5.3605e+04
3967.5450	2.6908e+05	5.3398e+04
3969.8320	2.6920e+05	5.9290e+04
3972.1200	2.7054e+05	5.7780e+04
3974.4070	2.7317e+05	5.8635e+04
3976.6950	2.7423e+05	5.9004e+04
3978.9820	2.7425e+05	5.7510e+04
3981.2700	2.7151e+05	5.7589e+04
3983.5580	2.7058e+05	5.9898e+04
3985.8450	2.6892e+05	5.9061e+04
3988.1330	2.6976e+05	5.9670e+04
3990.4200	2.7275e+05	6.0733e+04
3992.7080	2.7496e+05	6.1146e+04
3994.9950	2.7672e+05	6.1455e+04
3997.2830	2.7911e+05	6.1487e+04
3999.5700	2.7942e+05	6.5808e+04
4001.8580	2.7893e+05	6.6266e+04
4004.1460	2.8208e+05	6.6258e+04
4006.4330	2.8157e+05	5.9869e+04
4008.7210	2.8075e+05	5.5921e+04
4011.0080	2.8307e+05	5.7919e+04
4013.2960	2.8356e+05	5.5519e+04
4015.5830	2.8404e+05	5.7308e+04
4017.8710	2.8819e+05	5.1704e+04
4020.1590	2.9167e+05	5.2946e+04
4022.4460	2.9232e+05	5.1613e+04
4024.7340	2.9340e+05	5.3408e+04
4027.0210	2.9718e+05	5.6830e+04
4029.3090	2.9749e+05	5.9921e+04
4031.5960	3.0061e+05	5.8220e+04
4033.8840	3.0306e+05	5.8300e+04
4036.1720	3.0388e+05	5.9016e+04
4038.4590	3.0292e+05	5.8601e+04
4040.7470	3.0139e+05	5.8253e+04
4043.0340	3.0153e+05	6.3680e+04
4045.3220	3.0245e+05	6.4268e+04
4047.6090	3.0094e+05	5.9998e+04
4049.8970	3.0059e+05	5.7831e+04
4052.1850	3.0143e+05	5.7888e+04
4054.4720	2.9830e+05	5.7891e+04
4056.7600	2.9714e+05	5.7954e+04
4059.0470	2.9405e+05	5.5782e+04
4061.3350	2.9335e+05	5.7366e+04
4063.6220	2.9195e+05	5.6050e+04
4065.9100	2.8994e+05	5.6492e+04
4068.1970	2.8840e+05	5.6386e+04
4070.4850	2.8845e+05	5.7589e+04
4072.7730	2.8766e+05	5.6066e+04
4075.0600	2.8756e+05	5.2430e+04
4077.3480	2.8406e+05	4.9535e+04
4079.6350	2.8141e+05	5.0603e+04
4081.9230	2.8086e+05	5.0645e+04
4084.2100	2.8139e+05	4.8262e+04
4086.4980	2.7885e+05	4.8319e+04
4088.7860	2.7448e+05	4.8601e+04
4091.0730	2.7283e+05	4.2472e+04
4093.3610	2.6777e+05	4.3187e+04
4095.6480	2.6772e+05	4.2945e+04
4097.9360	2.6807e+05	4.5837e+04
4100.2230	2.6575e+05	5.0582e+04
4102.5110	2.6557e+05	5.0719e+04
4104.7990	2.6425e+05	4.9583e+04
4107.0860	2.6225e+05	5.0517e+04
4109.3740	2.6155e+05	5.2425e+04
4111.6610	2.6127e+05	5.2323e+04
4113.9490	2.6127e+05	5.1234e+04
4116.2360	2.6065e+05	4.9758e+04
4118.5240	2.6071e+05	4.8314e+04
4120.8120	2.6189e+05	4.7871e+04
4123.0990	2.5949e+05	4.7796e+04
4125.3870	2.6250e+05	4.7355e+04
4127.6740	2.6359e+05	4.7946e+04
4129.9620	2.6286e+05	4.8222e+04
4132.2490	2.6392e+05	4.8061e+04
4134.5370	2.6266e+05	4.9627e+04
4136.8240	2.6291e+05	4.9378e+04
4139.1120	2.6359e+05	4.9470e+04
4141.4000	2.6310e+05	4.8528e+04
4143.6870	2.6203e+05	4.8525e+04
4145.9750	2.6283e+05	4.6141e+04
4148.2620	2.6494e+05	4.2698e+04
4150.5500	2.6780e+05	4.6201e+04
4152.8370	2.6596e+05	4.7360e+04
4155.1250	2.6540e+05	4.7432e+04
4157.4130	2.6558e+05	4.3382e+04
4159.7000	2.6414e+05	4.3650e+04
4161.9880	2.6547e+05	4.5190e+04
