#wls	flux	flux_err
3999.8100	5.1316e-02	1.9698e-02
4002.3920	5.4337e-02	2.3175e-02
4004.9750	5.7311e-02	2.2987e-02
4007.5570	6.0561e-02	2.1597e-02
4010.1400	6.3037e-02	2.2882e-02
4012.7220	6.7070e-02	2.3266e-02
4015.3050	6.9777e-02	2.5344e-02
4017.8870	7.2468e-02	2.4791e-02
4020.4700	7.4879e-02	2.3720e-02
4023.0520	7.6453e-02	2.1155e-02
4025.6350	7.7196e-02	2.1275e-02
4028.2170	7.8021e-02	1.8984e-02
4030.8000	7.8746e-02	1.9095e-02
4033.3820	8.0690e-02	1.9730e-02
4035.9650	8.1383e-02	1.8790e-02
4038.5470	8.3004e-02	1.8792e-02
4041.1290	8.4244e-02	1.9294e-02
4043.7120	8.5411e-02	1.9301e-02
4046.2940	8.5192e-02	2.0160e-02
4048.8770	8.5202e-02	2.0779e-02
4051.4590	8.5533e-02	2.1053e-02
4054.0420	8.5207e-02	2.0761e-02
4056.6240	8.4448e-02	2.0390e-02
4059.2070	8.4117e-02	2.0667e-02
4061.7890	8.3715e-02	2.1045e-02
4064.3720	8.4263e-02	2.3803e-02
4066.9540	8.4076e-02	2.3777e-02
4069.5370	8.3556e-02	2.4623e-02
4072.1190	8.3172e-02	2.4791e-02
4074.7020	8.2598e-02	2.4361e-02
4077.2840	8.1662e-02	2.4326e-02
4079.8670	8.0441e-02	2.4279e-02
4082.4490	8.0030e-02	2.4879e-02
4085.0320	7.9674e-02	2.4619e-02
4087.6140	7.9149e-02	2.4877e-02
4090.1970	7.9631e-02	2.6707e-02
4092.7790	8.0695e-02	2.8421e-02
4095.3610	8.2782e-02	2.9363e-02
4097.9440	8.3950e-02	2.9372e-02
4100.5260	8.4775e-02	2.9534e-02
4103.1090	8.5232e-02	2.9566e-02
4105.6910	8.5681e-02	3.0041e-02
4108.2740	8.8220e-02	2.9179e-02
4110.8560	8.9982e-02	2.6865e-02
4113.4390	9.2438e-02	2.6312e-02
4116.0210	9.4482e-02	2.4939e-02
4118.6040	9.6353e-02	2.3576e-02
4121.1860	9.6642e-02	2.4153e-02
4123.7690	9.7898e-02	2.3677e-02
4126.3510	9.9866e-02	2.3301e-02
4128.9340	1.0098e-01	2.3260e-02
4131.5160	1.0257e-01	2.2666e-02
4134.0990	1.0347e-01	2.1660e-02
4136.6810	1.0572e-01	2.1118e-02
4139.2640	1.0683e-01	1.9552e-02
4141.8460	1.0706e-01	1.6594e-02
4144.4290	1.0757e-01	1.5670e-02
4147.0110	1.0757e-01	1.5540e-02
4149.5930	1.0769e-01	1.4811e-02
4152.1760	1.0733e-01	1.3826e-02
4154.7580	1.0665e-01	1.3443e-02
4157.3410	1.0744e-01	1.2874e-02
4159.9230	1.0710e-01	1.2743e-02
4162.5060	1.0643e-01	1.2449e-02
4165.0880	1.0514e-01	1.1257e-02
4167.6710	1.0605e-01	1.0927e-02
4170.2530	1.0515e-01	1.2382e-02
4172.8360	1.0365e-01	1.4602e-02
4175.4180	1.0093e-01	1.5650e-02
4178.0010	9.8901e-02	1.6277e-02
4180.5830	9.7468e-02	1.6266e-02
4183.1660	9.6728e-02	1.6693e-02
4185.7480	9.6938e-02	1.6844e-02
4188.3310	9.6801e-02	1.6956e-02
4190.9130	9.7539e-02	1.7612e-02
4193.4960	9.7063e-02	1.7590e-02
