#wls	flux	flux_err
3294.2393	6.2405e-15	3.5254e-16
3296.5260	6.2908e-15	3.5254e-16
3298.8128	6.3370e-15	3.5254e-16
3301.0996	6.4094e-15	3.5254e-16
3303.3864	6.4834e-15	3.5254e-16
3305.6732	6.5463e-15	3.5254e-16
3307.9600	6.6020e-15	3.5254e-16
3310.2468	6.6832e-15	3.5254e-16
3312.5336	6.7854e-15	3.5254e-16
3314.8204	6.8803e-15	3.5254e-16
3317.1072	6.9645e-15	3.5254e-16
3319.3940	7.0199e-15	3.3843e-16
3321.6807	7.0785e-15	3.5160e-16
3323.9675	7.1503e-15	3.5005e-16
3326.2543	7.2337e-15	3.6519e-16
3328.5411	7.3281e-15	3.7001e-16
3330.8279	7.4214e-15	3.6622e-16
3333.1147	7.5051e-15	3.6962e-16
3335.4015	7.6211e-15	4.0455e-16
3337.6883	7.7199e-15	4.0262e-16
3339.9751	7.8083e-15	3.9829e-16
3342.2619	7.9042e-15	4.4584e-16
3344.5487	7.9995e-15	4.7203e-16
3346.8354	8.0915e-15	4.5726e-16
3349.1222	8.1850e-15	4.5032e-16
3351.4090	8.2838e-15	4.8115e-16
3353.6958	8.3668e-15	4.8762e-16
3355.9826	8.4515e-15	4.8582e-16
3358.2694	8.5343e-15	4.6434e-16
3360.5562	8.6187e-15	4.9244e-16
3362.8430	8.7193e-15	5.0936e-16
3365.1298	8.8154e-15	6.1175e-16
3367.4166	8.8966e-15	6.1284e-16
3369.7034	8.9827e-15	6.1360e-16
3371.9901	9.0508e-15	6.0505e-16
3374.2769	9.1246e-15	5.9586e-16
3376.5637	9.1917e-15	5.9406e-16
3378.8505	9.2448e-15	6.0512e-16
3381.1373	9.3011e-15	6.0471e-16
3383.4241	9.3601e-15	6.0103e-16
3385.7109	9.4214e-15	6.0500e-16
3387.9977	9.4848e-15	6.8072e-16
3390.2845	9.5502e-15	7.0565e-16
3392.5713	9.6178e-15	7.0121e-16
3394.8581	9.6878e-15	7.1152e-16
3397.1448	9.7450e-15	7.4469e-16
3399.4316	9.8114e-15	7.4468e-16
3401.7184	9.8609e-15	7.3499e-16
3404.0052	9.9075e-15	7.3444e-16
3406.2920	9.9362e-15	7.3496e-16
3408.5788	9.9803e-15	7.3161e-16
3410.8656	1.0003e-14	7.2556e-16
3413.1524	1.0033e-14	6.5853e-16
3415.4392	1.0070e-14	6.6498e-16
3417.7260	1.0114e-14	6.5629e-16
3420.0128	1.0154e-14	6.5547e-16
3422.2995	1.0204e-14	6.4144e-16
3424.5863	1.0257e-14	6.3708e-16
3426.8731	1.0288e-14	6.3094e-16
3429.1599	1.0340e-14	6.3704e-16
3431.4467	1.0370e-14	6.1987e-16
3433.7335	1.0401e-14	6.2450e-16
3436.0203	1.0446e-14	5.4193e-16
3438.3071	1.0466e-14	4.6941e-16
3440.5939	1.0478e-14	4.4572e-16
3442.8807	1.0513e-14	4.4372e-16
3445.1675	1.0539e-14	4.4446e-16
3447.4542	1.0550e-14	4.2382e-16
3449.7410	1.0531e-14	4.2671e-16
3452.0278	1.0533e-14	4.3105e-16
3454.3146	1.0525e-14	4.3803e-16
3456.6014	1.0521e-14	4.0969e-16
3458.8882	1.0543e-14	3.7581e-16
3461.1750	1.0542e-14	3.7605e-16
3463.4618	1.0536e-14	3.6720e-16
3465.7486	1.0558e-14	3.6684e-16
3468.0354	1.0601e-14	3.6626e-16
3470.3222	1.0635e-14	3.6281e-16
3472.6089	1.0648e-14	3.6246e-16
3474.8957	1.0658e-14	3.6306e-16
3477.1825	1.0704e-14	3.5068e-16
3479.4693	1.0722e-14	3.4174e-16
3481.7561	1.0759e-14	3.8760e-16
3484.0429	1.0816e-14	3.8766e-16
3486.3297	1.0874e-14	3.9861e-16
3488.6165	1.0895e-14	3.8686e-16
3490.9033	1.0936e-14	4.0377e-16
3493.1901	1.0943e-14	3.6517e-16
3495.4769	1.0987e-14	3.6978e-16
3497.7636	1.1039e-14	3.4933e-16
3500.0504	1.1073e-14	3.4310e-16
3502.3372	1.1119e-14	3.4136e-16
3504.6240	1.1200e-14	3.3983e-16
3506.9108	1.1277e-14	3.4127e-16
3509.1976	1.1334e-14	3.5177e-16
3511.4844	1.1356e-14	4.0326e-16
3513.7712	1.1366e-14	4.0345e-16
3516.0580	1.1380e-14	4.1570e-16
3518.3448	1.1430e-14	4.3080e-16
3520.6316	1.1490e-14	4.8181e-16
3522.9183	1.1542e-14	4.9315e-16
3525.2051	1.1589e-14	4.9404e-16
3527.4919	1.1647e-14	5.0311e-16
3529.7787	1.1703e-14	4.6508e-16
3532.0655	1.1755e-14	4.6068e-16
3534.3523	1.1767e-14	4.4292e-16
3536.6391	1.1794e-14	4.2757e-16
3538.9259	1.1842e-14	4.2555e-16
3541.2127	1.1882e-14	4.3855e-16
3543.4995	1.1910e-14	4.4550e-16
3545.7863	1.1929e-14	4.4441e-16
3548.0730	1.1939e-14	4.5928e-16
3550.3598	1.1944e-14	4.5273e-16
3552.6466	1.1978e-14	4.5643e-16
3554.9334	1.1986e-14	4.5796e-16
3557.2202	1.1993e-14	4.5714e-16
3559.5070	1.2000e-14	4.2818e-16
3561.7938	1.1988e-14	4.2871e-16
3564.0806	1.1967e-14	4.1604e-16
3566.3674	1.1953e-14	4.1012e-16
3568.6542	1.1921e-14	4.2926e-16
3570.9410	1.1913e-14	4.1390e-16
3573.2277	1.1876e-14	4.2824e-16
3575.5145	1.1840e-14	4.3315e-16
3577.8013	1.1826e-14	4.3254e-16
3580.0881	1.1799e-14	4.9636e-16
3582.3749	1.1775e-14	4.9689e-16
3584.6617	1.1726e-14	4.9800e-16
3586.9485	1.1675e-14	4.8162e-16
3589.2353	1.1616e-14	4.8264e-16
3591.5221	1.1554e-14	4.7613e-16
3593.8089	1.1490e-14	4.7076e-16
3596.0956	1.1418e-14	4.6204e-16
3598.3824	1.1345e-14	4.6343e-16
3600.6692	1.1258e-14	4.5742e-16
3602.9560	1.1151e-14	4.7845e-16
3605.2428	1.1082e-14	4.9923e-16
3607.5296	1.1000e-14	4.9470e-16
3609.8164	1.0910e-14	4.9940e-16
3612.1032	1.0826e-14	4.8352e-16
3614.3900	1.0735e-14	4.9443e-16
3616.6768	1.0629e-14	4.7923e-16
3618.9636	1.0519e-14	4.9043e-16
3621.2503	1.0414e-14	4.6548e-16
3623.5371	1.0288e-14	4.2590e-16
3625.8239	1.0170e-14	4.2181e-16
3628.1107	1.0062e-14	4.3089e-16
3630.3975	9.9450e-15	4.2973e-16
3632.6843	9.8150e-15	4.3333e-16
3634.9711	9.6729e-15	4.3526e-16
3637.2579	9.5430e-15	4.2139e-16
3639.5447	9.4207e-15	4.2066e-16
3641.8315	9.2769e-15	4.2587e-16
3644.1183	9.1109e-15	4.4067e-16
3646.4050	8.9562e-15	4.3536e-16
3648.6918	8.8242e-15	4.3315e-16
3650.9786	8.6529e-15	4.2644e-16
3653.2654	8.5054e-15	4.1076e-16
3655.5522	8.3548e-15	4.0929e-16
3657.8390	8.2006e-15	4.0859e-16
3660.1258	8.0576e-15	4.2268e-16
3662.4126	7.9346e-15	4.1776e-16
3664.6994	7.8067e-15	4.0173e-16
3666.9862	7.6773e-15	3.8934e-16
3669.2730	7.5613e-15	3.8795e-16
3671.5597	7.4648e-15	3.9013e-16
3673.8465	7.3671e-15	3.8922e-16
3676.1333	7.2690e-15	2.7935e-16
3678.4201	7.1988e-15	2.9092e-16
3680.7069	7.1155e-15	3.0071e-16
3682.9937	7.0229e-15	3.1516e-16
3685.2805	6.9543e-15	3.1525e-16
3687.5673	6.8582e-15	3.2863e-16
3689.8541	6.7743e-15	3.2705e-16
3692.1409	6.7318e-15	3.1853e-16
3694.4277	6.6871e-15	3.0944e-16
3696.7144	6.6608e-15	3.0722e-16
3699.0012	6.6609e-15	3.0801e-16
3701.2880	6.6553e-15	3.0169e-16
3703.5748	6.6163e-15	3.1825e-16
3705.8616	6.6265e-15	2.8721e-16
3708.1484	6.6373e-15	2.7828e-16
3710.4352	6.6697e-15	2.7989e-16
3712.7220	6.7323e-15	2.6757e-16
3715.0088	6.7946e-15	2.5678e-16
3717.2956	6.8672e-15	2.5534e-16
3719.5824	6.9515e-15	2.4890e-16
3721.8691	7.0321e-15	2.5458e-16
3724.1559	7.1598e-15	2.7505e-16
3726.4427	7.2588e-15	2.4772e-16
3728.7295	7.3284e-15	2.5074e-16
3731.0163	7.4253e-15	2.5497e-16
3733.3031	7.5433e-15	2.5509e-16
3735.5899	7.6440e-15	2.4847e-16
3737.8767	7.7260e-15	2.4831e-16
3740.1635	7.8044e-15	2.7210e-16
3742.4503	7.8880e-15	2.7153e-16
3744.7371	7.9588e-15	2.7332e-16
3747.0238	8.0350e-15	2.6664e-16
3749.3106	8.1192e-15	2.5783e-16
3751.5974	8.1789e-15	2.6737e-16
3753.8842	8.2452e-15	3.3422e-16
3756.1710	8.3103e-15	3.6536e-16
3758.4578	8.3766e-15	3.6597e-16
3760.7446	8.4590e-15	3.9353e-16
3763.0314	8.5567e-15	4.0379e-16
3765.3182	8.6524e-15	4.1370e-16
3767.6050	8.7630e-15	4.2059e-16
3769.8918	8.8683e-15	4.2893e-16
3772.1785	8.9905e-15	4.4428e-16
3774.4653	9.1056e-15	4.4132e-16
3776.7521	9.2175e-15	4.6474e-16
3779.0389	9.3418e-15	5.9228e-16
3781.3257	9.4511e-15	6.0512e-16
3783.6125	9.5705e-15	6.4942e-16
3785.8993	9.7010e-15	6.7543e-16
3788.1861	9.8511e-15	6.7231e-16
3790.4729	9.9881e-15	6.8392e-16
3792.7597	1.0121e-14	6.7900e-16
3795.0465	1.0271e-14	6.7519e-16
3797.3332	1.0409e-14	6.6884e-16
3799.6200	1.0545e-14	7.1881e-16
3801.9068	1.0703e-14	7.2059e-16
3804.1936	1.0843e-14	6.8015e-16
3806.4804	1.0995e-14	6.8966e-16
3808.7672	1.1159e-14	7.2256e-16
3811.0540	1.1312e-14	7.5297e-16
3813.3408	1.1466e-14	7.6902e-16
3815.6276	1.1620e-14	7.9582e-16
3817.9144	1.1774e-14	8.3770e-16
3820.2012	1.1921e-14	8.3109e-16
3822.4879	1.2093e-14	8.2950e-16
3824.7747	1.2269e-14	8.2844e-16
3827.0615	1.2418e-14	7.3741e-16
3829.3483	1.2578e-14	7.1659e-16
3831.6351	1.2737e-14	6.6757e-16
3833.9219	1.2885e-14	6.6042e-16
3836.2087	1.3030e-14	6.6872e-16
3838.4955	1.3174e-14	6.4308e-16
3840.7823	1.3317e-14	6.5560e-16
3843.0691	1.3449e-14	6.7110e-16
3845.3559	1.3568e-14	6.4248e-16
3847.6426	1.3666e-14	6.1141e-16
3849.9294	1.3775e-14	5.9913e-16
3852.2162	1.3872e-14	6.0179e-16
3854.5030	1.3974e-14	5.9632e-16
3856.7898	1.4071e-14	5.4025e-16
3859.0766	1.4165e-14	5.2665e-16
3861.3634	1.4248e-14	5.1276e-16
3863.6502	1.4341e-14	5.0335e-16
3865.9370	1.4413e-14	4.3172e-16
3868.2238	1.4469e-14	4.2614e-16
3870.5106	1.4527e-14	4.3930e-16
3872.7973	1.4588e-14	4.0942e-16
3875.0841	1.4638e-14	3.6941e-16
3877.3709	1.4666e-14	3.6772e-16
3879.6577	1.4692e-14	3.6618e-16
3881.9445	1.4702e-14	3.3157e-16
3884.2313	1.4694e-14	3.2789e-16
3886.5181	1.4708e-14	3.3036e-16
3888.8049	1.4703e-14	3.0476e-16
3891.0917	1.4711e-14	3.0595e-16
3893.3785	1.4714e-14	3.1217e-16
3895.6653	1.4716e-14	3.3934e-16
3897.9520	1.4700e-14	3.2198e-16
3900.2388	1.4697e-14	3.2073e-16
3902.5256	1.4711e-14	3.2200e-16
3904.8124	1.4719e-14	3.2149e-16
3907.0992	1.4749e-14	3.0917e-16
3909.3860	1.4770e-14	3.0893e-16
3911.6728	1.4789e-14	2.6699e-16
3913.9596	1.4802e-14	2.7249e-16
3916.2464	1.4790e-14	3.1517e-16
3918.5332	1.4785e-14	3.0933e-16
3920.8200	1.4808e-14	3.1994e-16
3923.1067	1.4788e-14	3.1459e-16
3925.3935	1.4752e-14	3.1457e-16
3927.6803	1.4725e-14	3.0672e-16
3929.9671	1.4693e-14	3.1063e-16
3932.2539	1.4637e-14	3.1803e-16
3934.5407	1.4571e-14	3.2814e-16
3936.8275	1.4519e-14	3.3212e-16
3939.1143	1.4450e-14	3.1469e-16
3941.4011	1.4370e-14	3.0126e-16
3943.6879	1.4297e-14	2.7969e-16
3945.9746	1.4206e-14	2.9888e-16
3948.2614	1.4092e-14	2.9913e-16
3950.5482	1.3984e-14	2.8503e-16
3952.8350	1.3878e-14	2.7712e-16
3955.1218	1.3780e-14	2.8173e-16
3957.4086	1.3685e-14	3.0738e-16
3959.6954	1.3592e-14	3.2942e-16
3961.9822	1.3486e-14	3.3411e-16
3964.2690	1.3397e-14	3.6916e-16
3966.5558	1.3304e-14	3.6695e-16
3968.8426	1.3204e-14	3.5929e-16
3971.1293	1.3108e-14	3.6427e-16
3973.4161	1.3024e-14	3.9420e-16
3975.7029	1.2953e-14	3.9270e-16
3977.9897	1.2857e-14	4.1518e-16
3980.2765	1.2761e-14	3.9669e-16
3982.5633	1.2701e-14	3.8802e-16
3984.8501	1.2641e-14	3.7131e-16
3987.1369	1.2569e-14	3.9544e-16
3989.4237	1.2514e-14	3.9964e-16
3991.7105	1.2487e-14	4.2709e-16
3993.9973	1.2439e-14	4.2646e-16
3996.2840	1.2408e-14	4.2870e-16
3998.5708	1.2387e-14	4.4153e-16
4000.8576	1.2379e-14	4.4081e-16
4003.1444	1.2383e-14	4.1815e-16
4005.4312	1.2389e-14	4.1629e-16
4007.7180	1.2391e-14	4.1543e-16
4010.0048	1.2418e-14	4.2569e-16
4012.2916	1.2458e-14	4.0822e-16
4014.5784	1.2493e-14	4.1138e-16
4016.8652	1.2524e-14	4.3773e-16
4019.1520	1.2577e-14	4.6365e-16
4021.4387	1.2620e-14	4.4023e-16
4023.7255	1.2679e-14	4.3727e-16
4026.0123	1.2753e-14	4.0875e-16
4028.2991	1.2817e-14	4.0578e-16
4030.5859	1.2881e-14	4.0594e-16
4032.8727	1.2943e-14	4.0578e-16
4035.1595	1.2999e-14	3.9014e-16
4037.4463	1.3062e-14	3.8997e-16
4039.7331	1.3112e-14	3.2966e-16
4042.0199	1.3160e-14	3.1450e-16
4044.3067	1.3208e-14	3.1309e-16
4046.5934	1.3258e-14	3.0697e-16
4048.8802	1.3303e-14	3.0735e-16
4051.1670	1.3335e-14	3.1310e-16
4053.4538	1.3358e-14	3.2502e-16
4055.7406	1.3368e-14	3.7472e-16
4058.0274	1.3366e-14	3.3820e-16
4060.3142	1.3364e-14	3.4020e-16
4062.6010	1.3341e-14	3.4712e-16
4064.8878	1.3314e-14	3.4773e-16
4067.1746	1.3305e-14	3.3293e-16
4069.4614	1.3288e-14	3.4190e-16
4071.7481	1.3249e-14	3.3134e-16
4074.0349	1.3203e-14	3.4650e-16
4076.3217	1.3152e-14	3.4234e-16
4078.6085	1.3088e-14	3.4642e-16
4080.8953	1.3044e-14	3.4842e-16
4083.1821	1.2991e-14	3.5079e-16
4085.4689	1.2940e-14	3.6571e-16
4087.7557	1.2899e-14	3.9202e-16
4090.0425	1.2835e-14	3.8574e-16
4092.3293	1.2767e-14	3.9887e-16
4094.6161	1.2704e-14	4.0002e-16
4096.9028	1.2652e-14	4.1408e-16
4099.1896	1.2599e-14	3.5928e-16
4101.4764	1.2564e-14	3.7767e-16
4103.7632	1.2522e-14	3.5498e-16
4106.0500	1.2474e-14	3.5513e-16
4108.3368	1.2423e-14	3.5865e-16
4110.6236	1.2349e-14	3.6868e-16
4112.9104	1.2318e-14	3.6608e-16
4115.1972	1.2301e-14	3.4826e-16
4117.4840	1.2293e-14	3.4679e-16
4119.7708	1.2266e-14	3.5200e-16
4122.0575	1.2242e-14	3.4840e-16
4124.3443	1.2230e-14	3.5492e-16
4126.6311	1.2231e-14	3.5523e-16
4128.9179	1.2218e-14	3.5685e-16
4131.2047	1.2222e-14	3.4142e-16
4133.4915	1.2248e-14	3.2797e-16
4135.7783	1.2259e-14	2.9665e-16
4138.0651	1.2277e-14	2.9681e-16
4140.3519	1.2282e-14	2.9070e-16
4142.6387	1.2292e-14	2.8333e-16
4144.9255	1.2325e-14	2.4809e-16
4147.2122	1.2345e-14	2.4884e-16
4149.4990	1.2349e-14	2.3734e-16
4151.7858	1.2364e-14	2.3950e-16
4154.0726	1.2379e-14	2.3951e-16
4156.3594	1.2381e-14	2.3296e-16
4158.6462	1.2393e-14	2.0002e-16
4160.9330	1.2406e-14	2.3332e-16
4163.2198	1.2401e-14	2.4933e-16
4165.5066	1.2400e-14	2.3969e-16
4167.7934	1.2385e-14	2.3973e-16
4170.0802	1.2357e-14	2.3886e-16
4172.3669	1.2318e-14	2.3814e-16
4174.6537	1.2253e-14	2.3552e-16
4176.9405	1.2216e-14	2.3483e-16
4179.2273	1.2193e-14	2.3426e-16
4181.5141	1.2163e-14	2.3711e-16
4183.8009	1.2119e-14	2.4044e-16
4186.0877	1.2085e-14	3.3294e-16
4188.3745	1.2047e-14	3.2155e-16
4190.6613	1.1982e-14	3.2876e-16
4192.9481	1.1933e-14	3.3310e-16
4195.2349	1.1878e-14	3.3642e-16
4197.5216	1.1829e-14	3.3402e-16
4199.8084	1.1765e-14	3.3157e-16
4202.0952	1.1710e-14	3.3263e-16
4204.3820	1.1656e-14	3.6534e-16
4206.6688	1.1611e-14	3.6785e-16
4208.9556	1.1539e-14	3.3779e-16
4211.2424	1.1448e-14	3.1583e-16
4213.5292	1.1375e-14	3.1240e-16
4215.8160	1.1317e-14	3.1464e-16
4218.1028	1.1258e-14	3.1512e-16
4220.3896	1.1205e-14	3.4627e-16
4222.6763	1.1141e-14	3.4803e-16
4224.9631	1.1065e-14	3.4916e-16
4227.2499	1.1009e-14	3.4918e-16
4229.5367	1.0955e-14	3.5425e-16
4231.8235	1.0902e-14	3.5688e-16
4234.1103	1.0861e-14	3.2684e-16
4236.3971	1.0814e-14	3.4089e-16
4238.6839	1.0765e-14	3.5174e-16
4240.9707	1.0732e-14	3.9880e-16
4243.2575	1.0687e-14	4.0812e-16
4245.5443	1.0635e-14	4.0802e-16
4247.8310	1.0592e-14	4.1838e-16
4250.1178	1.0545e-14	4.4627e-16
4252.4046	1.0493e-14	4.2408e-16
4254.6914	1.0467e-14	4.2504e-16
4256.9782	1.0440e-14	4.2663e-16
4259.2650	1.0402e-14	4.2544e-16
4261.5518	1.0370e-14	4.2699e-16
4263.8386	1.0334e-14	4.1765e-16
4266.1254	1.0295e-14	4.2465e-16
4268.4122	1.0270e-14	4.1060e-16
4270.6989	1.0238e-14	4.0422e-16
4272.9857	1.0222e-14	3.8936e-16
4275.2725	1.0214e-14	3.9616e-16
4277.5593	1.0198e-14	3.9313e-16
4279.8461	1.0171e-14	3.8058e-16
