#wls	flux	flux_err
3998.2830	8.5602e+03	3.3927e+03
4000.5700	9.0475e+03	3.3582e+03
4002.8580	9.3892e+03	3.3863e+03
4005.1460	9.7052e+03	3.4585e+03
4007.4330	1.0055e+04	3.4167e+03
4009.7210	1.0285e+04	3.4217e+03
4012.0080	1.0354e+04	3.3370e+03
4014.2960	1.0690e+04	3.5694e+03
4016.5830	1.0825e+04	3.5630e+03
4018.8710	1.0685e+04	3.5797e+03
4021.1590	1.0567e+04	3.3926e+03
4023.4460	1.0736e+04	3.4434e+03
4025.7340	1.0494e+04	3.3404e+03
4028.0210	1.0574e+04	3.5030e+03
4030.3090	1.0414e+04	3.4276e+03
4032.5960	1.0326e+04	3.3738e+03
4034.8840	1.0455e+04	3.4926e+03
4037.1720	1.0411e+04	3.4328e+03
4039.4590	1.0452e+04	3.5166e+03
4041.7470	1.0460e+04	3.4217e+03
4044.0340	1.0687e+04	3.7030e+03
4046.3220	1.0840e+04	3.8841e+03
4048.6090	1.0800e+04	3.8080e+03
4050.8970	1.0503e+04	3.7686e+03
4053.1850	1.0553e+04	3.8117e+03
4055.4720	1.0785e+04	3.8054e+03
4057.7600	1.0748e+04	3.7535e+03
4060.0470	1.0798e+04	3.9742e+03
4062.3350	1.0649e+04	4.3140e+03
4064.6220	1.0548e+04	4.2510e+03
4066.9100	1.0490e+04	4.1334e+03
4069.1970	1.0436e+04	4.6298e+03
4071.4850	1.0465e+04	4.7234e+03
4073.7730	1.0502e+04	4.7138e+03
4076.0600	1.0379e+04	4.7696e+03
4078.3480	1.0458e+04	5.2020e+03
4080.6350	1.0347e+04	5.2021e+03
4082.9230	1.0311e+04	5.0910e+03
4085.2100	1.0365e+04	5.2911e+03
4087.4980	1.0563e+04	5.3304e+03
4089.7860	1.0657e+04	5.7662e+03
4092.0730	1.0723e+04	5.7897e+03
4094.3610	1.0657e+04	5.8891e+03
4096.6480	1.0872e+04	5.9659e+03
4098.9360	1.1059e+04	6.1129e+03
4101.2230	1.1248e+04	6.0899e+03
4103.5110	1.1413e+04	6.1345e+03
4105.7990	1.1425e+04	6.2298e+03
4108.0860	1.1357e+04	6.1136e+03
4110.3740	1.1307e+04	5.6761e+03
4112.6610	1.1343e+04	5.7683e+03
4114.9490	1.1319e+04	5.8618e+03
4117.2360	1.1424e+04	5.4327e+03
4119.5240	1.1576e+04	5.2787e+03
4121.8120	1.1580e+04	5.2809e+03
4124.0990	1.1697e+04	5.2543e+03
4126.3870	1.1673e+04	5.2683e+03
4128.6740	1.1639e+04	5.2637e+03
4130.9620	1.1684e+04	5.5103e+03
4133.2490	1.1638e+04	5.4113e+03
4135.5370	1.1650e+04	5.4146e+03
4137.8240	1.1372e+04	4.8341e+03
4140.1120	1.1358e+04	4.5992e+03
4142.4000	1.1282e+04	4.3213e+03
4144.6870	1.1517e+04	4.2607e+03
4146.9750	1.1546e+04	4.5273e+03
4149.2620	1.1328e+04	4.5550e+03
4151.5500	1.1202e+04	4.6677e+03
4153.8370	1.1117e+04	4.5466e+03
4156.1250	1.1138e+04	4.7555e+03
4158.4130	1.1066e+04	5.0190e+03
4160.7000	1.1072e+04	4.9544e+03
4162.9880	1.1083e+04	5.2984e+03
4165.2750	1.0977e+04	5.2126e+03
4167.5630	1.0705e+04	5.1604e+03
4169.8500	1.0457e+04	5.2654e+03
4172.1380	1.0325e+04	5.2576e+03
4174.4260	1.0352e+04	5.0537e+03
4176.7130	1.0351e+04	5.2207e+03
4179.0010	1.0178e+04	5.0620e+03
4181.2880	9.9894e+03	5.0878e+03
4183.5760	1.0112e+04	5.0355e+03
4185.8630	1.0523e+04	5.0232e+03
4188.1510	1.0700e+04	4.7818e+03
4190.4380	1.0691e+04	4.7821e+03
4192.7260	1.0965e+04	4.7381e+03
4195.0140	1.1141e+04	4.2557e+03
4197.3010	1.1220e+04	4.1752e+03
4199.5890	1.1325e+04	4.0119e+03
4201.8760	1.1418e+04	4.0083e+03
4204.1640	1.1495e+04	3.7323e+03
4206.4510	1.1757e+04	3.2117e+03
4208.7390	1.1960e+04	3.2131e+03
4211.0270	1.2047e+04	2.5633e+03
4213.3140	1.1839e+04	3.0435e+03
4215.6020	1.1473e+04	3.0010e+03
4217.8890	1.1399e+04	2.7536e+03
