#wls	flux	flux_err
3996.0340	5.4316e-02	2.8494e-02
4001.0900	5.4738e-02	2.6702e-02
4003.6190	5.9547e-02	2.5838e-02
4008.6750	6.1217e-02	2.6260e-02
4011.2040	6.2789e-02	2.5591e-02
4013.7320	6.6988e-02	3.1613e-02
4016.2610	6.7823e-02	3.6480e-02
4018.7890	6.9109e-02	3.5930e-02
4021.3170	7.1793e-02	3.5610e-02
4023.8460	7.2975e-02	3.9713e-02
4026.3740	7.5826e-02	4.2015e-02
4028.9020	7.8034e-02	4.1176e-02
4031.4310	7.8944e-02	4.4851e-02
4033.9590	8.2942e-02	4.3354e-02
4036.4880	8.6279e-02	4.3415e-02
4039.0160	8.6815e-02	4.5788e-02
4041.5440	9.0384e-02	4.6460e-02
4044.0730	9.1496e-02	4.7500e-02
4046.6010	9.4709e-02	4.8070e-02
4049.1290	9.4692e-02	4.8239e-02
4051.6580	9.7827e-02	4.6414e-02
4054.1860	9.9357e-02	4.6170e-02
4056.7150	1.0290e-01	4.6061e-02
4059.2430	1.0230e-01	4.5380e-02
4061.7710	1.0248e-01	4.3615e-02
4064.3000	1.0333e-01	4.0068e-02
4066.8280	1.0405e-01	3.9817e-02
4069.3560	1.0500e-01	4.0285e-02
4071.8850	1.0648e-01	3.6395e-02
4074.4130	1.0605e-01	3.1771e-02
4076.9420	1.0676e-01	2.8504e-02
4079.4700	1.0586e-01	2.6322e-02
4081.9980	1.0496e-01	3.1280e-02
4084.5270	1.0531e-01	3.2776e-02
4087.0550	1.0412e-01	2.9606e-02
4089.5840	1.0130e-01	3.5240e-02
4092.1120	1.0037e-01	3.3797e-02
4094.6400	9.9098e-02	3.6047e-02
4097.1690	9.8427e-02	3.5854e-02
4099.6970	9.6744e-02	3.6538e-02
4102.2250	9.5570e-02	3.7452e-02
4104.7540	9.4846e-02	3.8057e-02
4107.2820	9.3588e-02	3.8108e-02
4109.8110	9.3310e-02	3.7357e-02
4112.3390	9.1792e-02	3.7276e-02
4114.8670	9.0974e-02	3.9212e-02
4117.3960	9.0861e-02	3.9422e-02
4119.9240	9.0490e-02	3.8821e-02
4122.4520	8.9664e-02	3.8944e-02
4124.9810	9.1635e-02	4.3780e-02
4127.5090	9.4524e-02	4.4495e-02
4130.0380	9.5176e-02	4.2570e-02
4132.5660	9.6374e-02	4.5003e-02
4135.0940	1.0036e-01	4.7755e-02
4137.6230	1.0201e-01	4.2743e-02
4140.1510	1.0144e-01	4.2708e-02
4142.6790	1.0236e-01	4.0892e-02
4145.2080	1.0339e-01	4.0973e-02
4147.7360	1.0238e-01	4.1581e-02
4150.2650	1.0155e-01	4.1108e-02
4152.7930	1.0196e-01	4.0250e-02
4155.3210	1.0450e-01	3.9997e-02
4157.8500	1.0681e-01	3.8497e-02
4160.3780	1.0818e-01	3.9011e-02
4162.9060	1.0835e-01	3.8774e-02
4165.4350	1.0917e-01	3.8229e-02
4167.9630	1.1126e-01	3.8372e-02
4170.4920	1.1297e-01	3.7992e-02
4173.0200	1.1444e-01	3.2745e-02
4175.5480	1.1550e-01	3.1829e-02
4178.0770	1.1682e-01	3.2332e-02
4180.6050	1.1813e-01	2.8052e-02
4183.1330	1.1971e-01	2.2085e-02
4185.6620	1.2197e-01	2.0801e-02
4188.1900	1.2204e-01	2.1069e-02
4190.7190	1.2236e-01	2.3100e-02
4193.2470	1.2256e-01	2.2937e-02
4195.7750	1.2198e-01	2.2698e-02
4198.3040	1.2136e-01	2.8175e-02
4200.8320	1.2112e-01	2.8697e-02
4203.3600	1.2125e-01	2.8754e-02
4205.8890	1.2023e-01	2.8791e-02
4208.4170	1.1943e-01	2.8562e-02
4210.9460	1.1917e-01	2.7869e-02
4213.4740	1.1468e-01	2.9988e-02
4216.0020	1.1185e-01	3.0657e-02
4218.5310	1.1062e-01	3.0635e-02
4221.0590	1.0848e-01	3.1256e-02
4223.5880	1.0693e-01	3.3016e-02
4226.1160	1.0573e-01	3.2199e-02
4228.6440	1.0297e-01	3.2464e-02
4231.1730	1.0170e-01	3.1832e-02
4233.7010	9.8426e-02	3.7123e-02
4236.2290	9.5877e-02	3.9574e-02
4238.7580	9.4682e-02	4.1479e-02
4241.2860	9.1722e-02	4.0944e-02
4243.8150	9.0038e-02	4.1070e-02
4246.3430	8.7877e-02	3.7852e-02
4248.8710	8.6884e-02	3.7043e-02
4251.4000	8.4000e-02	3.6864e-02
4253.9280	8.2495e-02	3.6844e-02
4256.4560	7.9517e-02	3.6931e-02
4258.9850	8.0031e-02	3.6395e-02
4261.5130	7.8685e-02	3.4051e-02
4264.0420	7.6596e-02	3.3708e-02
4266.5700	7.6330e-02	3.3616e-02
4269.0980	7.6818e-02	3.3014e-02
4271.6270	7.6667e-02	3.0881e-02
4274.1550	7.7504e-02	3.0729e-02
4276.6830	7.8126e-02	3.2353e-02
4279.2120	7.9706e-02	3.2359e-02
4281.7400	8.0636e-02	2.7569e-02
4284.2690	8.0359e-02	2.6764e-02
4286.7970	7.9001e-02	2.4219e-02
4289.3250	7.9821e-02	2.3680e-02
4291.8540	8.0126e-02	2.3724e-02
4294.3820	8.1159e-02	2.3792e-02
4296.9100	8.1453e-02	2.3878e-02
4299.4390	8.1758e-02	2.3790e-02
4301.9670	8.0329e-02	2.3751e-02
4304.4960	8.1083e-02	2.3518e-02
4307.0240	8.2552e-02	2.3479e-02
4309.5520	8.2806e-02	2.3329e-02
4312.0810	8.2584e-02	2.3157e-02
4314.6090	8.4080e-02	2.3068e-02
4317.1370	8.4142e-02	2.2905e-02
4319.6660	8.5002e-02	2.3363e-02
