#wls	flux	flux_err
3868.7580	5.8449e-03	2.0139e-03
3869.9420	5.8525e-03	1.9354e-03
3871.1260	5.8298e-03	1.8985e-03
3872.3100	5.7966e-03	1.8542e-03
3873.4940	5.7653e-03	1.8450e-03
3874.6770	5.8188e-03	1.8405e-03
3875.8610	5.8949e-03	1.8495e-03
3877.0450	5.9621e-03	1.8160e-03
3878.2290	5.9372e-03	1.7499e-03
3879.4130	5.8966e-03	1.6351e-03
3880.5970	5.9147e-03	1.6310e-03
3882.9640	5.8891e-03	1.6517e-03
3884.1480	5.8867e-03	1.6428e-03
3885.3320	5.8998e-03	1.6394e-03
3886.5160	5.9138e-03	1.6371e-03
3887.7000	5.9351e-03	1.7181e-03
3888.8840	5.9853e-03	1.7504e-03
3890.0680	5.9787e-03	1.6863e-03
3891.2510	6.0218e-03	1.6713e-03
3892.4350	6.1066e-03	1.7122e-03
3893.6190	6.1856e-03	1.6524e-03
3894.8030	6.2266e-03	1.7491e-03
3895.9870	6.3277e-03	1.7805e-03
3897.1710	6.3699e-03	1.7184e-03
3898.3540	6.4467e-03	1.7175e-03
3899.5380	6.4924e-03	1.8369e-03
3900.7220	6.5511e-03	1.7856e-03
3901.9060	6.6722e-03	1.7168e-03
3903.0900	6.7585e-03	1.7179e-03
3904.2740	6.8110e-03	1.7212e-03
3905.4580	6.9006e-03	1.7169e-03
3906.6410	6.9704e-03	1.7456e-03
3907.8250	7.0726e-03	1.7454e-03
3909.0090	7.1724e-03	1.7857e-03
3910.1930	7.2203e-03	1.8472e-03
3911.3770	7.2956e-03	1.8539e-03
3912.5610	7.3291e-03	1.9116e-03
3913.7450	7.4261e-03	1.9981e-03
3914.9280	7.5218e-03	1.9873e-03
3916.1120	7.6254e-03	1.9819e-03
3917.2960	7.7249e-03	1.9950e-03
3918.4800	7.7744e-03	1.9737e-03
3919.6640	7.8128e-03	2.0137e-03
3920.8480	7.8379e-03	2.0119e-03
3922.0310	7.8560e-03	1.9846e-03
3923.2150	7.8322e-03	2.0793e-03
3924.3990	7.9268e-03	2.1035e-03
3925.5830	7.9939e-03	2.0727e-03
3926.7670	8.0119e-03	2.0717e-03
3927.9510	8.1391e-03	2.0789e-03
3929.1350	8.2755e-03	2.0913e-03
3930.3180	8.3831e-03	2.0909e-03
3931.5020	8.5549e-03	2.0104e-03
3932.6860	8.6738e-03	2.0570e-03
3933.8700	8.7521e-03	2.0624e-03
3935.0540	8.8693e-03	2.0541e-03
3936.2380	8.9628e-03	2.0087e-03
3937.4220	9.1158e-03	2.0089e-03
3938.6050	9.1886e-03	1.9844e-03
3939.7890	9.2692e-03	1.9846e-03
