#wls	flux	fluxerr
1.454545E+03	4.533193E-03	6.760126E-04
1.490909E+03	4.594132E-03	6.841511E-04
1.527273E+03	4.657235E-03	6.925599E-04
1.563636E+03	4.722563E-03	7.012450E-04
1.600000E+03	4.790177E-03	7.102123E-04
1.636364E+03	4.860137E-03	7.194672E-04
1.672727E+03	4.933347E-03	7.291396E-04
1.709091E+03	5.009053E-03	7.391139E-04
1.745455E+03	5.088181E-03	7.495223E-04
1.781818E+03	5.169967E-03	7.602479E-04
1.818182E+03	5.255359E-03	7.714249E-04
1.854545E+03	5.344466E-03	7.830639E-04
1.890909E+03	5.436503E-03	7.950446E-04
1.927273E+03	5.532461E-03	8.075059E-04
1.963636E+03	5.633372E-03	8.205919E-04
2.000000E+03	5.737543E-03	8.340487E-04
2.036364E+03	5.846003E-03	8.480195E-04
2.072727E+03	5.959835E-03	8.626532E-04
2.109091E+03	6.078255E-03	8.778276E-04
2.145455E+03	6.201402E-03	8.935543E-04
2.181818E+03	6.330412E-03	9.099874E-04
2.218182E+03	6.464483E-03	9.270014E-04
2.254545E+03	6.604786E-03	9.447535E-04
2.290909E+03	6.751529E-03	9.632617E-04
2.327273E+03	6.904933E-03	9.825447E-04
2.363636E+03	7.065220E-03	1.002621E-03
2.400000E+03	7.232632E-03	1.023510E-03
2.436364E+03	7.408490E-03	1.045383E-03
2.472727E+03	7.592008E-03	1.068113E-03
2.509091E+03	7.783458E-03	1.091721E-03
2.545455E+03	7.984245E-03	1.116385E-03
2.581818E+03	8.194719E-03	1.142133E-03
2.618182E+03	8.414088E-03	1.168834E-03
2.654545E+03	8.645025E-03	1.196835E-03
2.690909E+03	8.885610E-03	1.225846E-03
2.727273E+03	9.138624E-03	1.256224E-03
2.736364E+03	9.204443E-03	1.264114E-03
2.745455E+03	9.269490E-03	1.271875E-03
2.754545E+03	9.336192E-03	1.279839E-03
2.763636E+03	9.404566E-03	1.288008E-03
2.772727E+03	9.472175E-03	1.296047E-03
2.781818E+03	9.541472E-03	1.304292E-03
2.790909E+03	9.611241E-03	1.312576E-03
2.800000E+03	9.681486E-03	1.320899E-03
2.809091E+03	9.753455E-03	1.329431E-03
2.818182E+03	9.825919E-03	1.338004E-03
2.827273E+03	9.898884E-03	1.346617E-03
2.836364E+03	9.972351E-03	1.355271E-03
2.845455E+03	1.004759E-02	1.364139E-03
2.854545E+03	1.012335E-02	1.373048E-03
2.863636E+03	1.020092E-02	1.382173E-03
2.872727E+03	1.027775E-02	1.391169E-03
2.881818E+03	1.035640E-02	1.400382E-03
2.890909E+03	1.043561E-02	1.409639E-03
2.900000E+03	1.051667E-02	1.419115E-03
2.909091E+03	1.059831E-02	1.428638E-03
2.918182E+03	1.068053E-02	1.438207E-03
2.927273E+03	1.076334E-02	1.447823E-03
2.936364E+03	1.084806E-02	1.457662E-03
2.945455E+03	1.093339E-02	1.467550E-03
2.954545E+03	1.101933E-02	1.477487E-03
2.963636E+03	1.110724E-02	1.487651E-03
2.972727E+03	1.119578E-02	1.497865E-03
2.981818E+03	1.128497E-02	1.508130E-03
2.990909E+03	1.137616E-02	1.518626E-03
3.000000E+03	1.146802E-02	1.529175E-03
3.009091E+03	1.156057E-02	1.539777E-03
3.018182E+03	1.165381E-02	1.550433E-03
3.027273E+03	1.174911E-02	1.561324E-03
3.036364E+03	1.184512E-02	1.572270E-03
3.045455E+03	1.194324E-02	1.583455E-03
3.054545E+03	1.204072E-02	1.594515E-03
3.063636E+03	1.214033E-02	1.605816E-03
3.072727E+03	1.224209E-02	1.617358E-03
3.081818E+03	1.234324E-02	1.628777E-03
3.090909E+03	1.244658E-02	1.640440E-03
3.100000E+03	1.255212E-02	1.652350E-03
3.109091E+03	1.265708E-02	1.664137E-03
3.118182E+03	1.276427E-02	1.676173E-03
3.127273E+03	1.287231E-02	1.688273E-03
3.136364E+03	1.298264E-02	1.700626E-03
3.145455E+03	1.309385E-02	1.713045E-03
3.154545E+03	1.320594E-02	1.725531E-03
3.163636E+03	1.331894E-02	1.738085E-03
3.172727E+03	1.343430E-02	1.750897E-03
3.181818E+03	1.355060E-02	1.763780E-03
3.190909E+03	1.366785E-02	1.776734E-03
3.200000E+03	1.378753E-02	1.789951E-03
3.209091E+03	1.390820E-02	1.803242E-03
3.218182E+03	1.402987E-02	1.816608E-03
3.227273E+03	1.415405E-02	1.830242E-03
3.236364E+03	1.427927E-02	1.843954E-03
3.245455E+03	1.440554E-02	1.857744E-03
3.254545E+03	1.453440E-02	1.871808E-03
3.263636E+03	1.466283E-02	1.885757E-03
3.272727E+03	1.479389E-02	1.899984E-03
3.281818E+03	1.492761E-02	1.914491E-03
3.290909E+03	1.506094E-02	1.928886E-03
3.297736E+03	1.618888E-02	2.071147E-03
3.303009E+03	1.674866E-02	2.141003E-03
3.308281E+03	1.758891E-02	2.246559E-03
3.313553E+03	1.764296E-02	2.251596E-03
3.319704E+03	1.745921E-02	2.225984E-03
3.325855E+03	1.761989E-02	2.244279E-03
3.331126E+03	1.785407E-02	2.272197E-03
3.336398E+03	1.800100E-02	2.288965E-03
3.341671E+03	1.758002E-02	2.233542E-03
3.346943E+03	1.750456E-02	2.222065E-03
3.353094E+03	1.621462E-02	2.056268E-03
3.359245E+03	1.446619E-02	1.832704E-03
3.364516E+03	1.362547E-02	1.724707E-03
3.369788E+03	1.342283E-02	1.697587E-03
3.375061E+03	1.356006E-02	1.713454E-03
3.380333E+03	1.408237E-02	1.777901E-03
3.386484E+03	1.502828E-02	1.895382E-03
3.392635E+03	1.534945E-02	1.933901E-03
3.397906E+03	1.644261E-02	2.069799E-03
3.403179E+03	1.691169E-02	2.126957E-03
3.408451E+03	1.695660E-02	2.130704E-03
3.413723E+03	1.724692E-02	2.165245E-03
3.419874E+03	1.770575E-02	2.220518E-03
