#wls	flux	fluxerr
1.454545E+03	3.936752E-03	1.224105E-04
1.490909E+03	4.002917E-03	1.244551E-04
1.527273E+03	4.071482E-03	1.265735E-04
1.563636E+03	4.142557E-03	1.287691E-04
1.600000E+03	4.217001E-03	1.310686E-04
1.636364E+03	4.293454E-03	1.334295E-04
1.672727E+03	4.373549E-03	1.359027E-04
1.709091E+03	4.456673E-03	1.384689E-04
1.745455E+03	4.543771E-03	1.411575E-04
1.781818E+03	4.633403E-03	1.439235E-04
1.818182E+03	4.727346E-03	1.468223E-04
1.854545E+03	4.824966E-03	1.498340E-04
1.890909E+03	4.926443E-03	1.529640E-04
1.927273E+03	5.032841E-03	1.562453E-04
1.963636E+03	5.142615E-03	1.596299E-04
2.000000E+03	5.257757E-03	1.631794E-04
2.036364E+03	5.377605E-03	1.668732E-04
2.072727E+03	5.503356E-03	1.707483E-04
2.109091E+03	5.633358E-03	1.747534E-04
2.145455E+03	5.769812E-03	1.789565E-04
2.181818E+03	5.913068E-03	1.833683E-04
2.218182E+03	6.061389E-03	1.879347E-04
2.254545E+03	6.217166E-03	1.927299E-04
2.290909E+03	6.379703E-03	1.977319E-04
2.327273E+03	6.549349E-03	2.029514E-04
2.363636E+03	6.726471E-03	2.083995E-04
2.400000E+03	6.912647E-03	2.141249E-04
2.436364E+03	7.107163E-03	2.201052E-04
2.472727E+03	7.310450E-03	2.263535E-04
2.509091E+03	7.522970E-03	2.328838E-04
2.545455E+03	7.746526E-03	2.397515E-04
2.581818E+03	7.980375E-03	2.469335E-04
2.618182E+03	8.225058E-03	2.544460E-04
2.654545E+03	8.482578E-03	2.623505E-04
2.690909E+03	8.750687E-03	2.705773E-04
2.727273E+03	9.032928E-03	2.792354E-04
2.736364E+03	9.105164E-03	2.814508E-04
2.745455E+03	9.179785E-03	2.837395E-04
2.754545E+03	9.253721E-03	2.860067E-04
2.763636E+03	9.328515E-03	2.883000E-04
2.772727E+03	9.405760E-03	2.906686E-04
2.781818E+03	9.482318E-03	2.930156E-04
2.790909E+03	9.559769E-03	2.953898E-04
2.800000E+03	9.639739E-03	2.978413E-04
2.809091E+03	9.719018E-03	3.002712E-04
2.818182E+03	9.799224E-03	3.027292E-04
2.827273E+03	9.882022E-03	3.052668E-04
2.836364E+03	9.964123E-03	3.077825E-04
2.845455E+03	1.004718E-02	3.103274E-04
2.854545E+03	1.013291E-02	3.129541E-04
2.863636E+03	1.021794E-02	3.155588E-04
2.872727E+03	1.030569E-02	3.182469E-04
2.881818E+03	1.039273E-02	3.209129E-04
2.890909E+03	1.048254E-02	3.236638E-04
2.900000E+03	1.057164E-02	3.263924E-04
2.909091E+03	1.066357E-02	3.292076E-04
2.918182E+03	1.075479E-02	3.320003E-04
2.927273E+03	1.084888E-02	3.348813E-04
2.936364E+03	1.094225E-02	3.377397E-04
2.945455E+03	1.103856E-02	3.406880E-04
2.954545E+03	1.113414E-02	3.436134E-04
2.963636E+03	1.123271E-02	3.466304E-04
2.972727E+03	1.133056E-02	3.496246E-04
2.981818E+03	1.143144E-02	3.527119E-04
2.990909E+03	1.153351E-02	3.558353E-04
3.000000E+03	1.163485E-02	3.589354E-04
3.009091E+03	1.173932E-02	3.621314E-04
3.018182E+03	1.184305E-02	3.653040E-04
3.027273E+03	1.194996E-02	3.685741E-04
3.036364E+03	1.205812E-02	3.718822E-04
3.045455E+03	1.216553E-02	3.751666E-04
3.054545E+03	1.227621E-02	3.785512E-04
3.063636E+03	1.238819E-02	3.819748E-04
3.072727E+03	1.249940E-02	3.853745E-04
3.081818E+03	1.261398E-02	3.888770E-04
3.090909E+03	1.272988E-02	3.924198E-04
3.100000E+03	1.284713E-02	3.960033E-04
3.109091E+03	1.296360E-02	3.995621E-04
3.118182E+03	1.308355E-02	4.032274E-04
3.127273E+03	1.320488E-02	4.069346E-04
3.136364E+03	1.332541E-02	4.106165E-04
3.145455E+03	1.344952E-02	4.144078E-04
3.154545E+03	1.357505E-02	4.182420E-04
3.163636E+03	1.370201E-02	4.221196E-04
3.172727E+03	1.382815E-02	4.259708E-04
3.181818E+03	1.395799E-02	4.299354E-04
3.190909E+03	1.408929E-02	4.339443E-04
3.200000E+03	1.422207E-02	4.379978E-04
3.209091E+03	1.435634E-02	4.420963E-04
3.218182E+03	1.448974E-02	4.461673E-04
3.227273E+03	1.462700E-02	4.503563E-04
3.236364E+03	1.476579E-02	4.545912E-04
3.245455E+03	1.490610E-02	4.588723E-04
3.254545E+03	1.504796E-02	4.632001E-04
3.263636E+03	1.518890E-02	4.674985E-04
3.272727E+03	1.533385E-02	4.719196E-04
3.281818E+03	1.548038E-02	4.763880E-04
3.290909E+03	1.562848E-02	4.809041E-04
3.300000E+03	1.577817E-02	4.854680E-04
3.309091E+03	1.592945E-02	4.900801E-04
3.318182E+03	1.607973E-02	4.946602E-04
3.327273E+03	1.623421E-02	4.993684E-04
3.336364E+03	1.639030E-02	5.041252E-04
3.345455E+03	1.654802E-02	5.089310E-04
3.354545E+03	1.670736E-02	5.137856E-04
3.363636E+03	1.686834E-02	5.186894E-04
3.372727E+03	1.703095E-02	5.236425E-04
3.381818E+03	1.719243E-02	5.285595E-04
3.390909E+03	1.735830E-02	5.336105E-04
3.400000E+03	1.752582E-02	5.387109E-04
3.409091E+03	1.769498E-02	5.438607E-04
3.418182E+03	1.786579E-02	5.490601E-04
3.427273E+03	1.803825E-02	5.543089E-04
3.436364E+03	1.821236E-02	5.596071E-04
3.445455E+03	1.838812E-02	5.649547E-04
3.454545E+03	1.856253E-02	5.702598E-04
3.463636E+03	1.874154E-02	5.757048E-04
3.472727E+03	1.892218E-02	5.811989E-04
3.481818E+03	1.910446E-02	5.867416E-04
3.490909E+03	1.928835E-02	5.923330E-04
3.500000E+03	1.947387E-02	5.979726E-04
3.509091E+03	1.966099E-02	6.036603E-04
3.518182E+03	1.984971E-02	6.093958E-04
3.527273E+03	2.003681E-02	6.150802E-04
3.536364E+03	2.022867E-02	6.209091E-04
3.545455E+03	2.042209E-02	6.267847E-04
3.554545E+03	2.061706E-02	6.327064E-04
3.563636E+03	2.081357E-02	6.386737E-04
3.572727E+03	2.101159E-02	6.446863E-04
3.581818E+03	2.121112E-02	6.507434E-04
3.590909E+03	2.140872E-02	6.567399E-04
3.600000E+03	2.161115E-02	6.628831E-04
3.609091E+03	2.181503E-02	6.690693E-04
3.618182E+03	2.202034E-02	6.752979E-04
3.627273E+03	2.222703E-02	6.815670E-04
3.636364E+03	2.243508E-02	6.878765E-04
3.645455E+03	2.264089E-02	6.941157E-04
3.654545E+03	2.285157E-02	7.005026E-04
3.663636E+03	2.306354E-02	7.069273E-04
3.672727E+03	2.327674E-02	7.133883E-04
3.681818E+03	2.349119E-02	7.198857E-04
3.690909E+03	2.370305E-02	7.263023E-04
3.700000E+03	2.391978E-02	7.328664E-04
3.709091E+03	2.413762E-02	7.394629E-04
3.718182E+03	2.435655E-02	7.460911E-04
3.727273E+03	2.457262E-02	7.526299E-04
3.736364E+03	2.479351E-02	7.593148E-04
3.745455E+03	2.501536E-02	7.660274E-04
3.754545E+03	2.523814E-02	7.727663E-04
3.763636E+03	2.545774E-02	7.794066E-04
3.772727E+03	2.568214E-02	7.861916E-04
3.781818E+03	2.590727E-02	7.929976E-04
3.790909E+03	2.613313E-02	7.998240E-04
3.800000E+03	2.635551E-02	8.065419E-04
3.809091E+03	2.658260E-02	8.134025E-04
3.818182E+03	2.681025E-02	8.202781E-04
3.827273E+03	2.703413E-02	8.270367E-04
3.836364E+03	2.726267E-02	8.339358E-04
3.845455E+03	2.749158E-02	8.408447E-04
3.854545E+03	2.771648E-02	8.476288E-04
3.863636E+03	2.794592E-02	8.545500E-04
3.872727E+03	2.817116E-02	8.613412E-04
3.881818E+03	2.840089E-02	8.682675E-04
3.890909E+03	2.863068E-02	8.751937E-04
3.900000E+03	2.885597E-02	8.819807E-04
3.909091E+03	2.908564E-02	8.888995E-04
3.918182E+03	2.931062E-02	8.956731E-04
3.927273E+03	2.953991E-02	9.025766E-04
3.936364E+03	2.976427E-02	9.093277E-04
3.945455E+03	2.999288E-02	9.162067E-04
3.954545E+03	3.021636E-02	9.229268E-04
3.963636E+03	3.044401E-02	9.297727E-04
3.972727E+03	3.066632E-02	9.364533E-04
3.981818E+03	3.089269E-02	9.432564E-04
3.990909E+03	3.111350E-02	9.498876E-04
4.000000E+03	3.133828E-02	9.566380E-04
4.009091E+03	3.155730E-02	9.632107E-04
4.018182E+03	3.178020E-02	9.699000E-04
4.027273E+03	3.199708E-02	9.764037E-04
4.036364E+03	3.221277E-02	9.828694E-04
4.045455E+03	3.243220E-02	9.894471E-04
4.054545E+03	3.264526E-02	9.958288E-04
4.063636E+03	3.285690E-02	1.002165E-03
4.072727E+03	3.307211E-02	1.008609E-03
4.081818E+03	3.328065E-02	1.014847E-03
4.090909E+03	3.348747E-02	1.021031E-03
4.100000E+03	3.369771E-02	1.027318E-03
4.109091E+03	3.390094E-02	1.033388E-03
4.118182E+03	3.410221E-02	1.039398E-03
4.127273E+03	3.430143E-02	1.045343E-03
4.136364E+03	3.449856E-02	1.051223E-03
4.145455E+03	3.469881E-02	1.057196E-03
4.154545E+03	3.489147E-02	1.062936E-03
4.163636E+03	3.508175E-02	1.068602E-03
4.172727E+03	3.526957E-02	1.074191E-03
4.181818E+03	3.545486E-02	1.079701E-03
