#wls	flux	fluxerr
1.454545E+03	2.182282E-03	3.254329E-04
1.490909E+03	2.228009E-03	3.317916E-04
1.527273E+03	2.269935E-03	3.375534E-04
1.563636E+03	2.307668E-03	3.426615E-04
1.600000E+03	2.340576E-03	3.470239E-04
1.636364E+03	2.367089E-03	3.504104E-04
1.672727E+03	2.385575E-03	3.525836E-04
1.709091E+03	2.393234E-03	3.531351E-04
1.745455E+03	2.388027E-03	3.517720E-04
1.781818E+03	2.367915E-03	3.482038E-04
1.818182E+03	2.334152E-03	3.426260E-04
1.854545E+03	2.292502E-03	3.358944E-04
1.890909E+03	2.255100E-03	3.297901E-04
1.927273E+03	2.239994E-03	3.269446E-04
1.963636E+03	2.263840E-03	3.297650E-04
2.000000E+03	2.333001E-03	3.391411E-04
2.036364E+03	2.443153E-03	3.544031E-04
2.072727E+03	2.582536E-03	3.738079E-04
2.109091E+03	2.737627E-03	3.953708E-04
2.145455E+03	2.898382E-03	4.176252E-04
2.181818E+03	3.059267E-03	4.397651E-04
2.218182E+03	3.217048E-03	4.613220E-04
2.254545E+03	3.371463E-03	4.822567E-04
2.290909E+03	3.522876E-03	5.026197E-04
2.327273E+03	3.672131E-03	5.225297E-04
2.363636E+03	3.820228E-03	5.421261E-04
2.400000E+03	3.968168E-03	5.615464E-04
2.436364E+03	4.117471E-03	5.810004E-04
2.472727E+03	4.268404E-03	6.005183E-04
2.509091E+03	4.421707E-03	6.201962E-04
2.545455E+03	4.578682E-03	6.402074E-04
2.581818E+03	4.739968E-03	6.606298E-04
2.618182E+03	4.905474E-03	6.814386E-04
2.654545E+03	5.077071E-03	7.028804E-04
2.690909E+03	5.253913E-03	7.248224E-04
2.727273E+03	5.437877E-03	7.475077E-04
2.736364E+03	5.485379E-03	7.533478E-04
2.745455E+03	5.532420E-03	7.591084E-04
2.754545E+03	5.580449E-03	7.649882E-04
2.763636E+03	5.629545E-03	7.709975E-04
2.772727E+03	5.678472E-03	7.769668E-04
2.781818E+03	5.728935E-03	7.831290E-04
2.790909E+03	5.780138E-03	7.893746E-04
2.800000E+03	5.832025E-03	7.956956E-04
2.809091E+03	5.885292E-03	8.021865E-04
2.818182E+03	5.939150E-03	8.087390E-04
2.827273E+03	5.993556E-03	8.153470E-04
2.836364E+03	6.048468E-03	8.220044E-04
2.845455E+03	6.104619E-03	8.288103E-04
2.854545E+03	6.161217E-03	8.356567E-04
2.863636E+03	6.219009E-03	8.426444E-04
2.872727E+03	6.276423E-03	8.495599E-04
2.881818E+03	6.334990E-03	8.566104E-04
2.890909E+03	6.393915E-03	8.636877E-04
2.900000E+03	6.453974E-03	8.708962E-04
2.909091E+03	6.514368E-03	8.781277E-04
2.918182E+03	6.575082E-03	8.853797E-04
2.927273E+03	6.636108E-03	8.926509E-04
2.936364E+03	6.698246E-03	9.000485E-04
2.945455E+03	6.760689E-03	9.074633E-04
2.954545E+03	6.823430E-03	9.148944E-04
2.963636E+03	6.887292E-03	9.224514E-04
2.972727E+03	6.951457E-03	9.300243E-04
2.981818E+03	7.015924E-03	9.376126E-04
2.990909E+03	7.081533E-03	9.453281E-04
3.000000E+03	7.147455E-03	9.530597E-04
3.009091E+03	7.213697E-03	9.608078E-04
3.018182E+03	7.280265E-03	9.685728E-04
3.027273E+03	7.348014E-03	9.764683E-04
3.036364E+03	7.416108E-03	9.843823E-04
3.045455E+03	7.485418E-03	9.924299E-04
3.054545E+03	7.554233E-03	1.000384E-03
3.063636E+03	7.624288E-03	1.008474E-03
3.072727E+03	7.695608E-03	1.016702E-03
3.081818E+03	7.766460E-03	1.024839E-03
3.090909E+03	7.838607E-03	1.033117E-03
3.100000E+03	7.912075E-03	1.041539E-03
3.109091E+03	7.985106E-03	1.049872E-03
3.118182E+03	8.059493E-03	1.058353E-03
3.127273E+03	8.134362E-03	1.066865E-03
3.136364E+03	8.210632E-03	1.075529E-03
3.145455E+03	8.287421E-03	1.084229E-03
3.154545E+03	8.364747E-03	1.092965E-03
3.163636E+03	8.442622E-03	1.101739E-03
3.172727E+03	8.521985E-03	1.110674E-03
3.181818E+03	8.601941E-03	1.119650E-03
3.190909E+03	8.682504E-03	1.128671E-03
3.200000E+03	8.764628E-03	1.137858E-03
3.209091E+03	8.847403E-03	1.147094E-03
3.218182E+03	8.930846E-03	1.156379E-03
3.227273E+03	9.015925E-03	1.165838E-03
3.236364E+03	9.101716E-03	1.175350E-03
3.245455E+03	9.188239E-03	1.184919E-03
3.254545E+03	9.276477E-03	1.194668E-03
3.263636E+03	9.364522E-03	1.204352E-03
3.272727E+03	9.454326E-03	1.214222E-03
3.281818E+03	9.545927E-03	1.224281E-03
3.290909E+03	9.637388E-03	1.234280E-03
3.297736E+03	1.036414E-02	1.325951E-03
3.303009E+03	1.072651E-02	1.371184E-03
3.308281E+03	1.126884E-02	1.439323E-03
3.313553E+03	1.130769E-02	1.443088E-03
3.319704E+03	1.119480E-02	1.427295E-03
3.325855E+03	1.130277E-02	1.439655E-03
3.331126E+03	1.145728E-02	1.458111E-03
3.336398E+03	1.155592E-02	1.469424E-03
3.341671E+03	1.128992E-02	1.434385E-03
3.346943E+03	1.124572E-02	1.427555E-03
3.353094E+03	1.042162E-02	1.321625E-03
3.359245E+03	9.301988E-03	1.178457E-03
3.364516E+03	8.764746E-03	1.109438E-03
3.369788E+03	8.637713E-03	1.092413E-03
3.375061E+03	8.729394E-03	1.103049E-03
3.380333E+03	9.069151E-03	1.144981E-03
3.386484E+03	9.682720E-03	1.221195E-03
3.392635E+03	9.894175E-03	1.246583E-03
3.397906E+03	1.060300E-02	1.334708E-03
3.403179E+03	1.090981E-02	1.372110E-03
3.408451E+03	1.094314E-02	1.375075E-03
3.413723E+03	1.113496E-02	1.397926E-03
3.419874E+03	1.143657E-02	1.434286E-03
3.426025E+03	1.209826E-02	1.515671E-03
3.431297E+03	1.250845E-02	1.565639E-03
3.436570E+03	1.262889E-02	1.579273E-03
3.441842E+03	1.285845E-02	1.606510E-03
3.447115E+03	1.301233E-02	1.624242E-03
3.453265E+03	1.306532E-02	1.629101E-03
3.459416E+03	1.283851E-02	1.599090E-03
3.464688E+03	1.275902E-02	1.587710E-03
3.469961E+03	1.288633E-02	1.602053E-03
3.475234E+03	1.254876E-02	1.558621E-03
3.480505E+03	1.206185E-02	1.496732E-03
3.486657E+03	1.203823E-02	1.492151E-03
3.492808E+03	1.209782E-02	1.497874E-03
3.498081E+03	1.196400E-02	1.479890E-03
3.503353E+03	1.184865E-02	1.464216E-03
3.508625E+03	1.164508E-02	1.437672E-03
3.513898E+03	1.163135E-02	1.434589E-03
3.519171E+03	1.181038E-02	1.455254E-03
3.525322E+03	1.212790E-02	1.492678E-03
3.531473E+03	1.200518E-02	1.475885E-03
3.536745E+03	1.212829E-02	1.489552E-03
3.542018E+03	1.217693E-02	1.494047E-03
3.547291E+03	1.234511E-02	1.513178E-03
3.552564E+03	1.273061E-02	1.558874E-03
3.558715E+03	1.305896E-02	1.597214E-03
3.564866E+03	1.331315E-02	1.626392E-03
3.570139E+03	1.361702E-02	1.661833E-03
3.575412E+03	1.380879E-02	1.683526E-03
3.580685E+03	1.377539E-02	1.677743E-03
3.585957E+03	1.365820E-02	1.661769E-03
3.592109E+03	1.368238E-02	1.662715E-03
3.598261E+03	1.365743E-02	1.657684E-03
3.603534E+03	1.351261E-02	1.638405E-03
3.608806E+03	1.325767E-02	1.605820E-03
3.614080E+03	1.304783E-02	1.578750E-03
3.619353E+03	1.279435E-02	1.546455E-03
3.625505E+03	1.277132E-02	1.541771E-03
3.631656E+03	1.285783E-02	1.550296E-03
3.636929E+03	1.284805E-02	1.547469E-03
3.642203E+03	1.316454E-02	1.583893E-03
3.647475E+03	1.356270E-02	1.630046E-03
3.652748E+03	1.370755E-02	1.645679E-03
3.658901E+03	1.392329E-02	1.669469E-03
