#wls	flux	fluxerr
1.454545E+03	2.028095E-03	1.492858E-04
1.490909E+03	2.077313E-03	1.528040E-04
1.527273E+03	2.124124E-03	1.561373E-04
1.563636E+03	2.167028E-03	1.591754E-04
1.600000E+03	2.205781E-03	1.619011E-04
1.636364E+03	2.238877E-03	1.642041E-04
1.672727E+03	2.264743E-03	1.659700E-04
1.709091E+03	2.280225E-03	1.669689E-04
1.745455E+03	2.283708E-03	1.670842E-04
1.781818E+03	2.273095E-03	1.661648E-04
1.818182E+03	2.249069E-03	1.642633E-04
1.854545E+03	2.217086E-03	1.617804E-04
1.890909E+03	2.189225E-03	1.595982E-04
1.927273E+03	2.182771E-03	1.589751E-04
1.963636E+03	2.214316E-03	1.611136E-04
2.000000E+03	2.290493E-03	1.664875E-04
2.036364E+03	2.408022E-03	1.748482E-04
2.072727E+03	2.554518E-03	1.852872E-04
2.109091E+03	2.718155E-03	1.969399E-04
2.145455E+03	2.888724E-03	2.090624E-04
2.181818E+03	3.060325E-03	2.212254E-04
2.218182E+03	3.230772E-03	2.332694E-04
2.254545E+03	3.398201E-03	2.450592E-04
2.290909E+03	3.564116E-03	2.567026E-04
2.327273E+03	3.728130E-03	2.681712E-04
2.363636E+03	3.892543E-03	2.796293E-04
2.400000E+03	4.057762E-03	2.911047E-04
2.436364E+03	4.224768E-03	3.026663E-04
2.472727E+03	4.394460E-03	3.143765E-04
2.509091E+03	4.567663E-03	3.262920E-04
2.545455E+03	4.745125E-03	3.384638E-04
2.581818E+03	4.928400E-03	3.509995E-04
2.618182E+03	5.116441E-03	3.638216E-04
2.654545E+03	5.311609E-03	3.770942E-04
2.690909E+03	5.512663E-03	3.907255E-04
2.727273E+03	5.722042E-03	4.048843E-04
2.736364E+03	5.775858E-03	4.085178E-04
2.745455E+03	5.830183E-03	4.121832E-04
2.754545E+03	5.884004E-03	4.158087E-04
2.763636E+03	5.939429E-03	4.195433E-04
2.772727E+03	5.995687E-03	4.233322E-04
2.781818E+03	6.053032E-03	4.271934E-04
2.790909E+03	6.110342E-03	4.310477E-04
2.800000E+03	6.169670E-03	4.350395E-04
2.809091E+03	6.229916E-03	4.390914E-04
2.818182E+03	6.291031E-03	4.431995E-04
2.827273E+03	6.352975E-03	4.473612E-04
2.836364E+03	6.414598E-03	4.514952E-04
2.845455E+03	6.478075E-03	4.557546E-04
2.854545E+03	6.542277E-03	4.600599E-04
2.863636E+03	6.607176E-03	4.644089E-04
2.872727E+03	6.671595E-03	4.687188E-04
2.881818E+03	6.737807E-03	4.731493E-04
2.890909E+03	6.804652E-03	4.776187E-04
2.900000E+03	6.872117E-03	4.821260E-04
2.909091E+03	6.940185E-03	4.866699E-04
2.918182E+03	7.008846E-03	4.912497E-04
2.927273E+03	7.076872E-03	4.957791E-04
2.936364E+03	7.146685E-03	5.004279E-04
2.945455E+03	7.217068E-03	5.051107E-04
2.954545E+03	7.288023E-03	5.098274E-04
2.963636E+03	7.359546E-03	5.145777E-04
2.972727E+03	7.431636E-03	5.193615E-04
2.981818E+03	7.504297E-03	5.241788E-04
2.990909E+03	7.576225E-03	5.289387E-04
3.000000E+03	7.650019E-03	5.338224E-04
3.009091E+03	7.724396E-03	5.387403E-04
3.018182E+03	7.799358E-03	5.436924E-04
3.027273E+03	7.874914E-03	5.486792E-04
3.036364E+03	7.951071E-03	5.537011E-04
3.045455E+03	8.027839E-03	5.587587E-04
3.054545E+03	8.105225E-03	5.638524E-04
3.063636E+03	8.181836E-03	5.688851E-04
3.072727E+03	8.260477E-03	5.740520E-04
3.081818E+03	8.339769E-03	5.792570E-04
3.090909E+03	8.419723E-03	5.845006E-04
3.100000E+03	8.500349E-03	5.897834E-04
3.109091E+03	8.581662E-03	5.951065E-04
3.118182E+03	8.663672E-03	6.004704E-04
3.127273E+03	8.746394E-03	6.058759E-04
3.136364E+03	8.829840E-03	6.113238E-04
3.145455E+03	8.914021E-03	6.168148E-04
3.154545E+03	8.998954E-03	6.223498E-04
3.163636E+03	9.083095E-03	6.278221E-04
3.172727E+03	9.169553E-03	6.334464E-04
3.181818E+03	9.256799E-03	6.391169E-04
3.190909E+03	9.344850E-03	6.448346E-04
3.200000E+03	9.433715E-03	6.506000E-04
3.209091E+03	9.523409E-03	6.564140E-04
3.218182E+03	9.613946E-03	6.622774E-04
3.227273E+03	9.705338E-03	6.681909E-04
3.236364E+03	9.797597E-03	6.741552E-04
3.245455E+03	9.890735E-03	6.801709E-04
3.254545E+03	9.984767E-03	6.862388E-04
3.263636E+03	1.007970E-02	6.923596E-04
3.272727E+03	1.017555E-02	6.985340E-04
3.281818E+03	1.027233E-02	7.047624E-04
3.290909E+03	1.037004E-02	7.110455E-04
3.300000E+03	1.046871E-02	7.173840E-04
3.309091E+03	1.056833E-02	7.237782E-04
3.318182E+03	1.066892E-02	7.302288E-04
3.327273E+03	1.076866E-02	7.366110E-04
3.336364E+03	1.087120E-02	7.431746E-04
3.345455E+03	1.097474E-02	7.497959E-04
3.354545E+03	1.107928E-02	7.564752E-04
3.363636E+03	1.118483E-02	7.632130E-04
3.372727E+03	1.129140E-02	7.700095E-04
3.381818E+03	1.139900E-02	7.768651E-04
3.390909E+03	1.150763E-02	7.837800E-04
3.400000E+03	1.161729E-02	7.907543E-04
3.409091E+03	1.172800E-02	7.977883E-04
3.418182E+03	1.183976E-02	8.048820E-04
3.427273E+03	1.195257E-02	8.120355E-04
3.436364E+03	1.206643E-02	8.192489E-04
3.445455E+03	1.218135E-02	8.265223E-04
3.454545E+03	1.229733E-02	8.338554E-04
3.463636E+03	1.241437E-02	8.412483E-04
3.472727E+03	1.253247E-02	8.487008E-04
3.481818E+03	1.265163E-02	8.562127E-04
3.490909E+03	1.277185E-02	8.637838E-04
3.500000E+03	1.289313E-02	8.714138E-04
3.509091E+03	1.301547E-02	8.791024E-04
3.518182E+03	1.313887E-02	8.868493E-04
3.527273E+03	1.326107E-02	8.945028E-04
3.536364E+03	1.338655E-02	9.023634E-04
3.545455E+03	1.351306E-02	9.102808E-04
3.554545E+03	1.364061E-02	9.182544E-04
3.563636E+03	1.376919E-02	9.262834E-04
3.572727E+03	1.389879E-02	9.343674E-04
3.581818E+03	1.402940E-02	9.425054E-04
3.590909E+03	1.416102E-02	9.506967E-04
3.600000E+03	1.429363E-02	9.589406E-04
3.609091E+03	1.442722E-02	9.672359E-04
3.618182E+03	1.456179E-02	9.755818E-04
3.627273E+03	1.469731E-02	9.839772E-04
3.636364E+03	1.483378E-02	9.924211E-04
3.645455E+03	1.497119E-02	1.000912E-03
3.654545E+03	1.510696E-02	1.009280E-03
3.663636E+03	1.524616E-02	1.017861E-03
3.672727E+03	1.538623E-02	1.026485E-03
3.681818E+03	1.552717E-02	1.035152E-03
3.690909E+03	1.566895E-02	1.043859E-03
3.700000E+03	1.581156E-02	1.052606E-03
3.709091E+03	1.595497E-02	1.061390E-03
3.718182E+03	1.609916E-02	1.070210E-03
3.727273E+03	1.624413E-02	1.079066E-03
3.736364E+03	1.638981E-02	1.087953E-03
3.745455E+03	1.653344E-02	1.096688E-03
3.754545E+03	1.668048E-02	1.105633E-03
3.763636E+03	1.682819E-02	1.114605E-03
3.772727E+03	1.697654E-02	1.123604E-03
3.781818E+03	1.712548E-02	1.132625E-03
3.790909E+03	1.727499E-02	1.141667E-03
3.800000E+03	1.742503E-02	1.150728E-03
3.809091E+03	1.757265E-02	1.159611E-03
3.818182E+03	1.772365E-02	1.168702E-03
3.827273E+03	1.787509E-02	1.177804E-03
3.836364E+03	1.802694E-02	1.186916E-03
3.845455E+03	1.817916E-02	1.196035E-03
3.854545E+03	1.833170E-02	1.205159E-03
3.863636E+03	1.848146E-02	1.214083E-03
3.872727E+03	1.863452E-02	1.223206E-03
3.881818E+03	1.878780E-02	1.232326E-03
3.890909E+03	1.894127E-02	1.241442E-03
3.900000E+03	1.909484E-02	1.250547E-03
3.909091E+03	1.924532E-02	1.259432E-03
3.918182E+03	1.939902E-02	1.268511E-03
3.927273E+03	1.955271E-02	1.277572E-03
3.936364E+03	1.970636E-02	1.286613E-03
3.945455E+03	1.985661E-02	1.295415E-03
3.954545E+03	2.001001E-02	1.304405E-03
3.963636E+03	2.016321E-02	1.313365E-03
3.972727E+03	2.031617E-02	1.322292E-03
3.981818E+03	2.046544E-02	1.330963E-03
3.990909E+03	2.061776E-02	1.339814E-03
4.000000E+03	2.076970E-02	1.348623E-03
4.009091E+03	2.092116E-02	1.357385E-03
4.018182E+03	2.106866E-02	1.365872E-03
4.027273E+03	2.121907E-02	1.374532E-03
4.036364E+03	2.136888E-02	1.383136E-03
4.045455E+03	2.151446E-02	1.391450E-03
4.054545E+03	2.166286E-02	1.399930E-03
4.063636E+03	2.181050E-02	1.408344E-03
4.072727E+03	2.195367E-02	1.416453E-03
4.081818E+03	2.209955E-02	1.424721E-03
4.090909E+03	2.224451E-02	1.432914E-03
4.100000E+03	2.238474E-02	1.440786E-03
4.109091E+03	2.252761E-02	1.448813E-03
4.118182E+03	2.266559E-02	1.456510E-03
4.127273E+03	2.280612E-02	1.464356E-03
4.136364E+03	2.294540E-02	1.472105E-03
4.145455E+03	2.307956E-02	1.479512E-03
4.154545E+03	2.321616E-02	1.487061E-03
4.163636E+03	2.334747E-02	1.494256E-03
4.172727E+03	2.348112E-02	1.501588E-03
4.181818E+03	2.361323E-02	1.508806E-03
4.190909E+03	2.373980E-02	1.515657E-03
4.200000E+03	2.386861E-02	1.522637E-03
4.209091E+03	2.399171E-02	1.529240E-03
4.218182E+03	2.411696E-02	1.535967E-03
4.227273E+03	2.423636E-02	1.542309E-03
4.236364E+03	2.435783E-02	1.548770E-03
4.245455E+03	2.447328E-02	1.554836E-03
4.254545E+03	2.459070E-02	1.561016E-03
4.263636E+03	2.470195E-02	1.566793E-03
4.272727E+03	2.481511E-02	1.572680E-03
4.281818E+03	2.492193E-02	1.578155E-03
4.290909E+03	2.503059E-02	1.583735E-03
4.300000E+03	2.513276E-02	1.588895E-03
4.309091E+03	2.523666E-02	1.594155E-03
4.318182E+03	2.533396E-02	1.598989E-03
4.327273E+03	2.542873E-02	1.603654E-03
