#wls	flux	fluxerr
1.454545E+03	8.607817E-19	1.283641E-19
1.490909E+03	8.820721E-19	1.313568E-19
1.527273E+03	9.014321E-19	1.340486E-19
1.563636E+03	9.187291E-19	1.364205E-19
1.600000E+03	9.337217E-19	1.384376E-19
1.636364E+03	9.457787E-19	1.400077E-19
1.672727E+03	9.542277E-19	1.410331E-19
1.709091E+03	9.579147E-19	1.413457E-19
1.745455E+03	9.559960E-19	1.408245E-19
1.781818E+03	9.475785E-19	1.393422E-19
1.818182E+03	9.330734E-19	1.369642E-19
1.854545E+03	9.146951E-19	1.340199E-19
1.890909E+03	8.971851E-19	1.312061E-19
1.927273E+03	8.875878E-19	1.295504E-19
1.963636E+03	8.923011E-19	1.299781E-19
2.000000E+03	9.136171E-19	1.328097E-19
2.036364E+03	9.498245E-19	1.377813E-19
2.072727E+03	9.968602E-19	1.442900E-19
2.109091E+03	1.050745E-18	1.517497E-19
2.145455E+03	1.109328E-18	1.598421E-19
2.181818E+03	1.171890E-18	1.684575E-19
2.218182E+03	1.237595E-18	1.774700E-19
2.254545E+03	1.305684E-18	1.867661E-19
2.290909E+03	1.375094E-18	1.961890E-19
2.327273E+03	1.444959E-18	2.056120E-19
2.363636E+03	1.514783E-18	2.149619E-19
2.400000E+03	1.584422E-18	2.242159E-19
2.436364E+03	1.654214E-18	2.334197E-19
2.472727E+03	1.724170E-18	2.425721E-19
2.509091E+03	1.794589E-18	2.517122E-19
2.545455E+03	1.866047E-18	2.609173E-19
2.581818E+03	1.938873E-18	2.702290E-19
2.618182E+03	2.013099E-18	2.796475E-19
2.654545E+03	2.089563E-18	2.892835E-19
2.690909E+03	2.167979E-18	2.990913E-19
2.727273E+03	2.249174E-18	3.091786E-19
2.736364E+03	2.270078E-18	3.117667E-19
2.745455E+03	2.290785E-18	3.143206E-19
2.754545E+03	2.311894E-18	3.169228E-19
2.763636E+03	2.333440E-18	3.195776E-19
2.772727E+03	2.354912E-18	3.222149E-19
2.781818E+03	2.377015E-18	3.249312E-19
2.790909E+03	2.399423E-18	3.276814E-19
2.800000E+03	2.422111E-18	3.304621E-19
2.809091E+03	2.445370E-18	3.333128E-19
2.818182E+03	2.468873E-18	3.361885E-19
2.827273E+03	2.492602E-18	3.390868E-19
2.836364E+03	2.516541E-18	3.420052E-19
2.845455E+03	2.540995E-18	3.449851E-19
2.854545E+03	2.565634E-18	3.479815E-19
2.863636E+03	2.590772E-18	3.510365E-19
2.872727E+03	2.615752E-18	3.540612E-19
2.881818E+03	2.641213E-18	3.571420E-19
2.890909E+03	2.666826E-18	3.602338E-19
2.900000E+03	2.692912E-18	3.633803E-19
2.909091E+03	2.719141E-18	3.665364E-19
2.918182E+03	2.745504E-18	3.697010E-19
2.927273E+03	2.772001E-18	3.728736E-19
2.936364E+03	2.798964E-18	3.760990E-19
2.945455E+03	2.826058E-18	3.793317E-19
2.954545E+03	2.853279E-18	3.825713E-19
2.963636E+03	2.880972E-18	3.858638E-19
2.972727E+03	2.908795E-18	3.891630E-19
2.981818E+03	2.936748E-18	3.924688E-19
2.990909E+03	2.965182E-18	3.958281E-19
3.000000E+03	2.993752E-18	3.991944E-19
3.009091E+03	3.022459E-18	4.025678E-19
3.018182E+03	3.051307E-18	4.059486E-19
3.027273E+03	3.080655E-18	4.093844E-19
3.036364E+03	3.110162E-18	4.128295E-19
3.045455E+03	3.140186E-18	4.163315E-19
3.054545E+03	3.170066E-18	4.198021E-19
3.063636E+03	3.200523E-18	4.233370E-19
3.072727E+03	3.231561E-18	4.269362E-19
3.081818E+03	3.262447E-18	4.305027E-19
3.090909E+03	3.293917E-18	4.341334E-19
3.100000E+03	3.325977E-18	4.378288E-19
3.109091E+03	3.357885E-18	4.414907E-19
3.118182E+03	3.390389E-18	4.452176E-19
3.127273E+03	3.423119E-18	4.489605E-19
3.136364E+03	3.456458E-18	4.527692E-19
3.145455E+03	3.490031E-18	4.565945E-19
3.154545E+03	3.523843E-18	4.604367E-19
3.163636E+03	3.557898E-18	4.642960E-19
3.172727E+03	3.592588E-18	4.682233E-19
3.181818E+03	3.627533E-18	4.721688E-19
3.190909E+03	3.662738E-18	4.761328E-19
3.200000E+03	3.698604E-18	4.801672E-19
3.209091E+03	3.734745E-18	4.842214E-19
3.218182E+03	3.771167E-18	4.882960E-19
3.227273E+03	3.808277E-18	4.924434E-19
3.236364E+03	3.845685E-18	4.966127E-19
3.245455E+03	3.883398E-18	5.008044E-19
3.254545E+03	3.921831E-18	5.050717E-19
3.263636E+03	3.960175E-18	5.093103E-19
3.272727E+03	3.999258E-18	5.136261E-19
3.281818E+03	4.039094E-18	5.180205E-19
3.290909E+03	4.078862E-18	5.223881E-19
3.297736E+03	4.387294E-18	5.612946E-19
3.303009E+03	4.541353E-18	5.805271E-19
3.308281E+03	4.771649E-18	6.094630E-19
3.313553E+03	4.788775E-18	6.111438E-19
3.319704E+03	4.741738E-18	6.045537E-19
3.325855E+03	4.788230E-18	6.098860E-19
3.331126E+03	4.854340E-18	6.177875E-19
3.336398E+03	4.896776E-18	6.226628E-19
3.341671E+03	4.784685E-18	6.078945E-19
3.346943E+03	4.766560E-18	6.050770E-19
3.353094E+03	4.417911E-18	5.602603E-19
3.359245E+03	3.943847E-18	4.996411E-19
3.364516E+03	3.716519E-18	4.704356E-19
3.369788E+03	3.663091E-18	4.632717E-19
3.375061E+03	3.702407E-18	4.678372E-19
3.380333E+03	3.846954E-18	4.856784E-19
3.386484E+03	4.107765E-18	5.180757E-19
3.392635E+03	4.198020E-18	5.289152E-19
3.397906E+03	4.499265E-18	5.663684E-19
3.403179E+03	4.629958E-18	5.823027E-19
3.408451E+03	4.644600E-18	5.836235E-19
3.413723E+03	4.726513E-18	5.933850E-19
3.419874E+03	4.855128E-18	6.088926E-19
3.426025E+03	5.136646E-18	6.435195E-19
3.431297E+03	5.311341E-18	6.648018E-19
3.436570E+03	5.363013E-18	6.706578E-19
3.441842E+03	5.461035E-18	6.822911E-19
3.447115E+03	5.526925E-18	6.898891E-19
3.453265E+03	5.550051E-18	6.920302E-19
3.459416E+03	5.454304E-18	6.793562E-19
3.464688E+03	5.421039E-18	6.745844E-19
3.469961E+03	5.475633E-18	6.807409E-19
3.475234E+03	5.332678E-18	6.623462E-19
3.480505E+03	5.126224E-18	6.361035E-19
3.486657E+03	5.116716E-18	6.342223E-19
3.492808E+03	5.142574E-18	6.367201E-19
3.498081E+03	5.086132E-18	6.291302E-19
3.503353E+03	5.037530E-18	6.225206E-19
3.508625E+03	4.951402E-18	6.112878E-19
3.513898E+03	4.945987E-18	6.100286E-19
3.519171E+03	5.022535E-18	6.188681E-19
3.525322E+03	5.158067E-18	6.348449E-19
3.531473E+03	5.106370E-18	6.277635E-19
3.536745E+03	5.159159E-18	6.336287E-19
3.542018E+03	5.180271E-18	6.355926E-19
3.547291E+03	5.252244E-18	6.437836E-19
3.552564E+03	5.416691E-18	6.632785E-19
3.558715E+03	5.556923E-18	6.796552E-19
3.564866E+03	5.665614E-18	6.921358E-19
3.570139E+03	5.795392E-18	7.072746E-19
3.575412E+03	5.877473E-18	7.165641E-19
3.580685E+03	5.863720E-18	7.141590E-19
3.585957E+03	5.814294E-18	7.074148E-19
3.592109E+03	5.825122E-18	7.078825E-19
3.598261E+03	5.815030E-18	7.058050E-19
3.603534E+03	5.753820E-18	6.976512E-19
3.608806E+03	5.645705E-18	6.838295E-19
3.614080E+03	5.556777E-18	6.723542E-19
3.619353E+03	5.449252E-18	6.586517E-19
3.625505E+03	5.439937E-18	6.567167E-19
3.631656E+03	5.477284E-18	6.604079E-19
3.636929E+03	5.473547E-18	6.592548E-19
3.642203E+03	5.608815E-18	6.748248E-19
3.647475E+03	5.778904E-18	6.945429E-19
3.652748E+03	5.841078E-18	7.012588E-19
3.658901E+03	5.933553E-18	7.114613E-19
3.665053E+03	6.149772E-18	7.364513E-19
3.670325E+03	6.385248E-18	7.638147E-19
3.675599E+03	6.521811E-18	7.792946E-19
3.680872E+03	6.507284E-18	7.767024E-19
3.686145E+03	6.522451E-18	7.776514E-19
3.692298E+03	6.613543E-18	7.874898E-19
3.698450E+03	6.786336E-18	8.070122E-19
3.703724E+03	6.849740E-18	8.136385E-19
3.708997E+03	6.748031E-18	8.006543E-19
3.714270E+03	6.751870E-18	8.002040E-19
3.719544E+03	6.746641E-18	7.986764E-19
3.725696E+03	6.759285E-18	7.991084E-19
3.731849E+03	6.880588E-18	8.123618E-19
3.737123E+03	6.904793E-18	8.142810E-19
3.742396E+03	6.850223E-18	8.069117E-19
3.747670E+03	6.820348E-18	8.024600E-19
3.752944E+03	6.768238E-18	7.954008E-19
3.759096E+03	6.714428E-18	7.879992E-19
3.765249E+03	6.670982E-18	7.818261E-19
3.770523E+03	6.590487E-18	7.714793E-19
3.775796E+03	6.478272E-18	7.574437E-19
3.781070E+03	6.418465E-18	7.495569E-19
3.786345E+03	6.274224E-18	7.318353E-19
3.792497E+03	5.969342E-18	6.952972E-19
3.798650E+03	5.694422E-18	6.623406E-19
3.803925E+03	5.413973E-18	6.289565E-19
3.809198E+03	5.113589E-18	5.933364E-19
3.814473E+03	4.974313E-18	5.764700E-19
3.819746E+03	4.955985E-18	5.736406E-19
3.825900E+03	4.977764E-18	5.753320E-19
3.832053E+03	5.038163E-18	5.814708E-19
3.837327E+03	5.249016E-18	6.050515E-19
3.842602E+03	5.486041E-18	6.315824E-19
3.847876E+03	5.701749E-18	6.555915E-19
3.853151E+03	6.079861E-18	6.981856E-19
3.858425E+03	6.605005E-18	7.575306E-19
3.864578E+03	7.238737E-18	8.289816E-19
3.870732E+03	7.866589E-18	8.995402E-19
3.876006E+03	8.485822E-18	9.691033E-19
3.881281E+03	8.954092E-18	1.021263E-18
3.886556E+03	9.121378E-18	1.038995E-18
3.891831E+03	9.319060E-18	1.060133E-18
3.897985E+03	9.572132E-18	1.087264E-18
3.904138E+03	9.685759E-18	1.098486E-18
3.909414E+03	9.796093E-18	1.109535E-18
3.914688E+03	9.886506E-18	1.118293E-18
3.919963E+03	9.836008E-18	1.111102E-18
3.925238E+03	9.895035E-18	1.116278E-18
3.931392E+03	1.018395E-17	1.147075E-18
3.937546E+03	1.028480E-17	1.156614E-18
3.942822E+03	1.054548E-17	1.184323E-18
3.948096E+03	1.088361E-17	1.220637E-18
3.953372E+03	1.123726E-17	1.258580E-18
3.958647E+03	1.162067E-17	1.299738E-18
3.964802E+03	1.187939E-17	1.326542E-18
3.970956E+03	1.209598E-17	1.348548E-18
3.976232E+03	1.226833E-17	1.365863E-18
3.981507E+03	1.233437E-17	1.371299E-18
3.986783E+03	1.229174E-17	1.364645E-18
3.992058E+03	1.247227E-17	1.382739E-18
3.998213E+03	1.256726E-17	1.390973E-18
4.004368E+03	1.245237E-17	1.375973E-18
4.009644E+03	1.222055E-17	1.348430E-18
4.014920E+03	1.218100E-17	1.342141E-18
4.020195E+03	1.214821E-17	1.336602E-18
4.025472E+03	1.189556E-17	1.306914E-18
4.031626E+03	1.192533E-17	1.307966E-18
4.037782E+03	1.211437E-17	1.326439E-18
4.043058E+03	1.216447E-17	1.329974E-18
4.048334E+03	1.205584E-17	1.316157E-18
4.053610E+03	1.207362E-17	1.316152E-18
4.058886E+03	1.195503E-17	1.301290E-18
4.065042E+03	1.175672E-17	1.277480E-18
4.071198E+03	1.153378E-17	1.251067E-18
4.076475E+03	1.142186E-17	1.237063E-18
4.081751E+03	1.125507E-17	1.217157E-18
4.087027E+03	1.122020E-17	1.211545E-18
4.092304E+03	1.124694E-17	1.212582E-18
4.097580E+03	1.105172E-17	1.189712E-18
4.103736E+03	1.084604E-17	1.165477E-18
4.109893E+03	1.074001E-17	1.152005E-18
4.115169E+03	1.046220E-17	1.120466E-18
4.120446E+03	1.043116E-17	1.115401E-18
4.125723E+03	1.024943E-17	1.094254E-18
4.131000E+03	1.008897E-17	1.075431E-18
4.137156E+03	9.785132E-18	1.041124E-18
4.143314E+03	9.548454E-18	1.014062E-18
4.148590E+03	9.381867E-18	9.947830E-19
4.153867E+03	9.109808E-18	9.643907E-19
4.159145E+03	8.694794E-18	9.189774E-19
4.164422E+03	8.247364E-18	8.702811E-19
4.170579E+03	7.944439E-18	8.367309E-19
4.176736E+03	7.644340E-18	8.035942E-19
4.182014E+03	7.245158E-18	7.603852E-19
4.187291E+03	6.959652E-18	7.292212E-19
4.192569E+03	7.042754E-18	7.367110E-19
4.197846E+03	7.193904E-18	7.512755E-19
4.204004E+03	7.274774E-18	7.582462E-19
4.210162E+03	7.673750E-18	7.982707E-19
4.215439E+03	8.024830E-18	8.333899E-19
4.220717E+03	8.249567E-18	8.552838E-19
4.225995E+03	8.432117E-18	8.727287E-19
4.231274E+03	8.811182E-18	9.104106E-19
4.237432E+03	9.171057E-18	9.457052E-19
4.243589E+03	9.459044E-18	9.734480E-19
4.248868E+03	9.580678E-18	9.842643E-19
4.254146E+03	9.955903E-18	1.021041E-18
4.259425E+03	1.017679E-17	1.041879E-18
4.264703E+03	1.036661E-17	1.059458E-18
4.269982E+03	1.050023E-17	1.071231E-18
4.276140E+03	1.042867E-17	1.061742E-18
4.282298E+03	1.034115E-17	1.050656E-18
4.287577E+03	1.022523E-17	1.037030E-18
4.292856E+03	9.983296E-18	1.010685E-18
4.298135E+03	9.899150E-18	1.000368E-18
4.303415E+03	9.714744E-18	9.799633E-19
4.309573E+03	9.484602E-18	9.547281E-19
4.315732E+03	9.233724E-18	9.275022E-19
4.321012E+03	9.204066E-18	9.228335E-19
4.326291E+03	9.311697E-18	9.319118E-19
