#wls	flux	fluxerr
1.454545E+03	7.740216E-19	9.233586E-20
1.490909E+03	7.948396E-19	9.475071E-20
1.527273E+03	8.139582E-19	9.695771E-20
1.563636E+03	8.312476E-19	9.894168E-20
1.600000E+03	8.466282E-19	1.006935E-19
1.636364E+03	8.595232E-19	1.021450E-19
1.672727E+03	8.690136E-19	1.031876E-19
1.709091E+03	8.743267E-19	1.037305E-19
1.745455E+03	8.743702E-19	1.036454E-19
1.781818E+03	8.685961E-19	1.028690E-19
1.818182E+03	8.572023E-19	1.014266E-19
1.854545E+03	8.421969E-19	9.955741E-20
1.890909E+03	8.279328E-19	9.777674E-20
1.927273E+03	8.208012E-19	9.683848E-20
1.963636E+03	8.269342E-19	9.746285E-20
2.000000E+03	8.485430E-19	9.990533E-20
2.036364E+03	8.841525E-19	1.039864E-19
2.072727E+03	9.299322E-19	1.092505E-19
2.109091E+03	9.823831E-19	1.152825E-19
2.145455E+03	1.039382E-18	1.218302E-19
2.181818E+03	1.100295E-18	1.288171E-19
2.218182E+03	1.164542E-18	1.361729E-19
2.254545E+03	1.231277E-18	1.437966E-19
2.290909E+03	1.299519E-18	1.515720E-19
2.327273E+03	1.368475E-18	1.594052E-19
2.363636E+03	1.437465E-18	1.672158E-19
2.400000E+03	1.506832E-18	1.750430E-19
2.436364E+03	1.576222E-18	1.828444E-19
2.472727E+03	1.646391E-18	1.907067E-19
2.509091E+03	1.717145E-18	1.986062E-19
2.545455E+03	1.789369E-18	2.066437E-19
2.581818E+03	1.862851E-18	2.147931E-19
2.618182E+03	1.938203E-18	2.231228E-19
2.654545E+03	2.016061E-18	2.317042E-19
2.690909E+03	2.096125E-18	2.404998E-19
2.727273E+03	2.179003E-18	2.495771E-19
2.736364E+03	2.200060E-18	2.518783E-19
2.745455E+03	2.221633E-18	2.542360E-19
2.754545E+03	2.243393E-18	2.566121E-19
2.763636E+03	2.265021E-18	2.589703E-19
2.772727E+03	2.287301E-18	2.614001E-19
2.781818E+03	2.309987E-18	2.638733E-19
2.790909E+03	2.332701E-18	2.663468E-19
2.800000E+03	2.356132E-18	2.688989E-19
2.809091E+03	2.379907E-18	2.714872E-19
2.818182E+03	2.404011E-18	2.741098E-19
2.827273E+03	2.428428E-18	2.767648E-19
2.836364E+03	2.453145E-18	2.794507E-19
2.845455E+03	2.478525E-18	2.822086E-19
2.854545E+03	2.503811E-18	2.849524E-19
2.863636E+03	2.529367E-18	2.877233E-19
2.872727E+03	2.555182E-18	2.905203E-19
2.881818E+03	2.581640E-18	2.933866E-19
2.890909E+03	2.607961E-18	2.962338E-19
2.900000E+03	2.634921E-18	2.991497E-19
2.909091E+03	2.661730E-18	3.020446E-19
2.918182E+03	2.689178E-18	3.050082E-19
2.927273E+03	2.716868E-18	3.079954E-19
2.936364E+03	2.744392E-18	3.109597E-19
2.945455E+03	2.772561E-18	3.139932E-19
2.954545E+03	2.800973E-18	3.170500E-19
2.963636E+03	2.829628E-18	3.201302E-19
2.972727E+03	2.858529E-18	3.232339E-19
2.981818E+03	2.887676E-18	3.263613E-19
2.990909E+03	2.917075E-18	3.295127E-19
3.000000E+03	2.946728E-18	3.326884E-19
3.009091E+03	2.976639E-18	3.358888E-19
3.018182E+03	3.007254E-18	3.391640E-19
3.027273E+03	3.037699E-18	3.424156E-19
3.036364E+03	3.068429E-18	3.456945E-19
3.045455E+03	3.099892E-18	3.490513E-19
3.054545E+03	3.131250E-18	3.523914E-19
3.063636E+03	3.162951E-18	3.557652E-19
3.072727E+03	3.195459E-18	3.592249E-19
3.081818E+03	3.228320E-18	3.627192E-19
3.090909E+03	3.261066E-18	3.661953E-19
3.100000E+03	3.294637E-18	3.697589E-19
3.109091E+03	3.328571E-18	3.733579E-19
3.118182E+03	3.362387E-18	3.769383E-19
3.127273E+03	3.397054E-18	3.806086E-19
3.136364E+03	3.432098E-18	3.843156E-19
3.145455E+03	3.467522E-18	3.880595E-19
3.154545E+03	3.503335E-18	3.918411E-19
3.163636E+03	3.539542E-18	3.956609E-19
3.172727E+03	3.576151E-18	3.995197E-19
3.181818E+03	3.613167E-18	4.034180E-19
3.190909E+03	3.650599E-18	4.073566E-19
3.200000E+03	3.688455E-18	4.113363E-19
3.209091E+03	3.727270E-18	4.154166E-19
3.218182E+03	3.766003E-18	4.194812E-19
3.227273E+03	3.805184E-18	4.235892E-19
3.236364E+03	3.844824E-18	4.277417E-19
3.245455E+03	3.885477E-18	4.320000E-19
3.254545E+03	3.926065E-18	4.362443E-19
3.263636E+03	3.967694E-18	4.405973E-19
3.272727E+03	4.009270E-18	4.449371E-19
3.281818E+03	4.051916E-18	4.493886E-19
3.290909E+03	4.094518E-18	4.538277E-19
3.300000E+03	4.138221E-18	4.583815E-19
3.309091E+03	4.181891E-18	4.629239E-19
3.318182E+03	4.226693E-18	4.675839E-19
3.327273E+03	4.272063E-18	4.722988E-19
3.336364E+03	4.317415E-18	4.770038E-19
3.345455E+03	4.363947E-18	4.818310E-19
3.354545E+03	4.411080E-18	4.867161E-19
3.363636E+03	4.458823E-18	4.916602E-19
3.372727E+03	4.507188E-18	4.966643E-19
3.381818E+03	4.555562E-18	5.016605E-19
3.390909E+03	4.605197E-18	5.067868E-19
3.400000E+03	4.655485E-18	5.119760E-19
3.409091E+03	4.706439E-18	5.172291E-19
3.418182E+03	4.758066E-18	5.225469E-19
3.427273E+03	4.810380E-18	5.279304E-19
3.436364E+03	4.863388E-18	5.333806E-19
3.445455E+03	4.917102E-18	5.388982E-19
3.454545E+03	4.971531E-18	5.444842E-19
3.463636E+03	5.026685E-18	5.501394E-19
3.472727E+03	5.082572E-18	5.558644E-19
3.481818E+03	5.139202E-18	5.616601E-19
3.490909E+03	5.196584E-18	5.675272E-19
3.500000E+03	5.254725E-18	5.734663E-19
3.509091E+03	5.313634E-18	5.794781E-19
3.518182E+03	5.373317E-18	5.855629E-19
3.527273E+03	5.434502E-18	5.917999E-19
3.536364E+03	5.495764E-18	5.980335E-19
3.545455E+03	5.557817E-18	6.043412E-19
3.554545E+03	5.620664E-18	6.107232E-19
3.563636E+03	5.684321E-18	6.171809E-19
3.572727E+03	5.748777E-18	6.237128E-19
3.581818E+03	5.814046E-18	6.303203E-19
3.590909E+03	5.880901E-18	6.370867E-19
3.600000E+03	5.947797E-18	6.438442E-19
3.609091E+03	6.015509E-18	6.506768E-19
3.618182E+03	6.084030E-18	6.575834E-19
3.627273E+03	6.153366E-18	6.645642E-19
3.636364E+03	6.223508E-18	6.716181E-19
3.645455E+03	6.295268E-18	6.788323E-19
3.654545E+03	6.367016E-18	6.860307E-19
3.663636E+03	6.439560E-18	6.933003E-19
3.672727E+03	6.512884E-18	7.006388E-19
3.681818E+03	6.586984E-18	7.080459E-19
3.690909E+03	6.661853E-18	7.155203E-19
3.700000E+03	6.737479E-18	7.230604E-19
3.709091E+03	6.813842E-18	7.306638E-19
3.718182E+03	6.890933E-18	7.383295E-19
3.727273E+03	6.968741E-18	7.460556E-19
3.736364E+03	7.047244E-18	7.538399E-19
3.745455E+03	7.126424E-18	7.616800E-19
3.754545E+03	7.206267E-18	7.695740E-19
3.763636E+03	7.286746E-18	7.775190E-19
3.772727E+03	7.367848E-18	7.855132E-19
3.781818E+03	7.449545E-18	7.935535E-19
3.790909E+03	7.531807E-18	8.016363E-19
3.800000E+03	7.614624E-18	8.097603E-19
3.809091E+03	7.697958E-18	8.179212E-19
3.818182E+03	7.781782E-18	8.261160E-19
3.827273E+03	7.866080E-18	8.343428E-19
3.836364E+03	7.949809E-18	8.424907E-19
3.845455E+03	8.034943E-18	8.507689E-19
3.854545E+03	8.120457E-18	8.590684E-19
3.863636E+03	8.206317E-18	8.673854E-19
3.872727E+03	8.291462E-18	8.756077E-19
3.881818E+03	8.377928E-18	8.839502E-19
3.890909E+03	8.463594E-18	8.921890E-19
3.900000E+03	8.550538E-18	9.005428E-19
3.909091E+03	8.636610E-18	9.087851E-19
3.918182E+03	8.723915E-18	9.171372E-19
3.927273E+03	8.810274E-18	9.253699E-19
3.936364E+03	8.897825E-18	9.337078E-19
3.945455E+03	8.984362E-18	9.419190E-19
3.954545E+03	9.070940E-18	9.501144E-19
3.963636E+03	9.157541E-18	9.582919E-19
3.972727E+03	9.245271E-18	9.665670E-19
3.981818E+03	9.331850E-18	9.747012E-19
3.990909E+03	9.418386E-18	9.828104E-19
4.000000E+03	9.504855E-18	9.908919E-19
4.009091E+03	9.591242E-18	9.989441E-19
4.018182E+03	9.677527E-18	1.006965E-18
4.027273E+03	9.763706E-18	1.014954E-18
4.036364E+03	9.849760E-18	1.022909E-18
4.045455E+03	9.934470E-18	1.030703E-18
4.054545E+03	1.002023E-17	1.038586E-18
4.063636E+03	1.010584E-17	1.046432E-18
4.072727E+03	1.019006E-17	1.054113E-18
4.081818E+03	1.027533E-17	1.061882E-18
4.090909E+03	1.036044E-17	1.069612E-18
4.100000E+03	1.044411E-17	1.077174E-18
4.109091E+03	1.052760E-17	1.084695E-18
4.118182E+03	1.061217E-17	1.092306E-18
4.127273E+03	1.069527E-17	1.099745E-18
4.136364E+03	1.077819E-17	1.107143E-18
4.145455E+03	1.086090E-17	1.114500E-18
4.154545E+03	1.094341E-17	1.121815E-18
4.163636E+03	1.102573E-17	1.129088E-18
4.172727E+03	1.110784E-17	1.136319E-18
4.181818E+03	1.118974E-17	1.143508E-18
4.190909E+03	1.127144E-17	1.150653E-18
4.200000E+03	1.135291E-17	1.157755E-18
4.209091E+03	1.143280E-17	1.164675E-18
4.218182E+03	1.151379E-17	1.171685E-18
4.227273E+03	1.159316E-17	1.178509E-18
4.236364E+03	1.167362E-17	1.185422E-18
4.245455E+03	1.175241E-17	1.192144E-18
4.254545E+03	1.183086E-17	1.198811E-18
4.263636E+03	1.191035E-17	1.205563E-18
4.272727E+03	1.198807E-17	1.212113E-18
4.281818E+03	1.206536E-17	1.218600E-18
4.290909E+03	1.214219E-17	1.225018E-18
4.300000E+03	1.221851E-17	1.231365E-18
4.309091E+03	1.229429E-17	1.237636E-18
4.318182E+03	1.236801E-17	1.243680E-18
4.327273E+03	1.244253E-17	1.249782E-18
4.336364E+03	1.251631E-17	1.255792E-18
4.345455E+03	1.258785E-17	1.261555E-18
4.354545E+03	1.266001E-17	1.267360E-18
4.363636E+03	1.272976E-17	1.272905E-18
4.372727E+03	1.279850E-17	1.278329E-18
4.381818E+03	1.286615E-17	1.283624E-18
