#wls	flux	fluxerr
1.600000E+03	4.307160E-18	0.000000E+00
1.640000E+03	4.429473E-18	0.000000E+00
1.680000E+03	4.560904E-18	0.000000E+00
1.720000E+03	4.701587E-18	0.000000E+00
1.760000E+03	4.852658E-18	0.000000E+00
1.800000E+03	5.014271E-18	0.000000E+00
1.840000E+03	5.188101E-18	0.000000E+00
1.880000E+03	5.373830E-18	0.000000E+00
1.920000E+03	5.573682E-18	0.000000E+00
1.960000E+03	5.787881E-18	0.000000E+00
2.000000E+03	6.017172E-18	0.000000E+00
2.040000E+03	6.262838E-18	0.000000E+00
2.080000E+03	6.526191E-18	0.000000E+00
2.120000E+03	6.808052E-18	0.000000E+00
2.160000E+03	7.108745E-18	0.000000E+00
2.200000E+03	7.431236E-18	0.000000E+00
2.240000E+03	7.777505E-18	0.000000E+00
2.280000E+03	8.154899E-18	0.000000E+00
2.320000E+03	8.564514E-18	0.000000E+00
2.360000E+03	9.007483E-18	0.000000E+00
2.400000E+03	9.486599E-18	0.000000E+00
2.440000E+03	1.000419E-17	0.000000E+00
2.480000E+03	1.056539E-17	0.000000E+00
2.520000E+03	1.117325E-17	0.000000E+00
2.560000E+03	1.183261E-17	0.000000E+00
2.600000E+03	1.254674E-17	0.000000E+00
2.640000E+03	1.332016E-17	0.000000E+00
2.680000E+03	1.415641E-17	0.000000E+00
2.720000E+03	1.505969E-17	0.000000E+00
2.760000E+03	1.603323E-17	0.000000E+00
2.800000E+03	1.707862E-17	0.000000E+00
2.840000E+03	1.819875E-17	0.000000E+00
2.880000E+03	1.939364E-17	0.000000E+00
2.920000E+03	2.066753E-17	0.000000E+00
2.960000E+03	2.203479E-17	0.000000E+00
3.000000E+03	2.351086E-17	0.000000E+00
3.010000E+03	2.389916E-17	0.000000E+00
3.020000E+03	2.429555E-17	0.000000E+00
3.030000E+03	2.470012E-17	0.000000E+00
3.040000E+03	2.511408E-17	0.000000E+00
3.050000E+03	2.553691E-17	0.000000E+00
3.060000E+03	2.596925E-17	0.000000E+00
3.070000E+03	2.641119E-17	0.000000E+00
3.080000E+03	2.686337E-17	0.000000E+00
3.090000E+03	2.732586E-17	0.000000E+00
3.100000E+03	2.779933E-17	0.000000E+00
3.110000E+03	2.828387E-17	0.000000E+00
3.120000E+03	2.877952E-17	0.000000E+00
3.130000E+03	2.928698E-17	0.000000E+00
3.140000E+03	2.980632E-17	0.000000E+00
3.150000E+03	3.033885E-17	0.000000E+00
3.160000E+03	3.088343E-17	0.000000E+00
3.170000E+03	3.144135E-17	0.000000E+00
3.180000E+03	3.201271E-17	0.000000E+00
3.190000E+03	3.259821E-17	0.000000E+00
3.200000E+03	3.319733E-17	0.000000E+00
3.210000E+03	3.381140E-17	0.000000E+00
3.220000E+03	3.444051E-17	0.000000E+00
3.230000E+03	3.508416E-17	0.000000E+00
3.240000E+03	3.574366E-17	0.000000E+00
3.250000E+03	3.641976E-17	0.000000E+00
3.260000E+03	3.711132E-17	0.000000E+00
3.270000E+03	3.781971E-17	0.000000E+00
3.280000E+03	3.854502E-17	0.000000E+00
3.290000E+03	3.928737E-17	0.000000E+00
3.300000E+03	4.004689E-17	0.000000E+00
3.310000E+03	4.082432E-17	0.000000E+00
3.320000E+03	4.161979E-17	0.000000E+00
3.330000E+03	4.243341E-17	0.000000E+00
3.340000E+03	4.326532E-17	0.000000E+00
3.350000E+03	4.411565E-17	0.000000E+00
3.360000E+03	4.498516E-17	0.000000E+00
3.370000E+03	4.587333E-17	0.000000E+00
3.380000E+03	4.678031E-17	0.000000E+00
3.390000E+03	4.770623E-17	0.000000E+00
3.400000E+03	4.865122E-17	0.000000E+00
3.410000E+03	4.961542E-17	0.000000E+00
3.420000E+03	5.059831E-17	0.000000E+00
3.430000E+03	5.159938E-17	0.000000E+00
3.440000E+03	5.261941E-17	0.000000E+00
3.450000E+03	5.365789E-17	0.000000E+00
3.460000E+03	5.471364E-17	0.000000E+00
3.470000E+03	5.578678E-17	0.000000E+00
3.480000E+03	5.687678E-17	0.000000E+00
3.490000E+03	5.798248E-17	0.000000E+00
3.500000E+03	5.910263E-17	0.000000E+00
3.510000E+03	6.023737E-17	0.000000E+00
3.520000E+03	6.138346E-17	0.000000E+00
3.530000E+03	6.254037E-17	0.000000E+00
3.540000E+03	6.370417E-17	0.000000E+00
3.550000E+03	6.487157E-17	0.000000E+00
3.560000E+03	6.603929E-17	0.000000E+00
3.570000E+03	6.720330E-17	0.000000E+00
3.580000E+03	6.836022E-17	0.000000E+00
3.590000E+03	6.950532E-17	0.000000E+00
3.600000E+03	7.063378E-17	0.000000E+00
3.610000E+03	7.174276E-17	0.000000E+00
3.620000E+03	7.283012E-17	0.000000E+00
3.630000E+03	7.389433E-17	0.000000E+00
3.640000E+03	7.493452E-17	0.000000E+00
3.650000E+03	7.595120E-17	0.000000E+00
3.660000E+03	7.694350E-17	0.000000E+00
3.670000E+03	7.791191E-17	0.000000E+00
3.680000E+03	7.885625E-17	0.000000E+00
3.690000E+03	7.977702E-17	0.000000E+00
3.700000E+03	8.067401E-17	0.000000E+00
3.710000E+03	8.154772E-17	0.000000E+00
3.720000E+03	8.239867E-17	0.000000E+00
3.730000E+03	8.322664E-17	0.000000E+00
3.740000E+03	8.403216E-17	0.000000E+00
3.750000E+03	8.481573E-17	0.000000E+00
3.760000E+03	8.557644E-17	0.000000E+00
3.770000E+03	8.631622E-17	0.000000E+00
3.780000E+03	8.703346E-17	0.000000E+00
3.790000E+03	8.773079E-17	0.000000E+00
3.800000E+03	8.840661E-17	0.000000E+00
3.810000E+03	8.906214E-17	0.000000E+00
3.820000E+03	8.969719E-17	0.000000E+00
3.830000E+03	9.031228E-17	0.000000E+00
3.840000E+03	9.090796E-17	0.000000E+00
3.850000E+03	9.148471E-17	0.000000E+00
3.860000E+03	9.204239E-17	0.000000E+00
3.870000E+03	9.258151E-17	0.000000E+00
3.880000E+03	9.310261E-17	0.000000E+00
3.890000E+03	9.360622E-17	0.000000E+00
3.900000E+03	9.409147E-17	0.000000E+00
3.910000E+03	9.456031E-17	0.000000E+00
3.920000E+03	9.501187E-17	0.000000E+00
3.930000E+03	9.544666E-17	0.000000E+00
3.940000E+03	9.586601E-17	0.000000E+00
3.950000E+03	9.626825E-17	0.000000E+00
3.960000E+03	9.665542E-17	0.000000E+00
3.970000E+03	9.702733E-17	0.000000E+00
3.980000E+03	9.738308E-17	0.000000E+00
3.990000E+03	9.772471E-17	0.000000E+00
4.000000E+03	9.805132E-17	0.000000E+00
4.010000E+03	9.836272E-17	0.000000E+00
4.020000E+03	9.866024E-17	0.000000E+00
4.030000E+03	9.894371E-17	0.000000E+00
4.040000E+03	9.921220E-17	0.000000E+00
4.050000E+03	9.946780E-17	0.000000E+00
4.060000E+03	9.970883E-17	0.000000E+00
4.070000E+03	9.993664E-17	0.000000E+00
4.080000E+03	1.001503E-16	0.000000E+00
4.090000E+03	1.003512E-16	0.000000E+00
4.100000E+03	1.005383E-16	0.000000E+00
4.110000E+03	1.007130E-16	0.000000E+00
4.120000E+03	1.008737E-16	0.000000E+00
4.130000E+03	1.010217E-16	0.000000E+00
4.140000E+03	1.011568E-16	0.000000E+00
4.150000E+03	1.012796E-16	0.000000E+00
4.160000E+03	1.013892E-16	0.000000E+00
4.170000E+03	1.014871E-16	0.000000E+00
4.180000E+03	1.015729E-16	0.000000E+00
4.190000E+03	1.016466E-16	0.000000E+00
