#wls	flux	fluxerr
1.600000E+03	2.139550E-18	3.190605E-19
1.640000E+03	2.168311E-18	3.229016E-19
1.680000E+03	2.198095E-18	3.268703E-19
1.720000E+03	2.228927E-18	3.309695E-19
1.760000E+03	2.260840E-18	3.352018E-19
1.800000E+03	2.293859E-18	3.395699E-19
1.840000E+03	2.328412E-18	3.441350E-19
1.880000E+03	2.364143E-18	3.488426E-19
1.920000E+03	2.401489E-18	3.537551E-19
1.960000E+03	2.440091E-18	3.588173E-19
2.000000E+03	2.480393E-18	3.640926E-19
2.040000E+03	2.522449E-18	3.695859E-19
2.080000E+03	2.565889E-18	3.752404E-19
2.120000E+03	2.611179E-18	3.811219E-19
2.160000E+03	2.658806E-18	3.872981E-19
2.200000E+03	2.707972E-18	3.936494E-19
2.240000E+03	2.759162E-18	4.002432E-19
2.280000E+03	2.812888E-18	4.071500E-19
2.320000E+03	2.868779E-18	4.143119E-19
2.360000E+03	2.926901E-18	4.217345E-19
2.400000E+03	2.987791E-18	4.294905E-19
2.440000E+03	3.051069E-18	4.375207E-19
2.480000E+03	3.117288E-18	4.458992E-19
2.520000E+03	3.186547E-18	4.546346E-19
2.560000E+03	3.258949E-18	4.637357E-19
2.600000E+03	3.334601E-18	4.732110E-19
2.640000E+03	3.413615E-18	4.830701E-19
2.680000E+03	3.496615E-18	4.933939E-19
2.720000E+03	3.583231E-18	5.041219E-19
2.760000E+03	3.673591E-18	5.152641E-19
2.800000E+03	3.768357E-18	5.269049E-19
2.840000E+03	3.867695E-18	5.390574E-19
2.880000E+03	3.971232E-18	5.516594E-19
2.920000E+03	4.080228E-18	5.648753E-19
2.960000E+03	4.193778E-18	5.785676E-19
3.000000E+03	4.313194E-18	5.929052E-19
3.010000E+03	4.344259E-18	5.966293E-19
3.020000E+03	4.374959E-18	6.002921E-19
3.030000E+03	4.406441E-18	6.040508E-19
3.040000E+03	4.438711E-18	6.079062E-19
3.050000E+03	4.470621E-18	6.117005E-19
3.060000E+03	4.503328E-18	6.155920E-19
3.070000E+03	4.536257E-18	6.195018E-19
3.080000E+03	4.569411E-18	6.234302E-19
3.090000E+03	4.603378E-18	6.274570E-19
3.100000E+03	4.637579E-18	6.315031E-19
3.110000E+03	4.672017E-18	6.355684E-19
3.120000E+03	4.706691E-18	6.396530E-19
3.130000E+03	4.742203E-18	6.438382E-19
3.140000E+03	4.777961E-18	6.480432E-19
3.150000E+03	4.814570E-18	6.523499E-19
3.160000E+03	4.850832E-18	6.565958E-19
3.170000E+03	4.887955E-18	6.609438E-19
3.180000E+03	4.925339E-18	6.653130E-19
3.190000E+03	4.963598E-18	6.697856E-19
3.200000E+03	5.002129E-18	6.742801E-19
3.210000E+03	5.040935E-18	6.787964E-19
3.220000E+03	5.080019E-18	6.833349E-19
3.230000E+03	5.120003E-18	6.879788E-19
3.240000E+03	5.160276E-18	6.926456E-19
3.250000E+03	5.200841E-18	6.973355E-19
3.260000E+03	5.242327E-18	7.021325E-19
3.270000E+03	5.284117E-18	7.069535E-19
3.280000E+03	5.326212E-18	7.117983E-19
3.290000E+03	5.369252E-18	7.167522E-19
3.300000E+03	5.412609E-18	7.217309E-19
3.310000E+03	5.456289E-18	7.267348E-19
3.320000E+03	5.500295E-18	7.317640E-19
3.330000E+03	5.545273E-18	7.369044E-19
3.340000E+03	5.590590E-18	7.420709E-19
3.350000E+03	5.636898E-18	7.473499E-19
3.360000E+03	5.682908E-18	7.525700E-19
3.370000E+03	5.729920E-18	7.579034E-19
3.380000E+03	5.777950E-18	7.633513E-19
3.390000E+03	5.825691E-18	7.687407E-19
3.400000E+03	5.874462E-18	7.742454E-19
3.410000E+03	5.924276E-18	7.798665E-19
3.420000E+03	5.973812E-18	7.854297E-19
3.430000E+03	6.024406E-18	7.911103E-19
3.440000E+03	6.075399E-18	7.968213E-19
3.450000E+03	6.127471E-18	8.026514E-19
3.460000E+03	6.179957E-18	8.085127E-19
3.470000E+03	6.232863E-18	8.144059E-19
3.480000E+03	6.286194E-18	8.203312E-19
3.490000E+03	6.340642E-18	8.263782E-19
3.500000E+03	6.395532E-18	8.324586E-19
3.510000E+03	6.450871E-18	8.385725E-19
3.520000E+03	6.507359E-18	8.448107E-19
3.530000E+03	6.564312E-18	8.510837E-19
3.540000E+03	6.621737E-18	8.573919E-19
3.550000E+03	6.680346E-18	8.638269E-19
3.560000E+03	6.739445E-18	8.702984E-19
3.570000E+03	6.799043E-18	8.768069E-19
3.580000E+03	6.859859E-18	8.834447E-19
3.590000E+03	6.920476E-18	8.900287E-19
3.600000E+03	6.982331E-18	8.967433E-19
3.610000E+03	7.045444E-18	9.035900E-19
3.620000E+03	7.108376E-18	9.103840E-19
3.627510E+03	7.640732E-18	9.775278E-19
3.633310E+03	7.904934E-18	1.010498E-18
3.639109E+03	8.301511E-18	1.060318E-18
3.644908E+03	8.327019E-18	1.062695E-18
3.651674E+03	8.240297E-18	1.050607E-18
3.658440E+03	8.316133E-18	1.059242E-18
3.664239E+03	8.426658E-18	1.072418E-18
3.670038E+03	8.496004E-18	1.080332E-18
3.675838E+03	8.297313E-18	1.054174E-18
3.681637E+03	8.261698E-18	1.048757E-18
3.688403E+03	7.652883E-18	9.705054E-19
3.695169E+03	6.827669E-18	8.649890E-19
3.700968E+03	6.430871E-18	8.140172E-19
3.706767E+03	6.335228E-18	8.012172E-19
3.712567E+03	6.399999E-18	8.087057E-19
3.718366E+03	6.646516E-18	8.391233E-19
3.725132E+03	7.092957E-18	8.945714E-19
3.731898E+03	7.244542E-18	9.127512E-19
3.737697E+03	7.760486E-18	9.768915E-19
3.743497E+03	7.981879E-18	1.003869E-18
3.749296E+03	8.003074E-18	1.005637E-18
3.755095E+03	8.140098E-18	1.021940E-18
3.761861E+03	8.356657E-18	1.048027E-18
3.768628E+03	8.835966E-18	1.106971E-18
3.774427E+03	9.131823E-18	1.142998E-18
3.780227E+03	9.215958E-18	1.152478E-18
3.786026E+03	9.379603E-18	1.171869E-18
3.791826E+03	9.487905E-18	1.184312E-18
3.798592E+03	9.521889E-18	1.187275E-18
3.805358E+03	9.351990E-18	1.164829E-18
3.811157E+03	9.290142E-18	1.156049E-18
3.816957E+03	9.378826E-18	1.165993E-18
3.822757E+03	9.129210E-18	1.133895E-18
3.828556E+03	8.771185E-18	1.088400E-18
3.835323E+03	8.749554E-18	1.084516E-18
3.842089E+03	8.788363E-18	1.088118E-18
3.847889E+03	8.687307E-18	1.074578E-18
3.853688E+03	8.599721E-18	1.062724E-18
3.859488E+03	8.448180E-18	1.042991E-18
3.865288E+03	8.434419E-18	1.040285E-18
3.871088E+03	8.560349E-18	1.054792E-18
3.877854E+03	8.785807E-18	1.081340E-18
3.884620E+03	8.692239E-18	1.068601E-18
3.890420E+03	8.777306E-18	1.077996E-18
