#wls	flux	fluxerr
1.600000E+03	2.223202E-18	8.982272E-19
1.640000E+03	2.255464E-18	9.038790E-19
1.680000E+03	2.288677E-18	9.094725E-19
1.720000E+03	2.323684E-18	9.153156E-19
1.760000E+03	2.359327E-18	9.209228E-19
1.800000E+03	2.396874E-18	9.267614E-19
1.840000E+03	2.435559E-18	9.325014E-19
1.880000E+03	2.475852E-18	9.382912E-19
1.920000E+03	2.517386E-18	9.439571E-19
1.960000E+03	2.560647E-18	9.496468E-19
2.000000E+03	2.605706E-18	9.553465E-19
2.040000E+03	2.652638E-18	9.610413E-19
2.080000E+03	2.701520E-18	9.667153E-19
2.120000E+03	2.752435E-18	9.723513E-19
2.160000E+03	2.804999E-18	9.777668E-19
2.200000E+03	2.859759E-18	9.831061E-19
2.240000E+03	2.917299E-18	9.885135E-19
2.280000E+03	2.976754E-18	9.936379E-19
2.320000E+03	3.038710E-18	9.986210E-19
2.360000E+03	3.103282E-18	1.003438E-18
2.400000E+03	3.170587E-18	1.008065E-18
2.440000E+03	3.241282E-18	1.012640E-18
2.480000E+03	3.314453E-18	1.016804E-18
2.520000E+03	3.390760E-18	1.020694E-18
2.560000E+03	3.470912E-18	1.024446E-18
2.600000E+03	3.554530E-18	1.027863E-18
2.640000E+03	3.641785E-18	1.030916E-18
2.680000E+03	3.732857E-18	1.033572E-18
2.720000E+03	3.827936E-18	1.035801E-18
2.760000E+03	3.927226E-18	1.037573E-18
2.800000E+03	4.031569E-18	1.039019E-18
2.840000E+03	4.140592E-18	1.039950E-18
2.880000E+03	4.254541E-18	1.040339E-18
2.920000E+03	4.374343E-18	1.040324E-18
2.960000E+03	4.498955E-18	1.039569E-18
3.000000E+03	4.630022E-18	1.038380E-18
3.010000E+03	4.664145E-18	1.038083E-18
3.020000E+03	4.697911E-18	1.037582E-18
3.030000E+03	4.732730E-18	1.037190E-18
3.040000E+03	4.767904E-18	1.036750E-18
3.050000E+03	4.803440E-18	1.036264E-18
3.060000E+03	4.838620E-18	1.035577E-18
3.070000E+03	4.874887E-18	1.034998E-18
3.080000E+03	4.911530E-18	1.034373E-18
3.090000E+03	4.948552E-18	1.033703E-18
3.100000E+03	4.986698E-18	1.033140E-18
3.110000E+03	5.024501E-18	1.032380E-18
3.120000E+03	5.062699E-18	1.031576E-18
3.130000E+03	5.101298E-18	1.030728E-18
3.140000E+03	5.141058E-18	1.029989E-18
3.150000E+03	5.181239E-18	1.029207E-18
3.160000E+03	5.221083E-18	1.028233E-18
3.170000E+03	5.262117E-18	1.027369E-18
3.180000E+03	5.303590E-18	1.026465E-18
3.190000E+03	5.345506E-18	1.025523E-18
3.200000E+03	5.387090E-18	1.024393E-18
3.210000E+03	5.429907E-18	1.023377E-18
3.220000E+03	5.473978E-18	1.022474E-18
3.230000E+03	5.517731E-18	1.021388E-18
3.240000E+03	5.561959E-18	1.020270E-18
3.250000E+03	5.606667E-18	1.019122E-18
3.260000E+03	5.652676E-18	1.018091E-18
3.270000E+03	5.698372E-18	1.016886E-18
3.280000E+03	5.745392E-18	1.015801E-18
3.290000E+03	5.792104E-18	1.014548E-18
3.300000E+03	5.840164E-18	1.013417E-18
3.310000E+03	5.888756E-18	1.012267E-18
3.320000E+03	5.937890E-18	1.011099E-18
3.330000E+03	5.986725E-18	1.009773E-18
3.340000E+03	6.036957E-18	1.008578E-18
3.350000E+03	6.087754E-18	1.007373E-18
3.360000E+03	6.139986E-18	1.006303E-18
3.370000E+03	6.191940E-18	1.005086E-18
3.380000E+03	6.244482E-18	1.003867E-18
3.390000E+03	6.297621E-18	1.002651E-18
3.400000E+03	6.352251E-18	1.001579E-18
3.410000E+03	6.406614E-18	1.000375E-18
3.420000E+03	6.462499E-18	9.993217E-19
3.430000E+03	6.518121E-18	9.981441E-19
3.440000E+03	6.575296E-18	9.971232E-19
3.450000E+03	6.633132E-18	9.961238E-19
3.460000E+03	6.691639E-18	9.951498E-19
3.470000E+03	6.749899E-18	9.940681E-19
3.480000E+03	6.809773E-18	9.931568E-19
3.490000E+03	6.870348E-18	9.922827E-19
3.500000E+03	6.931634E-18	9.914498E-19
3.510000E+03	6.993643E-18	9.906624E-19
3.520000E+03	7.057345E-18	9.900595E-19
3.530000E+03	7.120836E-18	9.893752E-19
3.540000E+03	7.185081E-18	9.887490E-19
3.550000E+03	7.250092E-18	9.881853E-19
3.560000E+03	7.316868E-18	9.878218E-19
3.570000E+03	7.383451E-18	9.873956E-19
3.580000E+03	7.451836E-18	9.871776E-19
3.590000E+03	7.520038E-18	9.869062E-19
3.600000E+03	7.590081E-18	9.868508E-19
3.610000E+03	7.659950E-18	9.867511E-19
3.620000E+03	7.731700E-18	9.868754E-19
3.630000E+03	7.804326E-18	9.870954E-19
3.640000E+03	7.877841E-18	9.874154E-19
3.650000E+03	7.952259E-18	9.878391E-19
3.660000E+03	8.026530E-18	9.882398E-19
3.670000E+03	8.102784E-18	9.888828E-19
3.680000E+03	8.179981E-18	9.896407E-19
3.690000E+03	8.258134E-18	9.905171E-19
3.700000E+03	8.337257E-18	9.915153E-19
3.710000E+03	8.417364E-18	9.926384E-19
3.720000E+03	8.499580E-18	9.940193E-19
3.730000E+03	8.581704E-18	9.954012E-19
3.740000E+03	8.664855E-18	9.969166E-19
3.750000E+03	8.749045E-18	9.985681E-19
3.760000E+03	8.835433E-18	1.000488E-18
3.770000E+03	8.921752E-18	1.002418E-18
3.780000E+03	9.009152E-18	1.004491E-18
3.790000E+03	9.098817E-18	1.006839E-18
3.800000E+03	9.188428E-18	1.009203E-18
3.810000E+03	9.279159E-18	1.011714E-18
3.820000E+03	9.372221E-18	1.014504E-18
3.830000E+03	9.465239E-18	1.017315E-18
3.840000E+03	9.560630E-18	1.020406E-18
3.850000E+03	9.655981E-18	1.023520E-18
3.860000E+03	9.753746E-18	1.026916E-18
3.870000E+03	9.852719E-18	1.030465E-18
3.880000E+03	9.951650E-18	1.034037E-18
3.890000E+03	1.005305E-17	1.037893E-18
3.900000E+03	1.015441E-17	1.041772E-18
3.910000E+03	1.025827E-17	1.045935E-18
3.920000E+03	1.036337E-17	1.050251E-18
3.930000E+03	1.046841E-17	1.054587E-18
3.940000E+03	1.057599E-17	1.059207E-18
3.950000E+03	1.068482E-17	1.063978E-18
3.960000E+03	1.079355E-17	1.068766E-18
3.970000E+03	1.090485E-17	1.073834E-18
3.980000E+03	1.101740E-17	1.079049E-18
3.990000E+03	1.113117E-17	1.084409E-18
4.000000E+03	1.124477E-17	1.089778E-18
4.010000E+03	1.136096E-17	1.095421E-18
4.020000E+03	1.147834E-17	1.101202E-18
4.030000E+03	1.159547E-17	1.106982E-18
4.040000E+03	1.171517E-17	1.113029E-18
4.050000E+03	1.183600E-17	1.119204E-18
4.060000E+03	1.195649E-17	1.125365E-18
4.070000E+03	1.207950E-17	1.131783E-18
4.080000E+03	1.220356E-17	1.138316E-18
4.090000E+03	1.232714E-17	1.144821E-18
4.100000E+03	1.245318E-17	1.151568E-18
4.110000E+03	1.258015E-17	1.158413E-18
4.120000E+03	1.270649E-17	1.165210E-18
4.130000E+03	1.283519E-17	1.172233E-18
4.140000E+03	1.296313E-17	1.179194E-18
4.150000E+03	1.309335E-17	1.186366E-18
4.160000E+03	1.322269E-17	1.193460E-18
4.170000E+03	1.335422E-17	1.200752E-18
4.180000E+03	1.348471E-17	1.207947E-18
4.190000E+03	1.361730E-17	1.215325E-18
4.200000E+03	1.374869E-17	1.222588E-18
4.210000E+03	1.388044E-17	1.229872E-18
4.220000E+03	1.401412E-17	1.237314E-18
4.230000E+03	1.414636E-17	1.244613E-18
4.240000E+03	1.427875E-17	1.251906E-18
4.250000E+03	1.441120E-17	1.259183E-18
4.260000E+03	1.454535E-17	1.266586E-18
4.270000E+03	1.467773E-17	1.273808E-18
4.280000E+03	1.480997E-17	1.280989E-18
4.290000E+03	1.494200E-17	1.288122E-18
4.300000E+03	1.507375E-17	1.295199E-18
4.310000E+03	1.520515E-17	1.302213E-18
4.320000E+03	1.533615E-17	1.309156E-18
4.330000E+03	1.546490E-17	1.315871E-18
4.340000E+03	1.559491E-17	1.322656E-18
4.350000E+03	1.572435E-17	1.329353E-18
4.360000E+03	1.585318E-17	1.335959E-18
4.370000E+03	1.597952E-17	1.342316E-18
4.380000E+03	1.610699E-17	1.348728E-18
4.390000E+03	1.623189E-17	1.354886E-18
4.400000E+03	1.635788E-17	1.361095E-18
4.410000E+03	1.648124E-17	1.367046E-18
4.420000E+03	1.660380E-17	1.372893E-18
4.430000E+03	1.672745E-17	1.378794E-18
4.440000E+03	1.684841E-17	1.384437E-18
4.450000E+03	1.696858E-17	1.389980E-18
4.460000E+03	1.708797E-17	1.395427E-18
4.470000E+03	1.720659E-17	1.400780E-18
4.480000E+03	1.732447E-17	1.406043E-18
4.490000E+03	1.743968E-17	1.411063E-18
4.500000E+03	1.755616E-17	1.416162E-18
4.510000E+03	1.767200E-17	1.421186E-18
4.520000E+03	1.778525E-17	1.425983E-18
4.530000E+03	1.789993E-17	1.430876E-18
4.540000E+03	1.801209E-17	1.435555E-18
4.550000E+03	1.812580E-17	1.440345E-18
4.560000E+03	1.823707E-17	1.444932E-18
4.570000E+03	1.834796E-17	1.449486E-18
4.580000E+03	1.845852E-17	1.454011E-18
4.590000E+03	1.856881E-17	1.458517E-18
4.600000E+03	1.867886E-17	1.463009E-18
4.610000E+03	1.878872E-17	1.467495E-18
4.620000E+03	1.889843E-17	1.471981E-18
4.630000E+03	1.900593E-17	1.476312E-18
4.640000E+03	1.911542E-17	1.480818E-18
4.650000E+03	1.922273E-17	1.485180E-18
4.660000E+03	1.932997E-17	1.489565E-18
4.670000E+03	1.943925E-17	1.494141E-18
4.680000E+03	1.954635E-17	1.498586E-18
4.690000E+03	1.965336E-17	1.503066E-18
4.700000E+03	1.976025E-17	1.507584E-18
4.710000E+03	1.986699E-17	1.512142E-18
4.720000E+03	1.997137E-17	1.516576E-18
4.730000E+03	2.007765E-17	1.521214E-18
4.740000E+03	2.018360E-17	1.525893E-18
4.750000E+03	2.028694E-17	1.530444E-18
4.760000E+03	2.038974E-17	1.535031E-18
4.770000E+03	2.049411E-17	1.539814E-18
4.780000E+03	2.059552E-17	1.544458E-18
4.790000E+03	2.069602E-17	1.549123E-18
4.800000E+03	2.079546E-17	1.553801E-18
4.810000E+03	2.089368E-17	1.558485E-18
4.820000E+03	2.098826E-17	1.562999E-18
4.830000E+03	2.108349E-17	1.567667E-18
4.840000E+03	2.117469E-17	1.572143E-18
4.850000E+03	2.126615E-17	1.576750E-18
4.860000E+03	2.135314E-17	1.581140E-18
4.870000E+03	2.143770E-17	1.585466E-18
4.880000E+03	2.151960E-17	1.589715E-18
4.890000E+03	2.159861E-17	1.593871E-18
4.900000E+03	2.167449E-17	1.597916E-18
4.910000E+03	2.174701E-17	1.601835E-18
4.920000E+03	2.181363E-17	1.605439E-18
4.930000E+03	2.187873E-17	1.609053E-18
4.940000E+03	2.193747E-17	1.612317E-18
4.950000E+03	2.199195E-17	1.615384E-18
4.960000E+03	2.204196E-17	1.618238E-18
4.970000E+03	2.208732E-17	1.620862E-18
4.980000E+03	2.212785E-17	1.623240E-18
4.990000E+03	2.216339E-17	1.625356E-18
5.000000E+03	2.219382E-17	1.627196E-18
5.010000E+03	2.221668E-17	1.628577E-18
5.020000E+03	2.223655E-17	1.629828E-18
5.030000E+03	2.224870E-17	1.630596E-18
5.040000E+03	2.225542E-17	1.631044E-18
5.050000E+03	2.225671E-17	1.631165E-18
5.060000E+03	2.225257E-17	1.630952E-18
5.070000E+03	2.224306E-17	1.630402E-18
5.080000E+03	2.222826E-17	1.629515E-18
5.090000E+03	2.220596E-17	1.628120E-18
5.100000E+03	2.218092E-17	1.626559E-18
5.110000E+03	2.214870E-17	1.624498E-18
5.120000E+03	2.211180E-17	1.622113E-18
5.130000E+03	2.207273E-17	1.619582E-18
5.140000E+03	2.202715E-17	1.616578E-18
5.150000E+03	2.197765E-17	1.613282E-18
5.160000E+03	2.192223E-17	1.609542E-18
5.170000E+03	2.186577E-17	1.605709E-18
5.180000E+03	2.180632E-17	1.601633E-18
5.190000E+03	2.174198E-17	1.597168E-18
5.200000E+03	2.167539E-17	1.592501E-18
5.210000E+03	2.160913E-17	1.587817E-18
5.220000E+03	2.153915E-17	1.582813E-18
5.230000E+03	2.146805E-17	1.577674E-18
5.240000E+03	2.139404E-17	1.572265E-18
5.250000E+03	2.132191E-17	1.566933E-18
5.260000E+03	2.124985E-17	1.561542E-18
5.270000E+03	2.117607E-17	1.555955E-18
5.280000E+03	2.110531E-17	1.550519E-18
5.290000E+03	2.103361E-17	1.544939E-18
5.300000E+03	2.096350E-17	1.539398E-18
5.310000E+03	2.089533E-17	1.533920E-18
5.320000E+03	2.082945E-17	1.528527E-18
5.330000E+03	2.076617E-17	1.523241E-18
5.340000E+03	2.070580E-17	1.518082E-18
5.350000E+03	2.064652E-17	1.512914E-18
5.360000E+03	2.059284E-17	1.508066E-18
5.370000E+03	2.054078E-17	1.503245E-18
5.380000E+03	2.049270E-17	1.498620E-18
5.390000E+03	2.045088E-17	1.494358E-18
5.400000E+03	2.041135E-17	1.490164E-18
5.410000E+03	2.037637E-17	1.486202E-18
5.420000E+03	2.034403E-17	1.482330E-18
5.430000E+03	2.031860E-17	1.478856E-18
5.440000E+03	2.029812E-17	1.475634E-18
5.450000E+03	2.028062E-17	1.472517E-18
5.460000E+03	2.027030E-17	1.469807E-18
5.470000E+03	2.026310E-17	1.467205E-18
5.480000E+03	2.026111E-17	1.464858E-18
5.490000E+03	2.026435E-17	1.462764E-18
5.500000E+03	2.027282E-17	1.460916E-18
5.510000E+03	2.028651E-17	1.459308E-18
5.520000E+03	2.030539E-17	1.457932E-18
5.530000E+03	2.032734E-17	1.456631E-18
5.540000E+03	2.035642E-17	1.455690E-18
5.550000E+03	2.038844E-17	1.454800E-18
5.560000E+03	2.042742E-17	1.454242E-18
5.570000E+03	2.046913E-17	1.453709E-18
5.580000E+03	2.051551E-17	1.453329E-18
5.590000E+03	2.056643E-17	1.453087E-18
5.600000E+03	2.062175E-17	1.452964E-18
5.610000E+03	2.068132E-17	1.452942E-18
5.620000E+03	2.074495E-17	1.452999E-18
5.630000E+03	2.081248E-17	1.453117E-18
5.640000E+03	2.088161E-17	1.453126E-18
5.650000E+03	2.095635E-17	1.453297E-18
5.660000E+03	2.103227E-17	1.453317E-18
5.670000E+03	2.111125E-17	1.453307E-18
5.680000E+03	2.119521E-17	1.453392E-18
5.690000E+03	2.127964E-17	1.453256E-18
5.700000E+03	2.136643E-17	1.453021E-18
