MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err	ps_g	ps_g_err	ps_i	ps_i_err	ps_r	ps_r_err	ps_z	ps_z_err
58787.535	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58787.58500000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58787.63500000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58787.68500000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58787.735000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58787.78500000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58787.83500000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58787.885000000024	nan	nan	1.3056248960387902e-17	1.4533764037407333e-18	nan	nan	nan	nan	nan	nan	nan	nan
58787.93500000003	nan	nan	1.3130264455084548e-17	1.4403194614485438e-18	nan	nan	nan	nan	nan	nan	nan	nan
58787.98500000003	nan	nan	1.3204406502728563e-17	1.427387761898563e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.03500000003	nan	nan	1.3278675274858032e-17	1.4145833260860326e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.085000000036	nan	nan	1.3353070943218797e-17	1.401908203889315e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.13500000004	nan	nan	1.3427593679768182e-17	1.3893644734628658e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.18500000004	nan	nan	1.350224365667273e-17	1.3769542405250747e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.235000000044	nan	nan	1.3577021046309532e-17	1.3646796375412553e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.28500000005	nan	nan	1.3651926021268085e-17	1.3525428227789178e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.33500000005	nan	nan	1.3726958754346312e-17	1.340545979246068e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.38500000005	nan	nan	1.3802119418555064e-17	1.3286913134902506e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.435000000056	nan	nan	1.387740818711628e-17	1.3169810542612909e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.48500000006	nan	nan	1.3952825233463237e-17	1.3054174510260397e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.53500000006	nan	nan	1.4028370731241214e-17	1.2940027723255823e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.585000000065	nan	nan	1.4104044562546703e-17	1.282739156660098e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.63500000007	nan	nan	1.4179845442643517e-17	1.2716281688149056e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.68500000007	nan	nan	1.4255771795241383e-17	1.2606712406457642e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.73500000007	nan	nan	1.4331822044259643e-17	1.2498698173595552e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.785000000076	nan	nan	1.4407994613819442e-17	1.239225356364222e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.83500000008	nan	nan	1.448428792824452e-17	1.2287393260035517e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.88500000008	nan	nan	1.4560700412057247e-17	1.2184132041668144e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.935000000085	nan	nan	1.4637230489974767e-17	1.2082484767765259e-18	nan	nan	nan	nan	nan	nan	nan	nan
58788.98500000009	nan	nan	1.4713876586907542e-17	1.198246636141621e-18	nan	nan	nan	nan	nan	nan	nan	nan
58789.03500000009	nan	nan	1.479063712795711e-17	1.188409179180468e-18	nan	nan	nan	nan	nan	nan	nan	nan
