#wls	flux	fluxerr	mangling_mask
3.627510E+03	8.115962E-18	2.852011E-18	1.129822E-01
3.633310E+03	8.394915E-18	1.997753E-18	1.129822E-01
3.639109E+03	8.814305E-18	2.023513E-18	1.129822E-01
3.644908E+03	8.839613E-18	2.577013E-18	1.129822E-01
3.651674E+03	8.745499E-18	2.507867E-18	1.129822E-01
3.658440E+03	8.823909E-18	2.400873E-18	1.129822E-01
3.664239E+03	8.939377E-18	2.498038E-18	1.129822E-01
3.670038E+03	9.011120E-18	1.973123E-18	1.129822E-01
3.675838E+03	8.798601E-18	2.189823E-18	1.129822E-01
3.681637E+03	8.759057E-18	2.242247E-18	1.129822E-01
3.688403E+03	8.111669E-18	2.205640E-18	1.129822E-01
3.695169E+03	7.235266E-18	1.703434E-18	1.129822E-01
3.700968E+03	6.813391E-18	1.659032E-18	1.129822E-01
3.706767E+03	6.710690E-18	1.493287E-18	1.129822E-01
3.712567E+03	6.777914E-18	1.871325E-18	1.129822E-01
3.718366E+03	7.037547E-18	1.839352E-18	1.129822E-01
3.725132E+03	7.508457E-18	1.618698E-18	1.129822E-01
3.731898E+03	7.667084E-18	1.471143E-18	1.129822E-01
3.737697E+03	8.211432E-18	1.493401E-18	1.129822E-01
3.743497E+03	8.443950E-18	1.510123E-18	1.129822E-01
3.749296E+03	8.464626E-18	1.647509E-18	1.129822E-01
3.755095E+03	8.607774E-18	1.630110E-18	1.129822E-01
3.761861E+03	8.834642E-18	1.483007E-18	1.129822E-01
3.768628E+03	9.339108E-18	1.360422E-18	1.129822E-01
3.774427E+03	9.649809E-18	1.382228E-18	1.129822E-01
3.780227E+03	9.736692E-18	1.736879E-18	1.129822E-01
3.786026E+03	9.907521E-18	2.191970E-18	1.129822E-01
3.791826E+03	1.001983E-17	2.277837E-18	1.129822E-01
3.798592E+03	1.005327E-17	2.179429E-18	1.129822E-01
3.805358E+03	9.871480E-18	2.185078E-18	1.129822E-01
3.811157E+03	9.804143E-18	1.553170E-18	1.129822E-01
3.816957E+03	9.895658E-18	1.615536E-18	1.129822E-01
3.822757E+03	9.630263E-18	2.167905E-18	1.129822E-01
3.828556E+03	9.250643E-18	2.012441E-18	1.129822E-01
3.835323E+03	9.225561E-18	1.630449E-18	1.129822E-01
3.842089E+03	9.264201E-18	1.463349E-18	1.129822E-01
3.847889E+03	9.155738E-18	1.479053E-18	1.129822E-01
3.853688E+03	9.061511E-18	1.495436E-18	1.129822E-01
3.859488E+03	8.899946E-18	1.297943E-18	1.129822E-01
3.865288E+03	8.883564E-18	1.553847E-18	1.129822E-01
3.871088E+03	9.014284E-18	1.098180E-18	1.129822E-01
3.877854E+03	9.249400E-18	1.163947E-18	1.129822E-01
3.884620E+03	9.148620E-18	1.323590E-18	1.129822E-01
3.890420E+03	9.236181E-18	1.294667E-18	1.129822E-01
3.896220E+03	9.266912E-18	1.659147E-18	1.129822E-01
3.902020E+03	9.388481E-18	1.729422E-18	1.129822E-01
3.907820E+03	9.675004E-18	1.836303E-18	1.129822E-01
3.914587E+03	9.916560E-18	1.730439E-18	1.129822E-01
3.921353E+03	1.010140E-17	1.788286E-18	1.129822E-01
3.927153E+03	1.032476E-17	2.145196E-18	1.129822E-01
3.932953E+03	1.046283E-17	1.937987E-18	1.129822E-01
3.938753E+03	1.043018E-17	2.047918E-18	1.129822E-01
3.944553E+03	1.033414E-17	2.090852E-18	1.129822E-01
3.951320E+03	1.034386E-17	2.062041E-18	1.129822E-01
3.958087E+03	1.031640E-17	1.886693E-18	1.129822E-01
3.963887E+03	1.019969E-17	2.088253E-18	1.129822E-01
3.969687E+03	1.000005E-17	1.983405E-18	1.129822E-01
3.975488E+03	9.834648E-18	1.409570E-18	1.129822E-01
3.981288E+03	9.636590E-18	1.122585E-18	1.129822E-01
3.988055E+03	9.611056E-18	1.132877E-18	1.129822E-01
3.994822E+03	9.667887E-18	9.178509E-19	1.129822E-01
4.000622E+03	9.653425E-18	9.384587E-19	1.129822E-01
4.006423E+03	9.883908E-18	1.482895E-18	1.129822E-01
4.012223E+03	1.017529E-17	1.127590E-18	1.129822E-01
4.018023E+03	1.027630E-17	1.376693E-18	1.129822E-01
4.024791E+03	1.042893E-17	1.376693E-18	1.129822E-01
4.031558E+03	1.079850E-17	1.361780E-18	1.129822E-01
4.037358E+03	1.120264E-17	1.370254E-18	1.129822E-01
4.043159E+03	1.143267E-17	1.376242E-18	1.129822E-01
4.048959E+03	1.139764E-17	1.387427E-18	1.129822E-01
4.054760E+03	1.141459E-17	7.653969E-19	1.129822E-01
4.061528E+03	1.156260E-17	7.572852E-19	1.129822E-01
4.068295E+03	1.185296E-17	3.620975E-19	1.129822E-01
4.074096E+03	1.195352E-17	3.561442E-19	1.129822E-01
4.079897E+03	1.176597E-17	3.279338E-19	1.129822E-01
4.085697E+03	1.176258E-17	1.720867E-19	1.129822E-01
4.091498E+03	1.174337E-17	1.595154E-19	1.129822E-01
4.098266E+03	1.175354E-17	1.527050E-19	1.129822E-01
4.105034E+03	1.195239E-17	1.240225E-19	1.129822E-01
4.110835E+03	1.198402E-17	1.690389E-19	1.129822E-01
4.116636E+03	1.187895E-17	2.292442E-19	1.129822E-01
4.122437E+03	1.181681E-17	2.423026E-19	1.129822E-01
4.128238E+03	1.171625E-17	8.346321E-19	1.129822E-01
4.135006E+03	1.161118E-17	9.016522E-19	1.129822E-01
4.141774E+03	1.152418E-17	9.202826E-19	1.129822E-01
4.147575E+03	1.137505E-17	1.193551E-18	1.129822E-01
4.153376E+03	1.117145E-17	1.649771E-18	1.129822E-01
4.159177E+03	1.105847E-17	1.657792E-18	1.129822E-01
4.164979E+03	1.080031E-17	1.718802E-18	1.129822E-01
4.171747E+03	1.026477E-17	1.720045E-18	1.129822E-01
4.178515E+03	9.781773E-18	1.547295E-18	1.129822E-01
4.184317E+03	9.291656E-18	1.689313E-18	1.129822E-01
4.190118E+03	8.768210E-18	1.631805E-18	1.129822E-01
4.195920E+03	8.521683E-18	1.806475E-18	1.129822E-01
4.201721E+03	8.482591E-18	1.700837E-18	1.129822E-01
4.208490E+03	8.510836E-18	1.728856E-18	1.129822E-01
4.215258E+03	8.604950E-18	1.681404E-18	1.129822E-01
4.221060E+03	8.956890E-18	1.807153E-18	1.129822E-01
4.226862E+03	9.352780E-18	1.855849E-18	1.129822E-01
4.232664E+03	9.711611E-18	1.434991E-18	1.129822E-01
4.238466E+03	1.034612E-17	1.735410E-18	1.129822E-01
4.244267E+03	1.122941E-17	2.169714E-18	1.129822E-01
4.251036E+03	1.229359E-17	1.960698E-18	1.129822E-01
4.257805E+03	1.334546E-17	2.009733E-18	1.129822E-01
4.263607E+03	1.438263E-17	2.000243E-18	1.129822E-01
4.269409E+03	1.516221E-17	2.024196E-18	1.129822E-01
4.275212E+03	1.543111E-17	1.906017E-18	1.129822E-01
4.281014E+03	1.575085E-17	1.691917E-18	1.129822E-01
4.287783E+03	1.616097E-17	1.533970E-18	1.129822E-01
4.294552E+03	1.633497E-17	1.217509E-18	1.129822E-01
4.300355E+03	1.650557E-17	1.301455E-18	1.129822E-01
4.306157E+03	1.664228E-17	1.256940E-18	1.129822E-01
4.311959E+03	1.654172E-17	2.041258E-18	1.129822E-01
4.317762E+03	1.662533E-17	2.246433E-18	1.129822E-01
4.324531E+03	1.709195E-17	2.254229E-18	1.129822E-01
4.331301E+03	1.724221E-17	2.084191E-18	1.129822E-01
4.337104E+03	1.766251E-17	1.995275E-18	1.129822E-01
4.342906E+03	1.821160E-17	2.216720E-18	1.129822E-01
4.348709E+03	1.878555E-17	2.606056E-18	1.129822E-01
4.354512E+03	1.940808E-17	2.626845E-18	1.129822E-01
4.361282E+03	1.981821E-17	2.078432E-18	1.129822E-01
4.368052E+03	2.015716E-17	1.631478E-18	1.129822E-01
4.373855E+03	2.042492E-17	1.470933E-18	1.129822E-01
4.379658E+03	2.051531E-17	1.817220E-18	1.129822E-01
4.385461E+03	2.042492E-17	1.797335E-18	1.129822E-01
4.391264E+03	2.070512E-17	2.012226E-18	1.129822E-01
4.398034E+03	2.083957E-17	2.030077E-18	1.129822E-01
4.404805E+03	2.062603E-17	2.030755E-18	1.129822E-01
4.410608E+03	2.022269E-17	2.112101E-18	1.129822E-01
4.416412E+03	2.013795E-17	1.668988E-18	1.129822E-01
4.422215E+03	2.006451E-17	1.781178E-18	1.129822E-01
4.428019E+03	1.962840E-17	1.775416E-18	1.129822E-01
4.434789E+03	1.965551E-17	1.667631E-18	1.129822E-01
4.441560E+03	1.994475E-17	1.608995E-18	1.129822E-01
4.447364E+03	2.000802E-17	1.349251E-18	1.129822E-01
4.453167E+03	1.981030E-17	1.391054E-18	1.129822E-01
4.458971E+03	1.982047E-17	8.311596E-19	1.129822E-01
4.464775E+03	1.960693E-17	1.225198E-18	1.129822E-01
4.471546E+03	1.926008E-17	1.340325E-18	1.129822E-01
4.478318E+03	1.887368E-17	1.451610E-18	1.129822E-01
4.484122E+03	1.867257E-17	1.563800E-18	1.129822E-01
4.489926E+03	1.838221E-17	2.745588E-18	1.129822E-01
4.495730E+03	1.830764E-17	2.750785E-18	1.129822E-01
4.501534E+03	1.833362E-17	2.779257E-18	1.129822E-01
4.507338E+03	1.799807E-17	2.852130E-18	1.129822E-01
4.514110E+03	1.764330E-17	2.841170E-18	1.129822E-01
4.520882E+03	1.745123E-17	3.273665E-18	1.129822E-01
4.526686E+03	1.698349E-17	3.586173E-18	1.129822E-01
4.532491E+03	1.691683E-17	3.580524E-18	1.129822E-01
4.538295E+03	1.660613E-17	3.073461E-18	1.129822E-01
4.544100E+03	1.633045E-17	2.695762E-18	1.129822E-01
4.550872E+03	1.582090E-17	2.695309E-18	1.129822E-01
4.557645E+03	1.542094E-17	2.796541E-18	1.129822E-01
4.563449E+03	1.513736E-17	3.102383E-18	1.129822E-01
4.569254E+03	1.468430E-17	3.003185E-18	1.129822E-01
4.575059E+03	1.400189E-17	2.468440E-18	1.129822E-01
4.580864E+03	1.326863E-17	2.643788E-18	1.129822E-01
4.587637E+03	1.276699E-17	2.391386E-18	1.129822E-01
4.594410E+03	1.227100E-17	2.357830E-18	1.129822E-01
4.600215E+03	1.161909E-17	2.304615E-18	1.129822E-01
4.606020E+03	1.115055E-17	2.022046E-18	1.129822E-01
4.611826E+03	1.127291E-17	1.747952E-18	1.129822E-01
4.617631E+03	1.150385E-17	1.357035E-18	1.129822E-01
4.624404E+03	1.162022E-17	1.397483E-18	1.129822E-01
4.631178E+03	1.224388E-17	1.355454E-18	1.129822E-01
4.636983E+03	1.279185E-17	1.158189E-18	1.129822E-01
4.642789E+03	1.313757E-17	1.256822E-18	1.129822E-01
4.648595E+03	1.341551E-17	1.763207E-18	1.129822E-01
4.654401E+03	1.400528E-17	1.567975E-18	1.129822E-01
4.661175E+03	1.456115E-17	1.642091E-18	1.129822E-01
4.667948E+03	1.500178E-17	1.814841E-18	1.129822E-01
4.673755E+03	1.518029E-17	1.732477E-18	1.129822E-01
4.679561E+03	1.575989E-17	1.758238E-18	1.129822E-01
4.685367E+03	1.609432E-17	1.832580E-18	1.129822E-01
4.691173E+03	1.637903E-17	1.795070E-18	1.129822E-01
4.696980E+03	1.657449E-17	1.286654E-18	1.129822E-01
4.703754E+03	1.644343E-17	1.525836E-18	1.129822E-01
4.710528E+03	1.628752E-17	2.095376E-18	1.129822E-01
4.716335E+03	1.608980E-17	1.846364E-18	1.129822E-01
4.722142E+03	1.569436E-17	1.869977E-18	1.129822E-01
4.727949E+03	1.554748E-17	2.006458E-18	1.129822E-01
4.733756E+03	1.524356E-17	2.238410E-18	1.129822E-01
4.740530E+03	1.486620E-17	2.234907E-18	1.129822E-01
4.747305E+03	1.445720E-17	2.244962E-18	1.129822E-01
4.753113E+03	1.439732E-17	2.245414E-18	1.129822E-01
4.758920E+03	1.455211E-17	1.866473E-18	1.129822E-01
4.764727E+03	1.464476E-17	1.824896E-18	1.129822E-01
4.770534E+03	1.463233E-17	1.817665E-18	1.129822E-01
4.777310E+03	1.477243E-17	1.812581E-18	1.129822E-01
4.784085E+03	1.491365E-17	1.484256E-18	1.129822E-01
4.789893E+03	1.509329E-17	1.528997E-18	1.129822E-01
4.795701E+03	1.509668E-17	1.561310E-18	1.129822E-01
4.801508E+03	1.537010E-17	1.235020E-18	1.129822E-01
4.807316E+03	1.585366E-17	9.875930E-19	1.129822E-01
4.814092E+03	1.614742E-17	1.286089E-18	1.129822E-01
4.820868E+03	1.663098E-17	1.308799E-18	1.129822E-01
4.826677E+03	1.667957E-17	1.462340E-18	1.129822E-01
4.832485E+03	1.585592E-17	1.455899E-18	1.129822E-01
4.838293E+03	1.531248E-17	1.434884E-18	1.129822E-01
4.844101E+03	1.497918E-17	1.365513E-18	1.129822E-01
4.849910E+03	1.478485E-17	1.330602E-18	1.129822E-01
4.856687E+03	1.497466E-17	1.358621E-18	1.129822E-01
4.863463E+03	1.509329E-17	9.456645E-19	1.129822E-01
4.869272E+03	1.522209E-17	9.272941E-19	1.129822E-01
4.875081E+03	1.557234E-17	1.425168E-18	1.129822E-01
4.880890E+03	1.565482E-17	1.511147E-18	1.129822E-01
4.886699E+03	1.587061E-17	1.533631E-18	1.129822E-01
4.893476E+03	1.617905E-17	1.527643E-18	1.129822E-01
4.900254E+03	1.634401E-17	3.247566E-18	1.129822E-01
4.906063E+03	1.685243E-17	4.011325E-18	1.129822E-01
4.911872E+03	1.727046E-17	4.360101E-18	1.129822E-01
4.917682E+03	1.763201E-17	4.535111E-18	1.129822E-01
4.923491E+03	1.823081E-17	4.369140E-18	1.129822E-01
4.930269E+03	1.858558E-17	4.569458E-18	1.129822E-01
4.937047E+03	1.876070E-17	4.590246E-18	1.129822E-01
4.942857E+03	1.924087E-17	4.591602E-18	1.129822E-01
4.948667E+03	1.983064E-17	3.544598E-18	1.129822E-01
4.954477E+03	2.024641E-17	1.919129E-18	1.129822E-01
4.960287E+03	2.067349E-17	1.796884E-18	1.129822E-01
4.967066E+03	2.138528E-17	1.746043E-18	1.129822E-01
4.973844E+03	2.199199E-17	1.736102E-18	1.129822E-01
4.979655E+03	2.261339E-17	1.038077E-18	1.129822E-01
4.985465E+03	2.324722E-17	9.032274E-19	1.129822E-01
4.991276E+03	2.396918E-17	9.424442E-19	1.129822E-01
4.997087E+03	2.468888E-17	1.129200E-18	1.129822E-01
5.002897E+03	2.542665E-17	1.143414E-18	1.129822E-01
5.009677E+03	2.622091E-17	1.141157E-18	1.129822E-01
5.016456E+03	2.711686E-17	1.102894E-18	1.129822E-01
5.022267E+03	2.738011E-17	1.078186E-18	1.129822E-01
5.028078E+03	2.719369E-17	1.461117E-18	1.129822E-01
5.033890E+03	2.745807E-17	1.478968E-18	1.129822E-01
5.039701E+03	2.761625E-17	1.666741E-18	1.129822E-01
5.046481E+03	2.764562E-17	1.573307E-18	1.129822E-01
5.053261E+03	2.801959E-17	1.806273E-18	1.129822E-01
5.059073E+03	2.834837E-17	1.843218E-18	1.129822E-01
5.064885E+03	2.869636E-17	1.803224E-18	1.129822E-01
5.070696E+03	2.914377E-17	2.004330E-18	1.129822E-01
5.076508E+03	2.945786E-17	1.573085E-18	1.129822E-01
5.083289E+03	2.983974E-17	1.625169E-18	1.129822E-01
