#wls	flux	fluxerr
1.592040E+03	3.742260E-04	2.821869E-05
1.631841E+03	3.786990E-04	2.843153E-05
1.671642E+03	3.837105E-04	2.867853E-05
1.711443E+03	3.892617E-04	2.895904E-05
1.751244E+03	3.953877E-04	2.927489E-05
1.791045E+03	4.021543E-04	2.963011E-05
1.830846E+03	4.094900E-04	3.001849E-05
1.870647E+03	4.174909E-04	3.044616E-05
1.910448E+03	4.261506E-04	3.091158E-05
1.950249E+03	4.354638E-04	3.141329E-05
1.990050E+03	4.453954E-04	3.194766E-05
2.029851E+03	4.559444E-04	3.251347E-05
2.069652E+03	4.670521E-04	3.310539E-05
2.109453E+03	4.786080E-04	3.371452E-05
2.149254E+03	4.905974E-04	3.433879E-05
2.189055E+03	5.028976E-04	3.496861E-05
2.228856E+03	5.154253E-04	3.559733E-05
2.268657E+03	5.281605E-04	3.622276E-05
2.308458E+03	5.411422E-04	3.684672E-05
2.348259E+03	5.544894E-04	3.747638E-05
2.388060E+03	5.683441E-04	3.812013E-05
2.427861E+03	5.828439E-04	3.878579E-05
2.467662E+03	5.982007E-04	3.948569E-05
2.507463E+03	6.145456E-04	4.022640E-05
2.547264E+03	6.320596E-04	4.101730E-05
2.587065E+03	6.508511E-04	4.186266E-05
2.626866E+03	6.710577E-04	4.276822E-05
2.666667E+03	6.927752E-04	4.373666E-05
2.706468E+03	7.161090E-04	4.477091E-05
2.746269E+03	7.411765E-04	4.587422E-05
2.786070E+03	7.680837E-04	4.704874E-05
2.825871E+03	7.969534E-04	4.829718E-05
2.865672E+03	8.279705E-04	4.962551E-05
2.905473E+03	8.612934E-04	5.103743E-05
2.945274E+03	8.972137E-04	5.254383E-05
2.985075E+03	9.359820E-04	5.415220E-05
2.995025E+03	9.461831E-04	5.457301E-05
3.004975E+03	9.565745E-04	5.500026E-05
3.014925E+03	9.671599E-04	5.543405E-05
3.024876E+03	9.779866E-04	5.587692E-05
3.034826E+03	9.890365E-04	5.632770E-05
3.044776E+03	1.000313E-03	5.678641E-05
3.054726E+03	1.011842E-03	5.725441E-05
3.064677E+03	1.023607E-03	5.773052E-05
3.074627E+03	1.035611E-03	5.821480E-05
3.084577E+03	1.047904E-03	5.870982E-05
3.094527E+03	1.060446E-03	5.921323E-05
3.104478E+03	1.073263E-03	5.972629E-05
3.114428E+03	1.086341E-03	6.024797E-05
3.124378E+03	1.099748E-03	6.078190E-05
3.134328E+03	1.113426E-03	6.132465E-05
3.144279E+03	1.127403E-03	6.187753E-05
3.154229E+03	1.141706E-03	6.244184E-05
3.164179E+03	1.156342E-03	6.301772E-05
3.174129E+03	1.171274E-03	6.360293E-05
3.184080E+03	1.186574E-03	6.420117E-05
3.194030E+03	1.202206E-03	6.481022E-05
3.203980E+03	1.218201E-03	6.543143E-05
3.213930E+03	1.234542E-03	6.606379E-05
3.223881E+03	1.251262E-03	6.670867E-05
3.233831E+03	1.268369E-03	6.736622E-05
3.243781E+03	1.285870E-03	6.803664E-05
3.253731E+03	1.303754E-03	6.871899E-05
3.263682E+03	1.322052E-03	6.941465E-05
3.273632E+03	1.340774E-03	7.012382E-05
3.283582E+03	1.359909E-03	7.084559E-05
3.293532E+03	1.379490E-03	7.158138E-05
3.303483E+03	1.399506E-03	7.233029E-05
3.313433E+03	1.419990E-03	7.309371E-05
3.323383E+03	1.440932E-03	7.387079E-05
3.333333E+03	1.462345E-03	7.466183E-05
3.343284E+03	1.484243E-03	7.546713E-05
3.353234E+03	1.506637E-03	7.628700E-05
3.363184E+03	1.529543E-03	7.712179E-05
3.373134E+03	1.552952E-03	7.797067E-05
3.383085E+03	1.576903E-03	7.883517E-05
3.393035E+03	1.601364E-03	7.971335E-05
3.402985E+03	1.626397E-03	8.060790E-05
3.412935E+03	1.651974E-03	8.151691E-05
