#wls	flux	fluxerr
1.592040E+03	1.056893E-04	7.222705E-06
1.631841E+03	1.070508E-04	7.301156E-06
1.671642E+03	1.084857E-04	7.383836E-06
1.711443E+03	1.099775E-04	7.469576E-06
1.751244E+03	1.115486E-04	7.559836E-06
1.791045E+03	1.131622E-04	7.652073E-06
1.830846E+03	1.148610E-04	7.749120E-06
1.870647E+03	1.166282E-04	7.849765E-06
1.910448E+03	1.184668E-04	7.954157E-06
1.950249E+03	1.203800E-04	8.062441E-06
1.990050E+03	1.223929E-04	8.176214E-06
2.029851E+03	1.244662E-04	8.292771E-06
2.069652E+03	1.266471E-04	8.415184E-06
2.109453E+03	1.289181E-04	8.542185E-06
2.149254E+03	1.313063E-04	8.675480E-06
2.189055E+03	1.337705E-04	8.812233E-06
2.228856E+03	1.363617E-04	8.955709E-06
2.268657E+03	1.390619E-04	9.104594E-06
2.308458E+03	1.418761E-04	9.259103E-06
2.348259E+03	1.448349E-04	9.421095E-06
2.388060E+03	1.479198E-04	9.589212E-06
2.427861E+03	1.511368E-04	9.763698E-06
2.467662E+03	1.544921E-04	9.944797E-06
2.507463E+03	1.580197E-04	1.013452E-05
2.547264E+03	1.616722E-04	1.032965E-05
2.587065E+03	1.655124E-04	1.053401E-05
2.626866E+03	1.695205E-04	1.074612E-05
2.666667E+03	1.737344E-04	1.096816E-05
2.706468E+03	1.781340E-04	1.119861E-05
2.746269E+03	1.826969E-04	1.143582E-05
2.786070E+03	1.875260E-04	1.168598E-05
2.825871E+03	1.925373E-04	1.194354E-05
2.865672E+03	1.978057E-04	1.221285E-05
2.905473E+03	2.032752E-04	1.249013E-05
2.945274E+03	2.090250E-04	1.277991E-05
2.985075E+03	2.150691E-04	1.308266E-05
2.995025E+03	2.166130E-04	1.315953E-05
3.004975E+03	2.181739E-04	1.323710E-05
3.014925E+03	2.197520E-04	1.331536E-05
3.024876E+03	2.213476E-04	1.339434E-05
3.034826E+03	2.229608E-04	1.347403E-05
3.044776E+03	2.246297E-04	1.355673E-05
3.054726E+03	2.262790E-04	1.363787E-05
3.064677E+03	2.279466E-04	1.371975E-05
