#wls	flux	fluxerr
1.592040E+03	3.233220E-04	2.438025E-05
1.631841E+03	3.276701E-04	2.460044E-05
1.671642E+03	3.323386E-04	2.483899E-05
1.711443E+03	3.373190E-04	2.509477E-05
1.751244E+03	3.426237E-04	2.536820E-05
1.791045E+03	3.482618E-04	2.565940E-05
1.830846E+03	3.541062E-04	2.595848E-05
1.870647E+03	3.601579E-04	2.626506E-05
1.910448E+03	3.663181E-04	2.657153E-05
1.950249E+03	3.725012E-04	2.687133E-05
1.990050E+03	3.786614E-04	2.716091E-05
2.029851E+03	3.849400E-04	2.745013E-05
2.069652E+03	3.916828E-04	2.776310E-05
2.109453E+03	3.994345E-04	2.813732E-05
2.149254E+03	4.088281E-04	2.861544E-05
2.189055E+03	4.200658E-04	2.920897E-05
2.228856E+03	4.328965E-04	2.989756E-05
2.268657E+03	4.468156E-04	3.064389E-05
2.308458E+03	4.613499E-04	3.141361E-05
2.348259E+03	4.762406E-04	3.218776E-05
2.388060E+03	4.914150E-04	3.296033E-05
2.427861E+03	5.069172E-04	3.373319E-05
2.467662E+03	5.229243E-04	3.451690E-05
2.507463E+03	5.395767E-04	3.531914E-05
2.547264E+03	5.570700E-04	3.615088E-05
2.587065E+03	5.755385E-04	3.701856E-05
2.626866E+03	5.951392E-04	3.792974E-05
2.666667E+03	6.159884E-04	3.888891E-05
2.706468E+03	6.382061E-04	3.990044E-05
2.746269E+03	6.619194E-04	4.096870E-05
2.786070E+03	6.872423E-04	4.209682E-05
2.825871E+03	7.143009E-04	4.328825E-05
2.865672E+03	7.432752E-04	4.454918E-05
2.905473E+03	7.743201E-04	4.588367E-05
2.945274E+03	8.077092E-04	4.730215E-05
2.985075E+03	8.436790E-04	4.881191E-05
2.995025E+03	8.531335E-04	4.920619E-05
3.004975E+03	8.627613E-04	4.960627E-05
3.014925E+03	8.725658E-04	5.001226E-05
3.024876E+03	8.825916E-04	5.042657E-05
3.034826E+03	8.928298E-04	5.084853E-05
3.044776E+03	9.032906E-04	5.127859E-05
3.054726E+03	9.139966E-04	5.171788E-05
3.064677E+03	9.249298E-04	5.216520E-05
3.074627E+03	9.360924E-04	5.262055E-05
3.084577E+03	9.475269E-04	5.308611E-05
3.094527E+03	9.591975E-04	5.355973E-05
3.104478E+03	9.711264E-04	5.404246E-05
3.114428E+03	9.832984E-04	5.453329E-05
3.124378E+03	9.957755E-04	5.503547E-05
3.134328E+03	1.008504E-03	5.554583E-05
3.144279E+03	1.021508E-03	5.606552E-05
3.154229E+03	1.034812E-03	5.659565E-05
3.164179E+03	1.048421E-03	5.713635E-05
3.174129E+03	1.062302E-03	5.768553E-05
3.184080E+03	1.076520E-03	5.824653E-05
3.194030E+03	1.091040E-03	5.881730E-05
3.203980E+03	1.105890E-03	5.939907E-05
3.213930E+03	1.121057E-03	5.999088E-05
3.223881E+03	1.136569E-03	6.059398E-05
3.233831E+03	1.152431E-03	6.120849E-05
3.243781E+03	1.168653E-03	6.183457E-05
3.253731E+03	1.185222E-03	6.247138E-05
3.263682E+03	1.202169E-03	6.312016E-05
3.273632E+03	1.219501E-03	6.378109E-05
3.283582E+03	1.237208E-03	6.445334E-05
3.293532E+03	1.255320E-03	6.513821E-05
3.303483E+03	1.273827E-03	6.583488E-05
3.313433E+03	1.292761E-03	6.654464E-05
3.323383E+03	1.312112E-03	6.726669E-05
3.333333E+03	1.331891E-03	6.800134E-05
3.343284E+03	1.352111E-03	6.874884E-05
3.353234E+03	1.372785E-03	6.950952E-05
3.363184E+03	1.393924E-03	7.028369E-05
3.373134E+03	1.415523E-03	7.107061E-05
3.383085E+03	1.437615E-03	7.187168E-05
3.393035E+03	1.460174E-03	7.268515E-05
3.402985E+03	1.483256E-03	7.351349E-05
3.412935E+03	1.506835E-03	7.435498E-05
3.422886E+03	1.530926E-03	7.521001E-05
3.432836E+03	1.555547E-03	7.607901E-05
3.442786E+03	1.580692E-03	7.696133E-05
3.452736E+03	1.606401E-03	7.785844E-05
3.462687E+03	1.632672E-03	7.876979E-05
3.472637E+03	1.659499E-03	7.969475E-05
3.482587E+03	1.686904E-03	8.063381E-05
3.492537E+03	1.714884E-03	8.158645E-05
3.502488E+03	1.743481E-03	8.255416E-05
3.512438E+03	1.772651E-03	8.353438E-05
3.522388E+03	1.802436E-03	8.452862E-05
3.532338E+03	1.832837E-03	8.553644E-05
3.542289E+03	1.863876E-03	8.655833E-05
3.552239E+03	1.895532E-03	8.759282E-05
3.562189E+03	1.927806E-03	8.863942E-05
3.572139E+03	1.960743E-03	8.969975E-05
3.582090E+03	1.994301E-03	9.077128E-05
3.592040E+03	2.028526E-03	9.185564E-05
3.601990E+03	2.063421E-03	9.295239E-05
3.611940E+03	2.098967E-03	9.406007E-05
3.621891E+03	2.135165E-03	9.517825E-05
3.625918E+03	3.066906E-03	1.364182E-04
