#wls	flux	fluxerr
1.592040E+03	6.529075E-05	8.233119E-06
1.631841E+03	6.629800E-05	8.343295E-06
1.671642E+03	6.730066E-05	8.451958E-06
1.711443E+03	6.832188E-05	8.561986E-06
1.751244E+03	6.934789E-05	8.671611E-06
1.791045E+03	7.038335E-05	8.781382E-06
1.830846E+03	7.140528E-05	8.888401E-06
1.870647E+03	7.239994E-05	8.990940E-06
1.910448E+03	7.335195E-05	9.087086E-06
1.950249E+03	7.426200E-05	9.176932E-06
1.990050E+03	7.511878E-05	9.259093E-06
2.029851E+03	7.595508E-05	9.337619E-06
2.069652E+03	7.685297E-05	9.422562E-06
2.109453E+03	7.795327E-05	9.531046E-06
2.149254E+03	7.938261E-05	9.678264E-06
2.189055E+03	8.117173E-05	9.867565E-06
2.228856E+03	8.331275E-05	1.009755E-05
2.268657E+03	8.571424E-05	1.035673E-05
2.308458E+03	8.825321E-05	1.062992E-05
2.348259E+03	9.089530E-05	1.091275E-05
2.388060E+03	9.360949E-05	1.120132E-05
2.427861E+03	9.637118E-05	1.149250E-05
2.467662E+03	9.918384E-05	1.178657E-05
2.507463E+03	1.020572E-04	1.208452E-05
2.547264E+03	1.050212E-04	1.238969E-05
2.587065E+03	1.080896E-04	1.270350E-05
2.626866E+03	1.112386E-04	1.302291E-05
2.666667E+03	1.145173E-04	1.335340E-05
2.706468E+03	1.179383E-04	1.369616E-05
2.746269E+03	1.214939E-04	1.404996E-05
2.786070E+03	1.251949E-04	1.441573E-05
2.825871E+03	1.290735E-04	1.479678E-05
2.865672E+03	1.331199E-04	1.519160E-05
2.905473E+03	1.373450E-04	1.560099E-05
2.945274E+03	1.417831E-04	1.602841E-05
2.985075E+03	1.464233E-04	1.647209E-05
2.995025E+03	1.476042E-04	1.658428E-05
3.004975E+03	1.488229E-04	1.670028E-05
3.014925E+03	1.500554E-04	1.681739E-05
3.024876E+03	1.512776E-04	1.693287E-05
3.034826E+03	1.525402E-04	1.705242E-05
3.044776E+03	1.538201E-04	1.717341E-05
3.054726E+03	1.550916E-04	1.729299E-05
3.064677E+03	1.564052E-04	1.741679E-05
3.074627E+03	1.577357E-04	1.754196E-05
3.084577E+03	1.590568E-04	1.766558E-05
3.094527E+03	1.604204E-04	1.779341E-05
3.104478E+03	1.618007E-04	1.792257E-05
3.114428E+03	1.631975E-04	1.805302E-05
3.124378E+03	1.646109E-04	1.818478E-05
3.134328E+03	1.660410E-04	1.831782E-05
3.144279E+03	1.674878E-04	1.845214E-05
3.154229E+03	1.689237E-04	1.858471E-05
3.164179E+03	1.704038E-04	1.872157E-05
3.174129E+03	1.719008E-04	1.885969E-05
3.184080E+03	1.734149E-04	1.899909E-05
3.194030E+03	1.749460E-04	1.913977E-05
3.203980E+03	1.764943E-04	1.928172E-05
3.213930E+03	1.780602E-04	1.942495E-05
3.223881E+03	1.796435E-04	1.956947E-05
3.233831E+03	1.812447E-04	1.971528E-05
3.243781E+03	1.828637E-04	1.986238E-05
3.253731E+03	1.845306E-04	2.001403E-05
3.263682E+03	1.861862E-04	2.016377E-05
3.273632E+03	1.878603E-04	2.031485E-05
3.283582E+03	1.895531E-04	2.046725E-05
3.293532E+03	1.912648E-04	2.062099E-05
3.303483E+03	1.929957E-04	2.077609E-05
3.313433E+03	1.947458E-04	2.093254E-05
3.323383E+03	1.965472E-04	2.109375E-05
3.333333E+03	1.983370E-04	2.125299E-05
3.343284E+03	2.001470E-04	2.141362E-05
3.353234E+03	2.019772E-04	2.157566E-05
3.363184E+03	2.038606E-04	2.174260E-05
3.373134E+03	2.057325E-04	2.190751E-05
3.383085E+03	2.076255E-04	2.207386E-05
3.393035E+03	2.095732E-04	2.224522E-05
3.402985E+03	2.115093E-04	2.241451E-05
3.412935E+03	2.134673E-04	2.258529E-05
3.422886E+03	2.154817E-04	2.276117E-05
3.432836E+03	2.174845E-04	2.293496E-05
3.442786E+03	2.195099E-04	2.311026E-05
3.452736E+03	2.215934E-04	2.329078E-05
3.462687E+03	2.236652E-04	2.346916E-05
3.472637E+03	2.257962E-04	2.365283E-05
3.482587E+03	2.279156E-04	2.383434E-05
3.492537E+03	2.300953E-04	2.402121E-05
3.502488E+03	2.322631E-04	2.420588E-05
3.512438E+03	2.344555E-04	2.439213E-05
3.522388E+03	2.367100E-04	2.458385E-05
3.532338E+03	2.389526E-04	2.477332E-05
3.542289E+03	2.412585E-04	2.496834E-05
3.552239E+03	2.435523E-04	2.516106E-05
3.562189E+03	2.459106E-04	2.535940E-05
3.572139E+03	2.482568E-04	2.555540E-05
3.582090E+03	2.506686E-04	2.575708E-05
3.592040E+03	2.531077E-04	2.596046E-05
3.601990E+03	2.555344E-04	2.616144E-05
3.611940E+03	2.580287E-04	2.636820E-05
3.621891E+03	2.605102E-04	2.657251E-05
3.631841E+03	2.630605E-04	2.678266E-05
3.641791E+03	2.655979E-04	2.699031E-05
3.651741E+03	2.682052E-04	2.720387E-05
3.661692E+03	2.708416E-04	2.741915E-05
3.671642E+03	2.734646E-04	2.763184E-05
3.681592E+03	2.761595E-04	2.785052E-05
3.691542E+03	2.788407E-04	2.806656E-05
3.701493E+03	2.815949E-04	2.828864E-05
3.711443E+03	2.843793E-04	2.851244E-05
3.721393E+03	2.871496E-04	2.873350E-05
3.731343E+03	2.899946E-04	2.896068E-05
3.741294E+03	2.928704E-04	2.918956E-05
3.751244E+03	2.957314E-04	2.941558E-05
3.761194E+03	2.986690E-04	2.964780E-05
3.771144E+03	3.015914E-04	2.987709E-05
3.781095E+03	3.045914E-04	3.011263E-05
3.791045E+03	3.076232E-04	3.034982E-05
3.800995E+03	3.106389E-04	3.058395E-05
3.810945E+03	3.137340E-04	3.082439E-05
3.820896E+03	3.168613E-04	3.106645E-05
3.830846E+03	3.199717E-04	3.130530E-05
3.840796E+03	3.231632E-04	3.155052E-05
3.850746E+03	3.263872E-04	3.179731E-05
3.860697E+03	3.295933E-04	3.204075E-05
3.870647E+03	3.328822E-04	3.229059E-05
3.880597E+03	3.361524E-04	3.253698E-05
3.890547E+03	3.395065E-04	3.278980E-05
3.900498E+03	3.428934E-04	3.304409E-05
3.910448E+03	3.462605E-04	3.329475E-05
3.920398E+03	3.497131E-04	3.355188E-05
3.930348E+03	3.531986E-04	3.381040E-05
3.940299E+03	3.566629E-04	3.406511E-05
3.950249E+03	3.602142E-04	3.432631E-05
3.960199E+03	3.637432E-04	3.458357E-05
3.970149E+03	3.673601E-04	3.484732E-05
3.980100E+03	3.710101E-04	3.511233E-05
3.990050E+03	3.746362E-04	3.537318E-05
4.000000E+03	3.783516E-04	3.564054E-05
4.009950E+03	3.820421E-04	3.590362E-05
4.019900E+03	3.858227E-04	3.617319E-05
4.029851E+03	3.896360E-04	3.644383E-05
4.039801E+03	3.934226E-04	3.670996E-05
4.049751E+03	3.973005E-04	3.698258E-05
4.059701E+03	4.011504E-04	3.725053E-05
4.069652E+03	4.050924E-04	3.752495E-05
4.079602E+03	4.090050E-04	3.779455E-05
4.089552E+03	4.130104E-04	3.807061E-05
4.099502E+03	4.169852E-04	3.834169E-05
4.109453E+03	4.210534E-04	3.861919E-05
4.119403E+03	4.250888E-04	3.889150E-05
4.129353E+03	4.292191E-04	3.917027E-05
4.139303E+03	4.333150E-04	3.944367E-05
4.149254E+03	4.375057E-04	3.972344E-05
4.159204E+03	4.416612E-04	3.999773E-05
4.169154E+03	4.458452E-04	4.027231E-05
4.179104E+03	4.501252E-04	4.055324E-05
4.189055E+03	4.543667E-04	4.082835E-05
4.199005E+03	4.586360E-04	4.110361E-05
4.208955E+03	4.630022E-04	4.138517E-05
4.218905E+03	4.673269E-04	4.166061E-05
4.228856E+03	4.717485E-04	4.194224E-05
