#wls	flux	fluxerr
1.592040E+03	5.699424E-17	4.036843E-18
1.631841E+03	5.785495E-17	4.080189E-18
1.671642E+03	5.874596E-17	4.124690E-18
1.711443E+03	5.966399E-17	4.170061E-18
1.751244E+03	6.060862E-17	4.216213E-18
1.791045E+03	6.157363E-17	4.262660E-18
1.830846E+03	6.252534E-17	4.307027E-18
1.870647E+03	6.344996E-17	4.348350E-18
1.910448E+03	6.431427E-17	4.384357E-18
1.950249E+03	6.508889E-17	4.413090E-18
1.990050E+03	6.576142E-17	4.433782E-18
2.029851E+03	6.637615E-17	4.449489E-18
2.069652E+03	6.705307E-17	4.468245E-18
2.109453E+03	6.798885E-17	4.502974E-18
2.149254E+03	6.940722E-17	4.568045E-18
2.189055E+03	7.141507E-17	4.669794E-18
2.228856E+03	7.396259E-17	4.804163E-18
2.268657E+03	7.689296E-17	4.960240E-18
2.308458E+03	8.003590E-17	5.126508E-18
2.348259E+03	8.327486E-17	5.295152E-18
2.388060E+03	8.655289E-17	5.462330E-18
2.427861E+03	8.985696E-17	5.627052E-18
2.467662E+03	9.321227E-17	5.790724E-18
2.507463E+03	9.664554E-17	5.954790E-18
2.547264E+03	1.001969E-16	6.121451E-18
2.587065E+03	1.038968E-16	6.292239E-18
2.626866E+03	1.077797E-16	6.468838E-18
2.666667E+03	1.118723E-16	6.652380E-18
2.706468E+03	1.162014E-16	6.843944E-18
2.746269E+03	1.207942E-16	7.044540E-18
2.786070E+03	1.256754E-16	7.254950E-18
2.825871E+03	1.308711E-16	7.475966E-18
2.865672E+03	1.364172E-16	7.708831E-18
2.905473E+03	1.423446E-16	7.954411E-18
2.945274E+03	1.487059E-16	8.214654E-18
2.985075E+03	1.555469E-16	8.490963E-18
2.995025E+03	1.573432E-16	8.563015E-18
3.004975E+03	1.591719E-16	8.636098E-18
3.014925E+03	1.610336E-16	8.710235E-18
3.024876E+03	1.629365E-16	8.785841E-18
3.034826E+03	1.648798E-16	8.862845E-18
3.044776E+03	1.668644E-16	8.941274E-18
3.054726E+03	1.688981E-16	9.021519E-18
3.064677E+03	1.709774E-16	9.103359E-18
3.074627E+03	1.731023E-16	9.186771E-18
3.084577E+03	1.752804E-16	9.272120E-18
3.094527E+03	1.775047E-16	9.359011E-18
3.104478E+03	1.797791E-16	9.447621E-18
3.114428E+03	1.821005E-16	9.537751E-18
3.124378E+03	1.844804E-16	9.629973E-18
3.134328E+03	1.869084E-16	9.723707E-18
3.144279E+03	1.893890E-16	9.819154E-18
3.154229E+03	1.919264E-16	9.916499E-18
3.164179E+03	1.945215E-16	1.001575E-17
3.174129E+03	1.971680E-16	1.011655E-17
3.184080E+03	1.998778E-16	1.021947E-17
3.194030E+03	2.026446E-16	1.032415E-17
3.203980E+03	2.054733E-16	1.043080E-17
