#wls	flux	fluxerr
1.592040E+03	6.864584E-17	8.099484E-18
1.631841E+03	7.022462E-17	8.238541E-18
1.671642E+03	7.186243E-17	8.381367E-18
1.711443E+03	7.355628E-17	8.527408E-18
1.751244E+03	7.530656E-17	8.676501E-18
1.791045E+03	7.710638E-17	8.827645E-18
1.830846E+03	7.891398E-17	8.975881E-18
1.870647E+03	8.071150E-17	9.119074E-18
1.910448E+03	8.245560E-17	9.252281E-18
1.950249E+03	8.410654E-17	9.371098E-18
1.990050E+03	8.564543E-17	9.473558E-18
2.029851E+03	8.712719E-17	9.565864E-18
2.069652E+03	8.870868E-17	9.665153E-18
2.109453E+03	9.065391E-17	9.799613E-18
2.149254E+03	9.327151E-17	1.000128E-17
2.189055E+03	9.672126E-17	1.028524E-17
2.228856E+03	1.009540E-16	1.064387E-17
2.268657E+03	1.057708E-16	1.105402E-17
2.308458E+03	1.109480E-16	1.149062E-17
2.348259E+03	1.163293E-16	1.193628E-17
2.388060E+03	1.218377E-16	1.238228E-17
2.427861E+03	1.274555E-16	1.282613E-17
2.467662E+03	1.332191E-16	1.327076E-17
2.507463E+03	1.391681E-16	1.371927E-17
2.547264E+03	1.453626E-16	1.417656E-17
2.587065E+03	1.518499E-16	1.464602E-17
2.626866E+03	1.586847E-16	1.513146E-17
2.666667E+03	1.659114E-16	1.563549E-17
2.706468E+03	1.735751E-16	1.616050E-17
2.746269E+03	1.817230E-16	1.670881E-17
2.786070E+03	1.903988E-16	1.728214E-17
2.825871E+03	1.996497E-16	1.788225E-17
2.865672E+03	2.095380E-16	1.851190E-17
2.905473E+03	2.201198E-16	1.917295E-17
2.945274E+03	2.314857E-16	1.986984E-17
2.985075E+03	2.437173E-16	2.060561E-17
2.995025E+03	2.469290E-16	2.079671E-17
3.004975E+03	2.501996E-16	2.099029E-17
3.014925E+03	2.535301E-16	2.118637E-17
3.024876E+03	2.569337E-16	2.138598E-17
3.034826E+03	2.604091E-16	2.158891E-17
3.044776E+03	2.639582E-16	2.179525E-17
3.054726E+03	2.675935E-16	2.200592E-17
3.064677E+03	2.713097E-16	2.222039E-17
3.074627E+03	2.751073E-16	2.243859E-17
3.084577E+03	2.789983E-16	2.266141E-17
3.094527E+03	2.829718E-16	2.288785E-17
3.104478E+03	2.870347E-16	2.311837E-17
3.114428E+03	2.911821E-16	2.335245E-17
3.124378E+03	2.954326E-16	2.359148E-17
3.134328E+03	2.997700E-16	2.383404E-17
3.144279E+03	3.042014E-16	2.408058E-17
3.154229E+03	3.087344E-16	2.433159E-17
3.164179E+03	3.133703E-16	2.458704E-17
3.174129E+03	3.180994E-16	2.484603E-17
3.184080E+03	3.229412E-16	2.510997E-17
3.194030E+03	3.278859E-16	2.537796E-17
3.203980E+03	3.329416E-16	2.565048E-17
3.213930E+03	3.381047E-16	2.592711E-17
3.223881E+03	3.433834E-16	2.620835E-17
3.233831E+03	3.487804E-16	2.649424E-17
3.243781E+03	3.542984E-16	2.678483E-17
3.253731E+03	3.599344E-16	2.707975E-17
3.263682E+03	3.656971E-16	2.737949E-17
3.273632E+03	3.715899E-16	2.768412E-17
3.283582E+03	3.776099E-16	2.799327E-17
3.293532E+03	3.837665E-16	2.830747E-17
3.303483E+03	3.900575E-16	2.862636E-17
3.313433E+03	3.964926E-16	2.895047E-17
3.323383E+03	4.030697E-16	2.927946E-17
3.333333E+03	4.097928E-16	2.961343E-17
3.343284E+03	4.166663E-16	2.995249E-17
3.353234E+03	4.236947E-16	3.029676E-17
3.363184E+03	4.308827E-16	3.064636E-17
3.373134E+03	4.382288E-16	3.100098E-17
3.383085E+03	4.457447E-16	3.136121E-17
3.393035E+03	4.534229E-16	3.172630E-17
3.402985E+03	4.612821E-16	3.209732E-17
3.412935E+03	4.693150E-16	3.247353E-17
3.422886E+03	4.775281E-16	3.285512E-17
3.432836E+03	4.859277E-16	3.324227E-17
3.442786E+03	4.945145E-16	3.363477E-17
3.452736E+03	5.033021E-16	3.403327E-17
