#wls	flux	fluxerr
1.600000E+03	8.098326E-17	6.106581E-18
1.640000E+03	8.195123E-17	6.152641E-18
1.680000E+03	8.303573E-17	6.206092E-18
1.720000E+03	8.423702E-17	6.266795E-18
1.760000E+03	8.556269E-17	6.335146E-18
1.800000E+03	8.702699E-17	6.412015E-18
1.840000E+03	8.861446E-17	6.496063E-18
1.880000E+03	9.034587E-17	6.588609E-18
1.920000E+03	9.221985E-17	6.689328E-18
1.960000E+03	9.423524E-17	6.797900E-18
2.000000E+03	9.638447E-17	6.913537E-18
2.040000E+03	9.866729E-17	7.035980E-18
2.080000E+03	1.010710E-16	7.164074E-18
2.120000E+03	1.035717E-16	7.295891E-18
2.160000E+03	1.061663E-16	7.430983E-18
2.200000E+03	1.088280E-16	7.567279E-18
2.240000E+03	1.115391E-16	7.703335E-18
2.280000E+03	1.142950E-16	7.838678E-18
2.320000E+03	1.171043E-16	7.973704E-18
2.360000E+03	1.199926E-16	8.109963E-18
2.400000E+03	1.229908E-16	8.249274E-18
2.440000E+03	1.261286E-16	8.393324E-18
2.480000E+03	1.294518E-16	8.544784E-18
2.520000E+03	1.329889E-16	8.705073E-18
2.560000E+03	1.367790E-16	8.876227E-18
2.600000E+03	1.408455E-16	9.059164E-18
2.640000E+03	1.452182E-16	9.255129E-18
2.680000E+03	1.499180E-16	9.464702E-18
2.720000E+03	1.549674E-16	9.688515E-18
2.760000E+03	1.603921E-16	9.927273E-18
2.800000E+03	1.662149E-16	1.018144E-17
2.840000E+03	1.724623E-16	1.045161E-17
2.880000E+03	1.791745E-16	1.073906E-17
2.920000E+03	1.863856E-16	1.104460E-17
2.960000E+03	1.941589E-16	1.137059E-17
3.000000E+03	2.025484E-16	1.171865E-17
3.010000E+03	2.047559E-16	1.180971E-17
3.020000E+03	2.070046E-16	1.190217E-17
3.030000E+03	2.092954E-16	1.199604E-17
3.040000E+03	2.116383E-16	1.209188E-17
3.050000E+03	2.140295E-16	1.218943E-17
3.060000E+03	2.164697E-16	1.228869E-17
3.070000E+03	2.189647E-16	1.238997E-17
3.080000E+03	2.215106E-16	1.249300E-17
3.090000E+03	2.241084E-16	1.259780E-17
3.100000E+03	2.267685E-16	1.270492E-17
3.110000E+03	2.294826E-16	1.281386E-17
3.120000E+03	2.322563E-16	1.292489E-17
3.130000E+03	2.350863E-16	1.303778E-17
3.140000E+03	2.379876E-16	1.315333E-17
3.150000E+03	2.409476E-16	1.327078E-17
3.160000E+03	2.439722E-16	1.339042E-17
3.170000E+03	2.470674E-16	1.351254E-17
3.180000E+03	2.502346E-16	1.363716E-17
3.190000E+03	2.534660E-16	1.376380E-17
3.200000E+03	2.567770E-16	1.389326E-17
3.210000E+03	2.601599E-16	1.402506E-17
3.220000E+03	2.636211E-16	1.415949E-17
3.230000E+03	2.671575E-16	1.429634E-17
3.240000E+03	2.707757E-16	1.443589E-17
3.250000E+03	2.744775E-16	1.457819E-17
3.260000E+03	2.782648E-16	1.472327E-17
3.270000E+03	2.821349E-16	1.487093E-17
3.280000E+03	2.860947E-16	1.502147E-17
3.290000E+03	2.901463E-16	1.517494E-17
3.300000E+03	2.942871E-16	1.533113E-17
3.310000E+03	2.985245E-16	1.549036E-17
3.320000E+03	3.028559E-16	1.565242E-17
3.330000E+03	3.072887E-16	1.581763E-17
3.340000E+03	3.118206E-16	1.598579E-17
3.350000E+03	3.164545E-16	1.615697E-17
3.360000E+03	3.211931E-16	1.633124E-17
3.370000E+03	3.260393E-16	1.650866E-17
3.380000E+03	3.309962E-16	1.668931E-17
3.390000E+03	3.360620E-16	1.687301E-17
3.400000E+03	3.412449E-16	1.706009E-17
3.410000E+03	3.465383E-16	1.725013E-17
3.420000E+03	3.519557E-16	1.744371E-17
3.430000E+03	3.574906E-16	1.764042E-17
3.440000E+03	3.631467E-16	1.784036E-17
3.450000E+03	3.689281E-16	1.804361E-17
3.460000E+03	3.748333E-16	1.825002E-17
3.470000E+03	3.808717E-16	1.845994E-17
3.480000E+03	3.870424E-16	1.867323E-17
3.490000E+03	3.933446E-16	1.888973E-17
