#wls	flux	fluxerr
1.600000E+03	6.922661E-17	7.857731E-18
1.640000E+03	7.015170E-17	7.925732E-18
1.680000E+03	7.117621E-17	8.003061E-18
1.720000E+03	7.231688E-17	8.091376E-18
1.760000E+03	7.356184E-17	8.189103E-18
1.800000E+03	7.494089E-17	8.299298E-18
1.840000E+03	7.644183E-17	8.420313E-18
1.880000E+03	7.808639E-17	8.554234E-18
1.920000E+03	7.988217E-17	8.701541E-18
1.960000E+03	8.182364E-17	8.861261E-18
2.000000E+03	8.393121E-17	9.035210E-18
2.040000E+03	8.620570E-17	9.223042E-18
2.080000E+03	8.864826E-17	9.424429E-18
2.120000E+03	9.126044E-17	9.639060E-18
2.160000E+03	9.403228E-17	9.865396E-18
2.200000E+03	9.693136E-17	1.009957E-17
2.240000E+03	9.991018E-17	1.033624E-17
2.280000E+03	1.029417E-16	1.057227E-17
2.320000E+03	1.060468E-16	1.080950E-17
2.360000E+03	1.093078E-16	1.105591E-17
2.400000E+03	1.127876E-16	1.131726E-17
2.440000E+03	1.165478E-16	1.159893E-17
2.480000E+03	1.206215E-16	1.190329E-17
2.520000E+03	1.250531E-16	1.223364E-17
2.560000E+03	1.298714E-16	1.259161E-17
2.600000E+03	1.351173E-16	1.297979E-17
2.640000E+03	1.408175E-16	1.339930E-17
2.680000E+03	1.470012E-16	1.385127E-17
2.720000E+03	1.537004E-16	1.433699E-17
2.760000E+03	1.609357E-16	1.485646E-17
2.800000E+03	1.687312E-16	1.540989E-17
2.840000E+03	1.771116E-16	1.599737E-17
2.880000E+03	1.861168E-16	1.662017E-17
2.920000E+03	1.958129E-16	1.728165E-17
2.960000E+03	2.062931E-16	1.798715E-17
3.000000E+03	2.176888E-16	1.874482E-17
3.010000E+03	2.206988E-16	1.894350E-17
3.020000E+03	2.237743E-16	1.914586E-17
3.030000E+03	2.269265E-16	1.935277E-17
3.040000E+03	2.301464E-16	1.956340E-17
3.050000E+03	2.334455E-16	1.977865E-17
3.060000E+03	2.368248E-16	1.999853E-17
3.070000E+03	2.402909E-16	2.022351E-17
3.080000E+03	2.438350E-16	2.045277E-17
3.090000E+03	2.474739E-16	2.068762E-17
3.100000E+03	2.511988E-16	2.092726E-17
3.110000E+03	2.550216E-16	2.117256E-17
3.120000E+03	2.589440E-16	2.142357E-17
3.130000E+03	2.629627E-16	2.167993E-17
3.140000E+03	2.670898E-16	2.194251E-17
3.150000E+03	2.713221E-16	2.221096E-17
3.160000E+03	2.756668E-16	2.248575E-17
3.170000E+03	2.801261E-16	2.276694E-17
3.180000E+03	2.847023E-16	2.305460E-17
3.190000E+03	2.894029E-16	2.334921E-17
3.200000E+03	2.942305E-16	2.365086E-17
3.210000E+03	2.991825E-16	2.395919E-17
3.220000E+03	3.042720E-16	2.427513E-17
3.230000E+03	3.094968E-16	2.459835E-17
3.240000E+03	3.148651E-16	2.492937E-17
3.250000E+03	3.203803E-16	2.526829E-17
3.260000E+03	3.260402E-16	2.561479E-17
3.270000E+03	3.318592E-16	2.596984E-17
3.280000E+03	3.378303E-16	2.633273E-17
3.290000E+03	3.439680E-16	2.670442E-17
3.300000E+03	3.502764E-16	2.708504E-17
3.310000E+03	3.567493E-16	2.747393E-17
3.320000E+03	3.634017E-16	2.787208E-17
3.330000E+03	3.702385E-16	2.827964E-17
3.340000E+03	3.772594E-16	2.869640E-17
3.350000E+03	3.844697E-16	2.912256E-17
3.360000E+03	3.918747E-16	2.955832E-17
3.370000E+03	3.994805E-16	3.000391E-17
3.380000E+03	4.072930E-16	3.045956E-17
3.390000E+03	4.153188E-16	3.092552E-17
3.400000E+03	4.235593E-16	3.140167E-17
3.410000E+03	4.320161E-16	3.188787E-17
3.420000E+03	4.407077E-16	3.238525E-17
3.430000E+03	4.496256E-16	3.289293E-17
3.440000E+03	4.587835E-16	3.341164E-17
3.450000E+03	4.681850E-16	3.394137E-17
3.460000E+03	4.778392E-16	3.448251E-17
3.470000E+03	4.877449E-16	3.503468E-17
3.480000E+03	4.979066E-16	3.559792E-17
3.490000E+03	5.083354E-16	3.617272E-17
3.500000E+03	5.190313E-16	3.675877E-17
3.510000E+03	5.300068E-16	3.735665E-17
3.520000E+03	5.412512E-16	3.796528E-17
3.530000E+03	5.527783E-16	3.858531E-17
3.540000E+03	5.645844E-16	3.921616E-17
3.550000E+03	5.766726E-16	3.985771E-17
3.560000E+03	5.890464E-16	4.050988E-17
3.570000E+03	6.016981E-16	4.117180E-17
