#wls	flux	fluxerr
1.600000E+03	6.996396E-17	4.135851E-17
1.640000E+03	7.089884E-17	4.147761E-17
1.680000E+03	7.193818E-17	4.163245E-17
1.720000E+03	7.308268E-17	4.182059E-17
1.760000E+03	7.433942E-17	4.204307E-17
1.800000E+03	7.572133E-17	4.230383E-17
1.840000E+03	7.721552E-17	4.259208E-17
1.880000E+03	7.884067E-17	4.291441E-17
1.920000E+03	8.059621E-17	4.326636E-17
1.960000E+03	8.248177E-17	4.364340E-17
2.000000E+03	8.449135E-17	4.403794E-17
2.040000E+03	8.662538E-17	4.444565E-17
2.080000E+03	8.887332E-17	4.485650E-17
2.120000E+03	9.121473E-17	4.525571E-17
2.160000E+03	9.364731E-17	4.563793E-17
2.200000E+03	9.614809E-17	4.598783E-17
2.240000E+03	9.870152E-17	4.629432E-17
2.280000E+03	1.013041E-16	4.655233E-17
2.320000E+03	1.039636E-16	4.676192E-17
2.360000E+03	1.067033E-16	4.692961E-17
2.400000E+03	1.095510E-16	4.706286E-17
2.440000E+03	1.125339E-16	4.716770E-17
2.480000E+03	1.156937E-16	4.725468E-17
2.520000E+03	1.190568E-16	4.732640E-17
2.560000E+03	1.226594E-16	4.738786E-17
2.600000E+03	1.265239E-16	4.743704E-17
2.640000E+03	1.306785E-16	4.747276E-17
2.680000E+03	1.351435E-16	4.748949E-17
2.720000E+03	1.399412E-16	4.748119E-17
2.760000E+03	1.450964E-16	4.744127E-17
2.800000E+03	1.506319E-16	4.736117E-17
2.840000E+03	1.565739E-16	4.723200E-17
2.880000E+03	1.629611E-16	4.704699E-17
2.920000E+03	1.698272E-16	4.679603E-17
2.960000E+03	1.772325E-16	4.647419E-17
3.000000E+03	1.852296E-16	4.607156E-17
3.010000E+03	1.873344E-16	4.595856E-17
3.020000E+03	1.894789E-16	4.583916E-17
3.030000E+03	1.916639E-16	4.571311E-17
3.040000E+03	1.938988E-16	4.558221E-17
3.050000E+03	1.961801E-16	4.544514E-17
3.060000E+03	1.985085E-16	4.530162E-17
3.070000E+03	2.008894E-16	4.515234E-17
3.080000E+03	2.033193E-16	4.499603E-17
3.090000E+03	2.057991E-16	4.483240E-17
3.100000E+03	2.083385E-16	4.466302E-17
3.110000E+03	2.109300E-16	4.448571E-17
3.120000E+03	2.135788E-16	4.430108E-17
3.130000E+03	2.162819E-16	4.410792E-17
3.140000E+03	2.190532E-16	4.390854E-17
3.150000E+03	2.218812E-16	4.369998E-17
3.160000E+03	2.247714E-16	4.348279E-17
3.170000E+03	2.277294E-16	4.325747E-17
3.180000E+03	2.307567E-16	4.302363E-17
3.190000E+03	2.338460E-16	4.277933E-17
3.200000E+03	2.370118E-16	4.252661E-17
3.210000E+03	2.402470E-16	4.226353E-17
3.220000E+03	2.435576E-16	4.199052E-17
3.230000E+03	2.469409E-16	4.170646E-17
3.240000E+03	2.504031E-16	4.141175E-17
3.250000E+03	2.539459E-16	4.110603E-17
3.260000E+03	2.575712E-16	4.078892E-17
3.270000E+03	2.612767E-16	4.045939E-17
3.280000E+03	2.650688E-16	4.011777E-17
3.290000E+03	2.689496E-16	3.976371E-17
3.300000E+03	2.729169E-16	3.939623E-17
3.310000E+03	2.769775E-16	3.901563E-17
3.320000E+03	2.811293E-16	3.862096E-17
3.330000E+03	2.853792E-16	3.821253E-17
3.340000E+03	2.897253E-16	3.778942E-17
3.350000E+03	2.941703E-16	3.735136E-17
3.360000E+03	2.987169E-16	3.689809E-17
3.370000E+03	3.033680E-16	3.642935E-17
3.380000E+03	3.081266E-16	3.594491E-17
3.390000E+03	3.129911E-16	3.544403E-17
3.400000E+03	3.179694E-16	3.492706E-17
3.410000E+03	3.230554E-16	3.439286E-17
3.420000E+03	3.282619E-16	3.384230E-17
3.430000E+03	3.335830E-16	3.327436E-17
3.440000E+03	3.390224E-16	3.268904E-17
3.450000E+03	3.445839E-16	3.208637E-17
3.460000E+03	3.502665E-16	3.146605E-17
3.470000E+03	3.560789E-16	3.082866E-17
3.480000E+03	3.620207E-16	3.017402E-17
3.490000E+03	3.680911E-16	2.950208E-17
3.500000E+03	3.742946E-16	2.881328E-17
3.510000E+03	3.806309E-16	2.810782E-17
3.520000E+03	3.871093E-16	2.738673E-17
3.530000E+03	3.937201E-16	2.664979E-17
3.540000E+03	4.004728E-16	2.589837E-17
3.550000E+03	4.073677E-16	2.513334E-17
3.560000E+03	4.144097E-16	2.435608E-17
3.570000E+03	4.215942E-16	2.356766E-17
3.580000E+03	4.289214E-16	2.276977E-17
3.590000E+03	4.364018E-16	2.196493E-17
3.600000E+03	4.440257E-16	2.115500E-17
3.610000E+03	4.518038E-16	2.034327E-17
3.620000E+03	4.597367E-16	1.953299E-17
3.630000E+03	4.678200E-16	1.872775E-17
3.640000E+03	4.760544E-16	1.793197E-17
3.644048E+03	6.838912E-16	5.049934E-17
3.649566E+03	6.865539E-16	5.050948E-17
3.655084E+03	6.912992E-16	5.054270E-17
3.660602E+03	6.983851E-16	5.060198E-17
3.666120E+03	7.061546E-16	5.066892E-17
3.671637E+03	7.122821E-16	5.755710E-17
3.677155E+03	7.183787E-16	6.198145E-17
3.682673E+03	7.238366E-16	5.930935E-17
3.688191E+03	7.282757E-16	5.514919E-17
3.693709E+03	7.301458E-16	4.919254E-17
3.699227E+03	7.311037E-16	3.668891E-17
3.704745E+03	7.287784E-16	3.247916E-17
3.710263E+03	7.217719E-16	3.360630E-17
3.715781E+03	7.109203E-16	3.698377E-17
3.721299E+03	6.959199E-16	3.349377E-17
3.726817E+03	6.756313E-16	2.874214E-17
3.732335E+03	6.511640E-16	2.782157E-17
3.737853E+03	6.239167E-16	2.734449E-17
3.743371E+03	5.928712E-16	2.802020E-17
3.748889E+03	5.589093E-16	2.734438E-17
3.754406E+03	5.269698E-16	2.481578E-17
3.759924E+03	4.978581E-16	2.423362E-17
3.765442E+03	4.715739E-16	2.269702E-17
3.770960E+03	4.494087E-16	2.213253E-17
3.776478E+03	4.341884E-16	2.145307E-17
3.781996E+03	4.225546E-16	2.212892E-17
3.787514E+03	4.134738E-16	2.183138E-17
3.793032E+03	4.064901E-16	2.052767E-17
3.798550E+03	4.001447E-16	2.327664E-17
3.804068E+03	3.968686E-16	2.305536E-17
3.809586E+03	3.977552E-16	2.206732E-17
