#wls	flux	fluxerr
1.600000E+03	1.594008E-17	1.075159E-17
1.640000E+03	1.606059E-17	1.078702E-17
1.680000E+03	1.618543E-17	1.082342E-17
1.720000E+03	1.632316E-17	1.086640E-17
1.760000E+03	1.646846E-17	1.091224E-17
1.800000E+03	1.662439E-17	1.096284E-17
1.840000E+03	1.678839E-17	1.101635E-17
1.880000E+03	1.696358E-17	1.107466E-17
1.920000E+03	1.715313E-17	1.113962E-17
1.960000E+03	1.735167E-17	1.120755E-17
2.000000E+03	1.756528E-17	1.128218E-17
2.040000E+03	1.779148E-17	1.136166E-17
2.080000E+03	1.803066E-17	1.144599E-17
2.120000E+03	1.828617E-17	1.153704E-17
2.160000E+03	1.855851E-17	1.163482E-17
2.200000E+03	1.884820E-17	1.173932E-17
2.240000E+03	1.915274E-17	1.184866E-17
2.280000E+03	1.947874E-17	1.196658E-17
2.320000E+03	1.982380E-17	1.209118E-17
2.360000E+03	2.018854E-17	1.222242E-17
2.400000E+03	2.057987E-17	1.236403E-17
2.440000E+03	2.099236E-17	1.251219E-17
2.480000E+03	2.142990E-17	1.266873E-17
2.520000E+03	2.189337E-17	1.283356E-17
2.560000E+03	2.238690E-17	1.300848E-17
2.600000E+03	2.291153E-17	1.319338E-17
2.640000E+03	2.346504E-17	1.338624E-17
2.680000E+03	2.405517E-17	1.359067E-17
2.720000E+03	2.467983E-17	1.380461E-17
2.760000E+03	2.534372E-17	1.402973E-17
2.800000E+03	2.604825E-17	1.426577E-17
2.840000E+03	2.679492E-17	1.451246E-17
2.880000E+03	2.758531E-17	1.476944E-17
2.920000E+03	2.842463E-17	1.503824E-17
2.960000E+03	2.931838E-17	1.532030E-17
3.000000E+03	3.026493E-17	1.561322E-17
3.010000E+03	3.050785E-17	1.568695E-17
3.020000E+03	3.075631E-17	1.576238E-17
3.030000E+03	3.101036E-17	1.583951E-17
3.040000E+03	3.126630E-17	1.591641E-17
3.050000E+03	3.152791E-17	1.599499E-17
3.060000E+03	3.179149E-17	1.607333E-17
3.070000E+03	3.206082E-17	1.615332E-17
3.080000E+03	3.233217E-17	1.623303E-17
3.090000E+03	3.260555E-17	1.631247E-17
3.100000E+03	3.288863E-17	1.639543E-17
3.110000E+03	3.317000E-17	1.647618E-17
3.120000E+03	3.346118E-17	1.656042E-17
3.130000E+03	3.375069E-17	1.664243E-17
3.140000E+03	3.405014E-17	1.672790E-17
3.150000E+03	3.435183E-17	1.681300E-17
3.160000E+03	3.465580E-17	1.689774E-17
3.170000E+03	3.496598E-17	1.698398E-17
3.180000E+03	3.528243E-17	1.707173E-17
3.190000E+03	3.560127E-17	1.715905E-17
3.200000E+03	3.592649E-17	1.724783E-17
3.210000E+03	3.625415E-17	1.733616E-17
3.220000E+03	3.658829E-17	1.742591E-17
3.230000E+03	3.692496E-17	1.751518E-17
3.240000E+03	3.726820E-17	1.760583E-17
3.250000E+03	3.761808E-17	1.769785E-17
3.260000E+03	3.797061E-17	1.778933E-17
3.270000E+03	3.832988E-17	1.788213E-17
3.280000E+03	3.869597E-17	1.797624E-17
3.290000E+03	3.906483E-17	1.806973E-17
3.300000E+03	3.944062E-17	1.816449E-17
