MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err	ps_g	ps_g_err	ps_i	ps_i_err	ps_r	ps_r_err	ps_z	ps_z_err
58854.0	2.0497164230077523e-15	1.407066745256528e-17	2.212752783255246e-15	7.688075698051104e-17	1.3459045446863678e-15	6.209449396512971e-17	1.7158130949998898e-15	6.458843548640904e-17	1.710172073832669e-15	9.759590125062555e-17	1.2462353320605597e-15	3.821618010989765e-17
58854.05	2.0506630066134465e-15	1.4313345736121302e-17	2.2127853505013896e-15	7.774819419949388e-17	1.3447497820371132e-15	6.237124501880614e-17	1.7171287903483637e-15	6.492345250261004e-17	1.7095181116908823e-15	9.815255372371565e-17	1.246380154484643e-15	3.846001278482426e-17
58854.100000000006	2.051490391864475e-15	1.4559721876970042e-17	2.212811792029172e-15	7.860956699054896e-17	1.3435905175167498e-15	6.264480776332479e-17	1.718439263457811e-15	6.52552881507618e-17	1.7088607077497658e-15	9.870567016395619e-17	1.2465247039295772e-15	3.870309629990555e-17
58854.15000000001	2.0522004345949152e-15	1.4807018598131067e-17	2.212832085341339e-15	7.94648524605434e-17	1.3424267655602936e-15	6.291517831757176e-17	1.7197444896208979e-15	6.558393253754863e-17	1.7081998765829145e-15	9.925524427540755e-17	1.2466689797033277e-15	3.8945426036733945e-17
58854.20000000001	2.0527949877085632e-15	1.505268004217996e-17	2.2128462078634057e-15	8.03140285509836e-17	1.3412585405692496e-15	6.318235293269264e-17	1.7210444441017028e-15	6.590937591667012e-17	1.7075356327287447e-15	9.980126982684272e-17	1.246812981112765e-15	3.918699744480866e-17
58854.250000000015	2.053275901220887e-15	1.5294365254365208e-17	2.2128541369432832e-15	8.115707399303482e-17	1.3400858569116999e-15	6.344632798956963e-17	1.7223391021354966e-15	6.623160868738532e-17	1.7068679906905775e-15	1.0034374065069677e-16	1.246956707463731e-15	3.9427806039480703e-17
58854.30000000002	2.0536450223010468e-15	1.552993832294468e-17	2.2128558498513007e-15	8.199396826591563e-17	1.3389087289224148e-15	6.370709999637943e-17	1.7236284389287573e-15	6.655062139307868e-17	1.7061969649367337e-15	1.0088265064204656e-16	1.2471001580610139e-15	3.9667847400005703e-17
58854.35000000002	2.0539041953137396e-15	1.5757456594424182e-17	2.2128513237800387e-15	8.282469155846314e-17	1.3377271709029005e-15	6.396466558628551e-17	1.7249124296589319e-15	6.686640471991584e-17	1.7055225699006166e-15	1.0141799375761952e-16	1.2472433322083068e-15	3.990711716770155e-17
58854.40000000002	2.0540552618610824e-15	1.5975158023381055e-17	2.212840535843999e-15	8.36492247335593e-17	1.3365411971215286e-15	6.421902151522306e-17	1.7261910494744713e-15	6.717894949549514e-17	1.7048448199808295e-15	1.0194976401484489e-16	1.2473862292082791e-15	4.014561104414367e-17
58854.450000000026	2.0541000608243813e-15	1.6181448418032453e-17	2.2128234630795285e-15	8.446754929517682e-17	1.3353508218135478e-15	6.44701646597673e-17	1.7274642734945936e-15	6.748824668761225e-17	1.7041637295412363e-15	1.024779554909551e-16	1.2475288483625056e-15	4.038332478944921e-17
58854.50000000003	2.054040428405924e-15	1.6374889106611308e-17	2.2128000824446815e-15	8.527964735781976e-17	1.3341560591812707e-15	6.471809201512133e-17	1.7287320768092407e-15	6.779428740299353e-17	1.7034793129110572e-15	1.030025623220967e-16	1.2476711889715244e-15	4.062025422063503e-17
58854.55000000003	2.053878198170654e-15	1.655418536984886e-17	2.212770370818999e-15	8.60855016181375e-17	1.3329569233940536e-15	6.496280069316531e-17	1.7299944344789981e-15	6.809706288612717e-17	1.7027915843849829e-15	1.0352357870248671e-16	1.2478132503347786e-15	4.085639521003975e-17
58854.600000000035	2.053615201087854e-15	1.6718175853073837e-17	2.2127343050033018e-15	8.688509532861028e-17	1.3317534285884669e-15	6.520428792060384e-17	1.731251321534921e-15	6.839656451809835e-17	1.702100558223239e-15	1.0404099888359625e-16	1.2479550317506748e-15	4.1091743683805757e-17
58854.65000000004	2.0532532655727566e-15	1.6865823078230807e-17	2.2126918617196128e-15	8.767841227300076e-17	1.3305455888683123e-15	6.54425510371937e-17	1.7325027129784652e-15	6.869278381548228e-17	1.7014062486516912e-15	1.045548171733609e-16	1.2480965325165285e-15	4.132629562040752e-17
58854.70000000004	2.052794217528061e-15	1.6996205113969565e-17	2.2126430176109417e-15	8.846543674355059e-17	1.3293334183047513e-15	6.567758749403352e-17	1.7337485837813865e-15	6.898571242927381e-17	1.7007086698619283e-15	1.050650279354205e-16	1.2482377519285927e-15	4.1560047049274955e-17
58854.750000000044	2.0522398803855735e-15	1.710850842153843e-17	2.212587749240991e-15	8.924615351975708e-17	1.328116930936376e-15	6.5909394851949e-17	1.734988908885605e-15	6.9275342143815e-17	1.7000078360113536e-15	1.0557162558838374e-16	1.2483786892820514e-15	4.1792994049414037e-17
58854.80000000005	2.051592075147567e-15	1.720202187251442e-17	2.2125260330942316e-15	9.002054784851762e-17	1.3268961407692633e-15	6.613797077992592e-17	1.7362236632031188e-15	6.956166487582238e-17	1.6993037612232779e-15	1.060746046051181e-16	1.2485193438710345e-15	4.2025132748147726e-17
58854.85000000005	2.0508526204283054e-15	1.7276131924040133e-17	2.212457845575478e-15	9.078860542566916e-17	1.325671061777113e-15	6.636331305362077e-17	1.7374528216158963e-15	6.984467267339174e-17	1.6985964595870004e-15	1.0657395951206435e-16	1.2486597149885589e-15	4.2256459319852674e-17
58854.90000000005	2.0500233324953523e-15	1.7330318937270816e-17	2.2123831630098302e-15	9.155031237870545e-17	1.3244417079013006e-15	6.658541955393373e-17	1.738676358975759e-15	7.012435771503909e-17	1.6978859451579075e-15	1.0706968488857212e-16	1.2487998019266138e-15	4.248696998475359e-17
58854.950000000055	2.0491060253110477e-15	1.7364154631147688e-17	2.212301961642538e-15	9.230565525065183e-17	1.323208093050953e-15	6.68042882656317e-17	1.7398942501042669e-15	7.04007123088063e-17	1.6971722319575717e-15	1.0756177536625416e-16	1.2489396039760891e-15	4.271666100778092e-17
58855.00000000006	2.0481025105737273e-15	1.7377300675581824e-17	2.2122142176387265e-15	9.305462098494536e-17	1.3219702311030323e-15	6.701991727605541e-17	1.7411064697926182e-15	7.067372889135429e-17	1.6964553339738034e-15	1.080502256283701e-16	1.2490791204267977e-15	4.2945528697468696e-17
58855.05000000006	2.0470145977589985e-15	1.7369508444358605e-17	2.2121199070832505e-15	9.379719691131519e-17	1.3207281359024415e-15	6.723230477385005e-17	1.7423129928015586e-15	7.094340002711722e-17	1.6957352651607743e-15	1.085350304092211e-16	1.24921835056748e-15	4.317356940486427e-17
