#wls	flux	fluxerr	mangling_mask
3.699000E+03	1.662625E-15	7.396866E-16	3.573309E+00
3.700000E+03	1.655304E-15	7.362446E-16	3.572625E+00
3.701000E+03	1.647700E-15	7.326810E-16	3.571941E+00
3.702000E+03	1.639635E-15	7.289181E-16	3.571256E+00
3.703000E+03	1.631251E-15	7.250186E-16	3.570572E+00
3.704000E+03	1.622514E-15	7.209671E-16	3.569887E+00
3.705000E+03	1.613565E-15	7.168262E-16	3.569203E+00
3.706000E+03	1.604406E-15	7.125961E-16	3.568518E+00
3.707000E+03	1.595000E-15	7.082614E-16	3.567833E+00
3.708000E+03	1.585383E-15	7.038380E-16	3.567148E+00
3.709000E+03	1.575734E-15	6.994035E-16	3.566463E+00
3.710000E+03	1.565768E-15	6.948339E-16	3.565777E+00
3.711000E+03	1.555307E-15	6.900521E-16	3.565092E+00
3.712000E+03	1.544742E-15	6.852289E-16	3.564406E+00
3.713000E+03	1.534146E-15	6.803954E-16	3.563720E+00
3.714000E+03	1.523304E-15	6.754587E-16	3.563035E+00
3.715000E+03	1.512146E-15	6.703882E-16	3.562349E+00
3.716000E+03	1.500885E-15	6.652770E-16	3.561662E+00
3.717000E+03	1.489378E-15	6.600633E-16	3.560976E+00
3.718000E+03	1.477663E-15	6.547629E-16	3.560290E+00
3.719000E+03	1.465916E-15	6.494530E-16	3.559603E+00
3.720000E+03	1.454245E-15	6.441799E-16	3.558917E+00
3.721000E+03	1.442542E-15	6.388975E-16	3.558230E+00
3.722000E+03	1.430773E-15	6.335903E-16	3.557543E+00
3.723000E+03	1.418759E-15	6.281817E-16	3.556856E+00
3.724000E+03	1.406607E-15	6.227180E-16	3.556169E+00
3.725000E+03	1.394496E-15	6.173959E-16	3.555482E+00
3.726000E+03	1.382175E-15	6.121116E-16	3.554794E+00
3.727000E+03	1.369504E-15	6.065036E-16	3.554107E+00
3.728000E+03	1.356305E-15	6.012246E-16	3.553419E+00
3.729000E+03	1.342400E-15	5.960179E-16	3.552732E+00
3.730000E+03	1.327825E-15	5.906861E-16	3.552044E+00
3.731000E+03	1.313007E-15	5.854363E-16	3.551356E+00
3.732000E+03	1.298373E-15	5.794754E-16	3.550668E+00
3.733000E+03	1.284170E-15	5.727528E-16	3.549979E+00
3.734000E+03	1.270256E-15	5.657555E-16	3.549291E+00
3.735000E+03	1.256418E-15	5.586116E-16	3.548603E+00
3.736000E+03	1.242515E-15	5.517674E-16	3.547914E+00
3.737000E+03	1.228369E-15	5.451839E-16	3.547225E+00
3.738000E+03	1.213802E-15	5.386897E-16	3.546536E+00
3.739000E+03	1.199170E-15	5.323851E-16	3.545847E+00
3.740000E+03	1.184792E-15	5.262044E-16	3.545158E+00
3.741000E+03	1.170632E-15	5.200736E-16	3.544469E+00
3.742000E+03	1.156619E-15	5.138911E-16	3.543780E+00
3.743000E+03	1.142682E-15	5.077306E-16	3.543090E+00
3.744000E+03	1.128751E-15	5.016247E-16	3.542401E+00
3.745000E+03	1.114789E-15	4.957734E-16	3.541711E+00
3.746000E+03	1.100797E-15	4.902694E-16	3.541021E+00
3.747000E+03	1.086882E-15	4.843922E-16	3.540331E+00
3.748000E+03	1.073255E-15	4.782002E-16	3.539641E+00
3.749000E+03	1.060057E-15	4.723457E-16	3.538951E+00
3.750000E+03	1.047113E-15	4.666079E-16	3.538261E+00
3.751000E+03	1.034279E-15	4.609874E-16	3.537570E+00
3.752000E+03	1.021628E-15	4.555218E-16	3.536880E+00
3.753000E+03	1.009052E-15	4.501932E-16	3.536189E+00
3.754000E+03	9.965156E-16	4.447603E-16	3.535499E+00
3.755000E+03	9.843732E-16	4.395587E-16	3.534808E+00
3.756000E+03	9.727303E-16	4.345504E-16	3.534117E+00
3.757000E+03	9.614451E-16	4.296225E-16	3.533426E+00
3.758000E+03	9.504469E-16	4.244172E-16	3.532734E+00
