#wls	flux	fluxerr
1.544402E+03	4.120188E-02	0.000000E+00
1.583012E+03	4.341063E-02	0.000000E+00
1.621622E+03	4.578806E-02	0.000000E+00
1.660232E+03	4.834382E-02	0.000000E+00
1.698842E+03	5.109191E-02	0.000000E+00
1.737452E+03	5.405101E-02	0.000000E+00
1.776062E+03	5.722167E-02	0.000000E+00
1.814672E+03	6.062681E-02	0.000000E+00
1.853282E+03	6.427528E-02	0.000000E+00
1.891892E+03	6.817500E-02	0.000000E+00
1.930502E+03	7.232786E-02	0.000000E+00
1.969112E+03	7.673894E-02	0.000000E+00
2.007722E+03	8.140137E-02	0.000000E+00
2.046332E+03	8.629523E-02	0.000000E+00
2.084942E+03	9.141299E-02	0.000000E+00
2.123552E+03	9.672281E-02	0.000000E+00
2.162162E+03	1.021942E-01	0.000000E+00
2.200772E+03	1.078037E-01	0.000000E+00
2.239382E+03	1.135358E-01	0.000000E+00
2.277992E+03	1.193884E-01	0.000000E+00
2.316602E+03	1.253625E-01	0.000000E+00
2.355212E+03	1.314565E-01	0.000000E+00
2.393822E+03	1.376823E-01	0.000000E+00
2.432432E+03	1.440313E-01	0.000000E+00
2.471042E+03	1.505025E-01	0.000000E+00
2.509653E+03	1.570728E-01	0.000000E+00
2.548263E+03	1.637204E-01	0.000000E+00
2.586873E+03	1.704071E-01	0.000000E+00
2.625483E+03	1.770904E-01	0.000000E+00
2.664093E+03	1.837237E-01	0.000000E+00
2.702703E+03	1.902511E-01	0.000000E+00
2.741313E+03	1.966147E-01	0.000000E+00
2.779923E+03	2.027660E-01	0.000000E+00
2.818533E+03	2.086450E-01	0.000000E+00
2.857143E+03	2.142190E-01	0.000000E+00
2.895753E+03	2.194405E-01	0.000000E+00
2.905405E+03	2.206929E-01	0.000000E+00
2.915058E+03	2.219175E-01	0.000000E+00
2.924710E+03	2.231135E-01	0.000000E+00
2.934363E+03	2.242897E-01	0.000000E+00
2.944015E+03	2.254404E-01	0.000000E+00
2.953668E+03	2.265643E-01	0.000000E+00
2.963320E+03	2.276659E-01	0.000000E+00
2.972973E+03	2.287389E-01	0.000000E+00
2.982625E+03	2.297827E-01	0.000000E+00
2.992278E+03	2.308062E-01	0.000000E+00
3.001931E+03	2.317984E-01	0.000000E+00
3.011583E+03	2.327641E-01	0.000000E+00
3.021236E+03	2.336972E-01	0.000000E+00
3.030888E+03	2.346112E-01	0.000000E+00
3.040541E+03	2.354911E-01	0.000000E+00
3.050193E+03	2.363414E-01	0.000000E+00
3.059846E+03	2.371658E-01	0.000000E+00
