#wls	flux	fluxerr
1.544402E+03	6.138286E-02	4.964580E-03
1.583012E+03	6.321578E-02	5.085024E-03
1.621622E+03	6.514823E-02	5.211170E-03
1.660232E+03	6.719856E-02	5.344274E-03
1.698842E+03	6.937405E-02	5.484673E-03
1.737452E+03	7.169586E-02	5.633776E-03
1.776062E+03	7.415980E-02	5.790958E-03
1.814672E+03	7.680333E-02	5.958821E-03
1.853282E+03	7.962403E-02	6.136811E-03
1.891892E+03	8.266417E-02	6.327781E-03
1.930502E+03	8.593945E-02	6.532463E-03
1.969112E+03	8.946665E-02	6.751617E-03
2.007722E+03	9.328079E-02	6.987313E-03
2.046332E+03	9.740295E-02	7.240487E-03
2.084942E+03	1.018738E-01	7.513447E-03
2.123552E+03	1.067386E-01	7.808704E-03
2.162162E+03	1.119879E-01	8.124686E-03
2.200772E+03	1.177106E-01	8.466854E-03
2.239382E+03	1.238794E-01	8.832153E-03
2.277992E+03	1.305695E-01	9.224790E-03
2.316602E+03	1.377961E-01	9.644525E-03
2.355212E+03	1.455726E-01	1.009093E-02
2.393822E+03	1.539846E-01	1.056842E-02
2.432432E+03	1.629982E-01	1.107304E-02
2.471042E+03	1.727021E-01	1.160907E-02
2.509653E+03	1.831383E-01	1.217741E-02
2.548263E+03	1.942910E-01	1.277496E-02
2.586873E+03	2.062552E-01	1.340580E-02
2.625483E+03	2.190394E-01	1.406808E-02
2.664093E+03	2.326770E-01	1.476146E-02
2.702703E+03	2.471632E-01	1.548301E-02
2.741313E+03	2.625166E-01	1.623117E-02
2.779923E+03	2.787834E-01	1.700593E-02
2.818533E+03	2.958901E-01	1.779986E-02
2.857143E+03	3.138934E-01	1.861339E-02
2.895753E+03	3.328424E-01	1.944624E-02
2.905405E+03	3.377224E-01	1.965679E-02
2.915058E+03	3.426366E-01	1.986684E-02
2.924710E+03	3.476674E-01	2.008112E-02
2.934363E+03	3.527305E-01	2.029467E-02
2.944015E+03	3.578663E-01	2.050980E-02
2.953668E+03	3.630741E-01	2.072638E-02
2.963320E+03	3.683094E-01	2.094182E-02
2.972973E+03	3.736567E-01	2.116088E-02
2.982625E+03	3.790274E-01	2.137846E-02
