#wls	flux	fluxerr
1.544402E+03	1.429075E-02	4.188078E-04
1.583012E+03	1.448879E-02	4.231267E-04
1.621622E+03	1.468640E-02	4.273543E-04
1.660232E+03	1.488301E-02	4.314719E-04
1.698842E+03	1.507768E-02	4.354505E-04
1.737452E+03	1.527097E-02	4.393045E-04
1.776062E+03	1.545723E-02	4.428698E-04
1.814672E+03	1.563290E-02	4.460448E-04
1.853282E+03	1.579972E-02	4.488808E-04
1.891892E+03	1.595170E-02	4.512088E-04
1.930502E+03	1.608855E-02	4.530239E-04
1.969112E+03	1.621950E-02	4.545890E-04
2.007722E+03	1.636132E-02	4.563717E-04
2.046332E+03	1.654296E-02	4.591690E-04
2.084942E+03	1.678410E-02	4.635051E-04
2.123552E+03	1.710395E-02	4.698797E-04
2.162162E+03	1.749029E-02	4.779210E-04
2.200772E+03	1.792187E-02	4.870166E-04
2.239382E+03	1.838030E-02	4.966444E-04
2.277992E+03	1.885363E-02	5.064648E-04
2.316602E+03	1.933363E-02	5.162453E-04
2.355212E+03	1.981988E-02	5.259652E-04
2.393822E+03	2.030833E-02	5.355083E-04
2.432432E+03	2.080856E-02	5.451182E-04
2.471042E+03	2.131803E-02	5.547157E-04
2.509653E+03	2.184042E-02	5.643845E-04
2.548263E+03	2.237926E-02	5.742009E-04
2.586873E+03	2.294110E-02	5.843157E-04
2.625483E+03	2.352586E-02	5.947061E-04
2.664093E+03	2.413653E-02	6.054261E-04
2.702703E+03	2.478242E-02	6.166839E-04
2.741313E+03	2.545993E-02	6.283612E-04
2.779923E+03	2.617836E-02	6.406563E-04
2.818533E+03	2.694388E-02	6.536845E-04
2.857143E+03	2.775960E-02	6.674800E-04
2.895753E+03	2.863215E-02	6.821577E-04
2.905405E+03	2.886163E-02	6.860179E-04
2.915058E+03	2.909630E-02	6.899678E-04
2.924710E+03	2.933300E-02	6.939318E-04
2.934363E+03	2.957500E-02	6.979864E-04
2.944015E+03	2.982253E-02	7.021361E-04
2.953668E+03	3.007589E-02	7.063868E-04
2.963320E+03	3.033501E-02	7.107353E-04
2.972973E+03	3.059670E-02	7.151064E-04
2.982625E+03	3.086726E-02	7.196460E-04
2.992278E+03	3.114352E-02	7.242784E-04
3.001931E+03	3.142543E-02	7.290018E-04
3.011583E+03	3.171304E-02	7.338158E-04
3.021236E+03	3.200635E-02	7.387189E-04
3.030888E+03	3.230848E-02	7.437823E-04
3.040541E+03	3.261634E-02	7.489330E-04
3.050193E+03	3.292996E-02	7.541702E-04
3.059846E+03	3.325249E-02	7.595647E-04
3.069498E+03	3.358087E-02	7.650450E-04
3.079151E+03	3.391826E-02	7.706818E-04
3.088803E+03	3.426476E-02	7.764749E-04
3.098456E+03	3.461723E-02	7.823521E-04
3.108108E+03	3.497895E-02	7.883853E-04
3.117761E+03	3.534683E-02	7.945034E-04
3.127413E+03	3.572723E-02	8.008477E-04
3.137066E+03	3.611398E-02	8.072775E-04
3.146718E+03	3.651340E-02	8.139323E-04
3.156371E+03	3.691944E-02	8.206746E-04
3.166023E+03	3.733836E-02	8.276421E-04
3.175676E+03	3.776721E-02	8.347665E-04
3.185328E+03	3.820610E-02	8.420484E-04
3.194981E+03	3.865828E-02	8.495566E-04
3.204633E+03	3.912078E-02	8.572232E-04
3.214286E+03	3.959682E-02	8.651166E-04
3.223938E+03	4.008348E-02	8.731699E-04
3.233591E+03	4.058398E-02	8.814507E-04
3.243243E+03	4.109847E-02	8.899592E-04
3.252896E+03	4.162401E-02	8.986292E-04
3.262548E+03	4.216694E-02	9.075942E-04
3.272201E+03	4.272433E-02	9.167876E-04
3.281853E+03	4.329630E-02	9.262087E-04
3.291506E+03	4.388301E-02	9.358580E-04
3.301158E+03	4.448460E-02	9.457348E-04
3.310811E+03	4.510427E-02	9.559036E-04
3.320463E+03	4.573908E-02	9.662983E-04
3.330116E+03	4.639221E-02	9.769825E-04
3.339768E+03	4.706375E-02	9.879539E-04
3.349421E+03	4.775380E-02	9.992102E-04
3.359073E+03	4.845929E-02	1.010684E-03
3.368726E+03	4.918644E-02	1.022500E-03
3.378378E+03	4.993220E-02	1.034590E-03
3.388031E+03	5.069653E-02	1.046950E-03
3.397683E+03	5.148245E-02	1.059637E-03
3.407336E+03	5.228675E-02	1.072581E-03
3.416988E+03	5.310933E-02	1.085775E-03
3.426641E+03	5.395619E-02	1.099337E-03
3.436293E+03	5.482091E-02	1.113131E-03
3.445946E+03	5.570935E-02	1.127272E-03
3.455598E+03	5.661499E-02	1.141622E-03
3.465251E+03	5.754365E-02	1.156295E-03
3.474903E+03	5.849170E-02	1.171212E-03
3.484556E+03	5.946169E-02	1.186420E-03
3.494208E+03	6.044993E-02	1.201839E-03
3.503861E+03	6.145878E-02	1.217514E-03
3.513514E+03	6.248748E-02	1.233422E-03
3.523166E+03	6.353516E-02	1.249543E-03
3.532819E+03	6.460084E-02	1.265853E-03
3.542471E+03	6.568662E-02	1.282388E-03
3.552124E+03	6.678823E-02	1.299061E-03
3.561776E+03	6.790443E-02	1.315844E-03
3.571429E+03	6.903707E-02	1.332768E-03
3.581081E+03	7.018471E-02	1.349801E-03
3.590734E+03	7.134589E-02	1.366913E-03
3.600386E+03	7.251903E-02	1.384069E-03
3.610039E+03	7.370559E-02	1.401295E-03
3.619691E+03	7.490073E-02	1.418495E-03
3.629344E+03	7.610265E-02	1.435632E-03
3.638996E+03	7.731259E-02	1.452729E-03
3.648649E+03	7.852554E-02	1.469689E-03
3.658301E+03	7.974571E-02	1.486590E-03
3.667954E+03	8.096795E-02	1.503334E-03
3.677606E+03	8.219021E-02	1.519883E-03
3.687259E+03	8.341038E-02	1.536198E-03
3.696911E+03	8.462637E-02	1.552239E-03
3.706564E+03	8.583908E-02	1.568026E-03
3.716216E+03	8.704638E-02	1.583518E-03
3.725869E+03	8.824307E-02	1.598624E-03
3.735521E+03	8.943309E-02	1.613417E-03
3.745174E+03	9.060826E-02	1.627750E-03
3.754826E+03	9.176956E-02	1.641646E-03
3.764479E+03	9.291792E-02	1.655123E-03
3.774131E+03	9.404537E-02	1.668043E-03
3.783784E+03	9.515594E-02	1.680483E-03
3.793436E+03	9.624771E-02	1.692413E-03
3.803089E+03	9.731591E-02	1.703753E-03
3.812741E+03	9.835887E-02	1.714480E-03
3.822394E+03	9.937783E-02	1.724622E-03
3.832046E+03	1.003683E-01	1.734108E-03
3.841699E+03	1.013318E-01	1.742969E-03
3.851351E+03	1.022669E-01	1.751188E-03
3.861004E+03	1.031723E-01	1.758750E-03
3.870656E+03	1.040442E-01	1.765598E-03
3.880309E+03	1.048815E-01	1.771721E-03
3.889961E+03	1.056888E-01	1.777207E-03
3.899614E+03	1.064600E-01	1.781958E-03
3.909266E+03	1.071943E-01	1.785974E-03
3.918919E+03	1.078941E-01	1.789299E-03
3.928571E+03	1.085562E-01	1.791893E-03
3.938224E+03	1.091829E-01	1.793803E-03
3.947876E+03	1.097716E-01	1.794995E-03
3.957529E+03	1.103198E-01	1.795435E-03
3.967181E+03	1.108325E-01	1.795220E-03
3.976834E+03	1.113051E-01	1.794280E-03
3.986486E+03	1.117403E-01	1.792670E-03
3.996139E+03	1.121361E-01	1.790370E-03
4.005792E+03	1.124930E-01	1.787396E-03
4.015444E+03	1.128117E-01	1.783770E-03
4.025097E+03	1.130928E-01	1.779511E-03
4.034749E+03	1.133327E-01	1.774571E-03
4.044402E+03	1.135343E-01	1.769009E-03
4.054054E+03	1.136987E-01	1.762850E-03
4.063707E+03	1.138246E-01	1.756086E-03
4.073359E+03	1.139111E-01	1.748709E-03
4.083012E+03	1.139593E-01	1.740750E-03
4.092664E+03	1.139705E-01	1.732237E-03
4.102317E+03	1.139439E-01	1.723170E-03
4.111969E+03	1.138791E-01	1.713550E-03
4.121622E+03	1.137776E-01	1.703411E-03
4.131274E+03	1.136392E-01	1.692758E-03
4.140927E+03	1.134656E-01	1.681628E-03
4.150579E+03	1.132531E-01	1.669976E-03
4.160232E+03	1.130076E-01	1.657897E-03
4.169884E+03	1.127241E-01	1.645327E-03
4.179537E+03	1.124086E-01	1.632363E-03
4.189189E+03	1.120584E-01	1.618976E-03
4.198842E+03	1.116746E-01	1.605189E-03
4.208494E+03	1.112603E-01	1.591055E-03
4.218147E+03	1.108151E-01	1.576578E-03
4.227799E+03	1.103391E-01	1.561767E-03
4.237452E+03	1.098343E-01	1.546657E-03
4.247104E+03	1.093028E-01	1.531285E-03
4.256757E+03	1.087453E-01	1.515668E-03
4.266409E+03	1.081610E-01	1.499803E-03
4.276062E+03	1.075542E-01	1.483754E-03
4.285714E+03	1.069260E-01	1.467542E-03
4.295367E+03	1.062776E-01	1.451191E-03
4.305019E+03	1.056132E-01	1.434761E-03
4.314672E+03	1.049382E-01	1.418331E-03
4.324324E+03	1.042550E-01	1.401937E-03
4.333977E+03	1.035701E-01	1.385665E-03
4.343629E+03	1.028855E-01	1.369545E-03
4.353282E+03	1.022068E-01	1.353654E-03
4.362934E+03	1.015358E-01	1.338012E-03
4.372587E+03	1.008762E-01	1.322668E-03
4.382239E+03	1.002304E-01	1.307653E-03
4.391892E+03	9.960175E-02	1.293006E-03
4.401544E+03	9.899183E-02	1.278747E-03
4.411197E+03	9.840335E-02	1.264908E-03
4.420849E+03	9.783741E-02	1.251499E-03
4.430502E+03	9.729486E-02	1.238527E-03
4.440154E+03	9.677747E-02	1.226012E-03
4.449807E+03	9.628555E-02	1.213954E-03
4.459459E+03	9.582031E-02	1.202364E-03
4.469112E+03	9.538046E-02	1.191223E-03
4.478764E+03	9.496797E-02	1.180551E-03
4.488417E+03	9.458222E-02	1.170337E-03
4.498069E+03	9.422369E-02	1.160583E-03
4.507722E+03	9.389045E-02	1.151263E-03
4.517375E+03	9.358376E-02	1.142388E-03
4.527027E+03	9.330156E-02	1.133931E-03
4.536680E+03	9.304392E-02	1.125889E-03
4.546332E+03	9.280977E-02	1.118247E-03
4.555985E+03	9.259910E-02	1.111004E-03
4.565637E+03	9.240883E-02	1.104119E-03
4.575290E+03	9.223898E-02	1.097592E-03
4.584942E+03	9.208663E-02	1.091385E-03
4.594595E+03	9.194886E-02	1.085465E-03
4.604247E+03	9.182303E-02	1.079800E-03
4.613900E+03	9.170456E-02	1.074335E-03
4.623552E+03	9.159618E-02	1.069103E-03
4.633205E+03	9.149987E-02	1.064127E-03
4.642857E+03	9.141983E-02	1.059456E-03
4.652510E+03	9.135556E-02	1.055085E-03
4.662162E+03	9.131194E-02	1.051068E-03
4.671815E+03	9.129006E-02	1.047416E-03
4.681467E+03	9.129118E-02	1.044141E-03
4.691120E+03	9.131662E-02	1.041255E-03
4.700772E+03	9.136958E-02	1.038793E-03
4.710425E+03	9.144918E-02	1.036742E-03
4.720077E+03	9.155733E-02	1.035120E-03
4.729730E+03	9.169477E-02	1.033935E-03
4.739382E+03	9.186309E-02	1.033200E-03
4.749035E+03	9.206079E-02	1.032894E-03
4.758687E+03	9.229018E-02	1.033041E-03
4.768340E+03	9.255058E-02	1.033627E-03
4.777992E+03	9.284223E-02	1.034652E-03
4.787645E+03	9.316632E-02	1.036126E-03
4.797297E+03	9.352200E-02	1.038035E-03
4.806950E+03	9.391135E-02	1.040399E-03
4.816602E+03	9.433248E-02	1.043194E-03
4.826255E+03	9.478643E-02	1.046428E-03
4.835907E+03	9.527422E-02	1.050110E-03
4.845560E+03	9.579490E-02	1.054225E-03
4.855212E+03	9.634949E-02	1.058783E-03
4.864865E+03	9.693804E-02	1.063781E-03
4.874517E+03	9.756056E-02	1.069216E-03
4.884170E+03	9.821715E-02	1.075088E-03
4.893822E+03	9.890786E-02	1.081394E-03
4.903475E+03	9.963381E-02	1.088145E-03
4.913127E+03	1.003952E-01	1.095339E-03
4.922780E+03	1.011921E-01	1.102977E-03
4.932432E+03	1.020247E-01	1.111058E-03
4.942085E+03	1.028933E-01	1.119582E-03
4.951737E+03	1.037992E-01	1.128563E-03
4.961390E+03	1.047404E-01	1.137976E-03
4.971042E+03	1.057204E-01	1.147858E-03
4.980695E+03	1.067373E-01	1.158186E-03
4.990347E+03	1.077924E-01	1.168973E-03
5.000000E+03	1.088848E-01	1.180207E-03
5.009653E+03	1.100167E-01	1.191910E-03
5.019305E+03	1.111860E-01	1.204059E-03
5.028958E+03	1.123937E-01	1.216663E-03
5.038610E+03	1.136397E-01	1.229718E-03
5.048263E+03	1.149238E-01	1.243220E-03
5.057915E+03	1.162453E-01	1.257162E-03
5.067568E+03	1.176038E-01	1.271536E-03
5.077220E+03	1.189984E-01	1.286333E-03
5.086873E+03	1.204270E-01	1.301527E-03
5.096525E+03	1.218893E-01	1.317115E-03
5.106178E+03	1.233842E-01	1.333081E-03
5.115830E+03	1.249084E-01	1.349391E-03
5.125483E+03	1.264614E-01	1.366036E-03
5.135135E+03	1.280397E-01	1.382977E-03
5.144788E+03	1.296421E-01	1.400200E-03
5.154440E+03	1.312633E-01	1.417645E-03
5.164093E+03	1.329028E-01	1.435308E-03
5.173745E+03	1.345550E-01	1.453124E-03
5.183398E+03	1.362176E-01	1.471067E-03
5.193050E+03	1.378857E-01	1.489084E-03
5.202703E+03	1.395568E-01	1.507144E-03
5.212355E+03	1.412256E-01	1.525190E-03
5.222008E+03	1.428864E-01	1.543158E-03
5.231660E+03	1.445380E-01	1.561032E-03
5.241313E+03	1.461730E-01	1.578732E-03
5.250965E+03	1.477886E-01	1.596225E-03
5.260618E+03	1.493803E-01	1.613461E-03
5.270270E+03	1.509422E-01	1.630375E-03
5.279923E+03	1.524745E-01	1.646965E-03
5.289575E+03	1.539729E-01	1.663186E-03
5.299228E+03	1.554413E-01	1.679074E-03
5.308880E+03	1.568771E-01	1.694604E-03
5.318533E+03	1.582754E-01	1.709716E-03
5.328185E+03	1.596244E-01	1.724286E-03
5.337838E+03	1.609222E-01	1.738289E-03
5.347490E+03	1.621639E-01	1.751670E-03
5.357143E+03	1.633462E-01	1.764392E-03
5.366795E+03	1.644661E-01	1.776422E-03
5.376448E+03	1.655208E-01	1.787729E-03
5.386100E+03	1.665062E-01	1.798266E-03
5.395753E+03	1.674233E-01	1.808043E-03
5.405405E+03	1.682701E-01	1.817038E-03
5.415058E+03	1.690433E-01	1.825213E-03
5.424710E+03	1.697414E-01	1.832552E-03
5.434363E+03	1.703649E-01	1.839059E-03
5.444015E+03	1.709129E-01	1.844726E-03
5.453668E+03	1.713867E-01	1.849563E-03
5.463320E+03	1.717825E-01	1.853532E-03
5.472973E+03	1.721038E-01	1.856669E-03
5.482625E+03	1.723509E-01	1.858978E-03
5.492278E+03	1.725229E-01	1.860449E-03
5.501931E+03	1.726223E-01	1.861110E-03
5.511583E+03	1.726488E-01	1.860956E-03
5.521236E+03	1.726073E-01	1.860043E-03
5.530888E+03	1.724961E-01	1.858354E-03
5.540541E+03	1.723209E-01	1.855949E-03
5.550193E+03	1.720806E-01	1.852817E-03
5.559846E+03	1.717812E-01	1.849026E-03
5.569498E+03	1.714256E-01	1.844607E-03
5.579151E+03	1.710134E-01	1.839556E-03
5.588803E+03	1.705512E-01	1.833947E-03
5.598456E+03	1.700424E-01	1.827817E-03
5.608108E+03	1.694871E-01	1.821170E-03
5.617761E+03	1.688924E-01	1.814083E-03
5.627413E+03	1.682619E-01	1.806595E-03
5.637066E+03	1.675977E-01	1.798732E-03
5.646718E+03	1.669035E-01	1.790536E-03
5.656371E+03	1.661848E-01	1.782065E-03
5.666023E+03	1.654436E-01	1.773344E-03
5.675676E+03	1.646851E-01	1.764430E-03
5.685328E+03	1.639112E-01	1.755346E-03
5.694981E+03	1.631254E-01	1.746129E-03
5.704633E+03	1.623292E-01	1.736799E-03
5.714286E+03	1.615290E-01	1.727425E-03
5.723938E+03	1.607262E-01	1.718024E-03
5.733591E+03	1.599235E-01	1.708627E-03
5.743243E+03	1.591219E-01	1.699245E-03
5.752896E+03	1.583254E-01	1.689924E-03
5.762548E+03	1.575347E-01	1.680672E-03
5.772201E+03	1.567519E-01	1.671514E-03
5.781853E+03	1.559788E-01	1.662471E-03
5.791506E+03	1.552175E-01	1.653564E-03
5.801158E+03	1.544679E-01	1.644797E-03
5.810811E+03	1.537318E-01	1.636189E-03
5.820463E+03	1.530106E-01	1.627759E-03
5.830116E+03	1.523061E-01	1.619523E-03
5.839768E+03	1.516166E-01	1.611469E-03
5.849421E+03	1.509467E-01	1.603646E-03
5.859073E+03	1.502951E-01	1.596040E-03
5.868726E+03	1.496649E-01	1.588689E-03
5.878378E+03	1.490550E-01	1.581580E-03
5.888031E+03	1.484674E-01	1.574736E-03
5.897683E+03	1.479040E-01	1.568181E-03
5.907336E+03	1.473672E-01	1.561940E-03
5.916988E+03	1.468564E-01	1.556009E-03
5.926641E+03	1.463743E-01	1.550417E-03
5.936293E+03	1.459206E-01	1.545164E-03
5.945946E+03	1.454969E-01	1.540268E-03
5.955598E+03	1.451033E-01	1.535731E-03
5.965251E+03	1.447385E-01	1.531542E-03
5.974903E+03	1.444083E-01	1.527764E-03
5.984556E+03	1.441213E-01	1.524489E-03
5.994208E+03	1.438795E-01	1.521741E-03
6.003861E+03	1.436860E-01	1.519550E-03
6.013514E+03	1.435460E-01	1.517971E-03
6.023166E+03	1.434564E-01	1.516973E-03
6.032819E+03	1.434196E-01	1.516580E-03
6.042471E+03	1.434344E-01	1.516780E-03
6.052124E+03	1.435011E-01	1.517576E-03
6.061776E+03	1.436166E-01	1.518934E-03
6.071429E+03	1.437793E-01	1.520840E-03
6.081081E+03	1.439891E-01	1.523292E-03
6.090734E+03	1.442458E-01	1.526287E-03
6.100386E+03	1.445447E-01	1.529779E-03
6.110039E+03	1.448870E-01	1.533780E-03
6.119691E+03	1.452695E-01	1.538256E-03
6.129344E+03	1.456916E-01	1.543203E-03
6.138996E+03	1.461481E-01	1.548566E-03
6.148649E+03	1.466412E-01	1.554370E-03
6.158301E+03	1.471637E-01	1.560539E-03
6.167954E+03	1.477157E-01	1.567075E-03
6.177606E+03	1.482924E-01	1.573928E-03
6.187259E+03	1.488887E-01	1.581045E-03
6.196911E+03	1.495039E-01	1.588416E-03
6.206564E+03	1.501311E-01	1.595966E-03
6.216216E+03	1.507678E-01	1.603667E-03
6.225869E+03	1.514069E-01	1.611444E-03
6.235521E+03	1.520479E-01	1.619287E-03
6.245174E+03	1.526838E-01	1.627121E-03
6.254826E+03	1.533106E-01	1.634903E-03
6.264479E+03	1.539246E-01	1.642589E-03
6.274131E+03	1.545214E-01	1.650133E-03
6.283784E+03	1.550950E-01	1.657467E-03
6.293436E+03	1.556426E-01	1.664558E-03
6.303089E+03	1.561593E-01	1.671353E-03
6.312741E+03	1.566421E-01	1.677816E-03
6.322394E+03	1.570879E-01	1.683912E-03
6.332046E+03	1.574917E-01	1.689584E-03
6.341699E+03	1.578508E-01	1.694800E-03
6.351351E+03	1.581603E-01	1.699506E-03
6.361004E+03	1.584179E-01	1.703672E-03
6.370656E+03	1.586192E-01	1.707249E-03
6.380309E+03	1.587639E-01	1.710230E-03
6.389961E+03	1.588468E-01	1.712555E-03
6.399614E+03	1.588662E-01	1.714205E-03
6.409266E+03	1.588194E-01	1.715144E-03
6.418919E+03	1.587057E-01	1.715364E-03
6.428571E+03	1.585230E-01	1.714836E-03
6.438224E+03	1.582715E-01	1.713561E-03
6.447876E+03	1.579500E-01	1.711521E-03
6.457529E+03	1.575559E-01	1.708686E-03
6.467181E+03	1.570925E-01	1.705089E-03
6.476834E+03	1.565599E-01	1.700726E-03
6.486486E+03	1.559587E-01	1.695602E-03
6.496139E+03	1.552900E-01	1.689724E-03
6.505792E+03	1.545550E-01	1.683106E-03
6.515444E+03	1.537575E-01	1.675782E-03
6.525097E+03	1.528995E-01	1.667775E-03
6.534749E+03	1.519819E-01	1.659091E-03
6.544402E+03	1.510110E-01	1.649796E-03
6.554054E+03	1.499881E-01	1.639903E-03
6.563707E+03	1.489184E-01	1.629468E-03
6.573359E+03	1.478019E-01	1.618488E-03
6.583012E+03	1.466477E-01	1.607061E-03
6.592664E+03	1.454561E-01	1.595191E-03
6.602317E+03	1.442329E-01	1.582939E-03
6.611969E+03	1.429822E-01	1.570349E-03
6.621622E+03	1.417079E-01	1.557465E-03
6.631274E+03	1.404143E-01	1.544330E-03
6.640927E+03	1.391069E-01	1.531009E-03
6.650579E+03	1.377864E-01	1.517506E-03
6.660232E+03	1.364583E-01	1.503884E-03
6.669884E+03	1.351279E-01	1.490200E-03
6.679537E+03	1.337972E-01	1.476478E-03
6.689189E+03	1.324712E-01	1.462771E-03
6.698842E+03	1.311499E-01	1.449082E-03
6.708494E+03	1.298395E-01	1.435478E-03
6.718147E+03	1.285428E-01	1.421993E-03
6.727799E+03	1.272592E-01	1.408620E-03
6.737452E+03	1.259943E-01	1.395422E-03
6.747104E+03	1.247501E-01	1.382424E-03
6.756757E+03	1.235257E-01	1.369613E-03
6.766409E+03	1.223257E-01	1.357045E-03
6.776062E+03	1.211502E-01	1.344721E-03
6.785714E+03	1.200021E-01	1.332674E-03
6.795367E+03	1.188795E-01	1.320884E-03
6.805019E+03	1.177863E-01	1.309397E-03
6.814672E+03	1.167220E-01	1.298207E-03
6.824324E+03	1.156871E-01	1.287321E-03
6.833977E+03	1.146822E-01	1.276749E-03
6.843629E+03	1.137076E-01	1.266494E-03
6.853282E+03	1.127622E-01	1.256545E-03
6.862934E+03	1.118477E-01	1.246922E-03
6.872587E+03	1.109639E-01	1.237625E-03
6.882239E+03	1.101109E-01	1.228657E-03
6.891892E+03	1.092872E-01	1.220000E-03
6.901544E+03	1.084939E-01	1.211671E-03
6.911197E+03	1.077294E-01	1.203651E-03
6.920849E+03	1.069934E-01	1.195939E-03
6.930502E+03	1.062855E-01	1.188532E-03
6.940154E+03	1.056054E-01	1.181427E-03
6.949807E+03	1.049525E-01	1.174621E-03
6.959459E+03	1.043252E-01	1.168094E-03
6.969112E+03	1.037242E-01	1.161856E-03
6.978764E+03	1.031476E-01	1.155890E-03
6.988417E+03	1.025963E-01	1.150204E-03
6.998069E+03	1.020670E-01	1.144763E-03
7.007722E+03	1.015617E-01	1.139593E-03
7.017375E+03	1.010761E-01	1.134643E-03
7.027027E+03	1.006120E-01	1.129938E-03
7.036680E+03	1.001688E-01	1.125472E-03
7.046332E+03	9.974202E-02	1.121195E-03
7.055985E+03	9.933487E-02	1.117144E-03
7.065637E+03	9.894288E-02	1.113271E-03
7.075290E+03	9.856663E-02	1.109584E-03
7.084942E+03	9.820419E-02	1.106062E-03
7.094595E+03	9.785492E-02	1.102699E-03
7.104247E+03	9.751559E-02	1.099460E-03
7.113900E+03	9.718683E-02	1.096353E-03
7.123552E+03	9.686668E-02	1.093358E-03
7.133205E+03	9.655205E-02	1.090440E-03
7.142857E+03	9.624226E-02	1.087594E-03
7.152510E+03	9.593673E-02	1.084813E-03
7.162162E+03	9.563232E-02	1.082064E-03
7.171815E+03	9.532848E-02	1.079342E-03
7.181467E+03	9.502463E-02	1.076640E-03
7.191120E+03	9.472141E-02	1.073967E-03
7.200772E+03	9.441707E-02	1.071304E-03
7.210425E+03	9.411475E-02	1.068688E-03
7.220077E+03	9.381144E-02	1.066086E-03
7.229730E+03	9.351028E-02	1.063534E-03
7.239382E+03	9.320946E-02	1.061012E-03
7.249035E+03	9.291086E-02	1.058539E-03
7.258687E+03	9.261273E-02	1.056096E-03
7.268340E+03	9.231569E-02	1.053686E-03
7.277992E+03	9.201924E-02	1.051305E-03
7.287645E+03	9.172539E-02	1.048973E-03
7.297297E+03	9.143135E-02	1.046658E-03
