#wls	flux	fluxerr
1.544402E+03	9.970514E-04	1.501643E-05
1.583012E+03	1.010031E-03	1.521016E-05
1.621622E+03	1.023316E-03	1.540842E-05
1.660232E+03	1.037115E-03	1.561432E-05
1.698842E+03	1.051248E-03	1.582518E-05
1.737452E+03	1.065634E-03	1.603975E-05
1.776062E+03	1.080145E-03	1.625611E-05
1.814672E+03	1.094611E-03	1.647170E-05
1.853282E+03	1.109039E-03	1.668661E-05
1.891892E+03	1.122894E-03	1.689282E-05
1.930502E+03	1.136636E-03	1.709721E-05
1.969112E+03	1.150810E-03	1.730802E-05
2.007722E+03	1.166307E-03	1.753862E-05
2.046332E+03	1.185527E-03	1.782507E-05
2.084942E+03	1.210267E-03	1.819439E-05
2.123552E+03	1.241524E-03	1.866151E-05
2.162162E+03	1.279111E-03	1.922357E-05
2.200772E+03	1.321549E-03	1.985831E-05
2.239382E+03	1.367550E-03	2.054632E-05
2.277992E+03	1.416268E-03	2.127488E-05
2.316602E+03	1.467611E-03	2.204259E-05
2.355212E+03	1.521093E-03	2.284210E-05
2.393822E+03	1.577733E-03	2.368870E-05
2.432432E+03	1.637084E-03	2.457565E-05
2.471042E+03	1.700103E-03	2.551729E-05
2.509653E+03	1.766648E-03	2.651146E-05
2.548263E+03	1.838089E-03	2.757865E-05
2.586873E+03	1.913994E-03	2.871237E-05
2.625483E+03	1.995514E-03	2.992981E-05
2.664093E+03	2.082869E-03	3.123424E-05
2.702703E+03	2.176634E-03	3.263420E-05
2.741313E+03	2.277810E-03	3.414465E-05
2.779923E+03	2.386306E-03	3.576415E-05
2.818533E+03	2.503634E-03	3.751526E-05
2.857143E+03	2.630636E-03	3.941054E-05
2.895753E+03	2.767297E-03	4.144963E-05
2.905405E+03	2.803498E-03	4.198977E-05
2.915058E+03	2.839935E-03	4.253335E-05
2.924710E+03	2.877088E-03	4.308761E-05
2.934363E+03	2.915469E-03	4.366021E-05
2.944015E+03	2.954145E-03	4.423715E-05
2.953668E+03	2.994142E-03	4.483380E-05
2.963320E+03	3.034473E-03	4.543539E-05
2.972973E+03	3.076161E-03	4.605723E-05
2.982625E+03	3.118193E-03	4.668416E-05
2.992278E+03	3.161624E-03	4.733194E-05
3.001931E+03	3.205950E-03	4.799306E-05
3.011583E+03	3.250643E-03	4.865960E-05
3.021236E+03	3.296798E-03	4.934795E-05
3.030888E+03	3.343339E-03	5.004199E-05
3.040541E+03	3.391391E-03	5.075857E-05
3.050193E+03	3.440422E-03	5.148972E-05
3.059846E+03	3.489869E-03	5.222702E-05
3.069498E+03	3.540907E-03	5.298804E-05
3.079151E+03	3.592387E-03	5.375557E-05
3.088803E+03	3.645515E-03	5.454770E-05
3.098456E+03	3.699724E-03	5.535589E-05
3.108108E+03	3.755037E-03	5.618053E-05
3.117761E+03	3.810848E-03	5.701249E-05
3.127413E+03	3.868433E-03	5.787093E-05
3.137066E+03	3.927195E-03	5.874685E-05
3.146718E+03	3.986500E-03	5.963081E-05
3.156371E+03	4.047685E-03	6.054278E-05
3.166023E+03	4.110126E-03	6.147343E-05
3.175676E+03	4.173856E-03	6.242325E-05
3.185328E+03	4.238900E-03	6.339261E-05
3.194981E+03	4.304579E-03	6.437135E-05
