#wls	flux	fluxerr
1.544402E+03	1.080119E-16	0.000000E+00
1.583012E+03	1.140908E-16	0.000000E+00
1.621622E+03	1.205237E-16	0.000000E+00
1.660232E+03	1.273197E-16	0.000000E+00
1.698842E+03	1.344909E-16	0.000000E+00
1.737452E+03	1.420458E-16	0.000000E+00
1.776062E+03	1.499238E-16	0.000000E+00
1.814672E+03	1.580989E-16	0.000000E+00
1.853282E+03	1.664863E-16	0.000000E+00
1.891892E+03	1.749871E-16	0.000000E+00
1.930502E+03	1.835055E-16	0.000000E+00
1.969112E+03	1.920394E-16	0.000000E+00
2.007722E+03	2.007340E-16	0.000000E+00
2.046332E+03	2.099444E-16	0.000000E+00
2.084942E+03	2.202425E-16	0.000000E+00
2.123552E+03	2.321345E-16	0.000000E+00
2.162162E+03	2.459057E-16	0.000000E+00
2.200772E+03	2.615165E-16	0.000000E+00
2.239382E+03	2.786432E-16	0.000000E+00
2.277992E+03	2.968507E-16	0.000000E+00
2.316602E+03	3.157350E-16	0.000000E+00
2.355212E+03	3.349979E-16	0.000000E+00
2.393822E+03	3.544989E-16	0.000000E+00
2.432432E+03	3.741373E-16	0.000000E+00
2.471042E+03	3.938879E-16	0.000000E+00
2.509653E+03	4.136992E-16	0.000000E+00
2.548263E+03	4.335354E-16	0.000000E+00
2.586873E+03	4.533229E-16	0.000000E+00
2.625483E+03	4.729756E-16	0.000000E+00
2.664093E+03	4.923951E-16	0.000000E+00
2.702703E+03	5.114563E-16	0.000000E+00
2.741313E+03	5.300254E-16	0.000000E+00
2.779923E+03	5.479918E-16	0.000000E+00
2.818533E+03	5.652127E-16	0.000000E+00
2.857143E+03	5.816169E-16	0.000000E+00
2.895753E+03	5.970919E-16	0.000000E+00
2.905405E+03	6.008231E-16	0.000000E+00
2.915058E+03	6.044817E-16	0.000000E+00
2.924710E+03	6.080654E-16	0.000000E+00
2.934363E+03	6.116005E-16	0.000000E+00
2.944015E+03	6.150755E-16	0.000000E+00
2.953668E+03	6.184932E-16	0.000000E+00
2.963320E+03	6.218631E-16	0.000000E+00
2.972973E+03	6.251679E-16	0.000000E+00
2.982625E+03	6.284043E-16	0.000000E+00
2.992278E+03	6.315952E-16	0.000000E+00
3.001931E+03	6.347111E-16	0.000000E+00
3.011583E+03	6.377619E-16	0.000000E+00
3.021236E+03	6.407321E-16	0.000000E+00
3.030888E+03	6.436633E-16	0.000000E+00
3.040541E+03	6.464977E-16	0.000000E+00
3.050193E+03	6.492696E-16	0.000000E+00
3.059846E+03	6.519873E-16	0.000000E+00
3.069498E+03	6.546471E-16	0.000000E+00
3.079151E+03	6.572208E-16	0.000000E+00
3.088803E+03	6.597420E-16	0.000000E+00
3.098456E+03	6.621835E-16	0.000000E+00
3.108108E+03	6.645545E-16	0.000000E+00
3.117761E+03	6.668408E-16	0.000000E+00
3.127413E+03	6.690521E-16	0.000000E+00
3.137066E+03	6.711865E-16	0.000000E+00
3.146718E+03	6.732422E-16	0.000000E+00
3.156371E+03	6.752063E-16	0.000000E+00
3.166023E+03	6.770888E-16	0.000000E+00
3.175676E+03	6.788890E-16	0.000000E+00
3.185328E+03	6.805958E-16	0.000000E+00
3.194981E+03	6.822179E-16	0.000000E+00
3.204633E+03	6.837456E-16	0.000000E+00
3.214286E+03	6.851894E-16	0.000000E+00
3.223938E+03	6.865382E-16	0.000000E+00
3.233591E+03	6.877926E-16	0.000000E+00
3.243243E+03	6.889537E-16	0.000000E+00
3.252896E+03	6.900221E-16	0.000000E+00
3.262548E+03	6.909992E-16	0.000000E+00
3.272201E+03	6.918754E-16	0.000000E+00
3.281853E+03	6.926624E-16	0.000000E+00
3.291506E+03	6.933426E-16	0.000000E+00
3.301158E+03	6.939377E-16	0.000000E+00
3.310811E+03	6.944297E-16	0.000000E+00
3.320463E+03	6.948206E-16	0.000000E+00
3.330116E+03	6.951141E-16	0.000000E+00
3.339768E+03	6.953036E-16	0.000000E+00
3.349421E+03	6.954007E-16	0.000000E+00
3.359073E+03	6.954003E-16	0.000000E+00
3.368726E+03	6.952959E-16	0.000000E+00
3.378378E+03	6.950909E-16	0.000000E+00
3.388031E+03	6.947817E-16	0.000000E+00
3.397683E+03	6.943800E-16	0.000000E+00
3.407336E+03	6.938642E-16	0.000000E+00
3.416988E+03	6.932476E-16	0.000000E+00
3.426641E+03	6.925269E-16	0.000000E+00
3.436293E+03	6.917059E-16	0.000000E+00
3.445946E+03	6.907745E-16	0.000000E+00
3.455598E+03	6.897295E-16	0.000000E+00
3.465251E+03	6.885842E-16	0.000000E+00
3.474903E+03	6.873203E-16	0.000000E+00
3.484556E+03	6.859530E-16	0.000000E+00
3.494208E+03	6.844791E-16	0.000000E+00
3.503861E+03	6.828907E-16	0.000000E+00
3.513514E+03	6.811860E-16	0.000000E+00
3.523166E+03	6.793721E-16	0.000000E+00
3.532819E+03	6.774409E-16	0.000000E+00
3.542471E+03	6.754069E-16	0.000000E+00
3.552124E+03	6.732551E-16	0.000000E+00
3.561776E+03	6.709928E-16	0.000000E+00
3.571429E+03	6.686203E-16	0.000000E+00
3.581081E+03	6.661448E-16	0.000000E+00
3.590734E+03	6.635598E-16	0.000000E+00
3.600386E+03	6.608726E-16	0.000000E+00
3.610039E+03	6.580839E-16	0.000000E+00
3.619691E+03	6.552007E-16	0.000000E+00
3.629344E+03	6.522237E-16	0.000000E+00
3.638996E+03	6.491599E-16	0.000000E+00
3.648649E+03	6.460098E-16	0.000000E+00
3.658301E+03	6.427739E-16	0.000000E+00
3.667954E+03	6.394716E-16	0.000000E+00
3.677606E+03	6.360905E-16	0.000000E+00
3.687259E+03	6.326432E-16	0.000000E+00
3.696911E+03	6.291421E-16	0.000000E+00
3.706564E+03	6.255807E-16	0.000000E+00
3.716216E+03	6.219651E-16	0.000000E+00
3.725869E+03	6.183067E-16	0.000000E+00
3.735521E+03	6.146106E-16	0.000000E+00
3.745174E+03	6.108820E-16	0.000000E+00
3.754826E+03	6.071199E-16	0.000000E+00
3.764479E+03	6.033345E-16	0.000000E+00
3.774131E+03	5.995304E-16	0.000000E+00
3.783784E+03	5.957114E-16	0.000000E+00
3.793436E+03	5.918817E-16	0.000000E+00
3.803089E+03	5.880448E-16	0.000000E+00
3.812741E+03	5.842096E-16	0.000000E+00
3.822394E+03	5.803792E-16	0.000000E+00
3.832046E+03	5.765514E-16	0.000000E+00
3.841699E+03	5.727395E-16	0.000000E+00
3.851351E+03	5.689406E-16	0.000000E+00
3.861004E+03	5.651625E-16	0.000000E+00
3.870656E+03	5.614072E-16	0.000000E+00
3.880309E+03	5.576717E-16	0.000000E+00
3.889961E+03	5.539677E-16	0.000000E+00
3.899614E+03	5.502921E-16	0.000000E+00
3.909266E+03	5.466511E-16	0.000000E+00
3.918919E+03	5.430458E-16	0.000000E+00
3.928571E+03	5.394777E-16	0.000000E+00
3.938224E+03	5.359475E-16	0.000000E+00
3.947876E+03	5.324609E-16	0.000000E+00
3.957529E+03	5.290139E-16	0.000000E+00
3.967181E+03	5.256070E-16	0.000000E+00
3.976834E+03	5.222501E-16	0.000000E+00
3.986486E+03	5.189343E-16	0.000000E+00
3.996139E+03	5.156643E-16	0.000000E+00
4.005792E+03	5.124403E-16	0.000000E+00
4.015444E+03	5.092624E-16	0.000000E+00
4.025097E+03	5.061306E-16	0.000000E+00
4.034749E+03	5.030445E-16	0.000000E+00
4.044402E+03	5.000042E-16	0.000000E+00
4.054054E+03	4.970091E-16	0.000000E+00
4.063707E+03	4.940589E-16	0.000000E+00
4.073359E+03	4.911532E-16	0.000000E+00
4.083012E+03	4.882871E-16	0.000000E+00
4.092664E+03	4.854601E-16	0.000000E+00
4.102317E+03	4.826757E-16	0.000000E+00
4.111969E+03	4.799332E-16	0.000000E+00
4.121622E+03	4.772233E-16	0.000000E+00
4.131274E+03	4.745494E-16	0.000000E+00
4.140927E+03	4.719107E-16	0.000000E+00
4.150579E+03	4.693060E-16	0.000000E+00
4.160232E+03	4.667343E-16	0.000000E+00
4.169884E+03	4.641905E-16	0.000000E+00
4.179537E+03	4.616813E-16	0.000000E+00
4.189189E+03	4.591975E-16	0.000000E+00
4.198842E+03	4.567459E-16	0.000000E+00
4.208494E+03	4.543249E-16	0.000000E+00
4.218147E+03	4.519371E-16	0.000000E+00
4.227799E+03	4.495810E-16	0.000000E+00
4.237452E+03	4.472588E-16	0.000000E+00
