#wls	flux	fluxerr
1.544402E+03	6.103243E-18	2.570700E-19
1.583012E+03	6.164370E-18	2.591440E-19
1.621622E+03	6.223090E-18	2.610964E-19
1.660232E+03	6.279528E-18	2.629327E-19
1.698842E+03	6.332442E-18	2.646011E-19
1.737452E+03	6.383310E-18	2.661637E-19
1.776062E+03	6.429735E-18	2.675209E-19
1.814672E+03	6.469833E-18	2.685953E-19
1.853282E+03	6.502512E-18	2.693429E-19
1.891892E+03	6.524652E-18	2.696367E-19
1.930502E+03	6.535492E-18	2.694481E-19
1.969112E+03	6.537503E-18	2.688817E-19
2.007722E+03	6.539766E-18	2.683125E-19
2.046332E+03	6.556568E-18	2.683251E-19
2.084942E+03	6.604417E-18	2.695886E-19
2.123552E+03	6.698068E-18	2.726935E-19
2.162162E+03	6.846272E-18	2.779796E-19
2.200772E+03	7.043763E-18	2.852149E-19
2.239382E+03	7.281604E-18	2.940207E-19
2.277992E+03	7.547875E-18	3.039018E-19
2.316602E+03	7.832969E-18	3.144609E-19
2.355212E+03	8.131331E-18	3.254672E-19
2.393822E+03	8.441061E-18	3.368381E-19
2.432432E+03	8.762812E-18	3.485933E-19
2.471042E+03	9.100118E-18	3.608665E-19
2.509653E+03	9.454600E-18	3.737135E-19
2.548263E+03	9.829645E-18	3.872590E-19
2.586873E+03	1.023043E-17	4.016956E-19
2.625483E+03	1.065938E-17	4.171057E-19
2.664093E+03	1.112223E-17	4.336984E-19
2.702703E+03	1.162351E-17	4.516331E-19
2.741313E+03	1.216812E-17	4.710804E-19
2.779923E+03	1.275958E-17	4.921543E-19
2.818533E+03	1.340729E-17	5.151920E-19
2.857143E+03	1.411396E-17	5.402690E-19
2.895753E+03	1.488850E-17	5.676945E-19
2.905405E+03	1.509371E-17	5.749506E-19
2.915058E+03	1.530546E-17	5.824385E-19
2.924710E+03	1.551975E-17	5.900047E-19
2.934363E+03	1.574092E-17	5.978137E-19
2.944015E+03	1.596713E-17	6.057955E-19
2.953668E+03	1.619866E-17	6.139593E-19
2.963320E+03	1.643560E-17	6.223083E-19
2.972973E+03	1.667807E-17	6.308459E-19
2.982625E+03	1.692843E-17	6.396610E-19
2.992278E+03	1.718460E-17	6.486736E-19
3.001931E+03	1.744670E-17	6.578877E-19
3.011583E+03	1.771486E-17	6.673077E-19
3.021236E+03	1.799160E-17	6.770271E-19
3.030888E+03	1.827250E-17	6.868791E-19
3.040541E+03	1.856202E-17	6.970303E-19
3.050193E+03	1.885862E-17	7.074219E-19
3.059846E+03	1.916241E-17	7.180572E-19
3.069498E+03	1.947606E-17	7.290351E-19
3.079151E+03	1.979724E-17	7.402668E-19
3.088803E+03	2.012350E-17	7.516604E-19
3.098456E+03	2.046015E-17	7.634130E-19
3.108108E+03	2.080745E-17	7.755330E-19
3.117761E+03	2.116026E-17	7.878278E-19
3.127413E+03	2.152415E-17	8.005032E-19
3.137066E+03	2.189662E-17	8.134655E-19
3.146718E+03	2.227785E-17	8.267197E-19
3.156371E+03	2.266804E-17	8.402728E-19
3.166023E+03	2.307030E-17	8.542377E-19
3.175676E+03	2.347906E-17	8.684076E-19
3.185328E+03	2.390039E-17	8.830053E-19
3.194981E+03	2.433463E-17	8.980417E-19
3.204633E+03	2.477599E-17	9.133022E-19
3.214286E+03	2.522769E-17	9.289037E-19
3.223938E+03	2.569313E-17	9.449701E-19
3.233591E+03	2.616948E-17	9.613957E-19
3.243243E+03	2.665698E-17	9.781876E-19
3.252896E+03	2.715920E-17	9.954754E-19
3.262548E+03	2.766983E-17	1.013025E-18
3.272201E+03	2.819578E-17	1.031090E-18
3.281853E+03	2.873404E-17	1.049556E-18
3.291506E+03	2.928485E-17	1.068432E-18
3.301158E+03	2.985207E-17	1.087856E-18
3.310811E+03	3.042888E-17	1.107577E-18
3.320463E+03	3.102277E-17	1.127867E-18
3.330116E+03	3.163043E-17	1.148603E-18
3.339768E+03	3.225216E-17	1.169794E-18
3.349421E+03	3.289211E-17	1.191588E-18
3.359073E+03	3.354288E-17	1.213715E-18
3.368726E+03	3.421256E-17	1.236466E-18
3.378378E+03	3.489757E-17	1.259709E-18
3.388031E+03	3.559819E-17	1.283452E-18
3.397683E+03	3.631469E-17	1.307703E-18
3.407336E+03	3.705164E-17	1.332623E-18
3.416988E+03	3.780517E-17	1.358071E-18
3.426641E+03	3.857556E-17	1.384054E-18
3.436293E+03	3.936307E-17	1.410580E-18
3.445946E+03	4.016797E-17	1.437656E-18
3.455598E+03	4.099514E-17	1.465453E-18
3.465251E+03	4.183564E-17	1.493650E-18
3.474903E+03	4.269905E-17	1.522585E-18
3.484556E+03	4.358095E-17	1.552099E-18
3.494208E+03	4.448158E-17	1.582198E-18
