#wls	flux	fluxerr
1.600000E+03	2.025646E-17	5.094570E-19
1.640000E+03	2.037784E-17	5.110631E-19
1.680000E+03	2.050075E-17	5.126588E-19
1.720000E+03	2.063225E-17	5.144185E-19
1.760000E+03	2.076874E-17	5.162498E-19
1.800000E+03	2.090662E-17	5.180609E-19
1.840000E+03	2.105299E-17	5.200260E-19
1.880000E+03	2.120783E-17	5.221415E-19
1.920000E+03	2.136759E-17	5.243163E-19
1.960000E+03	2.153226E-17	5.265481E-19
2.000000E+03	2.170906E-17	5.290103E-19
2.040000E+03	2.189448E-17	5.316125E-19
2.080000E+03	2.208860E-17	5.343532E-19
2.120000E+03	2.229153E-17	5.372315E-19
2.160000E+03	2.251066E-17	5.404201E-19
2.200000E+03	2.273896E-17	5.437450E-19
2.240000E+03	2.298029E-17	5.472938E-19
2.280000E+03	2.323857E-17	5.511534E-19
2.320000E+03	2.351055E-17	5.552405E-19
2.360000E+03	2.380389E-17	5.597286E-19
2.400000E+03	2.411191E-17	5.644527E-19
2.440000E+03	2.444602E-17	5.696718E-19
2.480000E+03	2.479976E-17	5.752252E-19
2.520000E+03	2.518117E-17	5.812893E-19
2.560000E+03	2.559124E-17	5.878752E-19
2.600000E+03	2.603111E-17	5.949961E-19
2.640000E+03	2.650571E-17	6.027507E-19
2.680000E+03	2.701293E-17	6.110758E-19
2.720000E+03	2.756537E-17	6.202395E-19
2.760000E+03	2.816139E-17	6.301851E-19
2.800000E+03	2.880691E-17	6.410239E-19
2.840000E+03	2.950448E-17	6.527895E-19
2.880000E+03	3.026071E-17	6.656024E-19
2.920000E+03	3.108254E-17	6.795867E-19
2.960000E+03	3.197744E-17	6.948731E-19
3.000000E+03	3.295334E-17	7.115975E-19
3.010000E+03	3.320889E-17	7.159755E-19
3.020000E+03	3.347034E-17	7.204583E-19
3.030000E+03	3.373777E-17	7.250471E-19
3.040000E+03	3.401127E-17	7.297429E-19
3.050000E+03	3.429092E-17	7.345470E-19
3.060000E+03	3.457682E-17	7.394603E-19
3.070000E+03	3.486906E-17	7.444843E-19
3.080000E+03	3.516773E-17	7.496201E-19
3.090000E+03	3.547293E-17	7.548690E-19
3.100000E+03	3.578475E-17	7.602320E-19
3.110000E+03	3.610331E-17	7.657109E-19
3.120000E+03	3.642871E-17	7.713070E-19
3.130000E+03	3.676105E-17	7.770213E-19
3.140000E+03	3.710043E-17	7.828554E-19
3.150000E+03	3.744698E-17	7.888111E-19
3.160000E+03	3.780081E-17	7.948895E-19
3.170000E+03	3.816585E-17	8.011725E-19
3.180000E+03	3.853460E-17	8.075013E-19
3.190000E+03	3.891481E-17	8.140378E-19
3.200000E+03	3.930281E-17	8.207036E-19
3.210000E+03	3.969872E-17	8.275002E-19
3.220000E+03	4.010652E-17	8.345097E-19
3.230000E+03	4.051865E-17	8.415733E-19
3.240000E+03	4.094295E-17	8.488532E-19
3.250000E+03	4.137574E-17	8.562714E-19
3.260000E+03	4.182103E-17	8.639098E-19
3.270000E+03	4.227119E-17	8.716095E-19
3.280000E+03	4.273418E-17	8.795335E-19
3.290000E+03	4.321019E-17	8.876842E-19
3.300000E+03	4.369150E-17	8.959016E-19
3.310000E+03	4.418617E-17	9.043498E-19
3.320000E+03	4.469439E-17	9.130311E-19
3.330000E+03	4.521239E-17	9.218667E-19
3.340000E+03	4.574032E-17	9.308585E-19
3.350000E+03	4.627836E-17	9.400089E-19
3.360000E+03	4.683476E-17	9.494834E-19
3.370000E+03	4.739763E-17	9.590395E-19
3.380000E+03	4.797524E-17	9.688431E-19
3.390000E+03	4.856783E-17	9.788970E-19
3.400000E+03	4.917154E-17	9.891218E-19
3.410000E+03	4.979068E-17	9.996024E-19
3.420000E+03	5.042138E-17	1.010259E-18
3.430000E+03	5.106799E-17	1.021177E-18
3.440000E+03	5.173076E-17	1.032360E-18
3.450000E+03	5.240581E-17	1.043728E-18
3.460000E+03	5.309336E-17	1.055283E-18
3.470000E+03	5.380205E-17	1.067196E-18
3.480000E+03	5.452380E-17	1.079304E-18
3.490000E+03	5.526308E-17	1.091692E-18
3.500000E+03	5.601594E-17	1.104282E-18
3.510000E+03	5.678696E-17	1.117160E-18
3.520000E+03	5.757644E-17	1.130331E-18
3.530000E+03	5.838474E-17	1.143799E-18
3.540000E+03	5.921221E-17	1.157569E-18
3.550000E+03	6.005487E-17	1.171559E-18
3.560000E+03	6.091743E-17	1.185860E-18
3.570000E+03	6.180027E-17	1.200477E-18
3.580000E+03	6.270382E-17	1.215414E-18
3.590000E+03	6.362406E-17	1.230592E-18
3.600000E+03	6.457031E-17	1.246187E-18
3.610000E+03	6.553413E-17	1.262034E-18
3.620000E+03	6.652496E-17	1.278312E-18
3.630000E+03	6.753433E-17	1.294854E-18
3.640000E+03	6.856725E-17	1.311754E-18
3.650000E+03	6.962428E-17	1.329019E-18
