#wls	flux	fluxerr
1.600000E+03	1.181929E-17	6.782364E-19
1.640000E+03	1.188338E-17	6.805294E-19
1.680000E+03	1.195157E-17	6.830053E-19
1.720000E+03	1.202412E-17	6.856764E-19
1.760000E+03	1.210130E-17	6.885550E-19
1.800000E+03	1.218550E-17	6.917736E-19
1.840000E+03	1.227708E-17	6.953486E-19
1.880000E+03	1.237434E-17	6.991793E-19
1.920000E+03	1.247773E-17	7.032863E-19
1.960000E+03	1.259188E-17	7.079265E-19
2.000000E+03	1.271315E-17	7.128877E-19
2.040000E+03	1.284420E-17	7.183147E-19
2.080000E+03	1.298568E-17	7.242366E-19
2.120000E+03	1.314042E-17	7.308035E-19
2.160000E+03	1.330495E-17	7.378140E-19
2.200000E+03	1.348441E-17	7.455455E-19
2.240000E+03	1.367762E-17	7.539220E-19
2.280000E+03	1.388561E-17	7.629898E-19
2.320000E+03	1.411398E-17	7.730449E-19
2.360000E+03	1.435964E-17	7.839036E-19
2.400000E+03	1.462399E-17	7.956299E-19
2.440000E+03	1.491316E-17	8.085401E-19
2.480000E+03	1.522672E-17	8.225930E-19
2.520000E+03	1.556667E-17	8.378767E-19
2.560000E+03	1.593758E-17	8.546149E-19
2.600000E+03	1.633962E-17	8.727927E-19
2.640000E+03	1.677793E-17	8.926577E-19
2.680000E+03	1.725570E-17	9.143484E-19
2.720000E+03	1.777390E-17	9.378831E-19
2.760000E+03	1.834142E-17	9.636942E-19
2.800000E+03	1.896015E-17	9.918377E-19
2.840000E+03	1.963760E-17	1.022660E-18
2.880000E+03	2.037663E-17	1.056256E-18
2.920000E+03	2.118606E-17	1.093027E-18
2.960000E+03	2.207287E-17	1.133264E-18
3.000000E+03	2.304774E-17	1.177443E-18
3.010000E+03	2.330494E-17	1.189080E-18
3.020000E+03	2.356720E-17	1.200933E-18
3.030000E+03	2.383767E-17	1.213164E-18
3.040000E+03	2.411351E-17	1.225624E-18
3.050000E+03	2.439483E-17	1.238319E-18
3.060000E+03	2.468491E-17	1.251413E-18
3.070000E+03	2.498080E-17	1.264755E-18
3.080000E+03	2.528582E-17	1.278512E-18
3.090000E+03	2.559702E-17	1.292531E-18
3.100000E+03	2.591454E-17	1.306820E-18
3.110000E+03	2.623857E-17	1.321385E-18
3.120000E+03	2.657249E-17	1.336395E-18
3.130000E+03	2.691329E-17	1.351697E-18
3.140000E+03	2.726446E-17	1.367464E-18
3.150000E+03	2.762292E-17	1.383539E-18
3.160000E+03	2.798883E-17	1.399928E-18
3.170000E+03	2.836581E-17	1.416811E-18
3.180000E+03	2.875070E-17	1.434026E-18
3.190000E+03	2.914369E-17	1.451582E-18
3.200000E+03	2.954849E-17	1.469660E-18
3.210000E+03	2.996187E-17	1.488098E-18
3.220000E+03	3.038760E-17	1.507081E-18
3.230000E+03	3.082240E-17	1.526442E-18
3.240000E+03	3.126652E-17	1.546191E-18
3.250000E+03	3.172383E-17	1.566519E-18
3.260000E+03	3.219098E-17	1.587255E-18
3.270000E+03	3.266820E-17	1.608408E-18
3.280000E+03	3.315952E-17	1.630175E-18
3.290000E+03	3.366530E-17	1.652570E-18
3.300000E+03	3.417820E-17	1.675228E-18
3.310000E+03	3.470615E-17	1.698536E-18
3.320000E+03	3.524955E-17	1.722509E-18
3.330000E+03	3.580079E-17	1.746774E-18
3.340000E+03	3.637214E-17	1.771923E-18
3.350000E+03	3.695189E-17	1.797384E-18
3.360000E+03	3.754843E-17	1.823562E-18
3.370000E+03	3.816218E-17	1.850471E-18
3.380000E+03	3.878513E-17	1.877720E-18
3.390000E+03	3.943022E-17	1.905932E-18
3.400000E+03	4.008506E-17	1.934503E-18
3.410000E+03	4.075854E-17	1.963860E-18
3.420000E+03	4.145110E-17	1.994016E-18
3.430000E+03	4.215421E-17	2.024559E-18
3.440000E+03	4.288158E-17	2.056142E-18
3.450000E+03	4.362006E-17	2.088130E-18
3.460000E+03	4.437901E-17	2.120966E-18
3.470000E+03	4.515890E-17	2.154668E-18
3.480000E+03	4.595056E-17	2.188793E-18
3.490000E+03	4.676857E-17	2.224031E-18
3.500000E+03	4.759882E-17	2.259705E-18
3.510000E+03	4.845123E-17	2.296282E-18
3.520000E+03	4.932615E-17	2.333771E-18
3.530000E+03	5.021378E-17	2.371705E-18
3.540000E+03	5.112945E-17	2.410801E-18
3.550000E+03	5.205802E-17	2.450340E-18
3.560000E+03	5.300990E-17	2.490807E-18
3.570000E+03	5.398528E-17	2.532204E-18
3.580000E+03	5.497892E-17	2.574280E-18
3.590000E+03	5.599071E-17	2.617023E-18
3.600000E+03	5.702050E-17	2.660422E-18
3.610000E+03	5.807370E-17	2.704723E-18
3.620000E+03	5.915026E-17	2.749917E-18
3.630000E+03	6.024424E-17	2.795722E-18
3.640000E+03	6.135522E-17	2.842112E-18
3.650000E+03	6.248267E-17	2.889059E-18
3.660000E+03	6.363202E-17	2.936808E-18
3.670000E+03	6.479671E-17	2.985051E-18
3.680000E+03	6.598216E-17	3.034031E-18
3.690000E+03	6.718149E-17	3.083426E-18
3.700000E+03	6.840010E-17	3.133481E-18
3.710000E+03	6.962438E-17	3.183565E-18
3.720000E+03	7.086598E-17	3.234210E-18
3.730000E+03	7.212397E-17	3.285366E-18
3.740000E+03	7.339071E-17	3.336682E-18
3.750000E+03	7.466492E-17	3.388096E-18
3.760000E+03	7.595207E-17	3.439854E-18
3.770000E+03	7.723724E-17	3.491276E-18
3.780000E+03	7.853975E-17	3.543233E-18
3.790000E+03	7.983750E-17	3.594726E-18
3.800000E+03	8.114314E-17	3.646323E-18
3.810000E+03	8.244832E-17	3.697647E-18
3.820000E+03	8.375897E-17	3.748963E-18
3.830000E+03	8.506665E-17	3.799891E-18
3.840000E+03	8.637009E-17	3.850374E-18
3.850000E+03	8.766811E-17	3.900362E-18
3.860000E+03	8.896714E-17	3.950138E-18
3.870000E+03	9.025862E-17	3.999325E-18
3.880000E+03	9.154154E-17	4.047878E-18
3.890000E+03	9.282266E-17	4.096097E-18
3.900000E+03	9.409339E-17	4.143605E-18
3.910000E+03	9.535276E-17	4.190360E-18
3.920000E+03	9.659982E-17	4.236323E-18
3.930000E+03	9.784163E-17	4.281807E-18
3.940000E+03	9.906923E-17	4.326420E-18
3.950000E+03	1.002815E-16	4.370119E-18
3.960000E+03	1.014773E-16	4.412855E-18
3.970000E+03	1.026634E-16	4.454931E-18
3.980000E+03	1.038304E-16	4.495936E-18
3.990000E+03	1.049765E-16	4.535805E-18
4.000000E+03	1.061001E-16	4.574466E-18
4.010000E+03	1.071992E-16	4.611844E-18
4.020000E+03	1.082803E-16	4.648224E-18
4.030000E+03	1.093328E-16	4.683156E-18
4.040000E+03	1.103458E-16	4.716183E-18
4.050000E+03	1.113342E-16	4.747951E-18
4.060000E+03	1.122957E-16	4.778370E-18
4.070000E+03	1.132108E-16	4.806618E-18
4.080000E+03	1.140859E-16	4.832982E-18
4.090000E+03	1.149277E-16	4.857752E-18
