#wls	flux	fluxerr
1.600000E+03	2.494379E-16	2.290205E-16
1.640000E+03	2.627808E-16	2.384267E-16
1.680000E+03	2.771486E-16	2.483871E-16
1.720000E+03	2.926673E-16	2.589669E-16
1.760000E+03	3.094058E-16	2.701738E-16
1.800000E+03	3.274699E-16	2.820420E-16
1.840000E+03	3.470070E-16	2.946342E-16
1.880000E+03	3.681014E-16	3.079504E-16
1.920000E+03	3.909143E-16	3.220481E-16
1.960000E+03	4.155383E-16	3.369182E-16
2.000000E+03	4.421873E-16	3.526410E-16
2.040000E+03	4.709630E-16	3.691950E-16
2.080000E+03	5.020507E-16	3.866151E-16
2.120000E+03	5.356416E-16	4.049275E-16
2.160000E+03	5.720684E-16	4.242505E-16
2.200000E+03	6.115877E-16	4.446252E-16
2.240000E+03	6.548014E-16	4.663212E-16
2.280000E+03	7.022015E-16	4.894936E-16
2.320000E+03	7.541958E-16	5.142079E-16
2.360000E+03	8.110347E-16	5.403978E-16
2.400000E+03	8.728893E-16	5.679296E-16
2.440000E+03	9.399473E-16	5.966691E-16
2.480000E+03	1.012409E-15	6.264801E-16
2.520000E+03	1.090538E-15	6.572564E-16
2.560000E+03	1.174544E-15	6.888481E-16
2.600000E+03	1.264438E-15	7.209889E-16
2.640000E+03	1.360320E-15	7.534706E-16
2.680000E+03	1.461988E-15	7.859343E-16
2.720000E+03	1.569165E-15	8.180129E-16
2.760000E+03	1.681353E-15	8.492688E-16
2.800000E+03	1.797806E-15	8.792042E-16
2.840000E+03	1.917651E-15	9.073386E-16
2.880000E+03	2.039680E-15	9.331271E-16
2.920000E+03	2.163008E-15	9.562773E-16
2.960000E+03	2.287010E-15	9.766961E-16
3.000000E+03	2.411373E-15	9.944882E-16
3.010000E+03	2.442432E-15	9.985217E-16
3.020000E+03	2.473461E-15	1.002392E-15
3.030000E+03	2.504488E-15	1.006116E-15
3.040000E+03	2.535477E-15	1.009684E-15
3.050000E+03	2.566388E-15	1.013085E-15
3.060000E+03	2.597311E-15	1.016362E-15
3.070000E+03	2.628077E-15	1.019452E-15
3.080000E+03	2.658772E-15	1.022397E-15
3.090000E+03	2.689355E-15	1.025186E-15
3.100000E+03	2.719846E-15	1.027834E-15
3.110000E+03	2.750200E-15	1.030329E-15
3.120000E+03	2.780435E-15	1.032685E-15
3.130000E+03	2.810504E-15	1.034892E-15
3.140000E+03	2.840362E-15	1.036939E-15
3.150000E+03	2.870021E-15	1.038838E-15
3.160000E+03	2.899496E-15	1.040602E-15
3.170000E+03	2.928737E-15	1.042219E-15
3.180000E+03	2.957694E-15	1.043679E-15
3.190000E+03	2.986377E-15	1.044993E-15
3.200000E+03	3.014795E-15	1.046171E-15
3.210000E+03	3.042896E-15	1.047202E-15
